Mouse.ID	Measurement	Type
M23	99.59	crypt (um)
M23	96.06	crypt (um)
M23	117.19	crypt (um)
M24	112.28	crypt (um)
M24	117.70	crypt (um)
M24	83.49	crypt (um)
M24	101.63	crypt (um)
M24	106.62	crypt (um)
M24	104.45	crypt (um)
M24	100.53	crypt (um)
M24	100.29	crypt (um)
M24	86.22	crypt (um)
M24	77.50	crypt (um)
M24	83.38	crypt (um)
M24	104.44	crypt (um)
M24	110.90	crypt (um)
M24	134.36	crypt (um)
M24	109.49	crypt (um)
M24	109.05	crypt (um)
M24	93.53	crypt (um)
M24	90.63	crypt (um)
M27	71.08	crypt (um)
M27	81.86	crypt (um)
M27	86.50	crypt (um)
M27	59.05	crypt (um)
M27	84.02	crypt (um)
M27	73.72	crypt (um)
M27	76.14	crypt (um)
M27	65.64	crypt (um)
M27	63.81	crypt (um)
M27	50.83	crypt (um)
M27	94.73	crypt (um)
M27	96.82	crypt (um)
M27	93.75	crypt (um)
M27	92.00	crypt (um)
M27	102.33	crypt (um)
M27	89.55	crypt (um)
M27	83.65	crypt (um)
M27	63.33	crypt (um)
M27	75.95	crypt (um)
M27	59.52	crypt (um)
M27	101.93	crypt (um)
M27	75.25	crypt (um)
M27	76.34	crypt (um)
M27	85.99	crypt (um)
M27	107.39	crypt (um)
M27	85.99	crypt (um)
M27	73.09	crypt (um)
M29	75.09	crypt (um)
M29	55.64	crypt (um)
M29	75.34	crypt (um)
M29	73.17	crypt (um)
M29	70.04	crypt (um)
M29	102.33	crypt (um)
M29	88.71	crypt (um)
M29	82.29	crypt (um)
M29	109.42	crypt (um)
M30	92.30	crypt (um)
M30	109.24	crypt (um)
M30	95.55	crypt (um)
M30	98.57	crypt (um)
M30	80.96	crypt (um)
M30	81.79	crypt (um)
M30	67.63	crypt (um)
M30	71.90	crypt (um)
M30	73.00	crypt (um)
M30	75.09	crypt (um)
M30	73.14	crypt (um)
M30	84.29	crypt (um)
M30	74.49	crypt (um)
M30	78.88	crypt (um)
M30	71.32	crypt (um)
M30	83.22	crypt (um)
M30	71.87	crypt (um)
