Mouse.ID	Measurement	Type
M10	576.21	villus (um)
M10	501.81	villus (um)
M10	558.79	villus (um)
M10	648.43	villus (um)
M10	656.9	villus (um)
M10	545.41	villus (um)
M10	475.03	villus (um)
M10	530.19	villus (um)
M10	608	villus (um)
M10	553.65	villus (um)
M10	522.39	villus (um)
M10	554.06	villus (um)
M10	584.01	villus (um)
M10	664.19	villus (um)
M10	570.9	villus (um)
M10	492.91	villus (um)
M11	315.52	villus (um)
M11	357.16	villus (um)
M11	385.56	villus (um)
M11	337.5	villus (um)
M11	332.63	villus (um)
M11	313.83	villus (um)
M11	300.49	villus (um)
M11	369.55	villus (um)
M11	477.72	villus (um)
M11	449.23	villus (um)
M11	443.81	villus (um)
M11	328.75	villus (um)
M11	355.24	villus (um)
M11	353.57	villus (um)
M11	346.81	villus (um)
M11	403.06	villus (um)
M11	339.31	villus (um)
M11	335.52	villus (um)
M11	394.35	villus (um)
M11	341.2	villus (um)
M11	370.96	villus (um)
M13	367.95	villus (um)
M13	328.44	villus (um)
M13	326.12	villus (um)
M13	308.04	villus (um)
M13	371.11	villus (um)
M13	315.94	villus (um)
M13	351.61	villus (um)
M13	361.01	villus (um)
M13	398.79	villus (um)
M13	397.77	villus (um)
M13	407.47	villus (um)
M13	416.23	villus (um)
M13	349.93	villus (um)
M13	469.59	villus (um)
M13	423.35	villus (um)
M13	460.22	villus (um)
M13	383.12	villus (um)
M13	392.39	villus (um)
M13	408.47	villus (um)
M13	352.96	villus (um)
M13	330.32	villus (um)
M13	381.56	villus (um)
M13	358.06	villus (um)
M13	355.84	villus (um)
M14	355.09	villus (um)
M14	340.77	villus (um)
M14	352.57	villus (um)
M14	380.25	villus (um)
M14	344.42	villus (um)
M14	282.87	villus (um)
M14	260.2	villus (um)
M14	269.83	villus (um)
M14	295.46	villus (um)
M14	475.75	villus (um)
M14	410.71	villus (um)
M14	339.81	villus (um)
M14	483.58	villus (um)
M14	414.85	villus (um)
M14	463.57	villus (um)
M14	357.21	villus (um)
M14	498.81	villus (um)
M14	481.12	villus (um)
M14	337.71	villus (um)
M14	490.33	villus (um)
M14	517.99	villus (um)
M14	389	villus (um)
M14	440.03	villus (um)
M14	388.86	villus (um)
M14	367.02	villus (um)
M16	582.54	villus (um)
M16	574.46	villus (um)
M16	614.65	villus (um)
M16	492.27	villus (um)
M16	579.2	villus (um)
M16	535.63	villus (um)
M16	564.78	villus (um)
M16	532.2	villus (um)
M16	599.19	villus (um)
M16	552.9	villus (um)
M16	459.33	villus (um)
M16	559.82	villus (um)
M16	471.92	villus (um)
M16	477.96	villus (um)
M16	400.54	villus (um)
M16	465.94	villus (um)
M16	514.4	villus (um)
M16	456.57	villus (um)
M16	479.58	villus (um)
M16	418.92	villus (um)
M16	383.53	villus (um)
M16	397.26	villus (um)
M16	395.79	villus (um)
M17	289.24	villus (um)
M17	277.71	villus (um)
M17	272.28	villus (um)
M17	329.45	villus (um)
M17	287.92	villus (um)
M17	335.16	villus (um)
M17	359.04	villus (um)
M17	304.6	villus (um)
M17	386.98	villus (um)
M17	414.44	villus (um)
M17	375.32	villus (um)
M17	390.88	villus (um)
M17	313.84	villus (um)
M17	383.7	villus (um)
M17	384.65	villus (um)
M17	373.23	villus (um)
M17	315.8	villus (um)
M17	410.9	villus (um)
