Donor.ID	Donor	Cage ID	Mouse ID	Date	Fasting Glucose (mg/dL)	Weight (g)	Week	Diet	Diet.ID
TFSCS023	Thailand.D1	1	M1	7/11/17	124	20.3	0	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M2	7/11/17	218	18.7	0	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M3	7/11/17	167	16.8	0	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M4	7/11/17	113	15.9	0	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M5	7/11/17	155	16.7	0	LowFiber	TD.86489
IMP.263	US.D1	2	M6	7/11/17	98	18	0	LowFiber	TD.86489
IMP.263	US.D1	2	M7	7/11/17	126	18.5	0	LowFiber	TD.86489
IMP.263	US.D1	2	M8	7/11/17	99	17.3	0	LowFiber	TD.86489
IMP.263	US.D1	2	M9	7/11/17	104	18.6	0	LowFiber	TD.86489
IMP.263	US.D1	2	M10	7/11/17	148	19.4	0	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M1	7/24/17	NA	20.7	2	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M2	7/24/17	NA	19.7	2	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M3	7/24/17	NA	18.1	2	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M4	7/24/17	NA	17.8	2	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M5	7/24/17	NA	18.2	2	LowFiber	TD.86489
IMP.263	US.D1	2	M6	7/24/17	NA	20.9	2	LowFiber	TD.86489
IMP.263	US.D1	2	M7	7/24/17	NA	20	2	LowFiber	TD.86489
IMP.263	US.D1	2	M8	7/24/17	NA	19.4	2	LowFiber	TD.86489
IMP.263	US.D1	2	M9	7/24/17	NA	20.6	2	LowFiber	TD.86489
IMP.263	US.D1	2	M10	7/24/17	NA	20.3	2	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M1	8/8/17	NA	21.4	4	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M2	8/8/17	NA	20.3	4	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M3	8/8/17	NA	19	4	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M4	8/8/17	NA	18.4	4	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M5	8/8/17	NA	19.5	4	LowFiber	TD.86489
IMP.263	US.D1	2	M6	8/8/17	NA	20.1	4	LowFiber	TD.86489
IMP.263	US.D1	2	M7	8/8/17	NA	19.1	4	LowFiber	TD.86489
IMP.263	US.D1	2	M8	8/8/17	NA	19.7	4	LowFiber	TD.86489
IMP.263	US.D1	2	M9	8/8/17	NA	20.1	4	LowFiber	TD.86489
IMP.263	US.D1	2	M10	8/8/17	NA	21.3	4	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M1	8/22/17	NA	21.8	6	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M2	8/22/17	NA	21.5	6	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M3	8/22/17	NA	20.8	6	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M4	8/22/17	NA	21.1	6	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M5	8/22/17	NA	22.4	6	LowFiber	TD.86489
IMP.263	US.D1	2	M6	8/22/17	NA	20.9	6	LowFiber	TD.86489
IMP.263	US.D1	2	M7	8/22/17	NA	22.3	6	LowFiber	TD.86489
IMP.263	US.D1	2	M8	8/22/17	NA	19.7	6	LowFiber	TD.86489
IMP.263	US.D1	2	M9	8/22/17	NA	20.5	6	LowFiber	TD.86489
IMP.263	US.D1	2	M10	8/22/17	NA	21.6	6	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M1	9/5/17	NA	22.1	8	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M2	9/5/17	NA	22.7	8	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M3	9/5/17	365	20.2	8	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M4	9/5/17	362	22.9	8	LowFiber	TD.86489
TFSCS023	Thailand.D1	1	M5	9/5/17	221	22.8	8	LowFiber	TD.86489
IMP.263	US.D1	2	M6	9/5/17	277	23.7	8	LowFiber	TD.86489
IMP.263	US.D1	2	M7	9/5/17	144	21.5	8	LowFiber	TD.86489
IMP.263	US.D1	2	M8	9/5/17	NA	21.4	8	LowFiber	TD.86489
IMP.263	US.D1	2	M9	9/5/17	NA	23.9	8	LowFiber	TD.86489
IMP.263	US.D1	2	M10	9/19/17	382	22.9	8	LowFiber	TD.86489
TFSCS023	Thailand.D1	1-2	M1	9/19/17	324	23.2	10	LowFiber	TD.86489
TFSCS023	Thailand.D1	1-2	M2	9/19/17	188	24.2	10	LowFiber	TD.86489
IMP.263	US.D1	1-2	M8	9/19/17	319	21.8	10	LowFiber	TD.86489
IMP.263	US.D1	1-2	M9	9/19/17	263	24.2	10	LowFiber	TD.86489
