Mouse ID	Sample ID	Measurement	Type	Donor
M3	M3.S.INT1	430.74	villus	Thailand.D1
M3	M3.S.INT1	465.43	villus	Thailand.D1
M3	M3.S.INT1	344.03	villus	Thailand.D1
M3	M3.S.INT1	352.02	villus	Thailand.D1
M3	M3.S.INT1	373.19	villus	Thailand.D1
M3	M3.S.INT1	325.9	villus	Thailand.D1
M3	M3.S.INT1	412.17	villus	Thailand.D1
M3	M3.S.INT1	481.96	villus	Thailand.D1
M3	M3.S.INT1	424.97	villus	Thailand.D1
M3	M3.S.INT1	410.8	villus	Thailand.D1
M3	M3.S.INT1	444.2	villus	Thailand.D1
M3	M3.S.INT1	455.64	villus	Thailand.D1
M3	M3.S.INT1	403.57	villus	Thailand.D1
M3	M3.S.INT1	448.43	villus	Thailand.D1
M3	M3.S.INT1	399.81	villus	Thailand.D1
M3	M3.S.INT1	119.99	crypt	Thailand.D1
M3	M3.S.INT1	107.49	crypt	Thailand.D1
M3	M3.S.INT1	98.38	crypt	Thailand.D1
M3	M3.S.INT1	104.59	crypt	Thailand.D1
M3	M3.S.INT1	184.03	crypt	Thailand.D1
M3	M3.S.INT1	106.48	crypt	Thailand.D1
M3	M3.S.INT1	83.3	crypt	Thailand.D1
M3	M3.S.INT1	111.21	crypt	Thailand.D1
M3	M3.S.INT1	76.1	crypt	Thailand.D1
M3	M3.S.INT1	103.08	crypt	Thailand.D1
M3	M3.S.INT1	89.09	crypt	Thailand.D1
M3	M3.S.INT1	105.92	crypt	Thailand.D1
M3	M3.S.INT1	124.14	crypt	Thailand.D1
M3	M3.S.INT1	112.21	crypt	Thailand.D1
M3	M3.S.INT1	126.81	crypt	Thailand.D1
M4	M4.S.INT1	436.34	villus	Thailand.D1
M4	M4.S.INT1	451.99	villus	Thailand.D1
M4	M4.S.INT1	403.01	villus	Thailand.D1
M4	M4.S.INT1	378.64	villus	Thailand.D1
M4	M4.S.INT1	478.31	villus	Thailand.D1
M4	M4.S.INT1	395.21	villus	Thailand.D1
M4	M4.S.INT1	448.2	villus	Thailand.D1
M4	M4.S.INT1	324.05	villus	Thailand.D1
M4	M4.S.INT1	436.92	villus	Thailand.D1
M4	M4.S.INT1	437.4	villus	Thailand.D1
M4	M4.S.INT1	385.65	villus	Thailand.D1
M4	M4.S.INT1	309.82	villus	Thailand.D1
M4	M4.S.INT1	354.82	villus	Thailand.D1
M4	M4.S.INT1	397.36	villus	Thailand.D1
M4	M4.S.INT1	94.76	crypt	Thailand.D1
M4	M4.S.INT1	81.9	crypt	Thailand.D1
M4	M4.S.INT1	103.64	crypt	Thailand.D1
M4	M4.S.INT1	108.76	crypt	Thailand.D1
M4	M4.S.INT1	98.1	crypt	Thailand.D1
M4	M4.S.INT1	84.3	crypt	Thailand.D1
M4	M4.S.INT1	123.22	crypt	Thailand.D1
M4	M4.S.INT1	81.54	crypt	Thailand.D1
M4	M4.S.INT1	89.49	crypt	Thailand.D1
M4	M4.S.INT1	76.91	crypt	Thailand.D1
M4	M4.S.INT1	79.85	crypt	Thailand.D1
M4	M4.S.INT1	85.65	crypt	Thailand.D1
M4	M4.S.INT1	92.78	crypt	Thailand.D1
M4	M4.S.INT1	97.63	crypt	Thailand.D1
M5	M5.S.INT1	581.06	villus	Thailand.D1
M5	M5.S.INT1	435.12	villus	Thailand.D1
M5	M5.S.INT1	389.43	villus	Thailand.D1
M5	M5.S.INT1	561.14	villus	Thailand.D1
M5	M5.S.INT1	615.27	villus	Thailand.D1
M5	M5.S.INT1	577.3	villus	Thailand.D1
M5	M5.S.INT1	474.66	villus	Thailand.D1
M5	M5.S.INT1	558.12	villus	Thailand.D1
M5	M5.S.INT1	591.91	villus	Thailand.D1
M5	M5.S.INT1	476.08	villus	Thailand.D1
M5	M5.S.INT1	531.57	villus	Thailand.D1
M5	M5.S.INT1	550.21	villus	Thailand.D1
M5	M5.S.INT1	395.35	villus	Thailand.D1
M5	M5.S.INT1	397.68	villus	Thailand.D1
M5	M5.S.INT1	385.62	villus	Thailand.D1
M5	M5.S.INT1	446.5	villus	Thailand.D1
M5	M5.S.INT1	497.34	villus	Thailand.D1
M5	M5.S.INT1	413.99	villus	Thailand.D1
M5	M5.S.INT1	407.51	villus	Thailand.D1
M5	M5.S.INT1	361.2	villus	Thailand.D1
M5	M5.S.INT1	383.87	villus	Thailand.D1
M5	M5.S.INT1	364.18	villus	Thailand.D1
M5	M5.S.INT1	88.71	crypt	Thailand.D1
M5	M5.S.INT1	83.2	crypt	Thailand.D1
M5	M5.S.INT1	80.95	crypt	Thailand.D1
M5	M5.S.INT1	85.02	crypt	Thailand.D1
M5	M5.S.INT1	92.09	crypt	Thailand.D1
M5	M5.S.INT1	103.84	crypt	Thailand.D1
M5	M5.S.INT1	99.31	crypt	Thailand.D1
M5	M5.S.INT1	111.55	crypt	Thailand.D1
M5	M5.S.INT1	108.91	crypt	Thailand.D1
M5	M5.S.INT1	104.89	crypt	Thailand.D1
M5	M5.S.INT1	97.65	crypt	Thailand.D1
M5	M5.S.INT1	111.04	crypt	Thailand.D1
M5	M5.S.INT1	88.4	crypt	Thailand.D1
M5	M5.S.INT1	101.25	crypt	Thailand.D1
M5	M5.S.INT1	95.18	crypt	Thailand.D1
M5	M5.S.INT1	106.16	crypt	Thailand.D1
M5	M5.S.INT1	97.26	crypt	Thailand.D1
M5	M5.S.INT1	79.31	crypt	Thailand.D1
M5	M5.S.INT1	97.53	crypt	Thailand.D1
M5	M5.S.INT1	77.56	crypt	Thailand.D1
M5	M5.S.INT1	114.21	crypt	Thailand.D1
M5	M5.S.INT1	107.29	crypt	Thailand.D1
M6	M6.S.INT1	387.19	villus	US.D1
M6	M6.S.INT1	447.27	villus	US.D1
M6	M6.S.INT1	322.71	villus	US.D1
M6	M6.S.INT1	401.19	villus	US.D1
M6	M6.S.INT1	422.09	villus	US.D1
M6	M6.S.INT1	460.19	villus	US.D1
M6	M6.S.INT1	571.28	villus	US.D1
M6	M6.S.INT1	436.38	villus	US.D1
M6	M6.S.INT1	377.04	villus	US.D1
M6	M6.S.INT1	396.2	villus	US.D1
M6	M6.S.INT1	401.21	villus	US.D1
M6	M6.S.INT1	252.19	villus	US.D1
M6	M6.S.INT1	417.61	villus	US.D1
M6	M6.S.INT1	457.96	villus	US.D1
M6	M6.S.INT1	369.37	villus	US.D1
M6	M6.S.INT1	514.1	villus	US.D1
M6	M6.S.INT1	459.09	villus	US.D1
M6	M6.S.INT1	471.67	villus	US.D1
M6	M6.S.INT1	444.93	villus	US.D1
M6	M6.S.INT1	368.47	villus	US.D1
M6	M6.S.INT1	81.29	crypt	US.D1
M6	M6.S.INT1	74.21	crypt	US.D1
M6	M6.S.INT1	77.11	crypt	US.D1
M6	M6.S.INT1	90.77	crypt	US.D1
M6	M6.S.INT1	103.57	crypt	US.D1
M6	M6.S.INT1	86.14	crypt	US.D1
M6	M6.S.INT1	117.12	crypt	US.D1
M6	M6.S.INT1	94.08	crypt	US.D1
M6	M6.S.INT1	95.52	crypt	US.D1
M6	M6.S.INT1	94.79	crypt	US.D1
M6	M6.S.INT1	74.7	crypt	US.D1
M6	M6.S.INT1	92.47	crypt	US.D1
M6	M6.S.INT1	112.93	crypt	US.D1
M6	M6.S.INT1	89.23	crypt	US.D1
M6	M6.S.INT1	66.16	crypt	US.D1
M6	M6.S.INT1	97.6	crypt	US.D1
M6	M6.S.INT1	101.85	crypt	US.D1
M6	M6.S.INT1	92.27	crypt	US.D1
M6	M6.S.INT1	97.44	crypt	US.D1
M6	M6.S.INT1	95.52	crypt	US.D1
M7	M7.S.INT1	416.22	villus	US.D1
M7	M7.S.INT1	379.07	villus	US.D1
M7	M7.S.INT1	329.2	villus	US.D1
M7	M7.S.INT1	406.63	villus	US.D1
M7	M7.S.INT1	393.34	villus	US.D1
M7	M7.S.INT1	439.34	villus	US.D1
M7	M7.S.INT1	391.68	villus	US.D1
M7	M7.S.INT1	361.19	villus	US.D1
M7	M7.S.INT1	385.49	villus	US.D1
M7	M7.S.INT1	408.01	villus	US.D1
M7	M7.S.INT1	399.89	villus	US.D1
M7	M7.S.INT1	406.95	villus	US.D1
M7	M7.S.INT1	336.18	villus	US.D1
M7	M7.S.INT1	348.58	villus	US.D1
M7	M7.S.INT1	300.43	villus	US.D1
M7	M7.S.INT1	367.18	villus	US.D1
M7	M7.S.INT1	380.64	villus	US.D1
M7	M7.S.INT1	61.71	crypt	US.D1
M7	M7.S.INT1	86.74	crypt	US.D1
M7	M7.S.INT1	75.92	crypt	US.D1
M7	M7.S.INT1	85.94	crypt	US.D1
M7	M7.S.INT1	96.31	crypt	US.D1
M7	M7.S.INT1	95.92	crypt	US.D1
M7	M7.S.INT1	65.55	crypt	US.D1
M7	M7.S.INT1	106.9	crypt	US.D1
M7	M7.S.INT1	96.04	crypt	US.D1
M7	M7.S.INT1	77.09	crypt	US.D1
M7	M7.S.INT1	83.31	crypt	US.D1
M7	M7.S.INT1	92.88	crypt	US.D1
M7	M7.S.INT1	66.36	crypt	US.D1
M7	M7.S.INT1	73.23	crypt	US.D1
M7	M7.S.INT1	79.15	crypt	US.D1
M7	M7.S.INT1	77.96	crypt	US.D1
M7	M7.S.INT1	74.64	crypt	US.D1
M10	M10.S.INT1	618.66	villus	US.D1
M10	M10.S.INT1	522.77	villus	US.D1
M10	M10.S.INT1	475.2	villus	US.D1
M10	M10.S.INT1	391.76	villus	US.D1
M10	M10.S.INT1	426.05	villus	US.D1
M10	M10.S.INT1	635	villus	US.D1
M10	M10.S.INT1	526.41	villus	US.D1
M10	M10.S.INT1	515.32	villus	US.D1
M10	M10.S.INT1	558.93	villus	US.D1
M10	M10.S.INT1	515.94	villus	US.D1
M10	M10.S.INT1	576.21	villus	US.D1
M10	M10.S.INT1	501.81	villus	US.D1
M10	M10.S.INT1	558.79	villus	US.D1
M10	M10.S.INT1	648.43	villus	US.D1
M10	M10.S.INT1	656.9	villus	US.D1
M10	M10.S.INT1	545.41	villus	US.D1
M10	M10.S.INT1	475.03	villus	US.D1
M10	M10.S.INT1	530.19	villus	US.D1
M10	M10.S.INT1	608	villus	US.D1
M10	M10.S.INT1	553.65	villus	US.D1
M10	M10.S.INT1	522.39	villus	US.D1
M10	M10.S.INT1	554.06	villus	US.D1
M10	M10.S.INT1	584.01	villus	US.D1
M10	M10.S.INT1	664.19	villus	US.D1
M10	M10.S.INT1	570.9	villus	US.D1
M10	M10.S.INT1	492.91	villus	US.D1
M10	M10.S.INT1	108.69	crypt	US.D1
M10	M10.S.INT1	90.45	crypt	US.D1
M10	M10.S.INT1	89.12	crypt	US.D1
M10	M10.S.INT1	106.49	crypt	US.D1
M10	M10.S.INT1	78.77	crypt	US.D1
M10	M10.S.INT1	139.11	crypt	US.D1
M10	M10.S.INT1	108.7	crypt	US.D1
M10	M10.S.INT1	79.31	crypt	US.D1
M10	M10.S.INT1	93.51	crypt	US.D1
M10	M10.S.INT1	95.28	crypt	US.D1
M10	M10.S.INT1	97.52	crypt	US.D1
M10	M10.S.INT1	112.7	crypt	US.D1
