Length	Sample	Cell.Population	Lymphocytes.SingleCells.Count	PKH.Count	Ratio	Beads.per.ml	Cells.per.ml	resus.vol	total.single.cell	Cells.per.inch	Percent.Live.CD45+	Count.Live.CD45+	Percent.CD3e+	Count.CD3e+	Percent.CD8aaTCRab	Count.CD8aaTCRab	Percent.CD8abTCRab	Count.CD8abTCRab	Percent.CD4TCRab	Count.CD4TCRab	Percent.TCRgd	Count.TCRgd	Mouse.ID
12.25	PKH=200000_IEL-1_034.fcs	IEL	6119	700	8.741428571	200000	1748285.714	0.5	874142.8571	71358.60058	11.1	7920.804665	2.78	1983.769096	0.43	306.8419825	0.97	692.1784257	0.5	356.7930029	1.31	934.7976676	M12
10.75	PKH=200000_IEL-2_035.fcs	IEL	6811	698	9.757879656	200000	1951575.931	0.5	975787.9656	90770.97355	2.23	2024.19271	0.88	798.7845672	0.094	85.32471513	0.42	381.2380889	0.085	77.15532751	0.17	154.310655	M15
10.75	PKH=200000_IEL-3_036.fcs	IEL	5915	699	8.462088698	200000	1692417.74	0.5	846208.8698	78717.10417	3.72	2928.276275	1.57	1235.858535	0.17	133.8190771	0.46	362.0986792	0.21	165.3059188	0.55	432.9440729	M18
12.5	PKH=200000_IEL-4_037.fcs	IEL	15907	699	22.75679542	200000	4551359.084	0.5	2275679.542	182054.3634	7.28	13253.55765	4.19	7628.077825	0.67	1219.764235	2.08	3786.730758	0.44	801.0391989	0.67	1219.764235	M19
12.25	PKH=200000_LP-1_038.fcs	LPL	34972	699	50.03147353	200000	10006294.71	0.5	5003147.353	408420.1921	16.4	66980.91151	4.24	17317.01615	0.086	351.2413652	0.53	2164.627018	1.9	7759.98365	0.17	694.3143266	M12
10.75	PKH=200000_LP-2_039.fcs	LPL	61997	699	88.69384835	200000	17738769.67	0.5	8869384.835	825059.0545	5.97	49256.02555	1.57	12953.42716	0.015	123.7588582	0.11	907.5649599	0.53	4372.812989	0.049	404.2789367	M15
10.75	PKH=200000_LP-3_040.fcs	LPL	20758	700	29.65428571	200000	5930857.143	0.5	2965428.571	275853.8206	9.58	26426.79601	3.06	8441.12691	0.048	132.4098339	0.17	468.951495	1.33	3668.855814	0.14	386.1953488	M18
12.5	PKH=200000_LP-4_041.fcs	LPL	50438	699	72.15736767	200000	14431473.53	0.5	7215736.767	577258.9413	16.8	96979.50215	4.73	27304.34793	0.036	207.8132189	0.19	1096.791989	1.86	10737.01631	0.16	923.6143062	M19
11	PKH=197500_IEL-1_025.fcs	IEL	4359	702	6.209401709	197500	1226356.838	0.5	613178.4188	55743.49262	17	9476.393745	9.41	5245.462655	0.64	356.7583528	0.79	440.3735917	1.84	1025.680264	3.02	1683.453477	M11
10.25	PKH=197500_IEL-2_026.fcs	IEL	3056	700	4.365714286	197500	862228.5714	0.5	431114.2857	42059.93031	12.6	5299.55122	7.3	3070.374913	0.21	88.32585366	0.34	143.0037631	2.07	870.6405575	0.7	294.4195122	M13
11.25	PKH=197500_IEL-3_027.fcs	IEL	3647	701	5.20256776	197500	1027507.133	0.5	513753.5663	45666.98367	7.11	3246.922539	4.52	2064.147662	0.36	164.4011412	0.23	105.0340625	0.68	310.535489	1.66	758.071929	M14
10.75	PKH=197500_IEL-4_028.fcs	IEL	5569	702	7.933048433	197500	1566777.066	0.5	783388.5328	72873.35188	13.4	9765.029153	7.37	5370.766034	0.79	575.6994799	0.26	189.4707149	1.28	932.7789041	2.18	1588.639071	M16
10.25	PKH=197500_IEL-5_029.fcs	IEL	5613	703	7.984352774	197500	1576909.673	0.5	788454.8364	76922.42306	15	11538.36346	10.1	7769.16473	1.03	792.3009576	0.79	607.6871422	1	769.2242306	6.05	4653.806595	M17
12.25	PKH=197500_IEL-6_030.fcs	IEL	9399	705	13.33191489	197500	2633053.191	0.5	1316526.596	107471.5588	15.3	16443.1485	11.2	12036.81459	2.01	2160.178333	0.86	924.255406	1.07	1149.94568	5.72	6147.373165	M20
11	PKH=197500_LP-1_031.fcs	LPL	48957	704	69.54119318	197500	13734385.65	0.5	6867192.827	624290.257	23.5	146708.2104	4	24971.61028	0.061	380.8170568	0.65	4057.88667	2.31	14421.10494	0.45	2809.306156	M11
10.25	PKH=197500_LP-2_032.fcs	LPL	14872	702	21.18518519	197500	4184074.074	0.5	2092037.037	204101.1743	20.3	41432.53839	2.39	4878.018067	0.026	53.06630533	0.29	591.8934056	1.57	3204.388437	0.19	387.7922313	M13
11.25	PKH=197500_LP-3_033.fcs	LPL	14648	701	20.89586305	197500	4126932.953	0.5	2063466.476	183419.2424	22.9	42003.0065	2.89	5300.816104	0.036	66.03092725	0.21	385.1804089	1.45	2659.579014	0.23	421.8642574	M14
