Length	Sample	Cell.Population	Lymphocytes.SingleCells.Count	PKH.Count	Ratio	Beads.per.ml	Cells.per.ml	resus.vol	total.single.cell	Cells.per.inch	Percent.Live.CD45+	Count.Live.CD45+	Percent.CD3e+	Count.CD3e+	Percent.CD8aaTCRab	Count.CD8aaTCRab	Percent.CD8abTCRab	Count.CD8abTCRab	Percent.CD4TCRab	Count.CD4TCRab	Percent.TCRgd	Count.TCRgd	Mouse.ID
10.75	PKH=197500_LP-4_034.fcs	LPL	12594	702	17.94017094	197500	3543183.761	0.5	1771591.88	164799.2447	13.8	22742.29577	8.08	13315.77897	0.076	125.247426	0.17	280.158716	2.33	3839.822401	0.27	444.9579606	M16
10.25	PKH=197500_LP-5_035.fcs	LPL	30520	704	43.35227273	197500	8562073.864	0.5	4281036.932	417662.1397	20.9	87291.3872	11.4	47613.48392	0.21	877.0904933	0.52	2171.843126	1.87	7810.282012	1.98	8269.710366	M17
12.25	PKH=197500_LP-6_036.fcs	LPL	49606	710	69.86760563	197500	13798852.11	0.5	6899426.056	563218.4536	30.5	171781.6283	16.1	90678.17103	0.51	2872.414113	0.62	3491.954412	3.01	16952.87545	2.01	11320.69092	M20
11.8	IEL PKH=150000_a1_025.fcs	IEL	799	701	1.139800285	150000	170970.0428	0.25	42742.5107	3622.246669	27.2	985.2510941	12.8	463.6475737	1.08	39.12026403	0.74	26.80462535	2.32	84.03612273	4.44	160.8277521	M1
10.8	IEL PKH=150000_a2_026.fcs	IEL	1786	701	2.547788873	150000	382168.331	0.25	95542.08274	8846.489142	31.4	2777.797591	9.17	811.2230544	0.96	84.92629577	0.33	29.19341417	1.19	105.2732208	3.99	352.9749168	M2
11	IEL PKH=150000_a8_027.fcs	IEL	17178	701	24.50499287	150000	3675748.93	0.25	918937.2325	83539.74841	25.3	21135.55635	17.8	14870.07522	2.96	2472.776553	0.49	409.3447672	0.33	275.6811698	11.6	9690.610816	M8
10.5	IEL PKH=150000_a9_028.fcs	IEL	14326	700	20.46571429	150000	3069857.143	0.25	767464.2857	73091.83673	21.2	15495.46939	9.97	7287.256122	1.22	891.7204082	0.17	124.2561224	0.2	146.1836735	6.85	5006.790816	M9
11.8	LPL PKH=150000_a1_029.fcs	LPL	6562	700	9.374285714	150000	1406142.857	0.25	351535.7143	29791.16223	40	11916.46489	11.4	3396.192494	0.27	80.43613801	0.55	163.8513923	1.75	521.345339	2.24	667.3220339	M1
10.8	LPL PKH=150000_a2_030.fcs	LPL	6599	700	9.427142857	150000	1414071.429	0.25	353517.8571	32733.13492	30.6	10016.33929	10.1	3306.046627	0.096	31.42380952	0.61	199.672123	1.77	579.3764881	1.92	628.4761905	M2
11	LPL PKH=150000_a8_031.fcs	LPL	20083	701	28.64907275	150000	4297360.913	0.25	1074340.228	97667.29348	49.6	48442.97756	13.4	13087.41733	0.45	439.5028206	1.02	996.2063935	1.92	1875.212035	2.11	2060.779892	M8
10.5	LPL PKH=150000_a9_032.fcs	LPL	19065	700	27.23571429	150000	4085357.143	0.25	1021339.286	97270.40816	31.8	30931.9898	10.6	10310.66327	0.96	933.7959184	0.35	340.4464286	0.6	583.622449	1.63	1585.507653	M9
11.5	SI-IEL Beads=170000_a3_029.fcs	IEL	5207	700	7.438571429	170000	1264557.143	0.25	316139.2857	27490.37267	20.3	5580.545652	5.79	1591.692578	0.2	54.98074534	0.26	71.47496894	1.29	354.6258075	0.67	184.1854969	M3
11.5	SI-IEL Beads=170000_a4_030.fcs	IEL	10123	705	14.35886525	170000	2441007.092	0.25	610251.773	53065.37157	10.3	5465.733272	2.8	1485.830404	0.17	90.21113167	0.11	58.37190873	0.46	244.1007092	0.59	313.0856923	M4
11.5	SI-IEL Beads=170000_a5_031.fcs	IEL	3796	700	5.422857143	170000	921885.7143	0.25	230471.4286	20040.99379	16.9	3386.92795	5.24	1050.148075	0.3	60.12298137	0.19	38.0778882	0.83	166.3402484	1.14	228.4673292	M5
11.5	SI-IEL Beads=170000_a6_032.fcs	IEL	20650	700	29.5	170000	5015000	0.25	1253750	109021.7391	10.5	11447.28261	5.06	5516.5	0.68	741.3478261	0.26	283.4565217	0.42	457.8913043	2.48	2703.73913	M6
11.5	SI-IEL Beads=170000_a7_033.fcs	IEL	23833	706	33.75779037	170000	5738824.363	0.25	1434706.091	124757.0514	15.1	18838.31476	7.97	9943.136993	1.01	1260.046219	0.47	586.3581414	0.8	998.0564109	4.31	5377.028914	M7
11.5	SI-IEL Beads=170000_a10_034.fcs	IEL	54758	713	76.79943899	170000	13055904.63	0.25	3263976.157	283824.0137	12.2	34626.52967	8.21	23301.95152	1.55	4399.272212	0.36	1021.766449	0.24	681.1776328	4.69	13311.34624	M10
11.5	SI-LP Beads=170000_a3_035.fcs	LPL	18074	700	25.82	170000	4389400	0.25	1097350	95421.73913	43.4	41413.03478	11.5	10973.5	0.23	219.47	1.18	1125.976522	3.69	3521.062174	0.82	782.4582609	M3
11.5	SI-LP Beads=170000_a4_036.fcs	LPL	8901	701	12.69757489	170000	2158587.732	0.25	539646.933	46925.82026	49.8	23369.05849	12.9	6053.430813	0.17	79.77389444	0.84	394.1768902	3.77	1769.103424	0.71	333.1733238	M4
11.5	SI-LP Beads=170000_a5_037.fcs	LPL	8353	700	11.93285714	170000	2028585.714	0.25	507146.4286	44099.68944	45.3	19977.15932	11.1	4895.065528	0.13	57.32959627	0.75	330.7476708	3.03	1336.22059	0.48	211.6785093	M5
11.5	SI-LP Beads=170000_a6_038.fcs	LPL	21815	706	30.89943343	170000	5252903.683	0.25	1313225.921	114193.5583	42.7	48760.6494	10.3	11761.93651	0.37	422.5161658	0.64	730.8387732	3.18	3631.355155	1.48	1690.064663	M6
11.5	SI-LP Beads=170000_a7_039.fcs	LPL	17424	703	24.78520626	170000	4213485.064	0.25	1053371.266	91597.50139	46.3	42409.64314	13.8	12640.45519	0.56	512.9460078	1.35	1236.566269	4.8	4396.680067	2.76	2528.091038	M7
11.5	SI-LP Beads=170000_a10_040.fcs	LPL	18072	702	25.74358974	170000	4376410.256	0.25	1094102.564	95139.3534	28.8	27400.13378	9.07	8629.139353	0.85	808.6845039	0.52	494.7246377	2.58	2454.595318	1.82	1731.536232	M10
