# Constructed from biom file
#OTU ID	IMP000.L.T26	IMP000.L.T20	CS.318	T.CS.145	L.007.M5	CS.174	CS.259	CS.222	CS.042	CS.350	CS.064	CS.351	CS.005	CS.188	CS.106	IMP000.L.T17	T.CS.061	L.006.M1	CS.297	CS.296	L.025.M1	CS.300	L.012.M1	L.007.M2	CS.135	T.CS.007	L.005.M1	L.006.M5	T.CS.147	IMP000.L.T36	CS.322	CS.086	CS.341	CS.142	CS.140	L.005.M6	CS.055	CS.155	CS.087	IMP000.L.T09	IMP000.L.T04	CS.194	L.007.M6	CS.118	L.025.M3	CS.137	T.CS.045	L.025.M5	T.CS.043	CS.160	CS.117	L.005.M2	T.CS.004	CS.283	IMP000.L.T38	CS.043	CS.130	T.CS.084	L.005.M5	T.CS.047	L.008.M6	IMP000.L.T29	CS.365	T.CS.136	T.CS.065	T.CS.141	CS.275	T.CS.096	IMP000.L.T05	CS.198	CS.094	CS.063	L.012.M2	L.011.M1	CS.293	CS.153	T.CS.089	T.CS.151	T.CS.049	IMP000.L.T06	CS.044	CS.319	T.CS.023	IMP000.L.T40	CS.260	L.006.M2	T.CS.140	CS.339	CS.302	CS.045	CS.358	T.CS.143	CS.151	IMP000.L.T28	CS.335	CS.239	CS.241	T.CS.042	IMP000.L.T02	CS.343	L.006.M3	CS.083	T.CS.051	CS.006	L.006.M4	T.CS.142	L.012.M6	CS.167	L.005.M3	CS.227	CS.141	CS.071	CS.325	IMP000.L.T03	CS.308.0	T.CS.069	IMP000.L.T39	CS.123	CS.008	T.CS.139	L.004.M6	L.005.M4	CS.203	T.CS.138	L.006.M6	CS.298	T.CS.020	L.008.M2	CS.285	CS.109	T.CS.095	CS.240	T.CS.003	CS.033	IMP000.L.T37	CS.345.0	T.CS.067	CS.156	CS.060	CS.356	IMP000.L.T18	T.CS.090	CS.105	T.CS.008	CS.085	CS.199	T.CS.146	CS.093	T.CS.009	CS.110	T.CS.150	CS.172	CS.380	CS.041	CS.334	CS.231	CS.011	CS.007	CS.379	CS.224	CS.200	L.007.M4	CS.294	T.CS.071	L.008.M3	T.CS.133	CS.382	CS.158	CS.017	CS.175	T.CS.144	CS.091	T.CS.094	T.CS.097	CS.357	CS.025	CS.196	CS.248	CS.067	CS.090	CS.133	CS.039	CS.068	CS.022	CS.193	IMP000.L.T27	IMP000.L.T19	L.025.M4	IMP000.L.T10	CS.269	CS.097	CS.036	CS.165	L.012.M5	CS.360	CS.096	CS.143	CS.163	T.CS.148	CS.170	CS.056	CS.075	CS.059	CS.230	L.012.M3	L.007.M1	T.CS.073	CS.024	L.004.M2	L.025.M6	CS.332	CS.362	L.025.M2	CS.124	T.CS.013	L.012.M4	CS.122	CS.388	CS.205	CS.103	CS.190	CS.079	CS.139	L.008.M1	CS.159	CS.002	T.CS.134	CS.113	CS.132	CS.282	CS.295	CS.333	CS.120	T.CS.018	CS.136	CS.070	CS.082	CS.077	CS.023	CS.217	CS.013	CS.052	CS.057	CS.321	CS.131	CS.366	L.008.M5	CS.286	T.CS.030	CS.018	CS.112	CS.305	CS.092	CS.168	T.CS.081	CS.346	T.CS.098	CS.095	CS.020	CS.065	CS.301	CS.040	CS.029	CS.290	CS.191	L.004.M4	CS.111	CS.101	T.CS.100	CS.138	CS.072	CS.051	T.CS.135	T.CS.092	CS.084	L.004.M1	T.CS.099	CS.108	CS.220	T.CS.087	L.004.M5	CS.173	CS.019	CS.035	CS.161	CS.292	CS.076	CS.164	CS.328	CS.012	CS.047	CS.176	CS.232	CS.238	CS.237	CS.099	CS.228	CS.078	T.CS.070	CS.016	CS.046	T.CS.093	T.CS.014	CS.015	CS.249	CS.053	CS.154	CS.119	CS.038	CS.233	CS.074	L.008.M4	CS.274	CS.284	CS.098	CS.032	CS.014	CS.009	T.CS.088	CS.037	CS.102	IMP000.L.T30	CS.004	CS.235	CS.229	T.CS.137	CS.219	CS.171	L.004.M3	CS.062	CS.061	CS.115	CS.021	CS.218	CS.236	CS.347.0	CS.049	CS.311	CS.030	CS.028	CS.089	CS.169	CS.312	CS.058	CS.066	CS.213	CS.088	CS.247	CS.001	CS.114	CS.050	CS.104	CS.080	CS.026	CS.251	CS.027	T.CS.149	CS.031	CS.003
k__Archaea;p__Euryarchaeota	2.63818703787e-05	0.0	0.0	0.000226105670349	0.0294537861303	0.00250004771083	0.000152146791224	0.0	0.0	0.0	0.00591911543777	0.0	0.00211355279539	0.0	0.000134440224515	0.0	0.0	0.0	1.40662803128e-05	0.000230352019768	0.0	0.0	0.0	0.010636377522	0.0	0.0	0.0	0.000812724950656	0.00864115215362	0.0	1.9105846389e-05	0.0	0.0	0.000330978112274	0.0	0.0	0.0	0.0178128660308	0.0	0.0	0.0	0.0	0.0177004053305	0.0	0.0	0.0	8.51643672288e-05	0.0	0.0	0.0	0.0	0.0	4.44141770053e-05	0.0	0.0	8.41149009547e-05	0.0038273381295	1.54686219005e-05	0.0	0.00112464600751	0.0	1.40482980487e-05	0.0	1.2706480305e-05	0.00081516201345	0.0	0.0	0.0170111897375	0.0	0.0	0.0	3.19866935355e-05	0.0	0.0026238981102	8.879530146e-05	0.0	0.000276434001382	0.0	0.0	0.0	0.0	0.0	1.1745636496e-05	0.0	0.000245007962759	0.0774133213259	0.0	2.04352712782e-05	0.0	0.0	0.0	0.0	0.00690106908087	0.0	0.0	0.000121275821644	0.0358663801524	0.00453808192705	0.0	0.0	0.010513842913	0.00657238858324	0.000265674814028	0.000154392465648	0.0	0.0	0.0	6.42549636959e-05	0.0	0.0	0.0100517250573	0.000291707549922	0.0	0.0	0.0	0.0	0.0	6.02845430432e-05	3.16876861652e-05	0.00218995863411	0.0157828497568	2.92808620286e-05	0.0	0.010251305426	0.0429355811615	0.0255897365154	0.0415395504357	0.0	0.0	0.0446523173796	0.00613270922724	0.000190724434979	0.00121476615751	0.00118277096954	0.0	0.0	9.82294147983e-05	0.0	3.13961885027e-05	2.55176901387e-05	0.0	0.0	0.00249571049758	1.4880952381e-05	0.00178630017134	0.0	0.0	0.0	0.00432580112699	0.0	0.00912670368501	3.40020401224e-05	1.33643385989e-05	0.0	0.0	0.0	0.137704918033	0.00111617312073	0.0	0.0	0.00105538834382	0.0108782961926	0.0	0.0	0.0	0.0565585909191	0.0	0.0	0.0	0.0	0.0	0.000132546888462	0.000453124291993	0.00407238783775	0.0	0.000381791483113	0.0	7.27166957533e-05	0.0	0.000624317153114	2.94446734586e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.44101639239e-05	0.00434115611842	0.0	0.00124116669669	0.000105552037154	0.0	0.00168507770081	0.0245320681575	0.0	0.0	0.0001418218434	2.63671360017e-05	0.0352613197721	0.000345879319561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000151440578503	0.0	0.0	8.14232789154e-05	0.000107434464976	0.0	0.0	0.0	0.018540433925	0.0	0.00192630989073	0.0	0.0	0.0	0.0	0.0	0.000508359692725	0.0	0.0	0.0	0.00242747542556	0.0003159003159	0.00022040302267	0.00082069463594	0.0021420225886	0.000333320988112	0.000487289856249	0.000564106696752	0.000378744839602	0.0	0.0	0.0	0.0	3.85862015743e-05	0.0	0.00305267068306	0.0136469743221	0.000706904096678	0.0	0.0	0.00101214574899	0.0	0.0	0.0	0.000429479470881	0.000484362026017	2.81396853983e-05	0.0	0.00329456775878	0.0113741995455	0.000165508109897	0.00123347338396	0.0	0.0	0.00121110490032	0.0	0.0	0.000233531186144	0.00345180950326	0.00294092392238	0.000643725022128	0.0594208211144	0.0	0.0	0.00283562410822	0.0	0.0	0.00386288781361	0.0	0.000834525512637	6.4603656567e-05	0.0	0.0	0.0206069557267	5.51450314327e-05	0.0	0.00228028858734	3.15109500551e-05	0.0	0.000764928048955	0.0	0.0	0.0	0.000230361667818	0.0129561244289	0.0	2.1492434663e-05	0.0	0.0	0.000145298151808	0.0	0.0	0.0	0.00272468483123	0.000111045306485	0.0	1.97683153442e-05	0.0	0.00674149949275	0.000673530260752	0.0042259990813	0.0	1.72419738612e-05	0.0	5.97175360545e-05	0.0	0.0	0.00113898819882	0.0	0.0338279569892	0.0110122663322	3.90640259385e-05	0.019506278071	0.000253656886784	0.0	0.0	0.0	0.000375579017652	0.0	0.000283527076836	0.0	0.0	0.00515669971218	0.000533536585366	0.000149131310119	3.4815304808e-05	3.49101064758e-05	3.53406841956e-05	4.01961572474e-05	0.0	0.0	0.00186807256424	0.0649603439761	0.0	3.32546307073e-05	0.0	6.05290236668e-05	0.000173902962147	0.0	0.000341052487978	6.7732321864e-05	0.0195716742223	0.00108225108225
k__Archaea;p__Thaumarchaeota	0.0	0.0	1.42602495544e-05	0.0	7.85015621811e-05	0.0	3.04293582448e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08276924999e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96713893628e-05	1.53400113516e-05	0.0	0.0	0.0	0.0	2.91979327864e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46397880159e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10861474554e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81650471765e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.70073812034e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27588450693e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.84592179407e-05	0.0	0.0	0.0	0.0	0.0	3.29196431511e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78686298335e-05	0.0	4.68940507081e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.28601472135e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03830299758e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94609321787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69911985591e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03483639915e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;Other	0.00056121433351	0.000974005237274	0.000199643493761	6.2655788169e-05	0.000345406873597	0.000248096337716	0.000426011015428	0.00383260071929	0.00181297363936	0.000474554822381	6.00925425155e-05	0.000383383081852	0.000810677784533	0.000560311689666	0.000470540785803	0.00216373186807	0.00065762849049	0.0241459990641	0.00116750126597	0.000565409503068	0.00633063822467	0.000529941706412	0.000458209234999	0.000152741713762	0.0	0.000189288949582	0.000166520960826	0.00454738960486	0.000986798239765	0.000618472902052	3.8211692778e-05	3.05866519851e-05	5.98200612557e-05	0.000431710581226	4.10987053908e-05	0.000545530843475	0.000270068140269	0.000182540044722	3.0105973025e-05	0.00142422668941	0.0023777017595	5.20969002344e-05	0.000160382585367	0.000442298477756	0.00213403219768	2.91979327864e-05	0.000404530744337	0.020678025237	0.00066128260686	6.59391381755e-05	5.55478405777e-05	0.000377918369632	0.000681017380748	0.0	0.00192833038727	4.20574504774e-05	0.0	0.000201092084706	0.000311157208475	0.000189699326567	0.00141711879504	0.000716463200483	0.000418225841955	0.000520965692503	0.00075958278526	3.94174106703e-05	9.11173591586e-05	0.00139435981455	0.0024887639627	0.000668829690346	2.93944738389e-05	0.0	0.000639042969249	0.000294820012382	0.000126850430657	3.64166059723e-05	5.9235857439e-05	0.000264048957783	0.000149517466359	0.000906704340583	0.000100505037815	0.000275010312887	0.000199675820433	0.00306082406802	0.000122503981379	5.1955249212e-05	0.000336469400696	0.000143046898948	0.000226806092728	0.000700973115619	6.93084746937e-05	0.0010571646223	0.000116967272557	0.000585181689476	0.000112518284221	4.04252738812e-05	3.90701308849e-05	0.000534906995203	0.000923361034164	6.44878375938e-05	0.00684622329221	0.000221541188199	0.000324713661589	2.57320776079e-05	0.00101609789377	0.00303534710663	0.000253485424588	9.63824455439e-05	0.000365694383979	7.3235929547e-05	0.000479923212286	0.000159113209048	0.0	0.00121355913715	6.57181349193e-05	0.000411697350985	0.00158807720498	6.02845430432e-05	0.000665441409468	0.00147349068592	0.000629273104527	0.000278168189271	0.00049688491381	0.03646460942	0.000154667079112	0.0	4.88126327093e-05	0.00023619342094	2.93496125851e-05	3.02727575455e-05	0.0068478307979	6.35748116596e-05	0.000359930713338	0.000197128494924	0.00195800896438	6.31751847874e-05	4.91147073991e-05	0.0	9.41885655081e-05	6.37942253467e-05	0.000732296243518	3.41705108491e-05	6.68493883281e-05	0.000580357142857	0.000619736794138	0.0	0.00095505510668	0.000681492109039	0.000256132961466	3.3456005353e-05	8.07672892479e-05	0.000510030601836	0.000347472803571	6.623393827e-05	4.93794647266e-05	9.55992479526e-05	0.0	9.11161731207e-05	0.000146692093296	0.000112831159453	0.00117265371536	0.000298349895578	0.0	0.000554573945342	8.87915470447e-05	4.72634464505e-05	0.000410226357043	0.0	0.000272352346121	0.0	0.018197221879	0.000198820332693	9.06248583987e-05	0.00180740808529	3.04478884389e-05	5.87371512482e-05	0.000121008403361	0.00010907504363	3.15089643003e-05	6.24317153114e-05	0.000147223367293	0.00102319236016	7.82513433147e-05	0.00019425019425	5.36058895004e-05	0.00116605399423	0.00164129177478	0.0061207182626	0.00152425692475	0.000483714930668	9.09614626603e-05	6.9319284625e-05	5.6288874504e-05	0.000217718312089	0.000558622502629	0.000128820327848	9.79208147012e-05	0.000101698362656	0.0010609973375	5.27760185772e-05	0.000198894148534	9.36154278225e-05	0.000376081233546	0.000676189671203	0.000349560718697	0.000269461502461	0.000197753520013	0.00036762453281	0.000345879319561	0.00084579919732	0.000217917985925	3.14534645991e-05	0.00470489744663	0.0	0.000207660599516	0.00150329961526	0.00601976299549	1.26136807982e-05	0.000478867374558	8.14232789154e-05	0.000308874086807	7.59330270701e-05	0.000257223698877	8.24725263397e-05	0.000878608570916	0.000452710604746	0.000192630989073	0.000395726157499	0.0004716345506	4.32575844965e-05	0.00024904775857	3.91916077704e-05	0.000112968820606	0.000630390555603	0.000183405472819	7.218392464e-05	0.0002097818269	0.0002106002106	0.000314861460957	6.56555708752e-05	0.000486823315591	0.00892559534832	0.0144562657354	6.04400032235e-05	0.00265121387721	0.000204019177803	0.000843868669032	6.73060743732e-05	0.000243954502485	7.71724031486e-05	2.43019271428e-05	0.000694522959637	0.000583587717723	0.000168310499209	0.000670665822125	0.00143332341726	0.00180211316283	7.11060546806e-05	0.0	0.000142500890631	0.000395121113211	0.000691945751453	0.0	0.000124199602561	0.000607293596089	0.000116195001033	0.00642171466402	0.000231276259492	0.000117010384672	0.000189025707496	0.000139742873113	8.95495656846e-05	4.14370364232e-05	0.000155687457429	0.0	0.000150266185815	0.000187753131454	0.0	7.76216719708e-05	7.80990686686e-05	0.000577961601676	0.000948541617263	5.92873658623e-05	0.000487943723824	6.68002672011e-05	3.97393101256e-05	3.23018282835e-05	0.0	1.69911985591e-05	0.000738474522629	0.0	0.0	0.000149527120481	9.45328501654e-05	7.29980290532e-05	0.000239040015299	0.000164684957676	0.0	0.000372593665908	0.000115180833909	6.25899730863e-05	0.000488360735797	0.000257909215956	0.0	0.000112968820606	0.000348715564338	9.10166560481e-05	0.0039627596085	0.00149462867819	0.0	0.000296120817293	0.000463915134458	0.000138378207409	0.0	0.000130902902772	0.0	9.18695452458e-05	2.500250025e-05	0.000224145660195	0.00920576944579	0.0	0.00105835477712	0.000582556591212	9.49156832347e-05	3.30567584543e-05	6.45161290323e-05	0.000156758239605	0.000117192077816	0.000229485624365	0.0117809531862	6.40758658251e-05	0.0	8.05477245268e-05	0.00146058506865	0.00010631511801	0.00102778565353	0.0	8.51679938679e-05	7.9948832747e-05	0.0163490853659	0.0	0.00156668871636	0.000104730319427	0.000106022052587	4.01961572474e-05	0.000134129166387	0.0	4.15127236498e-05	0.0	0.000160700654855	0.000133018522829	0.0	0.0	0.000231870616196	3.96982929734e-05	0.000272841990382	0.00033866160932	0.0	0.00147579693034
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87195806814e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47597118904e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44682205536e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33040479131e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.80613000524e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.159332106976	0.0723478316408	0.0601354723708	0.084732418922	0.0545585857159	0.0690662035535	0.0392843014941	0.0289533912159	0.179158055042	0.0671382084426	0.183041884502	0.0588493030643	0.123425692695	0.0815318660985	0.0980405337277	0.0761719028029	0.0452583299609	0.0293557947278	0.0289484048838	0.0537767260696	0.0614140719078	0.0469321545362	0.0591714743924	0.0867434078065	0.0240310536921	0.105569151309	0.0493040811512	0.035198730601	0.0545406054141	0.159424643495	0.095433702713	0.16795130605	0.0196329441041	0.0251399461801	0.0847455305158	0.0273604699958	0.0824954296161	0.0808043931304	0.125361271676	0.0849640234404	0.0395618892758	0.0799036207346	0.0469483568075	0.182742987726	0.0500935979034	0.204411807644	0.0374510304888	0.0651508984125	0.0461772237386	0.108173156177	0.0826829606999	0.0477016964336	0.0678352530128	0.0228183895987	0.0335136679344	0.0672498633133	0.137410071942	0.0364131359537	0.0297229219144	0.0586306418612	0.0560571706211	0.178680302881	0.0905128769536	0.0521473951715	0.0328473238602	0.0252074341237	0.068207851713	0.0891344511451	0.0467594829227	0.0365010245902	0.0928277483833	0.172952051946	0.114542061808	0.198856098352	0.0255349916913	0.0833211944647	0.0334485141672	0.0391879717934	0.0260024466494	0.0744235574439	0.0538455740094	0.0530894908559	0.0404872090019	0.086173969915	0.043162236106	0.1725087458	0.0503798221889	0.0779809951977	0.11811822566	0.109186871186	0.0394018678634	0.0403432675715	0.0914216202307	0.15667767815	0.00737619863228	0.0919674980798	0.087946864622	0.053525209649	0.103068502683	0.145239507829	0.128705236232	0.184617656833	0.0365745660645	0.212932942206	0.0320941777591	0.0278636471724	0.0983805097874	0.27591081411	0.0752459730083	0.0963052473544	0.0637764624327	0.138587605081	0.0297321932376	0.0766996645668	0.0718299214668	0.047744027172	0.083696904122	0.185646250301	0.121775777933	0.0298618433504	0.011616041362	0.0853829936753	0.0413178916791	0.0358359092576	0.0904029077411	0.194371637467	0.100212334952	0.0473889890922	0.151590749002	0.343807707444	0.0322454817319	0.0647191582695	0.0386363125098	0.213752997996	0.0286152394433	0.213216248658	0.0589130915253	0.228568328149	0.0275344573169	0.0491725888973	0.107350670942	0.019921407825	0.0803306816409	0.0219047619048	0.142940468813	0.319962795024	0.060474089355	0.0796987087518	0.0181000626103	0.0290732686517	0.0829076224129	0.114144848691	0.0512388741881	0.0202013511723	0.00668268755967	0.123131831363	0.268575031526	0.109726651481	0.0512181085747	0.0450421988536	0.0863073134503	0.0604043788585	0.576257841002	0.0414511781472	0.407523603753	0.0945584018653	0.101970551608	0.0562810179156	0.0409695743522	0.367915987688	0.0302345694265	0.126482868315	0.0625462564381	0.0425312864627	0.103949091131	0.155124816446	0.0230050420168	0.0818426410704	0.00541954185966	0.0389573903543	0.134709381073	0.0369713506139	0.2190776775	0.126107226107	0.110982059896	0.180145460295	0.110873167224	0.0628848493787	0.0528492359975	0.116131892938	0.271247081653	0.120442257036	0.102699051532	0.0627226664555	0.0289169295478	0.0911403819523	0.0770636811698	0.32784162175	0.0303084899806	0.281454507072	0.0626516567883	0.0522062035824	0.104926664159	0.126413659031	0.0365873552236	0.0630114450228	0.0360438749143	0.0762514551804	0.0485174354621	0.0269328999303	0.0636192331851	0.161922435756	0.0497279196316	0.0316832987518	0.0317305396061	0.018447269855	0.0904478855109	0.0508962020207	0.0984801165938	0.103244717665	0.0299607864203	0.0865256843464	0.0611906599217	0.139131151935	0.0890442890443	0.0215037537254	0.0325196133371	0.0679126967216	0.0684880743835	0.0753114546084	0.0682537357164	0.111683018276	0.0673011748757	0.0305882690048	0.0877044971022	0.0403147219114	0.168035243347	0.23689013689	0.147858942065	0.0802639353949	0.0971050240166	0.135587570831	0.0303744010396	0.172395035861	0.0553346210658	0.0883403039886	0.0446000218781	0.0510516574121	0.0376299820084	0.306413026702	0.0221876594814	0.0612795374154	0.274465792781	0.0926717608644	0.0460523864526	0.208318684588	0.0302656265429	0.114729619227	0.03044683062	0.22296639354	0.109311114929	0.0548367008027	0.172833947716	0.0587188120998	0.0284365226369	0.0840089857467	0.146077457795	0.0774004548433	0.0312417727073	0.143916072586	0.100638159121	0.0151040267455	0.156190002624	0.0365476306315	0.0462218866296	0.0591190108192	0.026821875922	0.495051319648	0.0502600326011	0.052560673214	0.0343887152997	0.0990751719232	0.173178395684	0.0574147115033	0.206446225785	0.0559132093467	0.159474126236	0.0116331834495	0.0501580181466	0.159053345993	0.24594684019	0.162957729895	0.0850435497738	0.0773908933354	0.148149499964	0.117273031505	0.0370211784856	0.099077924426	0.0600703788036	0.0688493434692	0.0511360080115	0.0273888979326	0.131619669876	0.217874160507	0.101596625998	0.0747413692898	0.0351627681199	0.0756266412032	0.0572940993305	0.203131354209	0.0870595202843	0.0528553976526	0.0591467995097	0.16658521487	0.0391399679288	0.397767728279	0.118603582912	0.148114811481	0.0110865891927	0.0398792441579	0.10943238482	0.108823773554	0.0336218375499	0.137659379251	0.0424118210968	0.0516129032258	0.105890190853	0.0750810578538	0.169524309084	0.115695724472	0.104315509563	0.0607069310841	0.121331722379	0.0567124316655	0.168987880077	0.0611000850581	0.392607392607	0.105650896393	0.113567316917	0.0347179878049	0.0885094325554	0.0925390801796	0.106336184325	0.0739327113373	0.0599726666131	0.138957816377	0.0665741441669	0.0223753580472	0.149153133262	0.0597404684424	0.205380599248	0.238365686191	0.136311361298	0.0689815083184	0.16728860659	0.0594113434058	0.174817122731	0.240800375176	0.101485635577
