	IMP000.L.T26	IMP000.L.T20	CS.318	T.CS.145	L.007.M5	CS.174	CS.259	CS.222	CS.042	CS.350	CS.064	CS.351	CS.005	CS.188	CS.106	IMP000.L.T17	T.CS.061	L.006.M1	CS.297	CS.296	L.025.M1	CS.300	L.012.M1	L.007.M2	CS.135	T.CS.007	L.005.M1	L.006.M5	T.CS.147	IMP000.L.T36	CS.322	CS.086	CS.341	CS.142	CS.140	L.005.M6	CS.055	CS.155	CS.087	IMP000.L.T09	IMP000.L.T04	CS.194	L.007.M6	CS.118	L.025.M3	CS.137	T.CS.045	L.025.M5	T.CS.043	CS.160	CS.117	L.005.M2	T.CS.004	CS.283	IMP000.L.T38	CS.043	CS.130	T.CS.084	L.005.M5	T.CS.047	L.008.M6	IMP000.L.T29	CS.365	T.CS.136	T.CS.065	T.CS.141	CS.275	T.CS.096	IMP000.L.T05	CS.198	CS.094	CS.063	L.012.M2	L.011.M1	CS.293	CS.153	T.CS.089	T.CS.151	T.CS.049	IMP000.L.T06	CS.044	CS.319	T.CS.023	IMP000.L.T40	CS.260	L.006.M2	T.CS.140	CS.339	CS.302	CS.045	CS.358	T.CS.143	CS.151	IMP000.L.T28	CS.335	CS.239	CS.241	T.CS.042	IMP000.L.T02	CS.343	L.006.M3	CS.083	T.CS.051	CS.006	L.006.M4	T.CS.142	L.012.M6	CS.167	L.005.M3	CS.227	CS.141	CS.071	CS.325	IMP000.L.T03	CS.308.0	T.CS.069	IMP000.L.T39	CS.123	CS.008	T.CS.139	L.004.M6	L.005.M4	CS.203	T.CS.138	L.006.M6	CS.298	T.CS.020	L.008.M2	CS.285	CS.109	T.CS.095	CS.240	T.CS.003	CS.033	IMP000.L.T37	CS.345.0	T.CS.067	CS.156	CS.060	CS.356	IMP000.L.T18	T.CS.090	CS.105	T.CS.008	CS.085	CS.199	T.CS.146	CS.093	T.CS.009	CS.110	T.CS.150	CS.172	CS.380	CS.041	CS.334	CS.231	CS.011	CS.007	CS.379	CS.224	CS.200	L.007.M4	CS.294	T.CS.071	L.008.M3	T.CS.133	CS.382	CS.158	CS.017	CS.175	T.CS.144	CS.091	T.CS.094	T.CS.097	CS.357	CS.025	CS.196	CS.248	CS.067	CS.090	CS.133	CS.039	CS.068	CS.022	CS.193	IMP000.L.T27	IMP000.L.T19	L.025.M4	IMP000.L.T10	CS.269	CS.097	CS.036	CS.165	L.012.M5	CS.360	CS.096	CS.143	CS.163	T.CS.148	CS.170	CS.056	CS.075	CS.059	CS.230	L.012.M3	L.007.M1	T.CS.073	CS.024	L.004.M2	L.025.M6	CS.332	CS.362	L.025.M2	CS.124	T.CS.013	L.012.M4	CS.122	CS.388	CS.205	CS.103	CS.190	CS.079	CS.139	L.008.M1	CS.159	CS.002	T.CS.134	CS.113	CS.132	CS.282	CS.295	CS.333	CS.120	T.CS.018	CS.136	CS.070	CS.082	CS.077	CS.023	CS.217	CS.013	CS.052	CS.057	CS.321	CS.131	CS.366	L.008.M5	CS.286	T.CS.030	CS.018	CS.112	CS.305	CS.092	CS.168	T.CS.081	CS.346	T.CS.098	CS.095	CS.020	CS.065	CS.301	CS.040	CS.029	CS.290	CS.191	L.004.M4	CS.111	CS.101	T.CS.100	CS.138	CS.072	CS.051	T.CS.135	T.CS.092	CS.084	L.004.M1	T.CS.099	CS.108	CS.220	T.CS.087	L.004.M5	CS.173	CS.019	CS.035	CS.161	CS.292	CS.076	CS.164	CS.328	CS.012	CS.047	CS.176	CS.232	CS.238	CS.237	CS.099	CS.228	CS.078	T.CS.070	CS.016	CS.046	T.CS.093	T.CS.014	CS.015	CS.249	CS.053	CS.154	CS.119	CS.038	CS.233	CS.074	L.008.M4	CS.274	CS.284	CS.098	CS.032	CS.014	CS.009	T.CS.088	CS.037	CS.102	IMP000.L.T30	CS.004	CS.235	CS.229	T.CS.137	CS.219	CS.171	L.004.M3	CS.062	CS.061	CS.115	CS.021	CS.218	CS.236	CS.347.0	CS.049	CS.311	CS.030	CS.028	CS.089	CS.169	CS.312	CS.058	CS.066	CS.213	CS.088	CS.247	CS.001	CS.114	CS.050	CS.104	CS.080	CS.026	CS.251	CS.027	T.CS.149	CS.031	CS.003
IMP000.L.T26	0.0	0.301836194142	0.457033119745	0.739794103717	0.702537573941	0.711797555338	0.753805750714	0.623047507444	0.59888800903	0.712221064509	0.653198348206	0.504260122572	0.634229367835	0.654202649278	0.620218368582	0.278744384432	0.654442091534	0.71673626304	0.708482828604	0.756070973975	0.775595721752	0.560350489564	0.772637119154	0.68656451587	0.569349513881	0.666975987473	0.750159502694	0.630387286527	0.728044735161	0.262216683505	0.458021387597	0.641663344543	0.538625638024	0.594187967163	0.508775441694	0.749916362976	0.434020596766	0.509491187699	0.724693726362	0.348446776935	0.374808698559	0.459269248593	0.719897477806	0.60025649264	0.708803957538	0.660138897439	0.728045301304	0.711655594398	0.715428544304	0.543910659235	0.630767931091	0.75538417527	0.617143783617	0.525141676061	0.367261017139	0.578843327393	0.684893274829	0.619357972113	0.743443762914	0.478039227109	0.488790880234	0.13861883439	0.630741348861	0.703637214025	0.635902171727	0.748838363206	0.517982876789	0.745758838612	0.402553413285	0.747446695241	0.716660352272	0.642034541557	0.725825154362	0.588229961928	0.804558611661	0.612928452682	0.555649682875	0.663943020218	0.588548440716	0.264533073975	0.672669797709	0.527429950468	0.773083772188	0.260165316629	0.45155787964	0.662427887736	0.718828110226	0.670600016025	0.580940285276	0.573958017403	0.555101221258	0.587557440782	0.582579261625	0.212272385906	0.66461758954	0.60049407065	0.693685693144	0.694459271863	0.227837180204	0.549766238227	0.726156561453	0.683216999287	0.780316740578	0.697497862143	0.747841967978	0.772610260494	0.761770024436	0.657540474617	0.763813229294	0.534192466674	0.771406046596	0.487363414631	0.634675623034	0.314035379507	0.673979337025	0.591276430207	0.286184424214	0.722034470804	0.688246657033	0.728636839255	0.721031411319	0.72949543044	0.703236745146	0.731069353287	0.571322411763	0.594395400643	0.75776141462	0.632396110784	0.50591177666	0.653358092202	0.749448470666	0.646248313338	0.778389514633	0.569074157659	0.367325718004	0.655945925149	0.694063503851	0.531660268824	0.649212806582	0.749256488581	0.221846255938	0.752507381916	0.679553231756	0.649483152182	0.598561568417	0.671006710174	0.691989981272	0.697414705407	0.705391189544	0.481922831853	0.713320774946	0.583492979462	0.656538653087	0.563342541674	0.592447832821	0.486555890864	0.696282272202	0.705582283577	0.694942442553	0.625669494049	0.591951880189	0.712252516523	0.804679685282	0.657412563396	0.669474594959	0.67727268998	0.551878850756	0.491347622359	0.702572437509	0.694503488079	0.731940171416	0.57158459869	0.751049333578	0.753341932111	0.676131194892	0.53987598469	0.806379566553	0.464969180751	0.662533035343	0.580481979627	0.706240603127	0.672860004078	0.618229973149	0.598873308642	0.477711505681	0.187618523376	0.309087259264	0.734307240167	0.342040954977	0.707339446964	0.45944392214	0.639468091429	0.592963660054	0.734087266047	0.511261838072	0.614504674527	0.62102102728	0.645628575234	0.75217027925	0.634912855521	0.49405514038	0.634144838848	0.661251125236	0.661344297853	0.730126302451	0.720959840245	0.696490669301	0.653292034561	0.696324375818	0.73405357646	0.706390933338	0.571500349189	0.777346683203	0.55276923578	0.75493865575	0.78124005308	0.694101675002	0.693692398607	0.418059724739	0.616749079237	0.782756408206	0.475357859532	0.578407465051	0.577269541738	0.664908760354	0.635552169054	0.760930928464	0.716743323094	0.538296409972	0.465354178114	0.598188936291	0.478622031683	0.641625976855	0.728616115379	0.47556967685	0.668847827005	0.572249205508	0.696955479395	0.662254208841	0.784073939832	0.520640664613	0.643318881699	0.721415705578	0.696183486027	0.553538443086	0.455170522349	0.560199233308	0.53946971447	0.65133975029	0.520335814439	0.560474499839	0.623086625063	0.658910639162	0.638835830841	0.715171097886	0.626412067242	0.665144429639	0.65385108799	0.617705212184	0.498002960358	0.478398272281	0.737648012251	0.591116900586	0.620761027394	0.776626317501	0.647753584702	0.665862927242	0.737121956953	0.728700524353	0.60056087231	0.626947376549	0.577592969549	0.591357157498	0.727526011001	0.681588372161	0.681757324633	0.727137582125	0.813930513411	0.755837619166	0.686124380042	0.748905660802	0.685746266738	0.629077845936	0.70940336303	0.562455514089	0.502137283205	0.644150838698	0.887510759625	0.83013389594	0.643143595781	0.462915014255	0.489873693336	0.474712481277	0.681861038331	0.50645738761	0.698422969326	0.5700168122	0.675457552278	0.676531850306	0.558506009417	0.686472630265	0.713816293325	0.684650761304	0.68720545924	0.500167024549	0.521344555824	0.656861922323	0.55414192579	0.706512686428	0.75574091612	0.70986598328	0.569094602881	0.559878083036	0.492072692237	0.690658482599	0.712666646545	0.527647517511	0.436943097434	0.76085658599	0.61852283844	0.737619075731	0.205353404184	0.624225815909	0.596763254584	0.588916981216	0.762298532887	0.62369705738	0.654555972616	0.657257936219	0.628191220328	0.68680252535	0.729130072357	0.549289081224	0.590953842131	0.598403696071	0.57249932442	0.721354911498	0.629637008267	0.580944877495	0.66762403253	0.681902230047	0.633308783159	0.415693737102	0.528270191738	0.688936414451	0.49273122147	0.779075245661	0.583000987627	0.652228390913	0.675454942404	0.540033459774	0.678795907371	0.559828975897	0.595767976951	0.652555459662	0.716725444826	0.686934332563	0.669796934863	0.701295453764
IMP000.L.T20	0.301836194142	0.0	0.497253165065	0.793334453124	0.748746164419	0.765351986588	0.787859536025	0.624735374243	0.668184661252	0.764733007847	0.715533304903	0.564113676166	0.713188186009	0.668176284143	0.67580725437	0.272496850682	0.643270181017	0.720651763786	0.736027890157	0.790425000276	0.797654140354	0.618038389225	0.786135542027	0.732298618286	0.57351465568	0.710081126294	0.772181580712	0.666363837703	0.763293418434	0.370938480554	0.493587442443	0.696389888932	0.542335737444	0.590361090434	0.585981675028	0.795026665412	0.495463801009	0.510313406131	0.799193940684	0.258872736132	0.248741803897	0.544987550845	0.732510074429	0.648244926482	0.710237103434	0.700584827974	0.772233210174	0.719570179593	0.744329560412	0.613822510404	0.710505696008	0.779154653976	0.66157026884	0.570018430721	0.307092571667	0.639008957134	0.768359518319	0.622095167917	0.772932466145	0.503643310484	0.522929772154	0.327108443543	0.689483151009	0.760498893789	0.685274597252	0.765398966349	0.548705570309	0.786854229224	0.241352324319	0.739527924957	0.746254826373	0.700873618489	0.798900426596	0.692747252421	0.824307137956	0.64723385673	0.579436959392	0.749370759156	0.570701800609	0.208154991982	0.722434900222	0.571350864617	0.75241934822	0.285668195623	0.409291885106	0.723978811137	0.767428534013	0.739293697796	0.698999726981	0.654292129149	0.628494275658	0.62365531492	0.639428347633	0.346847752052	0.592272880373	0.660552236799	0.793618566024	0.726584113922	0.257903060009	0.632484907234	0.795706276195	0.712460883649	0.805360830891	0.776547524304	0.803435729634	0.769757746221	0.763696869421	0.771225717414	0.79779176606	0.559529196995	0.768842581034	0.568062905427	0.559099694604	0.214184440683	0.701614669523	0.639707363166	0.247641198328	0.800632222257	0.738222113881	0.759911124847	0.723624493397	0.79448257783	0.70959009989	0.751283732911	0.607240348031	0.670243293183	0.817128348739	0.639900966713	0.531819902737	0.729759663522	0.787681108626	0.656193045778	0.775611644021	0.65685807721	0.260776014765	0.700231068979	0.746711906087	0.613419032845	0.675832281279	0.688477560664	0.260548195664	0.766314492337	0.739468051149	0.661913278722	0.628358839131	0.742028564078	0.716043187699	0.74380133877	0.724074065792	0.523013543523	0.759550669391	0.649332936078	0.705286837449	0.551367010189	0.57417742853	0.51912527717	0.729376094344	0.751184072384	0.709756493165	0.627213038249	0.631328494848	0.732920764006	0.889703164699	0.700619117398	0.777384621417	0.725980259728	0.622662381432	0.525281070374	0.764673782501	0.776650436733	0.746613239927	0.60553884527	0.774876612365	0.770147352842	0.79222870095	0.578083453846	0.79361283727	0.489460307791	0.684553085858	0.621799886689	0.766600071714	0.718132421144	0.696414453538	0.670482017395	0.558180743779	0.382125898051	0.255044117963	0.736963148611	0.253561109813	0.716143624785	0.559952499063	0.654970353423	0.692862010144	0.796671512296	0.556089614271	0.674682173619	0.675987854843	0.701452651037	0.766932779415	0.716650460716	0.552135818146	0.676568847894	0.678277187568	0.63735048766	0.723009760483	0.749159023072	0.765991767232	0.6954572716	0.767981115619	0.728003930266	0.738822356495	0.64806828529	0.775696903498	0.539340250421	0.776950023455	0.789767311716	0.759412858466	0.727615376326	0.470856049056	0.663693510483	0.778431155018	0.547959950563	0.597958004659	0.605448089481	0.758927395527	0.641549551204	0.789569121777	0.768585826148	0.625533723286	0.5540785713	0.63500314321	0.56508072559	0.722427885668	0.726765725635	0.542860332658	0.653183832611	0.627652648401	0.761766911805	0.718270772894	0.830241325794	0.589909903257	0.694014999898	0.720433251475	0.798264585825	0.561089652189	0.513908155911	0.588757745934	0.530666470384	0.696012237248	0.623526282868	0.549968678277	0.700700386713	0.718843771332	0.677731643132	0.759366987732	0.652198515123	0.68123692022	0.707714824612	0.658028691983	0.566598086357	0.547498396348	0.789787373469	0.664865988849	0.609295611469	0.801367280789	0.700889094708	0.730972956787	0.792133125921	0.751264629701	0.619712705317	0.68480517466	0.555596023122	0.67619323391	0.75065190859	0.687107754761	0.726925695129	0.759791303355	0.878428310201	0.7813751835	0.742574981465	0.794553472893	0.791192775629	0.723822729911	0.713523328472	0.616842377349	0.478437582845	0.68646486612	0.902529385087	0.8121396081	0.709511237053	0.570383994746	0.574299222354	0.585598238361	0.754209048932	0.555242117494	0.79236790834	0.52359038063	0.716714287397	0.727920403585	0.675828602356	0.714435606357	0.747488988075	0.714009348801	0.73757876475	0.514355070758	0.555189939735	0.666821783585	0.597379546292	0.736629447714	0.792420106949	0.764128882227	0.578239869904	0.578408917063	0.509012840575	0.693206988765	0.772762608391	0.573020233116	0.459802448781	0.770526073354	0.557333957534	0.773903245376	0.336584302156	0.617699250209	0.650577041324	0.635817278155	0.758786323381	0.694712700721	0.729309421289	0.745681467482	0.679776453654	0.74539281962	0.695221168181	0.604558378969	0.656377998994	0.627102283531	0.616085989375	0.781398591654	0.682398988034	0.639595706972	0.69222744745	0.713513957472	0.716171500161	0.490752688042	0.56985046618	0.753283007092	0.561902235819	0.794266235998	0.573894428491	0.72530257556	0.708872641039	0.531484486611	0.754603438213	0.625297288368	0.623931402092	0.698414786334	0.72155507019	0.695258051804	0.708096040105	0.76548345345
CS.318	0.457033119745	0.497253165065	0.0	0.731439420973	0.707586591236	0.660086767088	0.716280487705	0.589211327749	0.610553496544	0.719629419433	0.639782687441	0.467468311739	0.580689445439	0.662072116118	0.555415921801	0.484704476357	0.604170334839	0.653146489322	0.68033003095	0.688897165423	0.714128724751	0.542942201644	0.710583618349	0.661775296044	0.588319727154	0.620689246978	0.719629142666	0.617004343294	0.687748426724	0.469570999159	0.435637349045	0.648878518244	0.487574154594	0.520983366432	0.562407657285	0.730538048921	0.403387973662	0.573780701631	0.703574370189	0.450106019688	0.48286971153	0.488784542356	0.721449851076	0.630638927037	0.59790427558	0.669077974708	0.714538186663	0.61274576669	0.675363655133	0.541977264773	0.631244467019	0.710964751029	0.57949737549	0.570830915799	0.489977455636	0.544096840413	0.665883500569	0.583112544587	0.703918768404	0.517053704823	0.505591880942	0.477879098209	0.600135681126	0.711146448624	0.651012165696	0.727278800638	0.506187117685	0.706766348223	0.498507782708	0.698442554185	0.701725829431	0.669607513868	0.714425399914	0.618907334494	0.752696373155	0.62538405898	0.580926158584	0.686963535756	0.460283127123	0.465288315504	0.60595903452	0.462481226288	0.779346466838	0.464215030894	0.49197343523	0.709796378029	0.692097090149	0.646090584083	0.623948739153	0.537920145999	0.542417661263	0.544906687202	0.516443134958	0.474904795761	0.590930684485	0.541700030923	0.727659355659	0.633081160499	0.45861916296	0.555965397209	0.719116967644	0.695696453124	0.711303540735	0.717576222069	0.727441212261	0.72838702116	0.70068734661	0.720177728431	0.729497903713	0.490453829879	0.697813627094	0.531928907857	0.652674096238	0.455703359907	0.6111893199	0.564659785691	0.456508248419	0.735804024303	0.685275593767	0.671467801811	0.695392468572	0.708643410442	0.617356455263	0.665744593729	0.636308814506	0.605024248801	0.734047012666	0.602309705661	0.484921981912	0.637799019799	0.715270304558	0.582334296306	0.722561377056	0.551333996645	0.469323062673	0.632242473995	0.662905485418	0.57517988274	0.632476039208	0.74160173369	0.470451169141	0.731651900131	0.624942178535	0.647445036416	0.548157164339	0.663210241048	0.641898926482	0.681825750145	0.719398693845	0.530226068157	0.680537469706	0.595882332854	0.634661952144	0.558987848515	0.435568498621	0.566351524205	0.71530703412	0.62691864677	0.591713005043	0.615135620759	0.559013700842	0.670450823182	0.893367195245	0.633873751111	0.724690388294	0.678860999044	0.552609777003	0.452655084658	0.64778208968	0.76776474084	0.686490382352	0.590467698776	0.703920385528	0.727374070682	0.698289250968	0.561117298657	0.730100881368	0.467956776129	0.62645165054	0.592685742206	0.667129248866	0.58248300789	0.664742975134	0.538542754263	0.482731544242	0.439485682606	0.478895727694	0.666896923438	0.468896942149	0.761019195331	0.486788239757	0.665469868286	0.646213658827	0.723607193548	0.481225940698	0.586101744743	0.597095261036	0.61531834119	0.729519332797	0.626784786876	0.413669200411	0.632833415677	0.655221722422	0.650379022056	0.690269781958	0.687708016308	0.703780444309	0.601475754861	0.736848161792	0.629894261382	0.663901776165	0.509664828236	0.701994713125	0.579709824956	0.722618206916	0.751905542228	0.660752970691	0.665232648672	0.447427990331	0.581655503522	0.713967526657	0.485664731058	0.471709995659	0.56689110141	0.657002511428	0.572551732321	0.726108888359	0.697005361128	0.501761977513	0.524367374343	0.569387904087	0.416251271411	0.589072467646	0.716658679713	0.466947609633	0.61465245037	0.572813676289	0.64992377007	0.635507247451	0.756354209088	0.539504209423	0.614621555957	0.664448214775	0.706271818845	0.482665620043	0.439044856437	0.502627523242	0.465490395952	0.63505893351	0.509898121673	0.468278468492	0.635099315651	0.651790760939	0.625218194855	0.685154617662	0.620938500059	0.666939659324	0.648749917493	0.515629838495	0.543890428426	0.50336665898	0.71608288861	0.545141266159	0.577578805929	0.731909076993	0.665140423923	0.63709357943	0.6994433093	0.676242500648	0.604942833026	0.589821449771	0.566878060908	0.55859023319	0.690200827319	0.608485985815	0.658922667327	0.718146745631	0.8088902324	0.716001109403	0.654957812783	0.70100877232	0.715144220477	0.646391607805	0.657911096687	0.514138035644	0.365644459325	0.56452704905	0.88077921109	0.716912806143	0.632395057405	0.514915338349	0.50075414839	0.497458979297	0.642824358457	0.515062091815	0.714544539215	0.519847110592	0.667303953173	0.642259263445	0.560755705362	0.639491395288	0.687211950759	0.700321910308	0.70636647496	0.483638770678	0.530771479877	0.70055291557	0.528742785389	0.632863401888	0.812099530325	0.669092856732	0.483992515897	0.465573818054	0.449807424904	0.636880738218	0.702602607847	0.548124036653	0.493743889362	0.713428017642	0.578546492224	0.741151399499	0.427981597946	0.581798299976	0.579255473493	0.49750743573	0.747975211748	0.572279009888	0.62299648984	0.703324810005	0.599083381552	0.669059234217	0.741130827116	0.507215663447	0.57963303067	0.62286967325	0.460177341195	0.758277251661	0.615839108861	0.613258850519	0.59733895692	0.663507363419	0.603434826866	0.496682821039	0.517059329158	0.663078554444	0.444737377025	0.71968548965	0.503434472566	0.613979659835	0.642781430748	0.558636885041	0.693432282127	0.453425897589	0.504936821219	0.67043923219	0.653884675239	0.685723651067	0.743392043287	0.674653008979
T.CS.145	0.739794103717	0.793334453124	0.731439420973	0.0	0.633263123328	0.354059913223	0.461448246325	0.803373709189	0.521139468383	0.475632474752	0.712706514617	0.523330704842	0.485096574396	0.555397368596	0.712844366428	0.757041538261	0.566416342651	0.626017590701	0.325766650417	0.411047599601	0.572515735106	0.628063042848	0.653512504423	0.58412856154	0.776515732329	0.640857042895	0.458705291419	0.429174909939	0.404189104418	0.749796949438	0.756492009225	0.402765222792	0.747014724335	0.735863395145	0.751353563179	0.427421319291	0.674597793574	0.671134348381	0.450590632362	0.763652103308	0.774774508192	0.775018469011	0.497016063553	0.476970959851	0.406017445367	0.669572875016	0.3352465498	0.510950898044	0.480806941615	0.515411735688	0.360923446868	0.462953585696	0.504478689629	0.770754772467	0.777579681819	0.610094838996	0.405853329777	0.477228067574	0.454642586161	0.684073038228	0.745582701895	0.738443831208	0.400545859658	0.343300089576	0.440494538486	0.384568218033	0.752168279209	0.390508229314	0.768943565359	0.498621184469	0.518533224016	0.783048208838	0.663874558802	0.46501212924	0.4221602775	0.519558904504	0.532789390251	0.332329919391	0.720858568658	0.75853596188	0.393071662091	0.708768997233	0.810585319979	0.753004435128	0.752693923469	0.682643151175	0.368438187251	0.529439154956	0.764496889468	0.569734456768	0.812516753439	0.437714765337	0.65560695274	0.740745132923	0.811200475045	0.441786772021	0.370537635369	0.390983140769	0.728554436708	0.680454332876	0.60120616255	0.648940701932	0.347746137566	0.434140722972	0.577827124862	0.387839530176	0.686135921092	0.324814903332	0.52155426058	0.815480350546	0.50014363082	0.681212479642	0.834987339239	0.776352494474	0.839606318522	0.550851836226	0.759405893373	0.364391938062	0.479267703831	0.450846714557	0.597376280326	0.442124419313	0.31412294937	0.456542550787	0.547812342639	0.658875870354	0.606082440673	0.743173032573	0.819087539317	0.65039728562	0.399389631051	0.583763984586	0.475843598131	0.49323134182	0.795193161468	0.872894571533	0.306508469813	0.732795404605	0.641399282481	0.76248394444	0.734435726969	0.331850179438	0.314804406636	0.444962419842	0.603309625649	0.607743050291	0.451319872249	0.391801634572	0.572317759349	0.715266570044	0.339137388892	0.419095896076	0.477342426202	0.774368473927	0.809024426722	0.735638307609	0.676101732338	0.453171250246	0.674957854279	0.787744527001	0.645844847096	0.625332308715	0.939617449294	0.409938289703	0.798296741603	0.560763227188	0.483967717453	0.699306802279	0.300188548659	0.814785052833	0.51746456767	0.746219484215	0.323352336159	0.413825913982	0.324908497774	0.668166699254	0.644229250049	0.735536173727	0.886841334096	0.595172019117	0.353187165311	0.526013570122	0.593651506858	0.650311902362	0.649133795887	0.72065475876	0.767219584517	0.460481662864	0.76431643201	0.87120949973	0.744732006538	0.828556144206	0.58485898359	0.622436412672	0.677693069916	0.562405477379	0.671619187547	0.722312197011	0.475506174657	0.496231962402	0.730825118107	0.513500595021	0.532099402526	0.815456087106	0.585078861254	0.301451918759	0.350600812994	0.522114688828	0.418199738287	0.456788294636	0.418204551823	0.792824624052	0.489234777705	0.66761259406	0.381398100983	0.641328210073	0.258299675881	0.685445438277	0.712038794642	0.509918618855	0.464075596661	0.753467158864	0.719772309582	0.764472897733	0.373167065505	0.700911608731	0.378864533253	0.357335618623	0.589686412587	0.736644430503	0.430029645421	0.671729744035	0.498948876929	0.516866595689	0.734385497513	0.868782014718	0.476457780446	0.495527889329	0.439574672703	0.528207078973	0.538728299574	0.559720282524	0.583833403503	0.346671587685	0.664788947036	0.782548568271	0.72341211358	0.767328063212	0.501857278596	0.712864589584	0.751010695216	0.41063990971	0.614503372068	0.572780020394	0.382333855438	0.84941409868	0.575203361415	0.499992467483	0.542275253674	0.610175866303	0.673338639255	0.416708724599	0.673436130795	0.764406307385	0.379780308484	0.407342655357	0.618844899381	0.388063782075	0.535756098101	0.520941121485	0.454734588798	0.737043781396	0.635018813654	0.661972853806	0.595732150882	0.406372680127	0.339812118233	0.794502874395	0.435122722516	0.399145688117	0.481978328543	0.348668109021	0.39073657242	0.411026064819	0.723256619125	0.741153904066	0.764280614962	0.963686722398	0.907532577979	0.652799690361	0.706897987136	0.531947526329	0.516875526841	0.432760378349	0.781030198475	0.348187889926	0.706153356022	0.420789347037	0.375416549478	0.444557028406	0.478332200982	0.452284498744	0.749210641118	0.523963319244	0.747176808882	0.694972357604	0.862239265891	0.653634349976	0.448091510396	0.721101141464	0.434911382453	0.730554607863	0.713343220903	0.766179144027	0.507290841827	0.672708123374	0.617640644484	0.713616080879	0.50219241759	0.773652732749	0.429573073156	0.737604376472	0.745724872898	0.488572343582	0.597133936106	0.684387082165	0.688721514919	0.432479518107	0.665616639591	0.328208377458	0.310946222763	0.90451643621	0.635189533624	0.528183484927	0.77234385182	0.677422478823	0.566077249403	0.39261610659	0.457038483692	0.504890842941	0.410087934089	0.419491382171	0.747374635719	0.645690208614	0.314927774429	0.758213767669	0.454586119446	0.655811356015	0.674340097151	0.683422063095	0.720005432255	0.506391309078	0.630898575072	0.525038353712	0.407555902633	0.394123133268	0.700159246955	0.597702622341	0.436505686466
