	chao1	observed_otus	shannon	simpson
CS.079	426.166666667	377.0	4.38029153038	0.873303458255
CS.145	413.108695652	372.0	3.43779499385	0.708836000452
CS.146	484.5	404.0	5.28657707468	0.956116506
CS.165	571.775510204	504.0	4.5744462205	0.899735954158
CS.166	430.538461538	353.0	4.98315397357	0.941038386014
CS.177	436.130434783	379.0	4.89141421991	0.939874990348
CS.178	518.7	408.0	5.0431611508	0.93917255292
CS.181	429.088235294	356.0	4.83096700068	0.939831981506
CS.222	502.022727273	432.0	4.58415922283	0.919630204439
CS.248	524.583333333	443.0	5.25705053758	0.949162924892
CS.249	475.146341463	400.0	4.91351103742	0.933229784637
CS.255	481.3125	431.0	4.72598625632	0.927941398936
CS.256	473.142857143	348.0	4.55743556995	0.913673497268
CS.262	453.617647059	372.0	4.51211901235	0.90962206481
CS.268	523.666666667	405.0	4.84361747098	0.918717551462
CS.275	546.0	459.0	4.55735064515	0.909897915237
CS.290	395.227272727	355.0	4.33953275014	0.89336932071
CS.308.0	457.090909091	386.0	3.75057510819	0.823491422278
CS.311	510.153846154	450.0	4.57365802461	0.890852158454
CS.312	494.027777778	425.0	5.23133809984	0.949116207718
CS.325	405.0	301.0	4.05096983502	0.893464045042
CS.326	492.434782609	375.0	4.70556661868	0.916930609633
CS.335	420.1	355.0	3.76668941019	0.868379020567
CS.358	361.058823529	309.0	3.34199209436	0.821734350112
CS.360	522.2	431.0	4.55924287115	0.915341331628
CS.369	342.108108108	309.0	4.27132058745	0.889087713695
CS.370	363.25	328.0	4.81982610582	0.925428570307
CS.391	484.785714286	401.0	5.01137588351	0.935175129279
CS.393	521.136363636	440.0	4.71567774962	0.906274140134
L.002.M1	467.035714286	357.0	3.8403177407	0.87233877132
L.002.M6.0	483.318181818	430.0	4.83389736486	0.91714960216
L.003.M1	561.781818182	514.0	3.69634182427	0.808300865081
L.003.M6	589.6	490.0	4.50950437582	0.916387553858
L.022.M1	641.472727273	562.0	5.17703437913	0.946409715036
L.022.M6	583.387096774	484.0	4.96285556929	0.928269604563
L.024.M1	713.549019608	626.0	5.13696700222	0.933541277831
L.024.M6	554.936170213	486.0	4.42378306685	0.904972812132
L.031.M1	718.017857143	603.0	5.48323753912	0.957474558493
L.031.M6	608.882352941	525.0	4.66177079078	0.905082166681
L.034.M6	616.538461538	527.0	5.42935116027	0.959110707194
T.CS.008	495.885714286	401.0	3.98654882082	0.791071343895
T.CS.018	557.139534884	478.0	4.9006902469	0.911234659047
T.CS.030	614.263157895	484.0	4.81586351453	0.92665652752
T.CS.042	674.15	527.0	4.75283267123	0.888434837721
T.CS.051	669.671875	576.0	4.4294729669	0.89087092932
T.CS.061	587.0	498.0	5.03204169739	0.926749945111
T.CS.065	568.438596491	495.0	4.90366450842	0.923018395214
T.CS.069	811.985074627	654.0	5.08904431522	0.937674503869
T.CS.070	730.0	556.0	4.78097159825	0.920565233072
T.CS.071	766.875	570.0	4.81606910604	0.908830434544
T.CS.073	612.085714286	462.0	3.75094981418	0.801611682892
T.CS.081	555.736842105	464.0	3.8672317718	0.808169145244
T.CS.084	452.029411765	387.0	4.4464253785	0.861330100693
T.CS.087	527.902439024	469.0	4.30613882902	0.887145229264
T.CS.089	794.192307692	673.0	5.16891971893	0.94456473688
