	PD_whole_tree	chao1	observed_otus	shannon	simpson
M34.1.30.18	23.483178	92.0909090909	85.0	4.50088968928	0.926909486424
M5.9.5.17	33.908369	174.545454545	114.0	4.55993577943	0.924213685286
M20.11.27.17	19.668171	74.6666666667	70.0	4.16003119968	0.904345025452
M2.8.22.17	32.17146	153.909090909	117.0	4.83832598909	0.926833069873
M14.11.27.17	29.11662	110.75	98.0	4.36397342197	0.895811160347
M2.7.25.17	42.322036	161.5	136.0	4.87676678876	0.938675673536
M3.8.22.17	32.534337	121.25	104.0	4.74997696336	0.929353032694
M1.8.8.17	34.445017	172.0	110.0	4.75308806661	0.929528871011
M1.7.25.17	34.515796	140.111111111	104.0	4.69558018553	0.921304060474
M23.11.8.17	27.380471	133.111111111	105.0	4.37596132417	0.887658932159
M19.11.28.17	21.086781	82.25	74.0	4.21783578315	0.909612149893
M9.7.25.17	32.97019	153.5	111.0	4.77952661243	0.923975786386
M8.8.8.17	29.323993	146.111111111	101.0	4.73927875486	0.935193682518
M19.12.11.17	29.707309	143.0	101.0	4.86488409247	0.943022678506
M4.8.22.17	32.286305	117.5	108.0	4.49645471288	0.88282427011
M11.11.27.17	27.957497	109.090909091	90.0	4.71280741735	0.943047377905
M24.11.8.17	19.302903	74.9090909091	64.0	3.10854741657	0.786034193241
M33.2.27.18	22.13562	92.75	83.0	4.53652571461	0.92522332893
M9.8.8.17	33.699637	174.666666667	116.0	4.81664500265	0.928690785644
M24.12.19.17	25.520991	123.5	95.0	4.73616070362	0.935506125451
M6.8.8.17	33.583679	145.625	122.0	4.60433121395	0.895797071882
M4.9.5.17	25.493453	91.1111111111	76.0	4.16745215427	0.906051691472
M12.11.28.17	28.130278	120.375	99.0	4.90262669057	0.947457959305
M30.11.8.17	24.261686	96.0	84.0	4.37961550754	0.913980644232
M20.10.31.17	20.209426	115.0	73.0	4.1172984322	0.896380673193
M6.9.5.17	35.278834	163.0	128.0	5.13268911178	0.951291359455
M2.9.5.17	37.325674	132.066666667	105.0	4.27407442754	0.905315970399
M31.3.12.18	23.737794	88.2727272727	80.0	4.36815630543	0.923195570729
M29.11.22.17	23.55745	117.0	87.0	4.404207365	0.916871543868
M15.10.31.17	25.762917	110.090909091	91.0	4.63029642969	0.927979853138
M27.11.8.17	23.399179	111.142857143	84.0	4.30700246689	0.912142010306
M27.12.6.17	25.55723	116.090909091	97.0	4.62122938684	0.926795352019
M35.3.27.18	14.923531	59.0	54.0	3.80024620608	0.896721828062
M15.12.11.17	31.911863	120.2	110.0	5.11186897942	0.955575947173
M30.12.19.17	21.24513	83.625	78.0	4.36012761244	0.910394773072
M2.9.19.17	39.314671	180.0	149.0	5.28770854339	0.94823220074
M5.7.11.17	43.013787	237.714285714	167.0	5.63152563948	0.965268008982
M22.12.6.17	24.329735	93.0	80.0	4.01247241775	0.869733321397
M4.7.25.17	36.036562	184.333333333	102.0	4.0767157818	0.855935452714
M2.8.8.17	26.959085	125.142857143	89.0	4.21737685368	0.901384485996
M8.8.22.17	26.814206	109.0	90.0	4.64417851664	0.924571157808
M29.12.6.17	23.022265	108.111111111	87.0	4.35141165776	0.908927789302
M18.11.28.17	22.610802	84.1	75.0	4.41559257285	0.926547466359
M38.3.13.18	14.92828	97.0	57.0	4.07697802563	0.912904570798
M8.7.25.17	32.236316	138.055555556	120.0	4.7604237945	0.930471104022
M36.3.13.18	14.382722	52.0	43.0	3.51559864599	0.873164130267
M1.8.22.17	39.225437	168.352941176	141.0	5.06993094545	0.929984962792
M38.3.27.18	18.94777	97.0909090909	72.0	3.89734424814	0.900608996216
M24.12.6.17	24.10611	116.25	90.0	4.66474772533	0.932857315587
M9.9.19.17	44.705248	175.0	154.0	5.40870406674	0.951575982127
M23.12.19.17	24.129362	91.5	86.0	4.49664551399	0.916705692311
M34.3.12.18	22.627321	110.666666667	88.0	4.68764732479	0.942231138576
M22.12.19.17	25.456627	93.9090909091	83.0	4.00966123221	0.862855564338
M17.11.27.17	19.675084	88.0	73.0	4.26785255697	0.915234874338
M27.12.19.17	23.613334	98.5	81.0	4.2892291735	0.902101838563
M30.11.22.17	23.639497	114.0	84.0	4.24227931161	0.899250707633
M8.9.19.17	31.083398	147.0	108.0	4.86908979094	0.936366413526
M32.2.13.18	24.401297	103.769230769	92.0	4.6681709004	0.940343730026
M29.11.8.17	22.873437	116.0	86.0	4.41541553454	0.919352897159
M7.8.8.17	36.480775	172.0	128.0	4.78741881132	0.916307113569
M3.8.8.17	22.696367	92.4285714286	73.0	4.4609004058	0.91455934133
M21.11.8.17	26.515142	118.0	99.0	4.90356258223	0.941755608279
M10.7.11.17	37.708073	153.476190476	138.0	5.2721220685	0.957346189623
M1.7.11.17	40.793017	179.12	158.0	5.45750785456	0.958491367872
M9.7.11.17	35.343029	123.111111111	120.0	5.14580979917	0.936250139101
M10.8.22.17	24.359859	99.0	80.0	4.65154025005	0.934799829654
M32.3.12.18	22.425888	124.0	91.0	4.55982671067	0.931889491503
M3.7.11.17	34.373412	116.5	111.0	4.65943884944	0.922454410439
M31.1.30.18	22.43026	89.5833333333	85.0	4.68857542185	0.937036863986
M9.9.5.17	38.29657	174.428571429	139.0	5.3264076006	0.95447125097
M33.1.30.18	24.698395	107.4	96.0	4.64898511534	0.937428487662
M31.2.13.18	22.111901	104.5	85.0	4.62837193314	0.93451493948
M33.2.13.18	22.304278	97.5	87.0	4.44142091343	0.918421899254
M10.9.5.17	34.597928	144.235294118	122.0	5.03557900263	0.945982504622
M3.9.5.17	21.422755	93.1428571429	76.0	4.39076243954	0.916578361116
M35.4.9.18	17.430702	71.0	52.0	2.97481311056	0.803138660462
M10.7.25.17	29.922913	137.3	112.0	4.95332678397	0.938332913652
M19.11.14.17	23.578741	112.6	82.0	4.46494951801	0.917789523318
M32.2.27.18	24.20618	108.0	91.0	4.69707301268	0.940661790512
M33.3.12.18	23.491633	109.0	90.0	4.61709969889	0.935009819126
M29.12.19.17	25.114069	112.0	91.0	4.3528150579	0.907215594897
M12.12.11.17	30.837193	126.0	105.0	4.85639009037	0.94135515702
M22.11.8.17	22.317691	111.625	80.0	4.06733898997	0.871908384313
M18.12.11.17	28.742084	146.428571429	107.0	4.88046297102	0.947142663012
CS.283	31.724439	164.142857143	114.0	5.24630194355	0.957437051309
M37.3.27.18	16.919195	48.6666666667	44.0	2.91850273835	0.785946095747
M31.2.27.18	21.852638	124.0	86.0	4.58619474227	0.937773030896
M5.8.22.17	33.373884	148.071428571	117.0	4.81463974316	0.932189450985
TFS.023	43.768312	152.545454545	130.0	5.10512506413	0.946799011453
M22.11.22.17	24.365626	108.25	82.0	4.23694376521	0.895141512395
M34.2.13.18	25.964702	127.6	100.0	4.6657655828	0.932831635346
M16.11.27.17	21.744422	117.166666667	75.0	4.27368523601	0.897854077024
M10.8.8.17	30.118315	128.0	101.0	4.32422632737	0.881378419039
M7.7.11.17	45.355576	164.882352941	150.0	5.786297713	0.970389344555
M12.11.14.17	27.456996	97.8823529412	94.0	4.63898927008	0.92803335364
M18.10.31.17	21.323012	76.8571428571	69.0	4.18976081298	0.90782487645
M35.3.13.18	17.045251	63.8571428571	56.0	4.17879184096	0.919495297663
TFS.026	33.562406	135.157894737	123.0	4.99692657231	0.931558680064
M8.9.5.17	27.992738	146.0	96.0	4.78945858987	0.933711540272
M16.10.31.17	20.148784	81.75	68.0	3.96443331463	0.887501462347
M30.12.6.17	23.597872	98.5	88.0	4.64578403417	0.929842829791
M6.8.22.17	24.142263	93.5	87.0	4.2290778078	0.907467047257
M12.10.31.17	26.792996	89.0909090909	85.0	4.39951304826	0.915947857697
M8.7.11.17	40.087146	161.260869565	146.0	5.38255685072	0.953483720867
M1.9.5.17	36.098115	161.214285714	128.0	4.92729190565	0.932761906358
M17.10.31.17	20.37029	92.0	77.0	4.17417346361	0.882157118848
M13.11.14.17	28.759108	107.75	99.0	4.94638376718	0.951150474799
M17.11.14.17	22.754563	98.375	77.0	4.09754002422	0.904288404087
M7.8.22.17	32.91331	132.5	119.0	4.07985401787	0.87492715015
M13.10.31.17	24.890777	98.0	85.0	4.65854675499	0.934891583016
M21.12.6.17	25.141099	113.375	92.0	4.55481402361	0.904760991857
M23.12.6.17	25.333735	97.5	92.0	5.14042811476	0.957507136967
M38.2.27.18	14.68456	64.2	51.0	3.01907872729	0.783022917475
M9.8.22.17	24.882874	165.5	88.0	4.41041322026	0.925281109472
M21.11.22.17	23.542423	96.0	81.0	4.39657845168	0.911337719423
M37.4.9.18	11.298174	62.5	35.0	2.38030033763	0.666172024801
CS.224	26.25695	110.75	87.0	4.23690534932	0.888770494259
M16.11.14.17	19.715333	77.1111111111	71.0	4.20378833	0.90063030725
M2.7.11.17	41.345655	182.0	158.0	5.26861580278	0.927509851226
M1.9.19.17	35.225981	191.111111111	136.0	5.31713919582	0.957616367159
M7.7.25.17	25.195653	116.666666667	86.0	3.47057446533	0.79004048918
M27.11.22.17	24.477696	106.375	85.0	4.42952865868	0.913646266093
M34.2.27.18	25.162113	143.428571429	97.0	4.79709631462	0.941125283196
M15.11.14.17	27.646652	115.666666667	93.0	5.04452757285	0.955790484187
M23.11.22.17	25.110164	98.0	86.0	4.43301217002	0.917621531741
M38.4.9.18	16.627331	64.5	47.0	3.01761824916	0.812093396183
M21.12.19.17	24.630066	113.0	94.0	4.7517662869	0.920640654247
M35.2.27.18	18.846714	74.6	61.0	3.23582112647	0.782509936827
M24.11.22.17	18.455181	90.5	62.0	3.77432280203	0.868312437226
M37.3.13.18	15.585335	60.25	52.0	3.68354765761	0.890843371216
M32.1.30.18	25.778066	111.75	88.0	4.45548544792	0.927115820027
M11.10.31.17	24.495019	88.5	84.0	4.70331180894	0.936524418343
M19.10.31.17	19.462573	81.1666666667	72.0	4.39173970801	0.921825512035
M7.9.5.17	31.331455	133.75	115.0	5.07809484644	0.949674841781
M18.11.14.17	20.526763	87.1428571429	76.0	4.25701365116	0.90948437286
M6.7.11.17	45.926336	212.125	153.0	5.32954762102	0.953856084362
M3.7.25.17	19.115666	85.75	63.0	3.64874911181	0.865384978914
M13.11.27.17	27.604382	126.666666667	95.0	4.84027466857	0.943845962067
M15.11.28.17	29.541715	123.666666667	98.0	4.91677379031	0.946647872535
M14.11.14.17	30.950476	121.25	107.0	5.13937064097	0.954124478548
M11.11.14.17	22.862897	93.25	85.0	4.77167523303	0.943847923753
M4.8.8.17	26.908811	105.909090909	92.0	4.42396853022	0.925528549295
M5.7.25.17	33.561273	151.055555556	118.0	4.79534108706	0.938838493397
M14.10.31.17	28.64288	127.5	95.0	4.66127054328	0.934101202263
M36.4.9.18	15.811147	44.0	37.0	3.04245375883	0.796474013736
M37.2.27.18	12.112837	60.0	34.0	2.28713685046	0.670058212113
M20.11.14.17	20.273213	187.0	51.0	3.51712050606	0.864107386921
M4.7.11.17	41.227053	165.0	135.0	5.58187489727	0.966525181616
M36.2.27.18	16.334832	48.6666666667	40.0	1.82590953301	0.483014928067
M36.3.27.18	18.887948	97.4285714286	58.0	2.81149062712	0.778348756934
M5.8.8.17	21.326423	94.8571428571	73.0	3.54606727398	0.862113690707
