	M34.1.30.18	M5.9.5.17	M20.11.27.17	M2.8.22.17	M14.11.27.17	M2.7.25.17	M3.8.22.17	M1.8.8.17	M1.7.25.17	M23.11.8.17	M19.11.28.17	M9.7.25.17	M8.8.8.17	M19.12.11.17	M4.8.22.17	M11.11.27.17	M24.11.8.17	M33.2.27.18	M9.8.8.17	M24.12.19.17	M6.8.8.17	M4.9.5.17	M12.11.28.17	M30.11.8.17	M20.10.31.17	M6.9.5.17	M2.9.5.17	M31.3.12.18	M29.11.22.17	M15.10.31.17	M27.11.8.17	M27.12.6.17	M35.3.27.18	M15.12.11.17	M30.12.19.17	M2.9.19.17	M5.7.11.17	M22.12.6.17	M4.7.25.17	M2.8.8.17	M8.8.22.17	M29.12.6.17	M18.11.28.17	M38.3.13.18	M8.7.25.17	M36.3.13.18	M1.8.22.17	M38.3.27.18	M24.12.6.17	M9.9.19.17	M23.12.19.17	M34.3.12.18	M22.12.19.17	M17.11.27.17	M27.12.19.17	M30.11.22.17	M8.9.19.17	M32.2.13.18	M29.11.8.17	M7.8.8.17	M3.8.8.17	M21.11.8.17	M10.7.11.17	M1.7.11.17	M9.7.11.17	M10.8.22.17	M32.3.12.18	M3.7.11.17	M31.1.30.18	M9.9.5.17	M33.1.30.18	M31.2.13.18	M33.2.13.18	M10.9.5.17	M3.9.5.17	M35.4.9.18	M10.7.25.17	M19.11.14.17	M32.2.27.18	M33.3.12.18	M29.12.19.17	M12.12.11.17	M22.11.8.17	M18.12.11.17	CS.283	M37.3.27.18	M31.2.27.18	M5.8.22.17	TFS.023	M22.11.22.17	M34.2.13.18	M16.11.27.17	M10.8.8.17	M7.7.11.17	M12.11.14.17	M18.10.31.17	M35.3.13.18	TFS.026	M8.9.5.17	M16.10.31.17	M30.12.6.17	M6.8.22.17	M12.10.31.17	M8.7.11.17	M1.9.5.17	M17.10.31.17	M13.11.14.17	M17.11.14.17	M7.8.22.17	M13.10.31.17	M21.12.6.17	M23.12.6.17	M38.2.27.18	M9.8.22.17	M21.11.22.17	M37.4.9.18	CS.224	M16.11.14.17	M2.7.11.17	M1.9.19.17	M7.7.25.17	M27.11.22.17	M34.2.27.18	M15.11.14.17	M23.11.22.17	M38.4.9.18	M21.12.19.17	M35.2.27.18	M24.11.22.17	M37.3.13.18	M32.1.30.18	M11.10.31.17	M19.10.31.17	M7.9.5.17	M18.11.14.17	M6.7.11.17	M3.7.25.17	M13.11.27.17	M15.11.28.17	M14.11.14.17	M11.11.14.17	M4.8.8.17	M5.7.25.17	M14.10.31.17	M36.4.9.18	M37.2.27.18	M20.11.14.17	M4.7.11.17	M36.2.27.18	M36.3.27.18	M5.8.8.17
M34.1.30.18	0.0	0.716224221237	0.685186958629	0.76441938184	0.688303215688	0.773483373994	0.777163697687	0.752343175293	0.792912933261	0.67550019315	0.737841423864	0.817879052765	0.81359717387	0.571880344809	0.812495283685	0.581799211784	0.95126500003	0.207147568322	0.809296392778	0.65021549612	0.793427801431	0.727575620386	0.602185583313	0.425415767913	0.821695324308	0.688823387886	0.717597148212	0.303624005935	0.456485246476	0.563548317029	0.39738319762	0.671914925049	0.930063634234	0.618186736564	0.391720071388	0.621468506254	0.726840660907	0.80506895659	0.857105837731	0.729536411673	0.810214042353	0.4369057584	0.710745932314	0.891487717239	0.808851449809	0.918819478409	0.784781598837	0.921064167169	0.782269968457	0.663060519703	0.681427604501	0.236174191428	0.731055039886	0.679808578654	0.393152981174	0.465195351628	0.623520149685	0.281241684929	0.420967262387	0.822088122545	0.772417372003	0.666689885423	0.778039193197	0.676669345849	0.813149764606	0.831816158069	0.225993279954	0.71197845074	0.192952801449	0.723660902325	0.268292574384	0.177890509529	0.249474232053	0.704253874283	0.724894181334	0.955099513166	0.823272357378	0.744801732901	0.278521011828	0.215048780949	0.394533990943	0.580790281859	0.895959046202	0.5715082332	0.675155527143	0.946187255192	0.250592613585	0.75798489335	0.89925359551	0.744449014704	0.211489223787	0.811634679493	0.832492930408	0.815440175563	0.64487009467	0.703814925385	0.895662065866	0.869496756282	0.746455585632	0.869882989107	0.47368950152	0.770782638791	0.619280988606	0.784034170462	0.701696389321	0.826856538719	0.630007045692	0.728602126671	0.744696268255	0.546767395732	0.674330298154	0.73700576855	0.950424326093	0.730145885777	0.694885603173	0.954578033704	0.874267729531	0.807227322	0.808797698112	0.717254141835	0.741017492941	0.433378032841	0.321911110319	0.636132454432	0.75542453538	0.956221947219	0.679223406689	0.905139057978	0.887823594688	0.896703280153	0.244770884705	0.525052618475	0.736693776617	0.720340082807	0.680909370768	0.891499579471	0.747348885077	0.584740731474	0.59602509564	0.647409478441	0.569498250095	0.62057552144	0.829577876854	0.575950346437	0.960076779428	0.980368972566	0.833755981531	0.874055241204	0.985570706991	0.970646062434	0.713907114777
M5.9.5.17	0.716224221237	0.0	0.418136582789	0.728852081861	0.732575955996	0.372232802059	0.756546419585	0.328956331784	0.512599225679	0.572505538286	0.457196952801	0.687606385749	0.756138488252	0.736829333854	0.741186467789	0.686142055691	0.867873898345	0.689976721225	0.751226342612	0.517693983624	0.730890866203	0.218966615157	0.688522100611	0.619571608649	0.540870606616	0.720487567196	0.194932043527	0.834009556805	0.631446441531	0.671897435225	0.614795894965	0.764978658957	0.887251670107	0.70013482965	0.596598013509	0.53507993857	0.510142145531	0.659008202135	0.650104881129	0.239812598569	0.396710971195	0.608458333076	0.437319272172	0.88375948646	0.757380177581	0.881891615306	0.732278523561	0.886655054144	0.68626641231	0.599921696257	0.557528127012	0.773806377721	0.568779406946	0.380512876089	0.600409489715	0.5958906856	0.5570579174	0.733363652178	0.636354714015	0.746098995592	0.410676998934	0.605938210219	0.658512525379	0.674819958407	0.538963745069	0.419294402691	0.736892217064	0.389622781898	0.697418292617	0.705351344835	0.717065692406	0.730064633477	0.7249160851	0.711190593929	0.17760985418	0.894847006809	0.688298039489	0.565623951135	0.755223652066	0.767706419942	0.605327593475	0.66923166778	0.779007910285	0.752870182802	0.844428240522	0.886559845857	0.753054192095	0.736567546353	0.889329356923	0.60160394061	0.695329505704	0.49397176603	0.764921432814	0.595225442891	0.690616488329	0.389558111408	0.846087072275	0.878710405983	0.742612941609	0.570083966379	0.61436410189	0.433808666141	0.688487625118	0.479930590405	0.242782575026	0.579774027947	0.685328602352	0.444288486411	0.442287681012	0.672500438891	0.626646272443	0.676050200175	0.892009116075	0.316200179962	0.569369088784	0.929228726014	0.804963165114	0.49186917968	0.70236087086	0.498554570994	0.598233381866	0.610012584676	0.719507939757	0.685498394682	0.631675523141	0.926628709481	0.578306125828	0.870583969869	0.791915551561	0.85344464864	0.69787496228	0.650123938137	0.459193983877	0.762148400299	0.411020448756	0.876761986715	0.482415685009	0.658720728961	0.659894221344	0.719709597742	0.675684534285	0.755411579238	0.477521886747	0.676082142083	0.900455520849	0.958961465704	0.576789353274	0.777297672506	0.967134606751	0.943900567119	0.474806528856
M20.11.27.17	0.685186958629	0.418136582789	0.0	0.834809937331	0.702988716131	0.573253384685	0.848195443813	0.605949644491	0.739037092562	0.65465790241	0.256484814608	0.844781670417	0.856257552766	0.676529620577	0.833789397111	0.59850097131	0.944532623674	0.623604097562	0.855261841877	0.64036079413	0.83934728842	0.46498241145	0.660290144844	0.713544046392	0.487294027653	0.802211541994	0.426445206035	0.734964429101	0.722929530225	0.658445333288	0.709453621794	0.814535858314	0.945921194284	0.666246277539	0.705190225744	0.697252994061	0.669391702719	0.763259024744	0.795110477067	0.50442836154	0.669532833312	0.711507850922	0.246539926532	0.913110068556	0.842122958762	0.914275160532	0.828627524478	0.93084503089	0.79189974527	0.71275110144	0.640992306099	0.681057169777	0.65579954297	0.196876381459	0.700376489406	0.703326109446	0.69521236504	0.677882060304	0.699134085889	0.862160588131	0.669818910595	0.701995975763	0.586237913075	0.771183968109	0.68240198955	0.694117450162	0.659210965773	0.263151021953	0.679827018594	0.791813057032	0.661786471553	0.676001528619	0.653612115066	0.806610057445	0.437348276152	0.954480626737	0.833105082923	0.357868125086	0.690011026993	0.685389315656	0.713850679561	0.63462974954	0.853210320258	0.672828361302	0.820817422354	0.953277256737	0.677042682651	0.838406372613	0.89213940228	0.705846821768	0.646384808149	0.476597358392	0.870876788934	0.645649182418	0.668891997167	0.167064277252	0.901328574671	0.866867163331	0.825090082989	0.54676330845	0.708173375649	0.644340928728	0.692573663515	0.612100168395	0.475976736538	0.376333545634	0.664157643863	0.193272610854	0.6335606714	0.687095642572	0.702249126251	0.75032189629	0.950447365135	0.568455598369	0.645552640033	0.948515239212	0.840323439927	0.453741571988	0.698876309987	0.674026020516	0.662518038858	0.711418255664	0.636000720023	0.669156764138	0.753660223012	0.968510304188	0.670488941606	0.913077157486	0.886686582823	0.912706752529	0.661061987221	0.618858679362	0.229362751025	0.846281546319	0.175266711969	0.881167392079	0.246395454978	0.630844646492	0.639166836114	0.685794899482	0.6290091936	0.712277689837	0.647121734439	0.684699067158	0.961997529779	0.965943470316	0.406984600217	0.779045258757	0.971658082247	0.966597820788	0.162909618824
M2.8.22.17	0.76441938184	0.728852081861	0.834809937331	0.0	0.773728548369	0.63759778177	0.157153492004	0.568586722872	0.572638374315	0.782135833097	0.854852750422	0.318938705441	0.213210171843	0.730495329163	0.228297491291	0.696449630261	0.879746618361	0.767221207638	0.190761439092	0.698386412015	0.251201329986	0.632895187251	0.737871782745	0.789580799993	0.841358419639	0.312005887861	0.639495657028	0.784921539782	0.789206939279	0.715863090624	0.806479340239	0.802736328917	0.913644455158	0.711813792698	0.762002281567	0.43812332842	0.586566327308	0.80090843873	0.642115390736	0.604072452485	0.538161422644	0.7935822297	0.853844794341	0.894691187333	0.526116799078	0.916476816604	0.257175045653	0.913422572981	0.743503494998	0.448057193477	0.745673237326	0.783601968752	0.746923803597	0.853736679447	0.752321730399	0.770354760796	0.339390763133	0.759918705916	0.820211616294	0.216754307239	0.583354213407	0.723047263018	0.780334363428	0.356083829007	0.507917202559	0.576908269135	0.783056213019	0.663901120666	0.755697600604	0.191422460881	0.775011393564	0.766316071833	0.797940257536	0.265705443886	0.682536299693	0.942409189984	0.298965946746	0.830935915656	0.769174196025	0.780592287671	0.777390820419	0.714379422814	0.800926168222	0.745319283657	0.80720522411	0.90397054026	0.775835288285	0.124493371447	0.877128894162	0.807740810724	0.763153036998	0.804113675592	0.282478186548	0.73627325848	0.762738857058	0.825551008821	0.891087601257	0.882173087113	0.182047827848	0.854711379578	0.789907784556	0.613340522729	0.747090748141	0.721255947535	0.685211315836	0.830828062981	0.722131725342	0.842484057593	0.727918533362	0.725028710459	0.742025683597	0.771635790721	0.930642042553	0.681297130606	0.718868927963	0.934916040752	0.899911207784	0.807449674725	0.751053188887	0.574004016834	0.782779903982	0.742823077656	0.754315347347	0.718850887273	0.834912768241	0.935684402854	0.712167968259	0.917592404524	0.853646125651	0.913481119407	0.781474173201	0.700776841704	0.836598826157	0.306904507068	0.821310811777	0.825272127591	0.82980490917	0.704121082385	0.718848935787	0.731097132016	0.709108764448	0.755527900893	0.777023554235	0.721253219372	0.92908314969	0.944456704784	0.840804794025	0.787207772143	0.95340883137	0.933175509051	0.838550389171
M14.11.27.17	0.688303215688	0.732575955996	0.702988716131	0.773728548369	0.0	0.803016623969	0.775082488664	0.733747009591	0.790241309669	0.708123706084	0.723270630389	0.750879668133	0.783087914232	0.499900885111	0.779191829951	0.508276136261	0.954271160618	0.676639811869	0.764875227638	0.679780241227	0.754358801324	0.747806277481	0.400085830919	0.689431981831	0.809385935488	0.736641253258	0.732083268664	0.728847964847	0.723209644977	0.472306551881	0.733156644678	0.704292406456	0.893650729114	0.44048833249	0.713774710479	0.645815231171	0.725308275286	0.787836069625	0.880560068695	0.70857200678	0.791542575281	0.731611610507	0.68747304769	0.871366686003	0.667614809357	0.883863412289	0.777690408533	0.898965802737	0.765978426139	0.662719276735	0.694197519421	0.656137426054	0.73533207155	0.714734884786	0.719820403415	0.709746865261	0.624768032534	0.654024664396	0.684442818662	0.781848661297	0.751684667212	0.632894484004	0.75532211564	0.710832379598	0.770717962535	0.822176490867	0.656194141906	0.694656657081	0.703203601834	0.73299844539	0.69696840865	0.683001508197	0.693119603722	0.741938596241	0.716777597104	0.976865718235	0.72391653992	0.663923234147	0.647300873309	0.66436476279	0.733146679225	0.449472040301	0.89185326636	0.505591784034	0.709533311185	0.93640158631	0.674095033558	0.766512197013	0.794561208366	0.740714675225	0.675548017466	0.804907055008	0.794802603435	0.762873589765	0.243488478861	0.687820780793	0.820990709388	0.73500785483	0.751507669172	0.866143201527	0.690975612367	0.75290464156	0.410219344629	0.731303268857	0.703797849672	0.739732275706	0.444275811024	0.71738779292	0.750353496653	0.459026361548	0.639533250872	0.630248023176	0.96517715362	0.686663378828	0.672561224612	0.966008951062	0.771325003381	0.820093784607	0.739622758638	0.637796069372	0.751615190351	0.690599834569	0.597755080307	0.42066143181	0.74827288952	0.983948028963	0.640620870326	0.873964647498	0.889131282231	0.883924083754	0.710266196557	0.53507650847	0.67178608542	0.691461307514	0.704360110681	0.796080518455	0.744781617949	0.416621720015	0.424504984831	0.27857293531	0.485404763855	0.539268915647	0.77944707528	0.4828489177	0.977845288118	0.983709748123	0.893824691896	0.745632584798	0.985901709067	0.9772125266	0.745874269386
M2.7.25.17	0.773483373994	0.372232802059	0.573253384685	0.63759778177	0.803016623969	0.0	0.656333178338	0.373517881495	0.347333316601	0.617485706382	0.545205917887	0.646515792656	0.678563102923	0.78197187713	0.661797554156	0.756696367585	0.798644346493	0.79053981931	0.700438589032	0.579976095769	0.675223474048	0.359643892207	0.7525646908	0.711943240508	0.459138697666	0.615893362712	0.345426537208	0.823754799558	0.714393212116	0.776003819116	0.723178077669	0.81701022922	0.799934017444	0.744487870666	0.740192079857	0.520153379522	0.433318114073	0.670025965366	0.539795014932	0.368739407256	0.43746477032	0.702680580318	0.516263714742	0.863730507516	0.717085102929	0.791447421931	0.595152228799	0.886326802534	0.629439107526	0.529034153823	0.619895629213	0.814950362787	0.626728866569	0.529703458616	0.734282569452	0.681197764367	0.600740389608	0.802274098994	0.754308321076	0.67950285789	0.431267872147	0.668886755292	0.62731661656	0.573215003439	0.440413693847	0.451761212119	0.812693300853	0.475572619622	0.771349446285	0.59758694223	0.787750466807	0.795288561416	0.803139621368	0.617355319483	0.409090466031	0.827631173038	0.63751199093	0.635809628694	0.810391335559	0.811061181582	0.727489596623	0.763606026537	0.692565003262	0.748904078623	0.819346488846	0.8424459895	0.804396269573	0.641632807796	0.774063373154	0.646686864058	0.807484069607	0.484316817182	0.697338348721	0.517803226494	0.805423742354	0.559591896647	0.747329415004	0.810625959137	0.636243327731	0.518380686048	0.73231190145	0.441139206199	0.812599267149	0.467931404629	0.345423045439	0.600961802804	0.724668095787	0.559626849492	0.579685267114	0.766241637932	0.761847596889	0.713707029357	0.802466128399	0.409213477676	0.64612479758	0.909582241634	0.786842149982	0.447350451586	0.664037072106	0.546612440903	0.657093924935	0.764079608443	0.813401259492	0.720292848715	0.65636215922	0.934801371061	0.694527725991	0.836783224943	0.744735767315	0.787243106367	0.782046280661	0.768716295383	0.554255984345	0.697360822496	0.536680631813	0.748467749239	0.565931548169	0.739039928674	0.737037835894	0.776425917273	0.770533704218	0.791650427927	0.449177734224	0.778319763918	0.813871808489	0.943940875216	0.573600098473	0.712667485548	0.942532504032	0.946831851718	0.62106860226
M3.8.22.17	0.777163697687	0.756546419585	0.848195443813	0.157153492004	0.775082488664	0.656333178338	0.0	0.592391703328	0.575117942048	0.800941545332	0.863838112282	0.288377182739	0.163772257715	0.74974814469	0.213789665594	0.706688431298	0.872024134573	0.772045004145	0.168955281511	0.72397925514	0.218265096925	0.654891013053	0.728907914711	0.805128762964	0.850706375349	0.331089900443	0.658468994952	0.776614177502	0.804443166429	0.721859611782	0.824226680225	0.820442464294	0.911876518322	0.716291511366	0.775760343789	0.452120554524	0.604495844305	0.782005973539	0.652894359736	0.616780658198	0.547582758453	0.809271826687	0.864561250624	0.898031574158	0.481910257197	0.917785233575	0.245999373372	0.911775347973	0.763638415621	0.459227480448	0.759165408099	0.771903124131	0.74379433866	0.867795759692	0.760602485066	0.785745583398	0.311844465185	0.774424850265	0.834917156369	0.216859431922	0.590291977133	0.744101272199	0.795919150207	0.387188749474	0.532314134128	0.595153378964	0.771609574561	0.685219137349	0.763573708677	0.235436854649	0.782269643194	0.768512011367	0.798734079009	0.280533830668	0.698661457544	0.949888318131	0.266083308645	0.833973846444	0.773437105803	0.77339304534	0.791294524563	0.722068698157	0.776476599743	0.74323990519	0.80664206206	0.877449794195	0.784414750338	0.143696239136	0.890244680146	0.803764720883	0.768114750202	0.815929293276	0.224705855505	0.754967968431	0.765003507117	0.836943624205	0.892203844159	0.902972530658	0.13851504527	0.862909193843	0.801675386925	0.632103331608	0.74237433404	0.738733387786	0.70798801974	0.839774940548	0.739227994254	0.854025177851	0.743420198057	0.724123872134	0.743163583636	0.75913513004	0.935659468926	0.694754566391	0.717961280414	0.94194889544	0.904656234525	0.814993159688	0.765205196591	0.566908875725	0.775656741756	0.757409029411	0.757280326047	0.73777866558	0.819013413503	0.941949964155	0.711370442935	0.926998332481	0.844640325349	0.923977107814	0.79774880757	0.724308201879	0.851263872565	0.316351592547	0.825592940233	0.851430839411	0.835307270211	0.72104780945	0.737788884222	0.737936561232	0.727667895713	0.764482985262	0.78015863703	0.728738815081	0.932293693028	0.951261120068	0.865589768958	0.794544491428	0.952138258927	0.928585743953	0.850251447326
M1.8.8.17	0.752343175293	0.328956331784	0.605949644491	0.568586722872	0.733747009591	0.373517881495	0.592391703328	0.0	0.321603563834	0.679873157492	0.590077800988	0.538599091815	0.607138096509	0.755067420368	0.596497389159	0.736384689639	0.87228774148	0.755579547913	0.590370351931	0.648632800728	0.590140645611	0.23823770871	0.729223206422	0.712032158327	0.662079968788	0.66488311951	0.273010174795	0.832166465454	0.737178922869	0.727139379122	0.716172399205	0.755335263901	0.910379555249	0.734039707174	0.683446543931	0.433004861587	0.460733033181	0.693781610758	0.500392865757	0.175928479885	0.222568579571	0.692154861175	0.558538651053	0.893725974777	0.692911844557	0.902320487546	0.53126739807	0.890118053822	0.736434723614	0.51731014273	0.673781221436	0.774290408473	0.680568557363	0.573008696331	0.703026960757	0.6823702894	0.494972019671	0.761156228471	0.742325423376	0.577904088345	0.165429775026	0.70174549692	0.662857444631	0.614347494206	0.393747713419	0.214306334914	0.780135837017	0.497563871951	0.740814193391	0.625357318855	0.752176714295	0.757914913869	0.765462457933	0.641450227238	0.278886444301	0.912316817213	0.540364853844	0.627937957677	0.767694637565	0.777316396031	0.706838019525	0.738409640136	0.795971940572	0.745154583482	0.827371389903	0.893480290981	0.764827360748	0.597438677792	0.831935944313	0.678412719153	0.76468589661	0.588574649631	0.597539266956	0.584381710502	0.751784840916	0.589326763075	0.858018247395	0.844627744574	0.589776444069	0.667908499165	0.694453931617	0.336506069774	0.75453987042	0.49510560958	0.285734413475	0.657031878225	0.737775532972	0.593953651132	0.506339686835	0.733766673934	0.710952000948	0.658699330724	0.915576237143	0.261759598305	0.685789818582	0.923872763783	0.824243149161	0.632274116626	0.69857811813	0.405447625694	0.71325925539	0.693160138033	0.763429376355	0.721822248396	0.679212463224	0.927226809976	0.675957163685	0.892016164567	0.814657530833	0.894284301318	0.745929752287	0.728008973146	0.573538422667	0.694103668888	0.59961784076	0.823332061976	0.638784713108	0.723726622221	0.725465849318	0.727781133018	0.746671064264	0.769829924694	0.44473044003	0.74240552471	0.912742710898	0.946203576095	0.737480161984	0.723625654368	0.961224462881	0.925169728238	0.65666493618
M1.7.25.17	0.792912933261	0.512599225679	0.739037092562	0.572638374315	0.790241309669	0.347333316601	0.575117942048	0.321603563834	0.0	0.683657935627	0.725581180831	0.528654878386	0.597046506904	0.801556158556	0.5855155356	0.801915663702	0.708948501683	0.816651547557	0.57861723183	0.626839758668	0.570361846644	0.410754413078	0.803297355755	0.726358364632	0.591868904986	0.661179269932	0.454135885178	0.842881943455	0.714720657142	0.794434467148	0.722620138455	0.829524404372	0.764287598828	0.798597514244	0.736822154635	0.495024210191	0.434179148455	0.607050758448	0.36605460095	0.394016870729	0.384717477381	0.699862920175	0.690106047063	0.825663971066	0.664293586988	0.769644414732	0.511454429954	0.82733147239	0.626175109564	0.554191985029	0.643617098077	0.829229387196	0.656829193636	0.679929569704	0.726152506643	0.68725867195	0.562883743995	0.79750018745	0.765489345555	0.573396327697	0.30428022703	0.713175703322	0.717569612195	0.626280736994	0.410772967162	0.356901101647	0.838068338152	0.61692916434	0.783305468325	0.633248976731	0.805994129312	0.811820446479	0.824126816362	0.653896955338	0.510974742337	0.756348375016	0.560344295881	0.738817292465	0.825415049789	0.832623044814	0.713786238048	0.811385830456	0.644604241566	0.791929955697	0.803123830298	0.73574341138	0.821780340155	0.607044359583	0.818246145528	0.602199881753	0.822375734881	0.621912220077	0.582610221056	0.613274839978	0.812164711745	0.710958731702	0.733135500554	0.826178930324	0.600272224569	0.589493211718	0.732104372842	0.387174376176	0.819939316883	0.568787112951	0.463510988888	0.726601705718	0.805744747751	0.713558388915	0.562665493501	0.802419315874	0.751925337181	0.681950717516	0.799235660566	0.441572838541	0.665753640392	0.854984233548	0.810512044119	0.572174312595	0.704036947637	0.521110868498	0.682323761608	0.763061675771	0.808184198212	0.797730046422	0.60736364969	0.850006976946	0.711079068581	0.822339266636	0.667162807388	0.757284063416	0.798629130036	0.7964876165	0.670046639116	0.673961465996	0.711081466926	0.805883073687	0.73658465629	0.795845107978	0.794566589457	0.804753022899	0.821940607646	0.820880966857	0.461609920498	0.81711764512	0.751350178774	0.890864282653	0.772039531163	0.679736601252	0.898924625509	0.844883530156	0.780263240704
M23.11.8.17	0.67550019315	0.572505538286	0.65465790241	0.782135833097	0.708123706084	0.617485706382	0.800941545332	0.679873157492	0.683657935627	0.0	0.708274561916	0.756126427582	0.815895409095	0.664224719028	0.793349649208	0.664701055201	0.673897828662	0.642234012407	0.808626924079	0.388138972124	0.770148273682	0.60119942837	0.640102278147	0.480325350756	0.701464496825	0.741364898854	0.570257656	0.77225902794	0.47062235148	0.598510822209	0.517210970165	0.698333221868	0.731595326511	0.662666547595	0.504055060512	0.706661720768	0.686458272417	0.447816593962	0.799370005577	0.632183458448	0.759476746492	0.460526862574	0.671630758114	0.865036149412	0.815432819874	0.75259679645	0.806671443266	0.88489551729	0.483519690872	0.716702845527	0.30578604075	0.719904644028	0.290814656199	0.635466831961	0.487503916306	0.410216500542	0.624080104728	0.698482635719	0.525228470287	0.818294748665	0.700671712439	0.345071820444	0.810768055735	0.757837203288	0.787460148741	0.781547393661	0.676336515159	0.684503676128	0.669456882578	0.770963861472	0.686635506966	0.697038722009	0.682807654618	0.760467315569	0.589557744349	0.722686814247	0.742902434179	0.757061934116	0.703601525683	0.704392791968	0.491088452984	0.632994055102	0.575993085996	0.717633370158	0.887017281582	0.845040473263	0.712896055041	0.778035381327	0.955176499359	0.353321200206	0.660135065458	0.764714121864	0.829200220573	0.800507024815	0.661827115714	0.620072163039	0.671656331254	0.910827351386	0.763948304933	0.715797851966	0.480911917117	0.563535234778	0.620173075596	0.769659858158	0.626485100647	0.820690926299	0.673648087427	0.680710397812	0.574384953313	0.635339187168	0.468264917221	0.577090854577	0.741762742079	0.674672198335	0.382297275974	0.915031475639	0.893021811008	0.729912567854	0.818674059816	0.685229844406	0.334027290449	0.507016248407	0.674339548079	0.646040876846	0.448521357643	0.931318679371	0.387659101696	0.84923044303	0.603614355288	0.760092743378	0.678279744369	0.618636998628	0.716144080918	0.783870251219	0.634502418462	0.93098268095	0.689700434852	0.608243159058	0.623157407279	0.681113281093	0.61834851243	0.721447357838	0.742924435949	0.644056493494	0.715628564616	0.962130847392	0.780448476519	0.878372738723	0.961079558649	0.966281672672	0.68625693282
