#Taxonomy	M34.1.30.18	M5.9.5.17	M20.11.27.17	M2.8.22.17	M14.11.27.17	M2.7.25.17	M3.8.22.17	M1.8.8.17	M1.7.25.17	M23.11.8.17	M19.11.28.17	M9.7.25.17	M8.8.8.17	M19.12.11.17	M4.8.22.17	M11.11.27.17	M24.11.8.17	M33.2.27.18	M9.8.8.17	M24.12.19.17	M6.8.8.17	M4.9.5.17	M12.11.28.17	M30.11.8.17	M20.10.31.17	M6.9.5.17	M2.9.5.17	M31.3.12.18	M29.11.22.17	M15.10.31.17	M27.11.8.17	M27.12.6.17	M35.3.27.18	M15.12.11.17	M30.12.19.17	M2.9.19.17	M5.7.11.17	M22.12.6.17	M4.7.25.17	M2.8.8.17	M8.8.22.17	M29.12.6.17	M18.11.28.17	M38.3.13.18	M8.7.25.17	M36.3.13.18	M1.8.22.17	M38.3.27.18	M24.12.6.17	M9.9.19.17	M23.12.19.17	M34.3.12.18	M22.12.19.17	M17.11.27.17	M27.12.19.17	M30.11.22.17	M8.9.19.17	M32.2.13.18	M29.11.8.17	M7.8.8.17	M3.8.8.17	M21.11.8.17	M10.7.11.17	M1.7.11.17	M9.7.11.17	M10.8.22.17	M32.3.12.18	M3.7.11.17	M31.1.30.18	M9.9.5.17	M33.1.30.18	M31.2.13.18	M33.2.13.18	M10.9.5.17	M3.9.5.17	M35.4.9.18	M10.7.25.17	M19.11.14.17	M32.2.27.18	M33.3.12.18	M29.12.19.17	M12.12.11.17	M22.11.8.17	M18.12.11.17	CS.283.S145.L001.001	M37.3.27.18	M31.2.27.18	M5.8.22.17	TFS.023.S170.L001.001	M22.11.22.17	M34.2.13.18	M16.11.27.17	M10.8.8.17	M7.7.11.17	M12.11.14.17	M18.10.31.17	M35.3.13.18	TFS.026.S116.L001.001	M8.9.5.17	M16.10.31.17	M30.12.6.17	M6.8.22.17	M12.10.31.17	M8.7.11.17	M1.9.5.17	M17.10.31.17	M13.11.14.17	M17.11.14.17	M7.8.22.17	M13.10.31.17	M21.12.6.17	M23.12.6.17	M38.2.27.18	M9.8.22.17	M21.11.22.17	M37.4.9.18	CS.224.S144.L001.001	M16.11.14.17	M2.7.11.17	M1.9.19.17	M7.7.25.17	M27.11.22.17	M34.2.27.18	M15.11.14.17	M23.11.22.17	M38.4.9.18	M21.12.19.17	M35.2.27.18	M24.11.22.17	M37.3.13.18	M32.1.30.18	M11.10.31.17	M19.10.31.17	M7.9.5.17	M18.11.14.17	M6.7.11.17	M3.7.25.17	M13.11.27.17	M15.11.28.17	M14.11.14.17	M11.11.14.17	M4.8.8.17	M5.7.25.17	M14.10.31.17	M36.4.9.18	M37.2.27.18	M20.11.14.17	M4.7.11.17	M36.2.27.18	M36.3.27.18	M5.8.8.17
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0.00067272801402536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102557090113497	0	0	0	0	0	0	0	0	6.71351206194334e-05	0	0	6.01711870270921e-05	0	0	0	0	0	0	0	0	0	0	0.00363783033283433	0	0	0	0	0	0	0	0	0	0.00013576224328594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107536999448873	0	0	0	0	0.000177043375627029	0	0	0	0	0	0	0	0	0	6.65668164420037e-05	1.23914201806669e-05	0	0	0	0	0	0	0	0	2.82901437139301e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00598446887838704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Thaumarchaeota	0	0	0	0	0	0	9.07476308386377e-05	0	0	0	0	0.00022142924058287	0	0	1.63286633356193e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32957506780833e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20586532896006e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7524820066707e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.52834683182468e-05	0	0	0
k__Bacteria	1.0415798683443e-05	0	0	0.000137177632563476	6.99251800573386e-05	0	0.000129639472626625	2.91259308162057e-05	1.32025401687285e-05	0.0147339669568307	6.66481532907526e-05	4.25825462659365e-05	0	0	6.53146533424774e-05	3.30917634600748e-05	0	3.89554738933399e-05	0	0.00265545769949293	8.44042117701673e-05	0	4.99841716789683e-05	2.95779230382443e-05	1.35948991938225e-05	5.62263673549711e-05	1.13952322348329e-05	0	2.75482093663912e-05	7.47562944799952e-05	2.3447208609815e-05	0	0	0.0001263699653057	0	4.47567470796223e-05	3.4611657206147e-05	5.40754893831789e-05	0	0	2.79084046160501e-05	4.17019975256815e-05	2.28453937974756e-05	0	0.000245519273262951	0	0.000110633236990223	0	0.000212732010849333	1.55131357476944e-05	0.00141516109250436	0	0.000899216397139636	2.26847388419441e-05	1.50925171300069e-05	1.72956518731191e-05	0	0	4.99394484187922e-05	3.70260663507109e-05	1.28481858361599e-05	0.00786267871002576	6.55243586803394e-05	7.61015702290657e-05	0	1.14077116130504e-05	0	0	0	0.000113550340651022	0	0	3.66932080871831e-05	1.27124569365521e-05	0	0	2.3161283598337e-05	0.000212958526326998	2.86804141451803e-05	1.23216442002021e-05	1.67664269067619e-05	0.000108620385330817	3.69351234556502e-05	1.37010700535712e-05	0	0	0	6.02932664480031e-05	6.72106246555456e-05	4.60985279203417e-05	0	0	0	2.95072292711714e-05	0.000147239263803681	0	0	3.21145848387045e-05	0	0	2.49159088077738e-05	1.9121190102872e-05	4.50673757267114e-05	0.00159760359460809	2.47828403613338e-05	0	8.38855800687862e-05	4.18211726656815e-05	0.00010584250635055	0	0.00381790415242528	0.000101770812131081	0	2.82901437139301e-05	0.012780531269143	0	2.82055621368534e-05	6.12459883877606e-05	0.000261101150585737	0.00118161408483989	0.000638895987733197	0	0	5.85148920400242e-05	5.2949274594938e-05	0	0.00157352418658951	0	1.47396969518307e-05	0	0	2.50988266298551e-05	3.87521798101143e-05	0.000173498156582086	2.26700822923987e-05	0.000142487354247311	0	9.6184234029982e-05	3.30218274279299e-05	0	0.000122102606890657	0	5.76103237700196e-05	0	0	0	0	0.000762267746545974	0	0	0
k__Bacteria;p__Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55408270119786e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria	0.0220919090075827	0.0273679977884446	0.0117303623557139	0.036838429690228	0.000489476260401371	0.0623802340278061	0.0211441979854026	0.0480286599159231	0.0416540142323383	0.00406377686978149	0.0431991113579561	0.0457847537451349	0.0409829896131266	0.0123530858126383	0.0132262173018517	0.00312717164697707	0.000955668675521229	0.0129202321746244	0.04304906392869	0.0040165465705898	0.032400666793273	0.0330964211585634	0.011096486112731	0.00800082818184507	0.0202835895971831	0.0216752646153414	0.0508113405351201	0.00846168676763565	0.00588154269972452	0.00481430536451169	0.00626040469882061	0.000781162816649927	1.58851188206888e-05	0.012407232957287	0.0202162292512359	0.0167390234077787	0.0167520420877752	0.00374923393056707	0.0696331061871023	0.0336198380888581	0.0481699063673025	0.0123159899359179	0.0250385516020332	0.000266227794181713	0.0120304443898846	0.000337402004564851	0.030935818893391	0.000516173434273916	0.00253948837951391	0.041924249358144	0.00300014151610925	0.0183127052285931	0.00362541214084869	0.00482050700391312	0.010866612333605	0.00992770417517036	0.0160978429887166	0.0146329452319814	0.0165674120129343	0.0561315165876777	0.065153150375167	0.0169064464966648	0.054827507125774	0.0149159077648969	0.0112595505115947	0.0775724389687429	0.0114684379031873	0.0134943181818182	0.02127405639266	0.0311279333838002	0.0252548255877872	0.0196636179306522	0.0228965618464022	0.023047684425969	0.0301568951279934	0.000275849386235116	0.0684647543166842	0.00202310600010648	0.00737086643531133	0.0254565169176175	0.0163975655148131	0.00889329404896064	0.00323182330236939	0.0582432487977311	0.0182704019488429	0.00861784039857512	0.0151650471563304	0.0282534246575342	0.126597932601186	0.0115707305080058	0.0111328928580072	0.0118654046465287	0.0395419683725487	0.0315727353201534	0.00107975460122699	0.0106423764889412	0.00494192666818492	0.173884419609166	0.0204896974781104	0.0112756068170081	0.0174162202566339	0.122012314046426	0.00121681914462121	0.0194375104010651	0.0367653436760387	0.00115006176257614	0.0109650436804199	0.00535311010120724	0.262277730736664	0.00415770086436413	0.00559959275689041	0.00234072867901486	4.48839749248193e-05	0.0140884915695372	0.00334131536448182	8.55314926956105e-05	0.0384441811925312	0.0205051569122222	0.0298699716270083	0.00100437197211391	0.00217224635829287	0.00387306346826587	0.00854304020800446	0.0132536230470655	0.0223710685163613	0.000671218165081313	0.00969493934318055	0	0.000751724544543364	0.000745865110294803	0.0185661074697543	0.0037397251678484	0.00922301879480721	0.00902190414226849	0.0129219469066673	0.0620769906670783	0.00213143872113677	0.00643060307514737	0.0131977236953626	0.00343047229633736	0.00278800952400334	0.00223309735354207	0.00622191496716212	0.00138787918842112	0.00116398800196983	0	0.0329879101899827	0.00666984278227727	0.000121050720251786	0.000211148648648649	0.00374044560091072
k__Bacteria;p__Bacteroidetes	0.550422881426548	0.380638837928175	0.504579662015587	0.240721803761161	0.262918677015593	0.463947894157459	0.218870321635532	0.235813244531606	0.241976156212455	0.443562355658199	0.487409053040822	0.258433473287969	0.162476792613779	0.547076469141874	0.179974527285196	0.70356398292465	0.41889493495602	0.519458259209723	0.200674277833116	0.455724579663731	0.142379354729801	0.348374111579345	0.573068528299372	0.447129462569138	0.529208640917928	0.430764256898272	0.343372532932221	0.608277457638011	0.506501377410468	0.513829914478799	0.500468944172196	0.127106349737752	0.281055407294447	0.606483928038049	0.4385273903782	0.333437765743186	0.392184687802852	0.443563214247089	0.117634670637965	0.306938562328977	0.211210806134267	0.460098138700844	0.499480267291107	0.450554237862433	0.1751166216548	0.416989183288677	0.246961043271425	0.179284239504474	0.456350050523853	0.261373067645028	0.387678664087929	0.510757996739305	0.44134397168182	0.44259059717575	0.450058860816807	0.454356774706839	0.250777480961684	0.468817053009251	0.452850918261608	0.134848933649289	0.166987871312571	0.470512142720554	0.269059397831144	0.422338347581238	0.354675841115232	0.1717659137577	0.526341568308883	0.557081980519481	0.499194390571386	0.279273277819833	0.510012407532472	0.550318731492422	0.521936422901454	0.393450542186288	0.299471511147812	0.351202243575008	0.255468958089657	0.309535218016291	0.501706484641638	0.579339067005101	0.459467162952903	0.578267776404937	0.414633695913129	0.537684793182348	0.27035510165839	0.155635259698131	0.549960703058017	0.252821724869767	0.290255803637439	0.388364731552906	0.477794719136475	0.50532131696934	0.124810556771734	0.275951608143995	0.352245398773006	0.480440501844238	0.422705534046914	0.245339370875283	0.282566979499817	0.503442933379239	0.337710227980566	0.314103789819878	0.36919194195322	0.348211016808121	0.312672705418768	0.48886143885505	0.628974079355759	0.57989238018234	0.172629127857748	0.572972512977619	0.363282670351247	0.250356197842459	0.220215742306139	0.228216589340274	0.461936849139611	0.0729754695678949	0.419670559034242	0.561392978759891	0.18397187070271	0.192721257237386	0.534372604140046	0.372938530734633	0.364054229733494	0.584856345940042	0.253124007201101	0.0289966247315127	0.391452210547688	0.295431123325318	0.337981251105477	0.39116895709411	0.535067709987584	0.550304323272887	0.457236969579539	0.297158967685968	0.5439912946884	0.208696478187561	0.706358792184725	0.559380023908652	0.577331616198307	0.442704182404103	0.601864099798531	0.69302038295244	0.283903675538657	0.607864648734386	0.270000447687693	0.00698496012920157	0.793955094991364	0.152929966650786	0.00145260864302143	0.015625	0.641323792486583
k__Bacteria;p__Firmicutes	0.275081243229731	0.395554271066322	0.276895471223118	0.680126702249713	0.594154254947207	0.402067109715823	0.729831339046113	0.584440927757983	0.600860805619001	0.234566530467223	0.351302415995557	0.649894821110723	0.764902905313864	0.23101057290386	0.777048430815453	0.151957377808663	0.215103465761707	0.277414914752438	0.717876024825684	0.277782225780625	0.774376991411871	0.447776589722624	0.239457505123378	0.320861309118874	0.383240208273856	0.462012060555798	0.399209170882903	0.327092393050706	0.287796143250689	0.226167693319778	0.257673099017562	0.796786072982926	0.40591244122506	0.235048135468603	0.310035770266468	0.50355816139283	0.480098297106465	0.314448970763185	0.736796185146742	0.508248839031258	0.691542357981106	0.295986877771445	0.335416071734537	0.348976233118738	0.797262460103118	0.380073434553935	0.695523502648283	0.757570543702684	0.325878849119821	0.526376209055017	0.323779423557715	0.362970447082597	0.32096316067427	0.35308796007486	0.30332940927888	0.283821647237884	0.54143574817591	0.375145098315101	0.326466659175749	0.770031101895735	0.651518655565834	0.26399028132417	0.633014448121089	0.515816443012608	0.572315803583397	0.650638831850331	0.305359105461844	0.305823863636364	0.316962554080263	0.631180923542771	0.316392078026103	0.290811488920981	0.295135703714576	0.511104331134078	0.474104046242775	0.386143165831456	0.639668330418872	0.580365223872651	0.372730662230763	0.274070331945095	0.289891521217913	0.22287545315067	0.286044063602283	0.243002178470139	0.673053499484681	0.446071170630792	0.320020005715919	0.679022766737411	0.486685575255736	0.264743845846523	0.335245286671991	0.438272723155654	0.807158275033296	0.644762466804367	0.454871165644172	0.311881122671567	0.368412662263721	0.508855596769273	0.645561788916269	0.320164113157744	0.451650678958515	0.377203717159356	0.374329622786065	0.564752870693959	0.46823459436686	0.463687864718661	0.203398564358215	0.260392561407422	0.285033869602032	0.195022915982834	0.339720747581994	0.630164868715652	0.539310881371654	0.607559126400362	0.286044439494348	0.703205720346232	0.529615840243696	0.320096033709792	0.729446987763059	0.695261727519792	0.221441349348326	0.382033983008496	0.483192496982078	0.240954572938813	0.436381446574182	0.655396594047254	0.319907618902594	0.545898698423604	0.395878780732268	0.355031792500326	0.277452141021569	0.225676099642342	0.374539817864755	0.647928865755801	0.282956632132575	0.671542900567575	0.171722912966252	0.219945862016846	0.211746964743696	0.388648255310302	0.195862756669855	0.165534280420012	0.639071321580827	0.153684488797832	0.298249541120115	0.796911274856162	0.119516407599309	0.82229633158647	0.884194810959125	0.581714527027027	0.159700764351927
k__Bacteria;p__Fusobacteria	1.0415798683443e-05	0.000251313111005001	0	0.00310520277348232	0.0110481784490595	0.000315978309617972	0.00812839493368941	0.000126212366870225	0.000118822861518556	0	0	0.0120593771025132	0.00536906016358071	0.0297221539218097	0.00426178113059665	1.65458817300374e-05	0	0	0.00684494163921028	0	0.00242662108839231	0	0.0154617704393609	0	0	0.0117091410016727	0.000421623592688819	0	0	0.0345374080497578	0	0	0	0.0176228660708131	0	0.0167837801548583	0.00186902948913194	0	0.000120342374054184	0.00034062652572298	0.000181404630004326	0	1.14226968987378e-05	0	0.000797937638104591	0	0.00521359129316425	0	0	0.0099128937427767	0	0	0	0	0	0	0.0147920736812727	0	0	0.00282632306477093	8.99373008531195e-05	0	6.55243586803394e-05	0.00568225057710357	0.000938295875966221	0	0	0.000405844155844156	0	0.00934897804693414	0	1.45872536577539e-05	0	0.0145811881062253	0	0	0.00551238549640421	5.32396315817495e-05	0	0	0	0.00897475933795875	0	0.0101250907695891	0	0	0	0.00376229982635539	0.000134421249311091	0	0	4.52878039943843e-05	0.0031841770892335	0.000118028917084686	0.0212515337423313	1.32203434645232e-05	0	0	0.0125832328422377	0	0	3.8242380205744e-05	0.0242462481409708	0.000266267265768015	0.000136305621987336	0	0.0196891440075737	1.39403908885605e-05	0	0.037005969096855	0	0	0	8.48704311417902e-05	0	0	0	1.22491976775521e-05	0.000835523681874358	0.00785773366418528	0	0	0	0.0210068462423687	0	1.91776618594661e-05	1.26897111821735e-05	0	1.47396969518307e-05	0	1.44370975659054e-05	0	0	0.00412058121882455	1.13350411461994e-05	0.000166235246621862	0	0.0292125259353917	0.0269017820779535	0.0226619078970165	0	0.011830664702808	5.76103237700196e-05	0.0422179631220673	0	0	0	0	4.03502400839285e-05	0	8.13140348024069e-05
k__Bacteria;p__Lentisphaerae	0.000177068577618532	2.51313111005001e-05	0	0	6.99251800573386e-05	5.09642434867697e-05	0	0	0.00017163302219347	0	0	0	0	9.83525940496681e-06	1.63286633356193e-05	8.2729408650187e-05	0	0.000415525054862292	3.8311240517968e-05	0	0.000316515794138128	0	0.000133291124477249	0	0	0.0226311128603759	0	6.42659754503974e-05	0	8.97075533759943e-05	0	0	0	0.0001263699653057	0	4.47567470796223e-05	0.00131524297383359	0	1.5042796756773e-05	0	0	0	0	0	0	0	0.000345728865594446	0	0	0.000488663776052372	0	0.000183701118280558	0	0	0	0	0.00199354092739524	3.517534911534e-05	0	0	0	0	0	0.00134446107404683	0	1.14077116130504e-05	0.000155301763272328	0.000588474025974026	0.00023869908995972	0.000431491294473883	0.000204174584975892	0.000525141131679139	0.000550398121307746	0.0121912462021535	0	0	0	0	8.60412424355408e-05	0.000455900835407477	0	0.000162930577996225	0	0	0.00182704019488429	0	0.000839525578736782	0.000144703839475207	0.000389821623002164	0	0.000193615527965343	0	0	0	4.9079754601227e-05	0	0	0	0.000104860273685314	0	0	0	9.01347514534229e-05	0	0	0	0.000503313480412717	0	0	1.21570200712401e-05	0	0	0	0	0	0	0	0	0	5.90807042419946e-05	0	0	0.000325006964434952	0.000360841834246816	0	0	0	0	0	0	0.000129933878093148	0.000238438852983623	0	0.0193450444589026	0	9.4991569498207e-05	0	1.3740604861426e-05	3.30218274279299e-05	0.000796978412280398	0.000152628258613321	0	0	1.32178970325821e-05	0	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55408270119786e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
