#Taxonomy	CS.047	T.CS.139	CS.138	T.CS.141	T.CS.047	CS.218	T.CS.151	CS.012	T.CS.140	CS.064	CS.074	CS.174	CS.071	CS.290	CS.001	CS.139	IMP000.L.T26	IMP000.L.T19	IMP000.L.T04	T.CS.081	CS.063	CS.213	CS.312	TFSCS028	L.004.M5	IMP000.L.T18	L.004.M3	L.006.M2	CS.230	IMP000.L.T36	CS.080	T.CS.003	CS.042	T.CS.133	CS.006	CS.233	CS.360	TFSCS026	CS.083	L.005.M3	CS.137	CS.346	CS.301	CS.365	CS.300	CS.119	T.CS.043	T.CS.100	CS.388	CS.318	CS.382	IMP000.L.T05	CS.302	CS.282	T.CS.089	TFSCS022	L.005.M4	L.007.M5	IMP000.L.T03	T.CS.148	CS.295	L.025.M6	IMP000.L.T06	L.008.M1	CS.366	CS.094	T.CS.136	CS.015	CS.023	CS.136	T.CS.146	CS.167	CS.025	L.005.M2	T.CS.067	IMP000.L.T27	TFSCS023	CS.110	CS.297	CS.193	T.CS.018	IMP000.L.T39	IMP000.L.T20	CS.143	CS.248	T.CS.145	CS.075	CS.111	CS.321	CS.065	CS.130	CS.159	CS.099	T.CS.143	CS.061	CS.175	CS.055	CS.132	CS.188	CS.232	CS.163	CS.003	CS.239	CS.260	T.CS.147	CS.238	CS.190	CS.068	CS.294	CS.176	CS.217	CS.333	L.007.M1	CS.104	CS.036	CS.112	L.005.M5	T.CS.093	L.004.M6	L.008.M4	T.CS.092	CS.325	L.012.M5	CS.169	T.CS.144	IMP000.L.T17	CS.358	CS.109	CS.007	CS.079	CS.072	CS.198	CS.165	CS.322	T.CS.014	L.008.M6	CS.117	T.CS.094	T.CS.084	IMP000.L.T30	CS.102	T.CS.097	CS.045	CS.347.0	CS.105	CS.293	L.011.M1	CS.030	T.CS.069	CS.108	CS.044	CS.251	CS.259	L.025.M4	CS.013	L.008.M3	T.CS.007	CS.172	TFSCS025	CS.090	L.005.M1	CS.019	TFSCS029	CS.118	CS.142	T.CS.023	TFSCS020	CS.103	CS.170	CS.062	CS.026	T.CS.065	T.CS.009	TFSCS027	CS.120	CS.005	CS.298	CS.011	CS.343	CS.016	CS.379	T.CS.013	T.CS.004	CS.357	CS.173	CS.046	CS.308.0	CS.151	T.CS.142	CS.269	CS.098	CS.056	L.006.M3	T.CS.088	CS.140	IMP000.L.T37	T.CS.135	L.008.M5	L.025.M3	CS.070	CS.158	CS.219	T.CS.030	IMP000.L.T10	IMP000.L.T28	CS.095	L.006.M4	CS.220	CS.275	IMP000.L.T09	IMP000.L.T38	L.007.M2	L.004.M2	CS.237	IMP000.L.T40	CS.087	CS.332	CS.305	T.CS.087	CS.231	CS.050	L.005.M6	CS.082	CS.362	CS.341	CS.194	CS.200	L.006.M6	T.CS.051	CS.008	IMP000.L.T29	CS.155	CS.141	CS.235	CS.031	CS.017	CS.053	CS.101	CS.124	CS.115	L.004.M4	CS.328	T.CS.137	T.CS.138	CS.191	CS.073	T.CS.042	L.007.M6	CS.020	CS.199	CS.156	L.025.M5	CS.021	CS.380	CS.227	CS.168	CS.077	CS.035	CS.224	L.006.M5	CS.113	T.CS.099	T.CS.095	T.CS.096	CS.284	CS.350	CS.205	CS.014	CS.009	CS.153	T.CS.020	T.CS.061	L.012.M1	L.007.M4	L.025.M2	CS.076	CS.203	CS.078	L.012.M2	CS.093	CS.311	CS.022	CS.029	T.CS.045	CS.088	CS.241	CS.049	CS.060	L.012.M6	IMP000.L.T02	T.CS.008	CS.066	L.006.M1	CS.249	T.CS.098	CS.033	CS.283	T.CS.049	CS.319	T.CS.073	L.008.M2	CS.240	CS.285	CS.161	CS.058	CS.052	CS.097	CS.345.0	CS.114	CS.356	CS.339	CS.096	T.CS.090	CS.092	CS.351	CS.228	CS.274	CS.171	CS.334	T.CS.150	CS.091	CS.286	CS.131	CS.028	CS.335	CS.040	L.025.M1	CS.004	CS.027	CS.196	CS.236	T.CS.149	T.CS.134	CS.059	T.CS.070	TFSCS024	CS.089	L.012.M4	T.CS.071	CS.024	CS.229	CS.296	CS.043	CS.133	CS.160	CS.032	CS.051	CS.122	CS.123	L.004.M1	CS.038	CS.085	CS.018	CS.084	CS.106	CS.135	CS.086	L.012.M3	CS.002	CS.292	CS.037	CS.041	CS.057	CS.247	CS.039	CS.067	CS.154	CS.164	TFSCS021	CS.010	CS.222	CS.157
k__Archaea;p__Euryarchaeota	-1.76555384020464	0.788548048652228	-3.76804180465925	-3.88545566050615	0.0851307632387727	-1.08049761699047	-4.28158881587588	2.06494385831977	-4.40000854402384	1.75245884478974	-2.455097052869	0.368951638025604	-0.722428846085301	-4.21264393818535	2.83588737582477	-5.11922616288267	-3.0551602595495	-5.04249787842791	-5.42386707932202	-3.78847009491015	-4.60421989160001	-4.35033540004923	-4.15675612248901	4.50530257377029	0.118681690882935	-5.0744794491973	2.10322703654694	4.57578725629899	-4.0457811650816	-4.65672680182171	-2.15386064205526	0.572587731622692	-3.33284654152062	2.77450226870886	-1.9780233013738	0.874135247698525	-3.9126282135745	-4.38267488409516	0.901905759389734	-3.83987230044297	-4.39889278596118	-4.65558219487714	-0.449271804256915	-3.79353521661347	-5.28029348490481	-3.08788788224702	-4.67291379261331	-3.96809217237969	-4.90985207972077	-4.82896839874807	-4.02359751506342	-5.49341441141738	-4.13814612773955	-5.83997000162999	-0.833578816526192	2.19316209921928	-2.45002522277299	1.98284244340888	-5.07934158325523	0.0596761899996839	-3.70359385157502	-4.48243728343518	-5.74438477536759	-4.10192441624241	-3.66655905126868	-4.06984705743005	-4.46016985195832	-3.16934882892849	-1.55246021404235	-3.99906583720761	-4.03191971776879	-1.85324451179605	-0.390703845292794	-4.08476599046618	-1.8871074793115	-4.523235139012	-1.80584237922409	-3.64447564619321	-3.95382360378678	-4.47850626581115	-5.21131341201626	-5.21798401932658	-5.18885473675121	1.81908545912693	-2.75788397170371	-1.00332988471009	0.697612896983314	-3.03577179597609	0.409894283945412	-3.82512577958406	1.77876192809298	2.40209797998115	-0.22140884850945	-5.13948310592612	-3.5996715425273	-2.59176660746262	-3.99588980045277	-4.45138236412627	-5.29079631088714	-0.114016410861986	-3.81198248348831	-0.263575802546902	-2.04175710100913	-1.58356134687301	1.58025667405916	-3.86934643372989	-2.57858831193196	-3.89967939966734	-3.39580910655009	-3.65464044851811	-0.544056239515396	-4.58321672223411	-1.61159806906223	-3.85816028593749	-3.94160089608444	-4.46619246026386	-4.56990076268685	-4.3656526810526	1.80313585982299	-4.78283824213675	-3.4740446112595	-4.76155046828339	-3.63259848862438	-3.2678143405934	-4.04353651365705	-5.28452144019026	-4.59682672700103	2.85264961780071	0.519694030437466	-4.3112801770141	-0.138354337641964	-4.66177320707138	-4.26984963926461	-4.24678268125853	-3.46829386863266	-5.1395851924383	-4.14857757434552	-0.214057855964509	-4.51683614202199	-4.60398598760693	-1.737528566115	1.66055724594197	-3.38794777402532	-1.30939788759054	1.08623630214493	-2.2528080491004	1.15915522354552	1.24518068476699	-3.95374491007784	4.19298756409529	-3.95442681868932	-3.64472948582484	-1.86154115683279	-4.62958461189018	-0.385313676203359	-3.51300483029839	-3.7627360315266	-4.17341023263648	-5.65533681667088	-0.240192116655916	-4.02667015526069	-3.5630159192254	-4.03887498984026	-3.66953557421969	-0.727724958626837	-6.16724145358006	-1.2404976762241	-2.12471563949534	-1.34587004886936	-1.57704733033816	-1.99501142437311	-0.602517355120317	1.54581280778916	-5.47341322535132	-0.485348222113802	0.226890840172109	3.52094999535671	3.88601353840408	-4.18642312727357	-0.847712869540854	-5.2200071313481	-5.24888198570157	-3.7732658532543	-4.0572549556118	-3.1913247822964	2.17826601604537	-4.49331990305368	1.54339288108614	-5.14711856782258	-4.67528742659385	2.1535926007933	-3.50117802259848	0.922876421946851	-5.3109703177499	-4.33207392841426	-5.24272281232027	-4.47504921295109	-5.46907016972183	-4.53806879830657	-3.95556180630106	-3.85329144718121	1.32015029584164	-4.48934448316511	-5.56418124800087	-4.72293937287399	-4.51195986122146	-4.37770243246996	-3.42922769628182	-5.77457107469534	-5.10196158865804	-5.39292369413129	2.08399217233452	-1.73937091038774	-4.55009538671342	-4.67256400438373	-3.62677888697563	-4.41376612197923	0.341698529289342	-4.29824959264079	-3.82000363737088	-3.76904008978228	-4.23129058162176	0.216702888643655	-3.5834599021935	-6.03140163738247	-3.97875450474543	-0.557634728310404	1.72879608778397	-1.11747671925495	-3.64187524309689	-4.92932393535012	2.27079080201674	2.27706526544205	-0.133900408733076	3.29007884915898	-3.53426422425397	-2.34508548190386	0.468268977814278	-3.58533177361708	-4.47577148810354	2.02454445245457	-5.02958880301542	1.40692781411054	1.49842449308571	1.1214687894316	-0.95849047087499	0.709950369932459	1.57336268095931	-3.84201090522666	-3.61618758262562	-3.94018975490152	-4.98957170638051	-5.18272648373042	-4.53617130381077	-3.4047678807805	-0.652036725869441	-0.838405340667324	0.617540598834801	-3.72623733155712	-0.535409150612625	-3.27697006415921	-0.726453698632621	1.65620962859858	1.95581204011907	-4.22156631762471	-4.47797749814719	-4.5525663607424	0.974299382043939	-4.39211805182144	-4.00974520866735	3.48699349081062	-4.39589091913257	-3.76198490321398	2.02088862529373	-4.84614180426831	-2.68031270799535	-3.99946460384158	-4.25732203316522	-3.61394863821003	-3.77188348060582	-3.76114305816503	-4.06461446394593	-3.6727447890431	-2.15693458731089	-3.32172246386496	3.4205503296315	-3.06796326348609	-3.79642118004134	-3.43018090500894	-5.17520987981709	-4.4835127789878	-3.47488886906323	-4.06347107919332	-3.98174898428291	-0.790277501828933	-0.38316818138912	-3.80323368426342	-5.1133205984857	-4.57044936666601	-3.38130331211204	-4.17860992540341	-0.877798271537587	-3.811262448819	-4.08140634037481	-3.79033527722616	-1.30666953483411	-3.51221097968183	-4.47570846341755	-4.23832713215136	-5.0018543960401	-3.70023829826079	-2.54705951422483	-3.42171927595603	2.09624884305335	-4.35481296849176	-3.86945384823151	-5.7414070082902	-3.17380458699896	-4.20074123526644	2.59828268123571	-1.24066209649486	-3.76215284307846	-2.1077416391906	-0.870954202659024	-5.50733865372599	-0.0871735106507308	-4.31067897428554	-4.05908821245363	-0.953921090659002	-5.04804312910017	-2.54080697708513	-3.26515678297518	-0.218143854480664	2.72763849060305	-4.0698624787355	-5.06979972567707	-1.45503046805212	-3.62854270680244	-4.547218691927	2.80024388486721	-4.81818979291549	-1.74406757083943	-1.54794006220989	-3.84499608408953	-4.28112917354199	0.399857117764523	-4.3523471431888	-1.52253000845272	-1.89932039073209	0.796192667111968	-3.74084876589757	0.110843939908957	-3.04683904052125	0.371853071998884	-2.38356047626786	-4.35766306860784	-3.43735299074298	-3.55230663649205	-4.33070191958012	0.417901863928173	-3.91862481374463	-3.45344294598588	-1.03364557372654	1.31548812199787	-3.75943059325676	-5.0202714929038	-4.47213236803982	-3.986038141206	-4.7124005240263	-0.514835626271121	-4.43338700498066	-3.18817569612616
k__Bacteria	-2.69996931562877	0.401775073556217	-0.934497051743172	-2.34536380995507	-1.69465251494257	0.27762586716272	-0.0460196347490132	-1.26385349353382	0.192860087926067	-2.8375977033883	-1.47426779985727	-1.94129632771401	-1.32856464965562	-0.675950199312536	-5.03667574912389	-0.59863167149303	0.00226558300982804	1.03163707134427	1.34782132378	0.523394992389269	-3.448409476235	-1.13389756202552	-1.6509648728585	-1.19722911898426	-1.47182821166565	0.0677134030582442	-2.3377421337604	-2.72872869016116	0.537155297070348	-0.0146272516078751	-3.31959157683241	-0.675556291016381	0.6622363950357	-4.30776638461942	-3.86350381765252	-3.69114689444025	-0.255714978692375	-1.61981145762892	-2.4881183216743	-0.107657019207491	-1.87873183101433	0.533895665396001	-0.532653413195966	0.295670518516452	-0.865818715869492	1.59663643366168	-0.817370837324878	-1.14999345628101	-3.24201831841002	-0.653653674548855	0.473369876265868	1.34962729081168	-1.59484191352531	-2.69797716555697	-2.37402385747334	-1.04747521743043	-0.198733424166496	-2.4576674846401	0.954198981628579	-0.0809057606215054	-0.539561748927534	0.496778305490539	0.453412549395237	-1.64638714675812	-0.194428029660322	-2.88938024964941	0.313700652131084	-2.37792257443303	-1.19578527010362	-2.03984673948875	1.1455147245855	-1.44777940368788	-2.26250602219439	0.191062340527794	-2.86793673232323	0.727342332350297	-2.42488158763032	-2.26143415209622	0.879738659061007	-2.94287072009264	0.241039053060839	0.861417753622717	0.478065401237378	-1.96510417479133	-2.35241886359555	-2.47773151334025	-2.19275886091285	1.13347407441912	-1.82369793756168	-1.66453551984008	-3.28776677559708	-0.647271776976598	-1.38455965831513	0.714501565374622	-1.52637152117762	-2.96014274086826	-0.1612638982622	-0.906043274074608	0.0166550714235698	-2.83859591391541	-1.9018166389459	0.0465791257569376	-3.29724400815674	-2.27670852743295	-0.589568929088947	-1.4776250589061	-1.38900424505812	-1.66443374638385	-3.40296399930251	-3.23460228289575	-3.06978488382365	-2.80716536618356	-1.02381140416011	-2.8938291140778	-3.43025641406947	-3.27613811562259	-0.0688803911111493	-0.765564835301734	-1.41897796031899	-0.594795975027931	-1.34028368676327	-2.87432086797392	-0.89655825338676	1.02792945094261	3.46453633045346	1.28736051066764	-1.56475461921685	-4.96144075297988	-1.98583190655327	-2.06346264765425	-2.29783858699534	-0.0692862007919927	-2.1978341193889	-2.13928456386327	-0.847836164786839	0.242138548797454	-2.46675013044335	-1.82349576839861	-0.414367959696686	0.661470339327565	-2.57130266160599	0.835482522339478	0.678039663364437	-0.0215435992838972	-2.53365028048205	-1.89613310516166	-1.02689605319258	-2.92148453903474	-0.285466591605716	-5.29543640875693	-1.19712285062301	-2.88457029247744	-0.906029711805354	2.5011417968442	-1.86691821712757	-1.31901109854786	-0.303314474365659	-0.616353314095589	-0.964504399226028	-2.25509513719818	-0.566716227718914	-1.74449722327816	-1.91579289473796	-0.628226790849863	-0.495923344569513	-1.28200389130825	-3.01205443813464	-2.12471563949534	-2.62275438222952	2.26120952485038	-1.70732935192133	-0.700155824684233	-1.25754757311737	-0.840273027769489	-1.98942561889008	-0.731364090801078	-3.52711475858934	-5.07586774128048	-1.31088569941818	-1.5408600501008	-0.978218041872383	-0.664807744643303	-1.04323674543332	-2.14146938094071	0.299655333731292	-3.15445277722	-3.15371337348066	-2.53414456281958	1.88733374528685	0.300827016458776	-1.78798920687639	-1.35186929722588	0.488371160617523	-0.615330382566994	-2.97822976443353	0.976288892543284	-2.12575800847249	-1.10014441300544	1.32387249140606	-2.50197228194437	-3.02881096587408	-2.93191001237221	-0.294812632448775	1.02387613915181	0.0556617843996099	-2.45555363969454	-0.216167124525413	-1.44453756545112	-2.20319647754568	1.01726345650534	1.02299708864221	-2.1527459127288	-1.73937091038774	-2.44184588963338	1.52018023348232	-2.57484032409292	-0.244279460736514	-1.13884837007674	-2.06740014883098	-2.03425946045847	-1.91771119963367	0.46359332275547	-2.23183611697347	-2.19878949345983	-2.05005014147373	-1.3228397021927	-0.452274212652577	-3.89449913595955	-0.906167625587744	-0.196968672989433	0.313571907385511	-2.30991591179297	-0.756818774076321	-2.61880705852108	-3.55796910695214	-0.125479387097511	-1.46961674454996	-1.20570745575739	-2.12116779349422	-2.9623604006773	-2.55701586789438	-3.40127183100649	-4.8520160981317	2.76496411451858	-0.564930164138626	-2.25712299304906	-1.49490783225883	-3.12546342473708	-2.32024805331959	-2.86439899017117	-3.18437576202271	3.84655379384114	-2.48297802717155	-0.66179708874487	-1.52385402488612	-2.08712125115876	-1.24387044877549	-1.45142964297774	-0.696354908860654	1.18650674524817	-0.169626729178435	-1.95859737992525	1.76650494454225	-0.545623911620142	-3.11972643158359	-0.0461252429506992	-0.0317402039921136	-2.85434201444516	-3.15828851352876	-3.42436071894522	-3.2493801714159	0.683167118269137	-0.180340708703112	-1.57114100283029	2.21172058424114	-3.72779005392193	0.652113848444888	-3.25267698626352	0.093535183507069	-0.264636683552611	-1.74446045149617	-1.55509178610925	-3.1249703206804	-0.652857190534614	-2.14226823264414	-3.57045895368878	-3.24592700187214	-1.68883650653021	-1.02476705059452	0.584918234412586	0.732662877086087	-2.66300619137133	4.06364590700485	-1.48392427990476	-0.213390127384849	-2.17492765061717	-3.21555085754474	-1.18710465284778	-0.0910018420196094	-1.43539316305673	-0.80951535022214	-1.9764105602057	-2.72092912099227	-2.3517849542924	-1.85207053905566	1.98090282132032	-1.97640905706635	-2.26238261129189	-1.2820867120963	-1.85806661329808	-1.00075952646161	-1.85391233366488	-2.42996060708473	-1.05253460499448	-0.458474267608346	-0.730704143704557	-1.83988050992897	-1.57986992635299	-0.753677424506138	-2.12244584538665	-0.8351969883867	-1.73622016834824	-0.161831490135283	2.54911166330751	-1.18766695973948	0.269501433288002	2.192221169069	0.255771299599707	-1.17706464197321	-1.19426139080564	-1.79625147496645	-1.04492796190022	-2.51159646391144	-1.45029278772731	-1.20344956631654	-1.96459959998632	-2.95024971166241	0.884627691297995	-0.683953760034167	-1.76323587406668	-3.10423163552076	-0.846125977633475	-2.38699471494525	-1.03185387480082	-2.17524763637131	-3.18636791135263	-1.38247224302048	2.16007983264762	-1.89932039073209	-2.16317196227115	1.47283303719232	-0.947763014145453	-1.39495339354508	-4.07876946162925	-1.13079750777249	-4.43591718001474	-3.27383742453982	-0.435690298974624	0.0197385836103106	-2.82888778871124	2.98047811438629	-2.21130162262371	2.35637850733749	-2.57587456077506	0.52333286239654	-2.50101912093683	-1.6358041432531	-2.24637431605682	-0.616265392300502	0.178311554288824	1.58952401825282	-2.1634430671355
k__Bacteria;p__Actinobacteria	6.63678950953266	3.41403664906142	5.69985468208474	4.11375786551752	4.03868876195518	3.90766482125372	5.00910152193342	4.09721508357769	5.20169889751504	5.18611850259656	4.20888670700296	3.70360679612572	5.43069062100808	5.48149948526971	3.67465161155329	4.87387240164269	5.6505775096798	5.24383521347166	4.158389294085	4.74860536067756	5.52617189105783	5.80761481375475	5.27003563287366	5.23798598310014	2.61414810088594	5.05519993725508	4.27256929556801	5.38858377144081	5.76719382286509	5.53711342906842	5.56304549324313	3.99877879467171	5.25492905951268	3.29063294470454	5.2510905764195	5.18262779832626	3.69099358472366	6.31799171815245	4.23591441959826	5.22460158076858	7.17256884601967	5.50841485600941	5.08995044318397	5.72672034751817	3.61704602866123	4.54487288574609	3.49312317745568	4.46495780466858	5.06180929145062	5.05345659020002	6.01811319875033	4.28719124289866	6.21814314997156	4.7627049132098	3.86884770622171	3.60386264940266	5.54511286292571	2.6146613784615	5.11166060064087	3.26800478459422	5.06494189693069	3.99328586695702	4.87225315719183	5.78313369602834	5.87602097306226	5.2761971762872	4.95881244521212	6.49112866647978	4.95353736161994	4.12808895073501	5.31297064978052	6.52422673644505	5.61564931430894	5.04482721025962	4.4963991555725	5.76748157555734	5.07769901871129	4.74509348516899	4.1181808442426	4.69114409089965	4.11790580150441	4.82526138690115	4.78566875554115	4.70819379297633	4.26809868864307	4.93661940298478	4.12680967314583	4.25769929572919	6.13616019640827	5.68982681058139	5.37628172214694	3.96966563750791	4.8195939822032	4.35556464573718	5.86566004633698	7.25811244666486	5.56005619705933	4.07167520500851	4.99914606627303	3.50220420974454	5.79923276920112	4.27632832498524	4.57876045122949	3.58692264816514	3.42413214442623	5.2333039770792	3.18570673344526	6.26601223970493	7.38246371745789	5.5010257042228	4.04050299256857	5.14779194117456	4.48602667387414	6.33407492161821	4.02214603715417	3.49934691170687	4.49298456093808	3.28113474011829	1.49659898660758	4.13170649612769	4.11717190112307	4.92765148879318	4.76671783350579	5.10772423214998	3.99831599509643	4.84814489635261	4.7733976652968	4.90382316213306	5.10798791550166	4.72775881507193	4.2999890105877	3.93066974267353	5.30765815534853	5.68095420865007	5.38428435871998	3.91590436510134	4.83709309483436	4.7134373459189	4.78412907156914	5.29410309048659	5.79321963350387	4.00495260899603	5.72032561175343	3.98578958594857	4.55280890838212	3.40617628265591	5.48425474611359	4.3362231381253	4.36202124404619	6.3231463220785	5.08420887984209	6.13072359954236	3.69141842808883	4.82886286310978	3.42168545723282	7.11229735371121	5.95141137065242	4.80624445296279	5.56666473119832	4.14847906073663	5.1306568617521	6.23518407910958	7.34843573512708	5.39562427195727	3.59956998285646	4.01719543913643	3.32079881137437	4.98475524338739	6.54508666726956	4.54544547917622	3.98556068156845	3.11671083526033	2.99332579133695	3.10094913235092	4.39913578665555	4.29369055252363	5.514421029573	4.57207142904193	6.40504043669268	4.8510570632918	4.87575122281398	4.37793802442373	3.55495260941343	5.9979711409339	4.94836382173387	3.5499615777441	4.95818459564935	4.16016994030973	4.05809763485172	5.78135019236155	3.91078072595627	4.40006821931737	3.4259533035236	2.75196544741948	4.65174594259426	3.65747545137595	6.10241888747883	2.86524381296215	4.46847838768647	4.54943562361588	4.53069740846702	3.59787372281068	4.80708425292581	4.56886629259456	5.64544438080728	4.97307659890659	3.23155027277163	5.02703563276079	4.7508697042997	5.10393980408727	3.8854649566244	4.19956667699854	3.22029001772424	5.17073807468254	4.85786420942215	5.83615264383661	5.43207135945902	3.33822413886273	4.44248609866462	5.1250324443391	5.41285782579124	4.38480475423802	4.45366806947748	6.34728265750679	3.63216815526663	6.01132644941306	3.78376279447474	2.4883315948771	3.85029200794657	5.01069432529047	5.85192927290749	3.7829011295753	4.13603348436355	4.65936169051031	5.79944431190257	4.88229467471771	3.89128410829985	4.60692942381089	4.74654352603288	5.22981035220428	4.02992177703987	4.58096837338363	1.82925672827071	2.74899474539006	3.27881400053623	5.39064852050481	3.17339903067328	2.56489602958698	4.50807191235546	6.6802497306692	6.11607780485244	4.99289031561246	4.83401301981494	4.33072645540834	5.65659658423947	4.22678904833729	5.78151970673986	3.31500869060647	5.28858842125706	3.22965944185886	4.9747322467459	3.00524575266424	3.33327316495274	3.61208660955711	5.61582670144253	4.90533279408964	5.28808336777689	4.30676265790826	5.83685322407849	4.59058419107082	4.14234327716235	4.89662336776189	4.6780612581892	3.74130682606146	4.5735848565345	5.12983719766883	5.07234366693029	4.94121459922184	5.2820376840479	4.49663716117538	5.39638870965335	4.91879891024303	5.8323978739093	3.94841652517435	5.35511113709686	4.3125840838601	6.4787600940417	3.90958545246816	5.18697981554664	5.29562283398086	4.38673292653416	4.74029462562762	4.23815492406202	5.31513158215403	2.63104128303264	4.80762583844015	3.22206577704509	3.96828667995427	5.17192383493535	3.83724002803635	4.48652670248876	4.94820183584286	6.00776038069782	5.59377047396109	4.6894403449716	4.70241661362369	6.02293389564694	5.85522813517434	4.59003107737912	4.76918079698027	5.30081232876877	4.70676466290882	3.91827349901371	5.10656078349745	4.57406229044101	4.66836312594362	4.20951596130654	4.83468133021297	3.86144309233512	4.86018496824059	5.62052554667094	4.89182120783129	2.87996615026195	3.30672434832069	3.09246536725306	4.63831617398965	4.46259914739261	4.30631323916341	4.20800365098348	4.04277141399127	5.5730341360568	5.20001533631805	2.59269474989312	4.12827526060863	3.8789894599087	5.66206806744179	4.94023113006333	3.39188163977799	3.61885347136893	3.53048762347113	4.00094638256707	3.70736097440276	5.13479490544518	5.82376564976079	5.22353863904864	6.78062512830296	3.73950563841115	4.88517471993138	6.15393076281701	3.81607540089824	5.11915287688746	4.39682032507611	6.89131605923798	2.96407145757597	4.20605352277779	2.36693769099226	5.59190245126213	4.2144532526562	3.67255898790854	4.62259448331914	4.44650370521426	3.50572607878251	3.10018676000268	3.77981406408585	4.16654227967729	2.51692627086644	4.19019596412735	3.36947076884674	3.46127205160522	1.50006739427114	3.60315639059363	3.33886782075401
