	PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.047	47.998508	166.0	166.0	4.9843863964	0.945982366811
T.CS.139	72.398134	294.0	294.0	5.18718690828	0.934055038077
CS.138	52.454769	224.0	224.0	5.10605924902	0.935224220768
T.CS.141	46.493355	188.0	188.0	4.46316617907	0.917202415954
T.CS.047	62.476059	263.0	263.0	5.5155224121	0.957335521389
CS.218	57.133477	227.0	227.0	5.69373070634	0.961649123922
T.CS.151	51.695563	216.0	216.0	4.53497134913	0.905140328334
CS.012	56.419861	214.0	214.0	5.55687607851	0.960857330817
T.CS.140	45.487493	210.0	210.0	4.57536208428	0.907504450958
CS.064	55.59073	224.0	224.0	5.53701848463	0.963462170133
CS.074	53.109443	170.0	170.0	4.63499338503	0.886839377389
CS.174	56.383885	206.0	206.0	4.99758976601	0.93381435238
CS.071	53.093613	210.0	210.0	5.31283941933	0.950964063021
CS.290	49.711955	209.0	209.0	4.83256342171	0.924425372077
CS.001	59.03094	229.0	229.0	5.51491495062	0.961204654088
CS.139	43.487559	192.0	192.0	4.75509642852	0.927355107063
IMP000.L.T26	72.416029	340.0	340.0	5.27084717295	0.951547446705
IMP000.L.T19	57.764589	253.0	253.0	5.22169487858	0.946001393276
IMP000.L.T04	56.291551	237.0	237.0	5.30862336495	0.951324341185
T.CS.081	56.922267	272.0	272.0	4.74127435116	0.917817340423
CS.063	50.71573	203.0	203.0	5.40465592231	0.95219125261
CS.213	48.108527	188.0	188.0	5.22652537699	0.95665745792
CS.312	50.645384	200.0	200.0	5.5551550927	0.961373509574
TFSCS028	68.032175	279.0	279.0	4.8716133062	0.921085814831
L.004.M5	58.673198	232.0	232.0	4.86424937345	0.921595801788
IMP000.L.T18	52.861545	250.0	250.0	5.4431014395	0.953327093582
L.004.M3	65.346568	231.0	231.0	5.27696583464	0.949345896474
L.006.M2	61.116251	209.0	209.0	4.95322492531	0.944692322647
CS.230	43.774782	188.0	188.0	4.98990663515	0.933881471237
IMP000.L.T36	55.428153	245.0	245.0	5.37511762742	0.952419727996
CS.080	49.963841	207.0	207.0	4.88054435892	0.936665895051
T.CS.003	67.510326	299.0	299.0	4.93411702452	0.933152476394
CS.042	43.844261	177.0	177.0	4.90089190111	0.92586878172
T.CS.133	76.991241	332.0	332.0	5.61575265636	0.964121180329
CS.006	51.099906	211.0	211.0	4.84174791837	0.910838077581
CS.233	60.275497	248.0	248.0	5.26538106149	0.95233551207
CS.360	51.352278	207.0	207.0	5.63618134087	0.966458912568
TFSCS026	53.139577	268.0	268.0	4.99527393838	0.927833335239
CS.083	63.829332	283.0	283.0	5.89727226611	0.969247112377
L.005.M3	53.980382	225.0	225.0	4.87982851524	0.921593680084
CS.137	71.53563	315.0	315.0	5.17820573391	0.950282870291
CS.346	49.628688	193.0	193.0	4.71157604247	0.927791574201
CS.301	55.722324	262.0	262.0	5.46907327819	0.955173569509
CS.365	50.483202	212.0	212.0	4.67296824222	0.88827862549
CS.300	56.399992	244.0	244.0	5.34318638048	0.9574470477
CS.119	42.535936	165.0	165.0	5.20327433525	0.948498127336
