	CS.047	T.CS.139	CS.138	T.CS.141	T.CS.047	CS.218	T.CS.151	CS.012	T.CS.140	CS.064	CS.074	CS.174	CS.071	CS.290	CS.001	CS.139	IMP000.L.T26	IMP000.L.T19	IMP000.L.T04	T.CS.081	CS.063	CS.213	CS.312	TFSCS028	L.004.M5	IMP000.L.T18	L.004.M3	L.006.M2	CS.230	IMP000.L.T36	CS.080	T.CS.003	CS.042	T.CS.133	CS.006	CS.233	CS.360	TFSCS026	CS.083	L.005.M3	CS.137	CS.346	CS.301	CS.365	CS.300	CS.119	T.CS.043	T.CS.100	CS.388	CS.318	CS.382	IMP000.L.T05	CS.302	CS.282	T.CS.089	TFSCS022	L.005.M4	L.007.M5	IMP000.L.T03	T.CS.148	CS.295	L.025.M6	IMP000.L.T06	L.008.M1	CS.366	CS.094	T.CS.136	CS.015	CS.023	CS.136	T.CS.146	CS.167	CS.025	L.005.M2	T.CS.067	IMP000.L.T27	TFSCS023	CS.110	CS.297	CS.193	T.CS.018	IMP000.L.T39	IMP000.L.T20	CS.143	CS.248	T.CS.145	CS.075	CS.111	CS.321	CS.065	CS.130	CS.159	CS.099	T.CS.143	CS.061	CS.175	CS.055	CS.132	CS.188	CS.232	CS.163	CS.003	CS.239	CS.260	T.CS.147	CS.238	CS.190	CS.068	CS.294	CS.176	CS.217	CS.333	L.007.M1	CS.104	CS.036	CS.112	L.005.M5	T.CS.093	L.004.M6	L.008.M4	T.CS.092	CS.325	L.012.M5	CS.169	T.CS.144	IMP000.L.T17	CS.358	CS.109	CS.007	CS.079	CS.072	CS.198	CS.165	CS.322	T.CS.014	L.008.M6	CS.117	T.CS.094	T.CS.084	IMP000.L.T30	CS.102	T.CS.097	CS.045	CS.347.0	CS.105	CS.293	L.011.M1	CS.030	T.CS.069	CS.108	CS.044	CS.251	CS.259	L.025.M4	CS.013	L.008.M3	T.CS.007	CS.172	TFSCS025	CS.090	L.005.M1	CS.019	TFSCS029	CS.118	CS.142	T.CS.023	TFSCS020	CS.103	CS.170	CS.062	T.CS.065	T.CS.009	TFSCS027	CS.120	CS.005	CS.298	CS.011	CS.343	CS.016	CS.379	T.CS.013	T.CS.004	CS.357	CS.173	CS.046	CS.308.0	CS.151	T.CS.142	CS.269	CS.098	CS.056	L.006.M3	T.CS.088	CS.140	IMP000.L.T37	T.CS.135	L.008.M5	L.025.M3	CS.070	CS.158	CS.219	T.CS.030	IMP000.L.T10	IMP000.L.T28	CS.095	L.006.M4	CS.220	CS.275	IMP000.L.T09	IMP000.L.T38	L.007.M2	L.004.M2	CS.237	IMP000.L.T40	CS.087	CS.332	CS.305	T.CS.087	CS.231	CS.050	L.005.M6	CS.082	CS.362	CS.341	CS.194	CS.200	L.006.M6	T.CS.051	CS.008	IMP000.L.T29	CS.155	CS.141	CS.235	CS.031	CS.017	CS.053	CS.101	CS.124	CS.115	L.004.M4	CS.328	T.CS.137	T.CS.138	CS.191	T.CS.042	L.007.M6	CS.020	CS.199	CS.156	L.025.M5	CS.021	CS.380	CS.227	CS.168	CS.077	CS.035	CS.224	L.006.M5	CS.113	T.CS.099	T.CS.095	T.CS.096	CS.284	CS.350	CS.205	CS.014	CS.009	CS.153	T.CS.020	T.CS.061	L.012.M1	L.007.M4	L.025.M2	CS.076	CS.203	CS.078	L.012.M2	CS.093	CS.311	CS.022	CS.029	T.CS.045	CS.088	CS.241	CS.049	CS.060	L.012.M6	IMP000.L.T02	T.CS.008	CS.066	L.006.M1	CS.249	T.CS.098	CS.033	CS.283	T.CS.049	CS.319	T.CS.073	L.008.M2	CS.240	CS.285	CS.161	CS.058	CS.052	CS.097	CS.345.0	CS.114	CS.356	CS.339	CS.096	T.CS.090	CS.092	CS.351	CS.228	CS.274	CS.171	CS.334	T.CS.150	CS.091	CS.286	CS.131	CS.028	CS.335	CS.040	L.025.M1	CS.004	CS.027	CS.196	T.CS.134	CS.059	T.CS.070	TFSCS024	CS.089	L.012.M4	T.CS.071	CS.024	CS.229	CS.296	CS.043	CS.133	CS.160	CS.032	CS.051	CS.122	CS.123	L.004.M1	CS.038	CS.085	CS.018	CS.106	CS.135	CS.086	L.012.M3	CS.002	CS.292	CS.037	CS.041	CS.057	CS.247	CS.067	CS.154	CS.164	TFSCS021	CS.222
CS.047	0.0	0.677894736842	0.605	0.677157894737	0.630947368421	0.579789473684	0.673368421053	0.617842105263	0.675368421053	0.550842105263	0.646526315789	0.651894736842	0.561105263158	0.646157894737	0.638368421053	0.610789473684	0.466210526316	0.518578947368	0.596421052632	0.682736842105	0.649789473684	0.519263157895	0.548526315789	0.631210526316	0.707947368421	0.520052631579	0.643684210526	0.600052631579	0.687789473684	0.485105263158	0.549210526316	0.726315789474	0.533473684211	0.658789473684	0.678052631579	0.753157894737	0.518263157895	0.667842105263	0.646105263158	0.720210526316	0.586052631579	0.646368421053	0.521210526316	0.668578947368	0.576157894737	0.580578947368	0.686157894737	0.714315789474	0.662368421053	0.519736842105	0.554578947368	0.559736842105	0.620105263158	0.581947368421	0.602157894737	0.681263157895	0.701473684211	0.721736842105	0.557684210526	0.706526315789	0.639789473684	0.704052631579	0.547105263158	0.625789473684	0.602789473684	0.684421052632	0.732789473684	0.710368421053	0.606736842105	0.447684210526	0.663105263158	0.606894736842	0.553368421053	0.740263157895	0.669789473684	0.431578947368	0.657947368421	0.534631578947	0.690421052632	0.487315789474	0.722105263158	0.548947368421	0.580842105263	0.602736842105	0.537789473684	0.709263157895	0.649947368421	0.674421052632	0.703526315789	0.496526315789	0.635578947368	0.666894736842	0.683789473684	0.634105263158	0.623894736842	0.676315789474	0.500210526316	0.518263157895	0.639789473684	0.472315789474	0.623947368421	0.620052631579	0.573842105263	0.481526315789	0.675157894737	0.661947368421	0.721052631579	0.595210526316	0.710210526316	0.517263157895	0.747263157895	0.473578947368	0.680842105263	0.646947368421	0.665105263158	0.590578947368	0.720736842105	0.693263157895	0.722315789474	0.534947368421	0.747210526316	0.737421052632	0.688842105263	0.606947368421	0.665473684211	0.521526315789	0.633473684211	0.605736842105	0.616684210526	0.558210526316	0.567210526316	0.698473684211	0.600210526316	0.534157894737	0.692421052632	0.549157894737	0.593631578947	0.719263157895	0.598736842105	0.484	0.703526315789	0.702263157895	0.515421052632	0.542473684211	0.603631578947	0.753	0.585157894737	0.537157894737	0.557	0.755368421053	0.604894736842	0.644105263158	0.696052631579	0.699947368421	0.534842105263	0.571368421053	0.548315789474	0.535578947368	0.598157894737	0.558473684211	0.756526315789	0.527368421053	0.577526315789	0.501105263158	0.606842105263	0.785473684211	0.644526315789	0.589684210526	0.579631578947	0.562052631579	0.691736842105	0.721894736842	0.737421052632	0.568842105263	0.560157894737	0.599052631579	0.678421052632	0.507368421053	0.591052631579	0.649421052632	0.678684210526	0.579684210526	0.660842105263	0.676	0.662	0.682368421053	0.599578947368	0.705736842105	0.748684210526	0.628894736842	0.497052631579	0.696105263158	0.691052631579	0.553	0.617789473684	0.578368421053	0.578315789474	0.649684210526	0.676736842105	0.507263157895	0.604578947368	0.656842105263	0.575631578947	0.478947368421	0.643578947368	0.723684210526	0.749157894737	0.550052631579	0.547368421053	0.622263157895	0.697789473684	0.692947368421	0.587842105263	0.557	0.675842105263	0.659368421053	0.648789473684	0.629105263158	0.564526315789	0.552684210526	0.739210526316	0.540157894737	0.597368421053	0.553105263158	0.577052631579	0.589368421053	0.607578947368	0.690789473684	0.640315789474	0.442263157895	0.601052631579	0.680578947368	0.552947368421	0.596894736842	0.624157894737	0.495421052632	0.701210526316	0.653631578947	0.793210526316	0.650526315789	0.845052631579	0.731	0.677368421053	0.740473684211	0.681105263158	0.740473684211	0.602789473684	0.654894736842	0.395947368421	0.666631578947	0.499421052632	0.661631578947	0.627	0.611315789474	0.605	0.641578947368	0.694421052632	0.659473684211	0.650368421053	0.709789473684	0.706368421053	0.721947368421	0.520526315789	0.706	0.574684210526	0.498684210526	0.499	0.562263157895	0.655789473684	0.625736842105	0.696	0.671315789474	0.738578947368	0.616	0.665736842105	0.641210526316	0.665368421053	0.650105263158	0.604210526316	0.578842105263	0.422157894737	0.689263157895	0.722263157895	0.686789473684	0.563631578947	0.571473684211	0.681894736842	0.518105263158	0.679894736842	0.635578947368	0.709421052632	0.470842105263	0.716578947368	0.452842105263	0.620315789474	0.589368421053	0.584052631579	0.650105263158	0.557315789474	0.607684210526	0.568263157895	0.573842105263	0.493947368421	0.542842105263	0.466842105263	0.551842105263	0.632263157895	0.740526315789	0.655684210526	0.592842105263	0.692684210526	0.663157894737	0.507631578947	0.593894736842	0.577421052632	0.630894736842	0.639473684211	0.705421052632	0.533578947368	0.595526315789	0.553631578947	0.559052631579	0.655631578947	0.624368421053	0.720157894737	0.632894736842	0.678052631579	0.751789473684	0.722894736842	0.613157894737	0.674	0.677736842105	0.642368421053	0.726684210526	0.667	0.589421052632	0.586631578947	0.728157894737	0.575210526316	0.666736842105	0.529684210526	0.581421052632	0.576368421053	0.629263157895	0.687631578947	0.674526315789	0.659421052632	0.573789473684	0.429842105263	0.579157894737	0.618947368421	0.604368421053	0.683	0.623157894737	0.545789473684	0.650210526316	0.647368421053	0.609	0.576421052632	0.746	0.725789473684	0.943526315789	0.680789473684	0.699526315789
T.CS.139	0.677894736842	0.0	0.491157894737	0.388421052632	0.633105263158	0.476052631579	0.386105263158	0.561368421053	0.306105263158	0.623894736842	0.490368421053	0.345210526316	0.630578947368	0.744736842105	0.571526315789	0.751947368421	0.729315789474	0.715631578947	0.713052631579	0.358052631579	0.745210526316	0.721368421053	0.682526315789	0.461526315789	0.258315789474	0.713421052632	0.563842105263	0.646315789474	0.838157894737	0.707842105263	0.630368421053	0.429526315789	0.485789473684	0.520842105263	0.387526315789	0.718315789474	0.573684210526	0.492947368421	0.575684210526	0.405578947368	0.636684210526	0.790368421053	0.588684210526	0.425631578947	0.552052631579	0.524105263158	0.454736842105	0.400578947368	0.718263157895	0.671947368421	0.492631578947	0.711368421053	0.737315789474	0.711631578947	0.459	0.405	0.356789473684	0.463684210526	0.719736842105	0.347421052632	0.450894736842	0.416789473684	0.703894736842	0.675	0.785631578947	0.474368421053	0.407105263158	0.484789473684	0.387789473684	0.669894736842	0.326842105263	0.449210526316	0.645421052632	0.360105263158	0.521947368421	0.710263157895	0.464684210526	0.659157894737	0.399526315789	0.667105263158	0.441263157895	0.705631578947	0.761526315789	0.501736842105	0.674	0.440736842105	0.423789473684	0.550157894737	0.523842105263	0.571736842105	0.422473684211	0.421052631579	0.386631578947	0.380947368421	0.494473684211	0.792421052632	0.624473684211	0.538473684211	0.530052631579	0.468684210526	0.743052631579	0.349894736842	0.379578947368	0.661842105263	0.321736842105	0.385842105263	0.468789473684	0.588526315789	0.938736842105	0.504052631579	0.454473684211	0.589526315789	0.331684210526	0.456842105263	0.702315789474	0.712263157895	0.398263157895	0.326368421053	0.379157894737	0.610368421053	0.541842105263	0.856052631579	0.470263157895	0.461210526316	0.362	0.729947368421	0.825157894737	0.613421052632	0.451631578947	0.74	0.412157894737	0.451	0.559263157895	0.737842105263	0.675842105263	0.673947368421	0.461789473684	0.402842105263	0.456631578947	0.721421052632	0.483157894737	0.326	0.493684210526	0.704210526316	0.412157894737	0.416105263158	0.428368421053	0.390736842105	0.482315789474	0.754210526316	0.442684210526	0.486631578947	0.389210526316	0.394368421053	0.422631578947	0.759947368421	0.633105263158	0.465842105263	0.549368421053	0.580368421053	0.394368421053	0.397157894737	0.613263157895	0.454684210526	0.646684210526	0.795631578947	0.477	0.462473684211	0.508526315789	0.422	0.34	0.484526315789	0.507368421053	0.442157894737	0.337631578947	0.664210526316	0.642631578947	0.712421052632	0.433631578947	0.790684210526	0.405684210526	0.452	0.379473684211	0.434842105263	0.388210526316	0.863	0.592421052632	0.387789473684	0.869526315789	0.470105263158	0.642947368421	0.360105263158	0.471421052632	0.665421052632	0.731368421053	0.660842105263	0.623263157895	0.340368421053	0.828684210526	0.644578947368	0.691473684211	0.558421052632	0.726842105263	0.708894736842	0.362210526316	0.367526315789	0.364947368421	0.705894736842	0.741210526316	0.744631578947	0.485315789474	0.374684210526	0.741210526316	0.734263157895	0.466263157895	0.452368421053	0.397842105263	0.441315789474	0.693736842105	0.732210526316	0.359157894737	0.453315789474	0.753578947368	0.760210526316	0.796105263158	0.502631578947	0.525421052632	0.339157894737	0.427368421053	0.714473684211	0.609421052632	0.344631578947	0.426368421053	0.548578947368	0.379315789474	0.610684210526	0.392947368421	0.651052631579	0.882947368421	0.385473684211	0.924789473684	0.660947368421	0.413578947368	0.463315789474	0.326105263158	0.423947368421	0.441421052632	0.608052631579	0.752052631579	0.435473684211	0.613052631579	0.415	0.813105263158	0.498631578947	0.453526315789	0.447052631579	0.786263157895	0.281842105263	0.432894736842	0.311526315789	0.301842105263	0.374578947368	0.724894736842	0.533578947368	0.710315789474	0.554210526316	0.705631578947	0.472947368421	0.500263157895	0.431894736842	0.518	0.486	0.434157894737	0.793684210526	0.497052631579	0.471736842105	0.473631578947	0.321684210526	0.415052631579	0.617105263158	0.576473684211	0.456105263158	0.445684210526	0.406052631579	0.588368421053	0.664263157895	0.508473684211	0.710473684211	0.497789473684	0.438052631579	0.488421052632	0.740578947368	0.458	0.499315789474	0.704736842105	0.673789473684	0.688157894737	0.401947368421	0.660947368421	0.440473684211	0.788842105263	0.702947368421	0.622736842105	0.448052631579	0.697894736842	0.897684210526	0.539631578947	0.778789473684	0.567789473684	0.445526315789	0.461315789474	0.516526315789	0.499421052632	0.650526315789	0.712315789474	0.481947368421	0.743631578947	0.377684210526	0.717473684211	0.728263157895	0.488	0.403052631579	0.827631578947	0.440789473684	0.507578947368	0.628631578947	0.480578947368	0.667210526316	0.434578947368	0.480736842105	0.375631578947	0.502631578947	0.414315789474	0.532210526316	0.399157894737	0.420052631579	0.558	0.368157894737	0.540368421053	0.428157894737	0.481421052632	0.696105263158	0.663473684211	0.389421052632	0.540736842105	0.360578947368	0.472	0.446315789474	0.653631578947	0.590526315789	0.711789473684	0.384947368421	0.482105263158	0.584052631579	0.689789473684	0.719736842105	0.760631578947	0.495526315789	0.615894736842	0.865894736842	0.877052631579	0.923736842105	0.593842105263	0.813684210526
CS.138	0.605	0.491157894737	0.0	0.496578947368	0.576157894737	0.468105263158	0.487578947368	0.584105263158	0.459263157895	0.500684210526	0.447631578947	0.458210526316	0.529526315789	0.676684210526	0.594210526316	0.672315789474	0.595526315789	0.625631578947	0.650210526316	0.437157894737	0.657157894737	0.679578947368	0.586368421053	0.428736842105	0.551842105263	0.595631578947	0.587	0.604631578947	0.652789473684	0.589052631579	0.509105263158	0.501368421053	0.432105263158	0.562368421053	0.488	0.717842105263	0.599	0.435421052632	0.611473684211	0.506157894737	0.483578947368	0.729473684211	0.510052631579	0.368526315789	0.513421052632	0.426210526316	0.469157894737	0.490210526316	0.635263157895	0.603894736842	0.395473684211	0.627947368421	0.680210526316	0.651842105263	0.417578947368	0.441	0.488578947368	0.605210526316	0.635526315789	0.543842105263	0.451894736842	0.508368421053	0.614631578947	0.611578947368	0.670894736842	0.497842105263	0.557421052632	0.484789473684	0.439315789474	0.565684210526	0.436	0.502157894737	0.487894736842	0.499736842105	0.496105263158	0.629631578947	0.424210526316	0.640105263158	0.455947368421	0.579368421053	0.468210526316	0.604157894737	0.617684210526	0.569105263158	0.566315789474	0.520368421053	0.457684210526	0.561894736842	0.525263157895	0.432210526316	0.459421052632	0.472789473684	0.507052631579	0.440578947368	0.413210526316	0.798157894737	0.519421052632	0.542684210526	0.407631578947	0.438052631579	0.629052631579	0.425842105263	0.412052631579	0.580789473684	0.448684210526	0.447736842105	0.497157894737	0.504631578947	0.838684210526	0.433578947368	0.537210526316	0.591157894737	0.457684210526	0.460052631579	0.637368421053	0.644473684211	0.510578947368	0.505	0.522105263158	0.666105263158	0.605052631579	0.746473684211	0.57	0.457894736842	0.445052631579	0.644157894737	0.802894736842	0.590736842105	0.421789473684	0.648736842105	0.385421052632	0.477210526316	0.539789473684	0.597315789474	0.601105263158	0.626315789474	0.445157894737	0.508789473684	0.386526315789	0.608315789474	0.510368421053	0.502105263158	0.436	0.635473684211	0.394894736842	0.572	0.431947368421	0.329105263158	0.398526315789	0.750315789474	0.389105263158	0.474631578947	0.510736842105	0.460368421053	0.329105263158	0.772105263158	0.543631578947	0.428368421053	0.445157894737	0.526736842105	0.509526315789	0.460105263158	0.543	0.494	0.634368421053	0.759473684211	0.459052631579	0.486157894737	0.432789473684	0.417368421053	0.419157894737	0.572526315789	0.464157894737	0.477842105263	0.433894736842	0.501684210526	0.640315789474	0.629263157895	0.463578947368	0.667578947368	0.452157894737	0.367368421053	0.464263157895	0.535894736842	0.425368421053	0.734789473684	0.482421052632	0.494684210526	0.782473684211	0.453263157895	0.591421052632	0.513631578947	0.502157894737	0.562631578947	0.649526315789	0.631842105263	0.687894736842	0.424210526316	0.791894736842	0.613421052632	0.662157894737	0.526052631579	0.606789473684	0.605368421053	0.440894736842	0.572526315789	0.521736842105	0.628578947368	0.594631578947	0.642684210526	0.546368421053	0.472	0.596263157895	0.599684210526	0.556315789474	0.441105263158	0.454947368421	0.387157894737	0.555473684211	0.587526315789	0.558684210526	0.373526315789	0.675157894737	0.646105263158	0.675368421053	0.531789473684	0.430105263158	0.481842105263	0.430578947368	0.593368421053	0.482578947368	0.476263157895	0.316526315789	0.431578947368	0.492105263158	0.591105263158	0.536157894737	0.524473684211	0.837578947368	0.407526315789	0.874105263158	0.691894736842	0.439210526316	0.513894736842	0.441947368421	0.501947368421	0.518263157895	0.554736842105	0.642421052632	0.414263157895	0.544789473684	0.381578947368	0.644368421053	0.439947368421	0.445894736842	0.430947368421	0.770842105263	0.392315789474	0.469789473684	0.498263157895	0.511842105263	0.540105263158	0.644631578947	0.524421052632	0.633631578947	0.475315789474	0.637842105263	0.464578947368	0.528473684211	0.441157894737	0.547052631579	0.581210526316	0.498263157895	0.723736842105	0.491315789474	0.417473684211	0.595684210526	0.450842105263	0.459210526316	0.616157894737	0.539157894737	0.472263157895	0.483421052632	0.488578947368	0.530315789474	0.621578947368	0.602052631579	0.581368421053	0.429473684211	0.440526315789	0.485631578947	0.627368421053	0.523842105263	0.406894736842	0.636631578947	0.608263157895	0.654210526316	0.455368421053	0.688210526316	0.528578947368	0.699210526316	0.617684210526	0.625157894737	0.470736842105	0.654368421053	0.774842105263	0.619947368421	0.770368421053	0.478	0.475421052632	0.468	0.550157894737	0.414526315789	0.592631578947	0.675842105263	0.462210526316	0.685736842105	0.485368421053	0.644052631579	0.672421052632	0.456368421053	0.468842105263	0.748157894737	0.511578947368	0.565894736842	0.639368421053	0.530473684211	0.637578947368	0.551947368421	0.422105263158	0.447052631579	0.457526315789	0.437526315789	0.600684210526	0.389	0.452947368421	0.499421052632	0.501684210526	0.496842105263	0.458684210526	0.405368421053	0.691631578947	0.578789473684	0.440105263158	0.514736842105	0.438157894737	0.504052631579	0.457421052632	0.646157894737	0.569105263158	0.668631578947	0.435473684211	0.527789473684	0.604368421053	0.583105263158	0.695947368421	0.634	0.548684210526	0.527210526316	0.821736842105	0.833736842105	0.938157894737	0.469789473684	0.759789473684
T.CS.141	0.677157894737	0.388421052632	0.496578947368	0.0	0.665263157895	0.541947368421	0.312105263158	0.623	0.325368421053	0.643842105263	0.495947368421	0.307052631579	0.671578947368	0.768842105263	0.686210526316	0.640421052632	0.748	0.740473684211	0.744157894737	0.324263157895	0.788052631579	0.750894736842	0.740473684211	0.456684210526	0.450684210526	0.745421052632	0.646947368421	0.718684210526	0.865263157895	0.751842105263	0.603368421053	0.440631578947	0.543421052632	0.598	0.427578947368	0.745526315789	0.610736842105	0.550789473684	0.598789473684	0.486052631579	0.629052631579	0.820526315789	0.646578947368	0.495210526316	0.586894736842	0.642789473684	0.455684210526	0.482421052632	0.709947368421	0.728526315789	0.471421052632	0.733421052632	0.719157894737	0.762105263158	0.505210526316	0.402315789474	0.441684210526	0.582473684211	0.745842105263	0.409736842105	0.522736842105	0.400421052632	0.735631578947	0.731263157895	0.801052631579	0.507315789474	0.439578947368	0.478421052632	0.404473684211	0.709736842105	0.344526315789	0.436210526316	0.663947368421	0.412421052632	0.386947368421	0.722210526316	0.411315789474	0.679210526316	0.361	0.733105263158	0.484736842105	0.750947368421	0.766157894737	0.602526315789	0.712947368421	0.372421052632	0.468	0.566473684211	0.481894736842	0.559105263158	0.423210526316	0.454052631579	0.426578947368	0.480842105263	0.357894736842	0.829157894737	0.636052631579	0.573526315789	0.522947368421	0.535789473684	0.742684210526	0.401105263158	0.447789473684	0.733631578947	0.348	0.396210526316	0.44	0.595263157895	0.963789473684	0.581368421053	0.490157894737	0.706526315789	0.290421052632	0.428947368421	0.796947368421	0.722157894737	0.385578947368	0.430789473684	0.546684210526	0.708315789474	0.649421052632	0.804947368421	0.569526315789	0.511105263158	0.441263157895	0.743578947368	0.827947368421	0.697157894737	0.471368421053	0.759210526316	0.384210526316	0.392263157895	0.633473684211	0.753421052632	0.711315789474	0.734421052632	0.418684210526	0.368842105263	0.482684210526	0.739947368421	0.505684210526	0.377578947368	0.543947368421	0.708157894737	0.374210526316	0.333052631579	0.508947368421	0.408421052632	0.500736842105	0.836210526316	0.427105263158	0.499526315789	0.410947368421	0.392368421053	0.508736842105	0.791894736842	0.583894736842	0.456368421053	0.452105263158	0.591684210526	0.445052631579	0.435263157895	0.626315789474	0.473631578947	0.638947368421	0.802052631579	0.427631578947	0.476210526316	0.516368421053	0.382842105263	0.393789473684	0.526789473684	0.414421052632	0.530842105263	0.441736842105	0.664052631579	0.694947368421	0.722473684211	0.518631578947	0.714157894737	0.402947368421	0.511473684211	0.400473684211	0.421421052632	0.463	0.842631578947	0.671578947368	0.278210526316	0.879210526316	0.449947368421	0.704789473684	0.550473684211	0.474052631579	0.754315789474	0.767052631579	0.727842105263	0.732421052632	0.361736842105	0.848631578947	0.670947368421	0.673526315789	0.5	0.750210526316	0.743157894737	0.463105263158	0.540842105263	0.418263157895	0.716368421053	0.748578947368	0.767368421053	0.584	0.366263157895	0.763736842105	0.765789473684	0.488315789474	0.373789473684	0.454	0.379421052632	0.766631578947	0.701842105263	0.433315789474	0.502578947368	0.835789473684	0.716421052632	0.776157894737	0.595736842105	0.569894736842	0.306210526316	0.398368421053	0.738210526316	0.641684210526	0.378	0.452631578947	0.537263157895	0.312052631579	0.666684210526	0.401789473684	0.659789473684	0.893789473684	0.408842105263	0.957842105263	0.709368421053	0.432157894737	0.481052631579	0.408368421053	0.493473684211	0.520736842105	0.571684210526	0.726684210526	0.453263157895	0.601368421053	0.439947368421	0.797368421053	0.479052631579	0.436736842105	0.445368421053	0.793894736842	0.429736842105	0.342368421053	0.349842105263	0.319210526316	0.460263157895	0.762052631579	0.498315789474	0.749736842105	0.612473684211	0.709052631579	0.476894736842	0.491210526316	0.517210526316	0.608736842105	0.573421052632	0.427105263158	0.821	0.453421052632	0.410947368421	0.601947368421	0.374368421053	0.455052631579	0.653894736842	0.645526315789	0.402842105263	0.395421052632	0.399894736842	0.531473684211	0.638263157895	0.645473684211	0.737315789474	0.524631578947	0.375473684211	0.545526315789	0.739210526316	0.558894736842	0.479421052632	0.713894736842	0.700684210526	0.748473684211	0.380947368421	0.635	0.573368421053	0.798263157895	0.644578947368	0.611526315789	0.481157894737	0.778736842105	0.883578947368	0.649842105263	0.767210526316	0.550473684211	0.534263157895	0.304315789474	0.584315789474	0.533736842105	0.654157894737	0.691473684211	0.531157894737	0.783105263158	0.373578947368	0.769631578947	0.770157894737	0.632105263158	0.425368421053	0.788947368421	0.397105263158	0.426473684211	0.723210526316	0.449736842105	0.677473684211	0.446421052632	0.466684210526	0.403631578947	0.455789473684	0.460526315789	0.563421052632	0.411631578947	0.470578947368	0.636105263158	0.374263157895	0.607263157895	0.406368421053	0.479368421053	0.678894736842	0.671473684211	0.356578947368	0.470684210526	0.361315789474	0.478368421053	0.541631578947	0.700578947368	0.716473684211	0.768631578947	0.410368421053	0.539947368421	0.670526315789	0.695	0.733894736842	0.759473684211	0.499842105263	0.629421052632	0.847894736842	0.867210526316	0.959684210526	0.540736842105	0.819894736842
