	CS.047	T.CS.139	CS.138	T.CS.141	T.CS.047	CS.218	T.CS.151	CS.012	T.CS.140	CS.064	CS.074	CS.174	CS.071	CS.290	CS.001	CS.139	IMP000.L.T26	IMP000.L.T19	IMP000.L.T04	T.CS.081	CS.063	CS.213	CS.312	TFSCS028	L.004.M5	IMP000.L.T18	L.004.M3	L.006.M2	CS.230	IMP000.L.T36	CS.080	T.CS.003	CS.042	T.CS.133	CS.006	CS.233	CS.360	TFSCS026	CS.083	L.005.M3	CS.137	CS.346	CS.301	CS.365	CS.300	CS.119	T.CS.043	T.CS.100	CS.388	CS.318	CS.382	IMP000.L.T05	CS.302	CS.282	T.CS.089	TFSCS022	L.005.M4	L.007.M5	IMP000.L.T03	T.CS.148	CS.295	L.025.M6	IMP000.L.T06	L.008.M1	CS.366	CS.094	T.CS.136	CS.015	CS.023	CS.136	T.CS.146	CS.167	CS.025	L.005.M2	T.CS.067	IMP000.L.T27	TFSCS023	CS.110	CS.297	CS.193	T.CS.018	IMP000.L.T39	IMP000.L.T20	CS.143	CS.248	T.CS.145	CS.075	CS.111	CS.321	CS.065	CS.130	CS.159	CS.099	T.CS.143	CS.061	CS.175	CS.055	CS.132	CS.188	CS.232	CS.163	CS.003	CS.239	CS.260	T.CS.147	CS.238	CS.190	CS.068	CS.294	CS.176	CS.217	CS.333	L.007.M1	CS.104	CS.036	CS.112	L.005.M5	T.CS.093	L.004.M6	L.008.M4	T.CS.092	CS.325	L.012.M5	CS.169	T.CS.144	IMP000.L.T17	CS.358	CS.109	CS.007	CS.079	CS.072	CS.198	CS.165	CS.322	T.CS.014	L.008.M6	CS.117	T.CS.094	T.CS.084	IMP000.L.T30	CS.102	T.CS.097	CS.045	CS.347.0	CS.105	CS.293	L.011.M1	CS.030	T.CS.069	CS.108	CS.044	CS.251	CS.259	L.025.M4	CS.013	L.008.M3	T.CS.007	CS.172	TFSCS025	CS.090	L.005.M1	CS.019	TFSCS029	CS.118	CS.142	T.CS.023	TFSCS020	CS.103	CS.170	CS.062	CS.026	T.CS.065	T.CS.009	TFSCS027	CS.120	CS.005	CS.298	CS.011	CS.343	CS.016	CS.379	T.CS.013	T.CS.004	CS.357	CS.173	CS.046	CS.308.0	CS.151	T.CS.142	CS.269	CS.098	CS.056	L.006.M3	T.CS.088	CS.140	IMP000.L.T37	T.CS.135	L.008.M5	L.025.M3	CS.070	CS.158	CS.219	T.CS.030	IMP000.L.T10	IMP000.L.T28	CS.095	L.006.M4	CS.220	CS.275	IMP000.L.T09	IMP000.L.T38	L.007.M2	L.004.M2	CS.237	IMP000.L.T40	CS.087	CS.332	CS.305	T.CS.087	CS.231	CS.050	L.005.M6	CS.082	CS.362	CS.341	CS.194	CS.200	L.006.M6	T.CS.051	CS.008	IMP000.L.T29	CS.155	CS.141	CS.235	CS.031	CS.017	CS.053	CS.101	CS.124	CS.115	L.004.M4	CS.328	T.CS.137	T.CS.138	CS.191	CS.073	T.CS.042	L.007.M6	CS.020	CS.199	CS.156	L.025.M5	CS.021	CS.380	CS.227	CS.168	CS.077	CS.035	CS.224	L.006.M5	CS.113	T.CS.099	T.CS.095	T.CS.096	CS.284	CS.350	CS.205	CS.014	CS.009	CS.153	T.CS.020	T.CS.061	L.012.M1	L.007.M4	L.025.M2	CS.076	CS.203	CS.078	L.012.M2	CS.093	CS.311	CS.022	CS.029	T.CS.045	CS.088	CS.241	CS.049	CS.060	L.012.M6	IMP000.L.T02	T.CS.008	CS.066	L.006.M1	CS.249	T.CS.098	CS.033	CS.283	T.CS.049	CS.319	T.CS.073	L.008.M2	CS.240	CS.285	CS.161	CS.058	CS.052	CS.097	CS.345.0	CS.114	CS.356	CS.339	CS.096	T.CS.090	CS.092	CS.351	CS.228	CS.274	CS.171	CS.334	T.CS.150	CS.091	CS.286	CS.131	CS.028	CS.335	CS.040	L.025.M1	CS.004	CS.027	CS.196	CS.236	T.CS.149	T.CS.134	CS.059	T.CS.070	TFSCS024	CS.089	L.012.M4	T.CS.071	CS.024	CS.229	CS.296	CS.043	CS.133	CS.160	CS.032	CS.051	CS.122	CS.123	L.004.M1	CS.038	CS.085	CS.018	CS.084	CS.106	CS.135	CS.086	L.012.M3	CS.002	CS.292	CS.037	CS.041	CS.057	CS.247	CS.039	CS.067	CS.154	CS.164	TFSCS021	CS.010	CS.222	CS.157
CS.047	0.0	0.45491299461	0.446189260008	0.532695903285	0.475856766038	0.448926022161	0.506656588421	0.448684398601	0.478151703331	0.395705849551	0.405912489649	0.396512566987	0.33765036372	0.444899060724	0.395283804286	0.487294480059	0.493904746598	0.448170303157	0.460800875446	0.487786588772	0.376193455207	0.469425988213	0.354975837493	0.384621972929	0.428294380131	0.480677698132	0.408192104043	0.391164251309	0.488083088561	0.475598328549	0.374240403784	0.511409725973	0.406833600053	0.470697001766	0.393806034436	0.415057352615	0.413702911818	0.479094179222	0.412780347039	0.564166173372	0.524122969477	0.529561313052	0.40160624647	0.47449959212	0.481617600806	0.442790344199	0.504505258957	0.506514269376	0.491928645241	0.41295442714	0.423201121872	0.447344273924	0.496319334727	0.508148702089	0.443813924407	0.447010213866	0.470768330156	0.395607571724	0.468589407629	0.399781145349	0.423316142884	0.526756025582	0.507701858937	0.519248451722	0.470355485207	0.456277894858	0.468736060894	0.501613791837	0.386604263333	0.420810509131	0.492346051589	0.415383992332	0.365601717779	0.538304824612	0.441628782851	0.449551774997	0.466759706905	0.46357182364	0.443334939969	0.431988515107	0.508008803509	0.486473766812	0.458555768383	0.426691027968	0.30395128821	0.452735698013	0.372406171767	0.335705887565	0.409016065811	0.400073577644	0.391260414794	0.372935398742	0.340030075674	0.525692578411	0.486889122495	0.506507176566	0.457696674039	0.448827738449	0.415010694366	0.413804738773	0.426664438468	0.444147995762	0.400233090455	0.363089508017	0.440363714109	0.467705517258	0.438880319162	0.381854747201	0.606145777259	0.427990640345	0.442469402317	0.455523001385	0.409668180048	0.449618224205	0.460627839843	0.387162931596	0.581189632768	0.497657537632	0.407993851581	0.522712122442	0.457040238191	0.549886877861	0.512762812258	0.444412554933	0.517698881269	0.461017685339	0.476990826453	0.381340069261	0.422082907982	0.430901328387	0.414159672248	0.471338681412	0.481170038063	0.444218467781	0.455426456673	0.529234243298	0.435200330948	0.458929087993	0.415009154642	0.448799711824	0.445798310661	0.40506171018	0.440913255905	0.437156468577	0.427409592028	0.509595085013	0.410169134827	0.314232423528	0.58588682615	0.330618489967	0.442089384028	0.420015996608	0.377949439251	0.545482177104	0.448752251369	0.572175863573	0.484043047013	0.381059469387	0.497955841377	0.39323243998	0.540751860664	0.431741233043	0.413829494437	0.439068770127	0.463707161725	0.484852355623	0.403281348487	0.421717478437	0.378607190505	0.275840556017	0.398853057552	0.417635701064	0.424119933154	0.523132659814	0.39574017272	0.401322540809	0.375499603898	0.404697246786	0.470250645838	0.349192659142	0.473914141922	0.472510699335	0.428989577881	0.475488823738	0.517705320398	0.35754401507	0.447457594869	0.426048615395	0.562853975213	0.515010367288	0.403984767867	0.415466147035	0.434447134055	0.440977089674	0.467969983568	0.472517263348	0.518313211603	0.513380508457	0.573936851511	0.489433265471	0.432586840789	0.342053588422	0.472337071599	0.472487232518	0.455486854097	0.456638853938	0.498944264727	0.494636018999	0.465919357033	0.454858612076	0.48987895972	0.434610103972	0.359512589613	0.495039989473	0.444000215427	0.522770201055	0.533237722709	0.390176558223	0.47935274316	0.49072330283	0.36233259368	0.555305781192	0.362733548337	0.485425539555	0.50159712585	0.508094843079	0.435659213305	0.418536315724	0.48476953986	0.375933829115	0.415137794312	0.403737068534	0.374675966424	0.298649731861	0.33293454776	0.479222937621	0.383152342433	0.390085095706	0.483794667966	0.445426603387	0.374608866886	0.512323666747	0.441548131707	0.404528124499	0.404088151871	0.359596711075	0.391504293786	0.423265698797	0.442685205653	0.459709915977	0.436029207001	0.557252058936	0.395468770967	0.400803677554	0.515783841406	0.358092302873	0.373954675002	0.420747906026	0.56178548687	0.4571202322	0.398929885815	0.448754338413	0.446093129227	0.463025526878	0.429913292765	0.483209802302	0.460582203509	0.400054607088	0.425939910134	0.446877353236	0.58507811322	0.494307611533	0.472110744457	0.393471326631	0.554132514479	0.369287520957	0.442804042889	0.466154806442	0.477450765207	0.465660501218	0.438282400443	0.422292582353	0.412244368623	0.378774684645	0.480136677819	0.460657665804	0.435091383262	0.373963151776	0.509201002053	0.487446524108	0.425246007787	0.369393395606	0.490229951444	0.432584271672	0.497457748595	0.326065315588	0.46164401053	0.536694765375	0.441353779416	0.353237714483	0.498240996391	0.465884728439	0.461328985354	0.465358965909	0.366631323424	0.428145455687	0.501730873088	0.506431060095	0.40369797887	0.460119628949	0.414688263091	0.379345426797	0.497091449416	0.339204672669	0.486476275073	0.442623119941	0.431038534566	0.465227686192	0.447331341789	0.36587614308	0.361138295796	0.447400731784	0.378964156354	0.427776926226	0.494786445173	0.395318139134	0.541452296882	0.444808106423	0.429638000516	0.563230206513	0.444893749787	0.407791328332	0.501266767314	0.506657390255	0.535817553351	0.486135596313	0.384648607278	0.506977989301	0.509562045879	0.418291994347	0.444645523339	0.409919400963	0.42132782853	0.414871683391	0.458206166874	0.280397640896	0.4502729365	0.338716164838	0.373348998248	0.440631374681	0.479168205061	0.369323844719	0.409254806408	0.384601739571	0.389636587998	0.448122573678	0.42430300081	0.51546000824	0.473872966532	0.368623558403	0.437944466835	0.425959797147	0.412690780209	0.428412334941	0.454190613366	0.497054927481	0.491679661763	0.498159372747	0.460373398057	0.421331899881	0.546677114427	0.492739302928
T.CS.139	0.45491299461	0.0	0.466688146861	0.466588953661	0.427539948565	0.426519871733	0.445153947727	0.383381031363	0.462368714104	0.437848044631	0.447272425046	0.390448832142	0.448356690542	0.504148128599	0.406853750605	0.496183975299	0.413501188942	0.482761831847	0.487431588258	0.428812092559	0.486372964782	0.507938122847	0.473423742178	0.370794452035	0.381853087161	0.511662430866	0.321673517304	0.339592953096	0.557848201152	0.477699151269	0.475114186694	0.421656647914	0.522862701722	0.374516041382	0.408397854064	0.389442443803	0.463243120686	0.499180057252	0.36316434394	0.449670300816	0.436005168556	0.53453378274	0.440534463883	0.44844874213	0.461409780081	0.514436149927	0.466313263793	0.464282083959	0.54998763432	0.450788703039	0.51015174085	0.457717643814	0.537094634326	0.476838175557	0.428400578851	0.333665700998	0.380715626985	0.306228280005	0.512307934029	0.314369889105	0.473979102507	0.480429406098	0.470192409585	0.465415949914	0.54892604729	0.568167359906	0.331552444711	0.556667781444	0.39119988348	0.501353706324	0.470627191762	0.440973633899	0.470588880599	0.457562421137	0.401857781989	0.472933874754	0.458038133139	0.467216856989	0.402252535467	0.467107007069	0.481041748366	0.514326095596	0.463955468264	0.433012293167	0.421670974676	0.375703303558	0.516934035185	0.389568456477	0.424672606919	0.534739420851	0.387646927932	0.340505673334	0.349123571857	0.417985573275	0.553028887202	0.539858811778	0.52364004385	0.456611468454	0.509990661864	0.367895283634	0.491573673938	0.37355082761	0.399360593788	0.437107798536	0.354294837727	0.404895940155	0.360390232191	0.529701075125	0.581023445331	0.492302610268	0.403998011109	0.452121262084	0.325469776648	0.447783199025	0.492571640267	0.483395839917	0.413289970028	0.349400242257	0.361648406389	0.471370643924	0.409172301863	0.570919109496	0.458914581177	0.357249146946	0.426709317853	0.500461904931	0.561525696261	0.366303693949	0.431373344476	0.531828682149	0.309655569962	0.441731065088	0.531664782716	0.47221538397	0.434042596461	0.501699037035	0.437960556707	0.411166820543	0.481218063977	0.502146351606	0.409626434069	0.424136406416	0.50136390965	0.484138598685	0.422603135419	0.367784401162	0.414592382767	0.364441552502	0.500012699288	0.406684575223	0.481322051452	0.506726966147	0.397797238791	0.515712220594	0.388391961714	0.519286731838	0.468263279034	0.439361942013	0.467129354675	0.412190006584	0.435506772644	0.475367862472	0.434930368632	0.47201425199	0.431052726415	0.486460860715	0.350692736891	0.40841833678	0.481357393861	0.371212651525	0.420494348855	0.396081779569	0.350654618084	0.44412283168	0.408658027443	0.301090739648	0.443717716608	0.327976088654	0.508990370064	0.436079455409	0.509128219665	0.413100772726	0.419946612537	0.452946576438	0.467065599951	0.42560095672	0.516293991228	0.442162403064	0.508341043301	0.572411492109	0.418540989408	0.540617921129	0.358112871838	0.428011363757	0.474841858038	0.486880872874	0.45339595346	0.434210942906	0.484067356204	0.559704779975	0.462206629626	0.37638534364	0.484083229574	0.48149108415	0.493283504615	0.44662295423	0.404227474392	0.502271507647	0.450830063596	0.501425755632	0.484866801696	0.320632563026	0.342005146789	0.462052170561	0.512661110288	0.477558233084	0.460701687638	0.384650301797	0.491569054551	0.527928341886	0.49850931678	0.469473836558	0.327706443478	0.490262097368	0.497723276376	0.551359197496	0.398130530508	0.338250117416	0.383417825315	0.415978026837	0.436368708344	0.393458125687	0.340690401648	0.363769291739	0.438887691675	0.490244581475	0.424575840464	0.425270900426	0.553004555449	0.5288540153	0.327323786559	0.552668033813	0.326008561981	0.293772594849	0.35056928657	0.482253792944	0.383987035519	0.32881873553	0.545814739177	0.493769202492	0.53589914845	0.48545317072	0.475480805974	0.391859297573	0.597456907324	0.362508294119	0.411642907219	0.428095529121	0.515241209573	0.368346496224	0.492378524592	0.381675567867	0.387380041535	0.385682556666	0.504692331189	0.458242691188	0.507733589275	0.330272829989	0.526905062474	0.464265334437	0.461800385011	0.479645621498	0.402657332038	0.326281887335	0.506552075251	0.440467979684	0.468132495993	0.508591629759	0.437007040628	0.441528891739	0.501141796833	0.503500648336	0.418230252735	0.374406884127	0.554302036876	0.434454835026	0.538392991432	0.4502699615	0.411600409433	0.479253573617	0.495173713001	0.491654188592	0.471669816385	0.523309765626	0.383805970512	0.345257377272	0.485789584236	0.469412222549	0.518916861575	0.331902905106	0.495585213118	0.439598647329	0.55985379159	0.501145441768	0.421596561683	0.423790889678	0.485478561592	0.554526528648	0.487814954057	0.424331189412	0.448360071893	0.404287930859	0.497359787962	0.329000636789	0.462538215155	0.486065991843	0.431570979912	0.396264752469	0.503194546218	0.361840912342	0.442953918421	0.509300913858	0.393855303443	0.391019802856	0.541556782776	0.449901658858	0.500692539345	0.528088241558	0.433744820915	0.503470432081	0.548178826441	0.438558067673	0.379417113759	0.512322596263	0.430945660383	0.479761898375	0.406516123165	0.448547123712	0.439710727774	0.325133491917	0.503523768936	0.381946832401	0.43305784928	0.440678507944	0.47431993588	0.42780385562	0.526573728318	0.379202627484	0.399963334822	0.326548611456	0.535826880208	0.32770901333	0.4910894553	0.393007329837	0.432565501781	0.542059745338	0.429202834325	0.461403771793	0.4629110226	0.458454247553	0.557421850735	0.543317530496	0.452248358629	0.447342107515	0.466889396457	0.56797589749	0.58958427486	0.52225868067	0.413070701078	0.533794431979	0.504587046961	0.647084349514
CS.138	0.446189260008	0.466688146861	0.0	0.464238363417	0.368409790499	0.419941217528	0.375024314099	0.42394134387	0.399327615455	0.372008288051	0.403932193713	0.406784389444	0.364473375055	0.359520051179	0.413533576089	0.436719521341	0.373957065891	0.362722677029	0.353683627721	0.3358501252	0.392948988363	0.355631956644	0.377338739699	0.421249863286	0.407334532782	0.297979939185	0.434646724239	0.432242847032	0.354692548855	0.337500943876	0.403265645138	0.463757996994	0.332745950757	0.477645895942	0.407557561312	0.377005792519	0.361052294039	0.424988836362	0.416420597256	0.431620943648	0.4172431858	0.429785912528	0.412635721055	0.331356241667	0.322290950913	0.377157167771	0.375940887635	0.378639160707	0.394883366147	0.378480292758	0.320809805828	0.323522945406	0.374818027691	0.369519488038	0.493574544865	0.471333646547	0.459536068853	0.456461910869	0.3018221116	0.454264264478	0.332688630228	0.465448241732	0.354542904735	0.422517665683	0.382069959923	0.411972068803	0.422277421695	0.437475820845	0.402307639981	0.303090125526	0.38717291655	0.388751507469	0.415138065955	0.452942618695	0.416900525825	0.343440151912	0.428413144103	0.327845417511	0.386895838347	0.399365574948	0.379633970158	0.333151217816	0.337390596028	0.412786032385	0.40478567674	0.465227246842	0.434916956068	0.392297970902	0.403704586283	0.317079034901	0.469691051955	0.390110786161	0.475518880651	0.352365380194	0.387437459245	0.433184399523	0.3607963374	0.329296817644	0.34203951268	0.332320930581	0.307492566279	0.364774516795	0.388599644093	0.374441355772	0.424802454741	0.39422710991	0.442292468395	0.343191247102	0.515532267631	0.304758563954	0.413698238591	0.310678615826	0.491906676749	0.3408879198	0.347676020448	0.312841142603	0.447816448387	0.363593117356	0.407942799515	0.413739305812	0.386939853879	0.446089551404	0.427762875518	0.389302965761	0.422744666025	0.32094965585	0.381489827889	0.420702402519	0.392321251777	0.336552545445	0.380946407932	0.348995268866	0.376404101035	0.390419954958	0.389391702721	0.381300924531	0.296486732402	0.421424860558	0.384678261641	0.333016922801	0.436221903663	0.434638611099	0.35650244756	0.429042428066	0.358917242883	0.429773356895	0.415462995882	0.412496235251	0.447250226101	0.458416762923	0.398263770286	0.321380239934	0.437240966623	0.473989234549	0.369836844892	0.472943622923	0.363529961037	0.430243223385	0.399591272805	0.450229583273	0.419431544405	0.32516025749	0.421179965916	0.324860191594	0.458613468365	0.443897902999	0.468075898092	0.395323161928	0.407650836227	0.403804868843	0.389118191345	0.382059648787	0.404149396945	0.397457355855	0.383565952769	0.405357621001	0.353121776538	0.403660075464	0.397124065714	0.432353941221	0.345774191112	0.407537464996	0.402290658182	0.354270531205	0.439190214561	0.362820687272	0.379982658714	0.401802574517	0.468482531197	0.417322574659	0.402743604696	0.359904784797	0.421278252868	0.419097374288	0.353547470175	0.347901452302	0.377355211417	0.400125010035	0.476500008449	0.421413803109	0.31012165751	0.417632275001	0.367419949318	0.307302941317	0.341501896145	0.34703380164	0.383216369347	0.390638836348	0.345528407451	0.375127929591	0.313269460368	0.458147450233	0.447193740308	0.357814749268	0.332252733807	0.384256426317	0.391278129472	0.379889851592	0.383899748585	0.365425047051	0.430262782604	0.487315336983	0.424338519174	0.311392062575	0.35801719743	0.385467117143	0.379479495838	0.406961006107	0.477007267974	0.431057196103	0.362330467547	0.371634134926	0.425553011849	0.381968427666	0.433319986792	0.402882376497	0.34734429236	0.400023080375	0.428454404902	0.353710547984	0.456385195275	0.476512552523	0.455605596127	0.444837654903	0.431144876672	0.405848581565	0.370237890826	0.466148676122	0.407000006604	0.396332983761	0.388656026326	0.439139579911	0.343598533226	0.360374996802	0.468797465737	0.40106370492	0.348072974846	0.399138846902	0.419939051163	0.409003225271	0.348958010855	0.452160201297	0.413888092358	0.401969800661	0.310097301639	0.359896742475	0.347875475727	0.436642548229	0.388272467665	0.33669621514	0.589838339591	0.397749861442	0.439129689473	0.468310562821	0.448321551921	0.343918622435	0.351282293072	0.36919543827	0.401487036377	0.319319268119	0.355652489131	0.367126090812	0.381322613507	0.449555758443	0.41139362022	0.405305452566	0.410691814936	0.392476873566	0.47287641249	0.316295390364	0.441285600276	0.403653071979	0.400493322327	0.346088100303	0.466931850476	0.411638436653	0.366708717098	0.423552976844	0.295713839338	0.434953366589	0.421534001535	0.407396534022	0.366063433068	0.317062181039	0.356236125911	0.434647398358	0.370450852022	0.407421092634	0.361300847215	0.522525100554	0.42589925323	0.372464665177	0.401628847241	0.37721859593	0.310186156728	0.362039267457	0.398246634971	0.426141090361	0.37954123502	0.459394445807	0.44578101733	0.345409668728	0.35024176973	0.412544478047	0.40852388461	0.426812097842	0.428560064422	0.371728019953	0.448764946754	0.46725222496	0.384082251265	0.409092187877	0.459547928232	0.475008634158	0.373790060743	0.406933565618	0.396108428509	0.441850593135	0.41582142184	0.420717084202	0.341303074703	0.348810933514	0.425537183957	0.399965376462	0.331506412281	0.43554490542	0.351180422527	0.439106372399	0.395252392909	0.456127569483	0.389859867647	0.419686723929	0.444947460933	0.365355894716	0.379263731992	0.354826859654	0.314014026633	0.450351979896	0.326245339404	0.374748746603	0.425119299064	0.350924585935	0.402566824452	0.409861074211	0.345576868282	0.424958930489	0.429747432542	0.371285311764	0.426937916609	0.519492768893	0.428069141538	0.505773978989
T.CS.141	0.532695903285	0.466588953661	0.464238363417	0.0	0.483043186811	0.444519696588	0.378344960497	0.438748152718	0.364224631395	0.498678277953	0.462694739542	0.384475422443	0.505918305434	0.478823538359	0.459219708313	0.430145553932	0.549858468087	0.513448756109	0.503121304766	0.446068853574	0.458072860034	0.46915523242	0.491238765745	0.530307001887	0.466469161291	0.489468312531	0.490656381926	0.441002025749	0.45459430928	0.486336575399	0.452777570365	0.486368174035	0.439319192819	0.528576529064	0.428265572595	0.466799901565	0.480949157746	0.482302466008	0.426849940269	0.41994718036	0.541053371985	0.484433800949	0.486178000203	0.384994789933	0.453264608143	0.453870226527	0.397287363082	0.41404682113	0.452307674759	0.458367925836	0.438214008573	0.475799306634	0.488065072192	0.457334012516	0.545862342006	0.496419297446	0.389249802115	0.466274922099	0.47336866543	0.450784878815	0.475809609608	0.417009821073	0.540749520931	0.414314533719	0.435951940033	0.375709680729	0.384809772867	0.398338749722	0.403401545628	0.467333451069	0.341375705519	0.434423738873	0.46153408151	0.38293260563	0.458418999176	0.452389924435	0.51314232991	0.43445398412	0.414807925478	0.507449670193	0.417137205029	0.468322164409	0.418917560199	0.428309473487	0.480644903995	0.51420965262	0.447078935588	0.428945312587	0.429859560682	0.500207564144	0.414398946522	0.526749116866	0.458014001117	0.450273752668	0.462795535541	0.441541283346	0.401490432503	0.410597331702	0.444276653619	0.472951830141	0.415066637275	0.475308250692	0.427252696573	0.491764427238	0.413328764746	0.471650285027	0.472889376192	0.443137076217	0.519771665399	0.44496598565	0.422355404978	0.446336493461	0.382021386831	0.363577438962	0.469044318352	0.412750989512	0.379642896966	0.454482765246	0.475134190532	0.468204773453	0.477042010434	0.4959070084	0.34479259039	0.404625430031	0.389802635889	0.459165697893	0.48757118282	0.473237042213	0.48091414799	0.42872043178	0.510459304617	0.45083313236	0.471280673816	0.535149714926	0.493550034388	0.481068682054	0.453120868669	0.443031707932	0.488378081834	0.439065283815	0.421706279024	0.405063754884	0.417664746927	0.495423898536	0.497981453876	0.456832202207	0.445798719343	0.476501729947	0.524429433471	0.461098871559	0.431993260791	0.433917853401	0.467523225702	0.408522078998	0.451518251438	0.468100532325	0.464754066312	0.427305519999	0.496890725389	0.530113280308	0.388587721589	0.396372421363	0.497249534081	0.389103472068	0.510080823796	0.512395888051	0.494915369707	0.447922659167	0.450625571614	0.458150078346	0.435367905802	0.413481901955	0.493324282833	0.429159557641	0.430104004891	0.471748797899	0.466261178524	0.481098362623	0.453739527717	0.418036260117	0.464781584259	0.476590008772	0.500958529071	0.378246436412	0.265761841185	0.494869880594	0.43561723106	0.480607756071	0.408818931647	0.469940626241	0.440010296855	0.489244028002	0.417479398018	0.442231131842	0.491533430787	0.453352805442	0.424729822538	0.427097667623	0.377141776773	0.458420750895	0.407272750891	0.496272380452	0.376300176537	0.467200241919	0.478339871456	0.396949711319	0.397791473253	0.375835075027	0.46471571598	0.520415809279	0.478988267519	0.468779842972	0.440980473389	0.460594847198	0.453141965826	0.415663692693	0.40126342033	0.442939484712	0.401697329497	0.509943747765	0.493558551377	0.35276404461	0.461802548597	0.444652656007	0.496136152107	0.480671354689	0.444383241639	0.499681957885	0.510922483189	0.404727181924	0.521656917877	0.457520875382	0.477676800032	0.471423646488	0.516070031291	0.376688766812	0.482894532136	0.43640547735	0.397257460449	0.410655669748	0.454729934452	0.544810175405	0.514011318059	0.443031562348	0.474073265495	0.432849137994	0.449744378892	0.45640883982	0.414852874771	0.438141039568	0.411409416423	0.451991810037	0.440411084883	0.415626216621	0.504940233744	0.457833005257	0.44711503182	0.439967667516	0.43883306213	0.431293798846	0.420477405135	0.382820456066	0.389925111587	0.458725732676	0.436968754798	0.36578015299	0.47365432653	0.468742508517	0.402168219924	0.451300646511	0.569999090484	0.491829752034	0.415571435637	0.427153157859	0.408816694954	0.476051483667	0.423372321751	0.376753030951	0.345824664702	0.398778172849	0.410113266728	0.375749419184	0.480752141664	0.457719137342	0.376906488433	0.450954320886	0.417627905546	0.46067330444	0.438602099218	0.463270779438	0.465616367557	0.426377644303	0.390702142546	0.451722901313	0.451983810811	0.464491648884	0.402892406543	0.457371096291	0.470153715447	0.454943683323	0.411071231503	0.497492631108	0.480405049581	0.455892583666	0.487280464216	0.424444407744	0.537401923932	0.483510777846	0.436262486044	0.510392885734	0.478174847772	0.417782208949	0.329209712436	0.433671525079	0.491122413748	0.426109925679	0.528380689945	0.428445820304	0.486630699447	0.456951358859	0.539381188618	0.43119651363	0.460636820317	0.408372145324	0.50988007269	0.461905830365	0.422659570357	0.475123760859	0.391415664812	0.460003379447	0.46323967367	0.468062108764	0.535278742416	0.54484938816	0.406710641233	0.459096934468	0.439576289949	0.354281023259	0.434905004761	0.516297627798	0.441452372996	0.457063850382	0.426786069441	0.439160267504	0.408590905641	0.478595644364	0.483364929715	0.430138523918	0.411610052619	0.453271184134	0.408594786998	0.471755432971	0.435321858576	0.428329319556	0.4454070913	0.498392195463	0.35380297559	0.362377710486	0.438300616011	0.432406982439	0.419564638783	0.448931540748	0.431439524785	0.449943974366	0.424372494171	0.48100779528	0.452593583805	0.409730501689	0.473153125846	0.476504548888	0.497762416007	0.533563347379
