	CS.219	CS.295	CS.025	CS.230	CS.142	CS.238	CS.333	CS.036	CS.111	L.007.M1	CS.104	CS.365	T.CS.141	CS.351	CS.379	CS.138	CS.070	T.CS.007	T.CS.144	CS.346	CS.119	CS.300	CS.169	CS.130	CS.290	CS.360	TFSCS020	T.CS.092	CS.191	T.CS.147	T.CS.093	T.CS.073	TFSCS025	CS.343	L.006.M5	T.CS.100	CS.302	T.CS.008	CS.193	CS.196	IMP000.L.T36	T.CS.047	T.CS.137	CS.113	TFSCS028	CS.003	T.CS.009	CS.190	CS.159	CS.205	L.025.M2	IMP000.L.T30	T.CS.133	L.008.M5	IMP000.L.T05	TFSCS021	T.CS.042	CS.163	IMP000.L.T03	L.005.M5	CS.099	CS.274	CS.139	L.012.M1	IMP000.L.T26	IMP000.L.T40	T.CS.084	CS.151	CS.269	TFSCS024	L.008.M4	T.CS.096	L.006.M3	CS.334	L.012.M3	IMP000.L.T27	T.CS.098	CS.033	CS.282	CS.335	T.CS.049	CS.011	L.004.M6	L.005.M6	CS.137	CS.001	L.005.M4	L.006.M2	CS.141	T.CS.020	L.006.M6	CS.296	CS.092	L.007.M6	T.CS.149	T.CS.097	L.004.M3	L.006.M1	L.007.M4	L.012.M6	CS.260	L.025.M6	L.004.M4	CS.109	CS.007	CS.366	T.CS.139	T.CS.014	T.CS.069	T.CS.081	CS.297	T.CS.090	IMP000.L.T19	T.CS.071	T.CS.003	TFSCS027	T.CS.087	CS.098	L.025.M5	T.CS.018	IMP000.L.T17	L.012.M2	IMP000.L.T02	CS.047	CS.083	CS.009	CS.042	IMP000.L.T18	L.007.M2	CS.140	TFSCS023	L.008.M6	CS.231	CS.341	CS.322	IMP000.L.T20	CS.321	CS.155	T.CS.143	T.CS.140	IMP000.L.T29	CS.213	CS.029	CS.060	L.008.M1	CS.203	TFSCS026	T.CS.099	T.CS.043	CS.135	CS.318	IMP000.L.T10	T.CS.051	T.CS.061	TFSCS022	L.025.M4	CS.380	T.CS.136	T.CS.145	CS.061	CS.101	CS.068	CS.293	CS.382	T.CS.150	CS.136	T.CS.030	CS.015	CS.305	T.CS.065	CS.112	CS.004	IMP000.L.T28	CS.167	CS.198	L.025.M1	CS.339	T.CS.151	CS.123	CS.168	CS.091	L.011.M1	CS.176	CS.008	T.CS.067	CS.037	CS.158	CS.072	CS.218	CS.132	CS.161	CS.030	IMP000.L.T09	CS.118	CS.057	CS.085	CS.020	T.CS.094	CS.053	IMP000.L.T04	T.CS.095	CS.096	CS.078	T.CS.138	CS.013	CS.059	CS.240	CS.117	CS.019	T.CS.135	T.CS.142	IMP000.L.T39	CS.022	CS.143	CS.052	CS.110	CS.040	CS.362	T.CS.013	CS.106	CS.174	CS.056	CS.347.0	CS.028	CS.093	L.012.M5	L.005.M2	CS.350	CS.058	CS.357	L.004.M2	CS.188	CS.105	T.CS.134	T.CS.148	CS.165	CS.012	CS.016	CS.051	CS.021	L.008.M3	CS.328	CS.115	CS.356	L.008.M2	CS.063	T.CS.045	CS.044	CS.055	CS.065	CS.102	CS.259	CS.108	CS.251	CS.064	CS.045	CS.071	CS.062	CS.199	CS.032	CS.046	CS.131	CS.089	L.006.M4	CS.002	CS.235	CS.075	CS.332	T.CS.088	T.CS.146	CS.172	CS.090	CS.027	CS.275	L.007.M5	T.CS.004	CS.229	CS.005	CS.124	L.005.M3	CS.283	CS.031	CS.024	L.012.M4	CS.082	L.004.M1	CS.311	CS.301	CS.077	CS.249	IMP000.L.T06	CS.080	CS.170	L.005.M1	CS.156	CS.247	CS.345.0	CS.076	CS.285	CS.097	CS.079	CS.286	CS.194	CS.222	CS.358	CS.026	IMP000.L.T37	CS.067	CS.227	CS.388	CS.319	T.CS.023	CS.043	T.CS.070	L.004.M5	CS.312	CS.154	CS.241	CS.114	CS.224	CS.018	CS.122	CS.233	IMP000.L.T38	CS.173	TFSCS029	CS.088	CS.284	CS.200	CS.232	CS.039	CS.103	CS.237	CS.160	CS.153	CS.038	CS.120	CS.308.0	L.025.M3	CS.239	CS.175	CS.294	CS.298	CS.325	T.CS.089	CS.023	CS.084	CS.171	CS.074	CS.035	CS.006	CS.248	CS.292	CS.066	CS.087	CS.094	CS.050	CS.049	CS.086	CS.217	CS.095	CS.041	CS.220	CS.236	CS.017	CS.133	CS.014	CS.228	CS.164
CS.219	0.0	0.701256435892	0.632077318547	0.708370953263	0.699552206466	0.588217200359	0.5614292097	0.615067266003	0.576150773198	0.673462461743	0.582531696748	0.655792125682	0.674814179774	0.586465524866	0.657840142539	0.664951459661	0.73283685077	0.683729650817	0.707080663227	0.629523642172	0.651651795044	0.673164459951	0.620235245938	0.610866595073	0.757530136244	0.664149300201	0.657218249478	0.729969172705	0.742206511402	0.685282447019	0.639939621808	0.691432759786	0.670177732096	0.717594025167	0.675230228237	0.682286842354	0.704819058544	0.719815620119	0.561699307411	0.775196359575	0.631374544081	0.72824709062	0.625457183613	0.67617156668	0.623538556826	0.61279782357	0.75718567189	0.6959434271	0.645005428174	0.612944040744	0.726833149274	0.645388429433	0.599881589294	0.567590911312	0.70185090518	0.723651279991	0.66020385355	0.662031108603	0.668132121901	0.728130647391	0.653309916169	0.594854655429	0.573744291422	0.747956059741	0.623695149768	0.690116275604	0.692885144433	0.556356699348	0.795756169862	0.707218602789	0.610695401345	0.668947181114	0.683375469996	0.67596113718	0.744658424674	0.593113167473	0.705535438215	0.58952199461	0.645087167279	0.736498376072	0.631687209653	0.542776216119	0.765571085403	0.735142472823	0.633352186589	0.572468782613	0.66844641798	0.673301345181	0.657559123988	0.611586296987	0.630027954239	0.66401530345	0.612676043651	0.662700624541	0.721516648974	0.713822044982	0.61706020981	0.737973377226	0.62526655361	0.688489017791	0.647278434052	0.665417086291	0.636386956955	0.567787947273	0.715519238012	0.637231071939	0.691314707107	0.6202376924	0.621382756703	0.691889345183	0.705573068418	0.691568736121	0.690914556882	0.692265853387	0.727069556461	0.763061420554	0.723798798822	0.709961994207	0.709043701231	0.730978711404	0.708552603148	0.658593577589	0.637569375349	0.605089397126	0.601380357649	0.67340967353	0.668900720255	0.61426023572	0.629568533665	0.526033779695	0.65080832619	0.622664911193	0.605706652061	0.642662150067	0.663498086922	0.694712700741	0.652301223811	0.623452158359	0.621546516299	0.714825888456	0.614355818518	0.639272636021	0.565705072209	0.693281101356	0.668224991786	0.7447852465	0.720317824199	0.684437001251	0.729603460399	0.641128720128	0.572279009915	0.662759869526	0.683061500913	0.680775571236	0.683028503724	0.717443280338	0.689239983405	0.739325638488	0.688718790764	0.723897470825	0.64624253323	0.683105813736	0.708939000913	0.606872248038	0.657420227435	0.586312527405	0.721736827685	0.72569711817	0.64918975941	0.722134924723	0.622532906656	0.745840957403	0.627660006174	0.659738337078	0.745957860569	0.656871537411	0.721120979661	0.711637679652	0.693971259358	0.6085753485	0.697153299535	0.562096163841	0.548901960338	0.690972778138	0.704442832665	0.792570922821	0.65610546673	0.560696334186	0.692148546329	0.609085701811	0.544325155386	0.639813059909	0.666310643377	0.721991906861	0.640456199069	0.573447066329	0.676549925714	0.689562892875	0.589131819504	0.704755654296	0.674543637422	0.646784360299	0.692734592153	0.717354718121	0.574219723004	0.642589863667	0.648939125185	0.734614959472	0.620711241185	0.608668341883	0.716573868465	0.65432932296	0.628219389612	0.568778940114	0.598980221041	0.652733052243	0.659553337615	0.557020641705	0.762710892303	0.653008850609	0.642100516253	0.578888163954	0.606612101935	0.634413408457	0.644073295947	0.731404184612	0.703151189375	0.679869013492	0.599080414816	0.666775940344	0.713456176527	0.627664041984	0.666220322057	0.712317245998	0.746728135582	0.704817737422	0.556839667506	0.646296448464	0.702807688005	0.535278117216	0.753110561342	0.787281106441	0.795947377419	0.755883004434	0.631171737286	0.612379886572	0.690648169604	0.721829165732	0.559721553748	0.619755252845	0.729638443739	0.689824674998	0.65055085897	0.659694299963	0.626071459448	0.595017747913	0.656755147279	0.644859152776	0.665314482185	0.754598677533	0.691776858595	0.628314588982	0.644185579477	0.776240044541	0.731594650248	0.586241132364	0.578345199011	0.685485775724	0.741091017644	0.694049573866	0.676259304406	0.647314535408	0.694464671146	0.664188086626	0.651904390831	0.692054951131	0.571163031009	0.572768526909	0.759721510621	0.686760909746	0.723460592901	0.69347930016	0.632414146874	0.795578052514	0.589283937823	0.668504105964	0.686802970024	0.548460233709	0.657038744141	0.575155077528	0.625470401047	0.700183113079	0.638646191317	0.739687917163	0.675756259774	0.605843132959	0.704618648705	0.636108489816	0.660553640484	0.543160980139	0.599029803145	0.653725315185	0.710191368062	0.74821005093	0.695638584039	0.615644223786	0.67688680281	0.640766454834	0.720033077487	0.68629439121	0.596310649763	0.815645440072	0.602266128967	0.657509155355	0.714753793733	0.579604101717	0.788221858309	0.620518298863	0.61484759683	0.802081086814	0.551936136647	0.656371048148	0.799834778498	0.687538627932	0.627068603541	0.718675958225	0.731159207042	0.608275474512	0.572710723995	0.562956162998	0.670120417274	0.655630333183	0.645384325926	0.646093519459	0.649574659123	0.711955460745	0.623927507876	0.68107391664	0.702946577323	0.5705793138	0.721594191845	0.895089524486	0.538598013254	0.868177839729	0.680469151721	0.624600114716	0.598337652429	0.660935520761	0.70256693155	0.677058290607	0.646550453368	0.604256990452	0.647062441291	0.699901866683	0.674211452505	0.727871491742	0.782492046128	0.714144463803	0.633009670769	0.705494154762	0.588154561701	0.730792670548	0.722657440483	0.740370234347	0.652442026935	0.634321802303	0.610978417257	0.725197130199	0.923016396791
CS.295	0.701256435892	0.0	0.548760388126	0.752461250907	0.626510988211	0.461950103108	0.597174571773	0.664491802715	0.554074177846	0.36349972043	0.477187596436	0.322747926219	0.519215770673	0.431665658215	0.719812278686	0.446069135146	0.770324103601	0.607958024554	0.531898679283	0.720748486989	0.470998426459	0.559354864858	0.357866653282	0.497679722264	0.612291261213	0.595367591534	0.549533454619	0.598550640927	0.43212021826	0.468614836014	0.485744298296	0.426100508552	0.528293861495	0.602682512067	0.395202192987	0.526804951091	0.729043366845	0.384752238465	0.581998444942	0.720753714961	0.568617367029	0.534213663196	0.72527488817	0.41616483826	0.379858462393	0.378920916612	0.52068135703	0.53876852308	0.452695056696	0.564612970492	0.524999657956	0.595884706501	0.554195828361	0.669405832575	0.607451493821	0.568692302058	0.358751988567	0.681039986586	0.617960402955	0.543209999015	0.454438596294	0.639877807566	0.636528403584	0.6488048865	0.598189252397	0.570949123662	0.367788944254	0.573200704345	0.754353668458	0.530981854665	0.664555895773	0.506946925397	0.557154040989	0.655640269166	0.609259416885	0.59009823814	0.557538526962	0.507610046491	0.678975314105	0.746904315659	0.648071846883	0.652391263516	0.557893485303	0.51077352392	0.590389785858	0.572767207956	0.47665669882	0.624465283364	0.52049115308	0.594699259986	0.48971384959	0.442325370498	0.529994469931	0.477912805933	0.600471836881	0.497158448453	0.664875321669	0.557314319719	0.5791575612	0.652823117443	0.551314386123	0.53324104357	0.372232623792	0.607651132012	0.341098586605	0.638799356105	0.456880003396	0.674102713602	0.519483645708	0.445324763368	0.34475754225	0.451931765204	0.608021414254	0.382509713996	0.532547946332	0.58593485655	0.421244586849	0.5495714047	0.532519737249	0.519182922043	0.617340222893	0.653681876737	0.574725662752	0.639053601391	0.590903883141	0.613511556254	0.436127661158	0.582421702477	0.52131526646	0.580285648706	0.464802552248	0.656360485955	0.612371819956	0.671094245316	0.666604699087	0.635003143214	0.444514320332	0.510074832278	0.352629428813	0.430673246423	0.576286587859	0.668649607032	0.56929785266	0.630108950294	0.66280449163	0.353430285499	0.441031769494	0.451203667243	0.421822244402	0.668324078351	0.569373254215	0.595670283083	0.514960921901	0.472031602393	0.484753073965	0.503927671301	0.409089417472	0.437941743395	0.430041571139	0.42348286002	0.396499548318	0.507488804112	0.522769652627	0.437125232044	0.448686929581	0.604911334174	0.544171550168	0.489316494195	0.362771173347	0.434381612064	0.66530478337	0.614471224128	0.572874114699	0.435620494069	0.543088861324	0.63784979805	0.52775674459	0.408764739737	0.468518655637	0.523724321072	0.611074731881	0.458308019743	0.471395789399	0.463444534674	0.378962864525	0.641868602476	0.598789810853	0.43704882869	0.504299874463	0.506679017223	0.631109117346	0.391066848187	0.609830600527	0.381688547658	0.6356888052	0.502439291435	0.45577241341	0.465683105389	0.560581067473	0.599810516266	0.487295390905	0.446913567665	0.471842151745	0.473458343154	0.408625868421	0.476821966239	0.500697002366	0.404064912201	0.296510330533	0.624582115738	0.503065568083	0.604064571315	0.643235414844	0.55209747687	0.570436235154	0.608567335039	0.438044750664	0.715298430958	0.472659392509	0.579527771129	0.432338147699	0.610220406885	0.645731287391	0.546083404647	0.412304544065	0.635590432136	0.509657604669	0.478334332106	0.61738388271	0.404078002655	0.499406008742	0.509988153426	0.371808779528	0.476872206723	0.511350618428	0.553499868839	0.604841007613	0.346359617444	0.616510665096	0.621813948681	0.798486275539	0.893103728524	0.838681068184	0.749965160303	0.699943891612	0.694786695792	0.417072465873	0.411102466572	0.510402937843	0.491295513188	0.46426719825	0.466205449608	0.754651161292	0.389755374536	0.602033818204	0.45198547124	0.523909075496	0.338126019057	0.61504117003	0.749883342337	0.437134690633	0.480194507392	0.439405277837	0.599165880827	0.570112508688	0.443755713748	0.493086353876	0.486248983541	0.521626491621	0.441330160289	0.345233487815	0.584179468384	0.427584632468	0.607508318198	0.584638628926	0.484106591183	0.530001400626	0.419312714445	0.5952771142	0.514186535427	0.635376440136	0.565488776351	0.471088139838	0.655470935761	0.416568735699	0.431003758802	0.346158302122	0.590114867449	0.469801644179	0.662537851009	0.594003655285	0.584250136592	0.463849481867	0.517703884379	0.650897608857	0.611336727095	0.760010854915	0.719132455232	0.679790787638	0.63296891753	0.684124748441	0.643731259052	0.752392416199	0.703302568034	0.801048249866	0.414379537279	0.619584278283	0.800921977868	0.665890948933	0.643845542696	0.715293469821	0.75143919498	0.531765634788	0.400948688413	0.491127820368	0.605610244873	0.819998806979	0.463678558312	0.567474027957	0.703741784557	0.628363058238	0.369978337408	0.737507945249	0.629406141021	0.447218658089	0.558736042976	0.495215920376	0.655930712796	0.520172213865	0.426670312248	0.49160520584	0.511491009342	0.616392391847	0.384573575332	0.449481076702	0.391377921939	0.464849481707	0.748365719401	0.454849040541	0.45206955178	0.803321241556	0.872159947198	0.507444192369	0.699446911044	0.412891111175	0.389132510087	0.537125689547	0.380987136833	0.389862189293	0.391421037687	0.474345244983	0.561557022332	0.570694563034	0.35421732358	0.430314685766	0.506085448435	0.570890304664	0.565366471877	0.387909807142	0.579924478973	0.448116671348	0.705509229533	0.484965278727	0.67340711264	0.39734160809	0.426614046484	0.520246597814	0.551964713312	0.926560388627
CS.025	0.632077318547	0.548760388126	0.0	0.702886600712	0.647494697879	0.529284779496	0.606210330782	0.647887047266	0.542075459281	0.591489399989	0.565491633587	0.573690584598	0.66547601417	0.530600925974	0.701929880297	0.49011922667	0.737366098902	0.563117213184	0.641736992811	0.677629647474	0.531248555673	0.606985600584	0.568628952059	0.534632814199	0.662590847473	0.626711455948	0.564286881976	0.708096592844	0.68611030518	0.641792835848	0.669061801794	0.64750659032	0.558175626703	0.60053465976	0.56257675373	0.611000733975	0.697215254367	0.560655557327	0.599829970874	0.693519595019	0.536798125667	0.572438790415	0.694797332537	0.64321478512	0.554078205686	0.58480654111	0.676014766281	0.648655938647	0.627936178932	0.574489855825	0.665057784779	0.5497934798	0.591834903	0.612736147506	0.54734563017	0.581135020062	0.601355896359	0.627689192882	0.545294228778	0.665472671467	0.634308531314	0.606553940259	0.577569765058	0.60855369016	0.539850287848	0.529214964138	0.566335385135	0.61193748378	0.73030682063	0.59496006269	0.585718773227	0.689577414184	0.661441696583	0.661965229113	0.626961454005	0.526188204679	0.611218367125	0.453107925869	0.677242276914	0.714404456388	0.622506332715	0.584656266993	0.679037793388	0.68516450291	0.518245254622	0.586363281437	0.630424490167	0.626673336353	0.615152732167	0.651089354333	0.542453914426	0.671400985781	0.576453777564	0.642169339453	0.620401877548	0.643469988314	0.616280256751	0.617964930289	0.613112367623	0.618694484804	0.565937389301	0.626482139101	0.58207364305	0.546711601522	0.604957892321	0.58010981105	0.643834762451	0.60313531942	0.525729538281	0.619255782231	0.626977479858	0.617905856494	0.547135219371	0.571192845263	0.657727246661	0.658949992194	0.597820713026	0.618896857241	0.577698477259	0.650721423149	0.572100688204	0.610789067882	0.540515260602	0.550910520929	0.507434776759	0.563197738758	0.577410014495	0.53053293084	0.597829001703	0.570351895544	0.5845387148	0.514124054265	0.567305810224	0.629110305999	0.606692645171	0.578083453878	0.65340870589	0.52836855531	0.544214185569	0.658883071286	0.538725069842	0.665209001567	0.527989846927	0.654625203475	0.510700893379	0.586060270474	0.552178848019	0.688591178994	0.613386919336	0.692919655392	0.56113155871	0.553233982439	0.667793421445	0.588248137992	0.599029307028	0.608929888084	0.570688622556	0.668550242607	0.668163975082	0.585237711841	0.630921024573	0.550115301283	0.734872861146	0.539028527875	0.64956174023	0.583176882883	0.63509211002	0.467244932719	0.623934693576	0.599766764785	0.660648286214	0.669363610568	0.567589801839	0.606536220642	0.64704383841	0.61292953618	0.655866791344	0.660794959701	0.665304698218	0.522815340126	0.592594861351	0.474588860141	0.537466578778	0.542891555405	0.598369207583	0.664151799067	0.57208507998	0.510785114908	0.547438227593	0.551468818397	0.596944003036	0.547316380267	0.511034480819	0.583877455371	0.643898951701	0.501552208158	0.579262239713	0.644092138245	0.57552250141	0.583783009191	0.669537119694	0.534630742689	0.584919179007	0.649127478923	0.470344720211	0.56565140431	0.601841380596	0.617559878997	0.577755211428	0.625377783455	0.634679810666	0.561900604769	0.578729427445	0.578482676204	0.559662226774	0.544818486801	0.671912365279	0.671713545378	0.658931387848	0.499464195057	0.602516872403	0.557866354934	0.60930980818	0.589027502912	0.581329751245	0.693563892476	0.646904133255	0.645583679116	0.569526911577	0.593809809251	0.679803607553	0.60365275841	0.584851061075	0.696499840419	0.681207949265	0.626571092603	0.553567234929	0.556718687242	0.621496090296	0.53736264598	0.66270905291	0.805119086584	0.823068879014	0.681196023119	0.557698955986	0.611660773296	0.647612022486	0.582333826084	0.478403432338	0.499081556182	0.638095272312	0.659682731672	0.730885064814	0.579258265104	0.533320885996	0.528974990174	0.515421346477	0.536070909315	0.569659462782	0.729987909134	0.599621094726	0.527319816119	0.563345257319	0.685911452036	0.608255141336	0.509416965565	0.609467648732	0.613442862407	0.69106227129	0.609401313952	0.537501042685	0.539143391937	0.588436812455	0.620967398328	0.640591650115	0.563699518778	0.585835815983	0.528235281074	0.527411396785	0.628469160425	0.645095798453	0.628328811525	0.526452452626	0.689767555223	0.467242997648	0.584484422375	0.618322580804	0.578081799198	0.606796350862	0.647474829288	0.55600659275	0.517016983381	0.526709130956	0.616240929257	0.591693656163	0.605069722204	0.741024293639	0.703584033993	0.61820172473	0.583671873944	0.631217812044	0.61072802864	0.651011770259	0.720803625073	0.740696265544	0.535398006936	0.591430453139	0.753696330539	0.611472904898	0.680203456949	0.691463946445	0.75999949846	0.539219711561	0.619877608933	0.659249332238	0.550155747991	0.815701097848	0.652709385058	0.613273829254	0.68765858007	0.612655572178	0.59163455125	0.750181562091	0.594030862066	0.628051747014	0.615135949025	0.675215545898	0.576062418471	0.53334919221	0.489755692936	0.607407557289	0.516259243441	0.50548520191	0.499046565165	0.605452924973	0.606297177918	0.589704971618	0.748747541892	0.613765162082	0.523156561347	0.72836821684	0.806157515356	0.519252656298	0.694401251997	0.582059976803	0.52060034997	0.541517819534	0.594770329083	0.583084576207	0.598968139249	0.592863923902	0.532480127663	0.560130544655	0.643175140986	0.590003049071	0.632304318694	0.552090444484	0.619736096674	0.567258013037	0.683884399038	0.513498888467	0.562730463672	0.646648421369	0.592839612012	0.625212287091	0.589383694577	0.377249103008	0.536470189575	0.864211717144
CS.230	0.708370953263	0.752461250907	0.702886600712	0.0	0.772398224954	0.74481215994	0.664918295767	0.663075539459	0.784968287829	0.848237294569	0.799848273339	0.759897947725	0.863567504542	0.652114330204	0.632235555197	0.649693582982	0.637743555043	0.750194188259	0.832463992329	0.687548665622	0.694391517976	0.701986148311	0.716940255981	0.785551753137	0.698845458206	0.735116122	0.75101766065	0.754709627472	0.859608423239	0.819640525558	0.84151990447	0.794569070507	0.725413829746	0.689758891692	0.799257369051	0.809877564344	0.721014102329	0.771911040809	0.575130290872	0.828908897853	0.684710184414	0.768109098121	0.75789295244	0.832660242599	0.776580503523	0.763703989332	0.856111368657	0.762193740264	0.802491698075	0.689473009369	0.807984449155	0.707802517106	0.745469155517	0.719677771951	0.674298617946	0.786483614591	0.778040328266	0.635213294028	0.653955410896	0.861439402556	0.801503190198	0.711066155144	0.711082403292	0.833168144141	0.661318241177	0.673384700236	0.687992362339	0.618821141101	0.699034726479	0.818681956292	0.730819492681	0.802351732614	0.792921927835	0.704338859841	0.852246829219	0.679242001108	0.835497863999	0.7021138128	0.678456477123	0.681409218559	0.736226192187	0.695981085773	0.853900858583	0.870993036386	0.726428412138	0.724114402993	0.817471710198	0.763386474674	0.799476116625	0.803449678796	0.732656562784	0.821679635022	0.792810998263	0.863475045174	0.822676477447	0.834536192914	0.715513974309	0.756408168748	0.821080623484	0.828575225933	0.707634866924	0.820859886987	0.776459649578	0.687812594628	0.798831828433	0.698596553783	0.83885474938	0.735968818074	0.714787475101	0.822214272058	0.829241786996	0.85321091389	0.675029531108	0.807287285952	0.831442399978	0.848064481837	0.783745667632	0.799596034372	0.755374607301	0.752004296572	0.709294896968	0.777487484905	0.683768364554	0.686212810862	0.767549427868	0.679231907216	0.718472757258	0.690088349341	0.823946719589	0.676242615648	0.761926357901	0.744136620155	0.569059612745	0.758743272041	0.658213172347	0.637350487657	0.732214545558	0.71387659997	0.723183506691	0.819274011357	0.675147000514	0.572506792776	0.73133607389	0.709994605221	0.763905840536	0.780821428619	0.771863301829	0.844015727644	0.813842715408	0.644452701571	0.650364762002	0.667561267334	0.805346252144	0.731400832923	0.78186799453	0.834801941944	0.769937478764	0.856435795535	0.81545336293	0.760518653596	0.832606901746	0.761996712275	0.891686850811	0.710260533698	0.822204971402	0.626501224254	0.788696131122	0.827487406965	0.781280603692	0.801003302814	0.53979887334	0.774342958297	0.69299543209	0.780748763184	0.789394407111	0.825465444932	0.674989707444	0.848684915356	0.755330834092	0.686525139393	0.69661437916	0.747728568298	0.617883124423	0.759833220939	0.815565259667	0.645043233222	0.662735083629	0.744311576046	0.74211186684	0.770788284442	0.654228926678	0.743258699016	0.660413583388	0.786180691676	0.76977889832	0.712192157225	0.819430378711	0.833208170768	0.671170194482	0.713216093827	0.863138000921	0.701353291273	0.732693951437	0.823740009972	0.694639182924	0.800591917008	0.720094029181	0.809691492453	0.793461744092	0.70067437563	0.835389359236	0.652496769486	0.640953608699	0.724718888319	0.716899885697	0.714624510422	0.831120017163	0.640845130213	0.810011334939	0.713887394233	0.806397542068	0.621990466671	0.689766479987	0.767990684611	0.800330876365	0.852097572842	0.878922001483	0.721130369107	0.714911906556	0.800948599062	0.837021878289	0.687596276675	0.763022426873	0.852649422183	0.878706926167	0.720578115717	0.763934324924	0.737879022682	0.783960120876	0.663399528594	0.838040717187	0.791945153933	0.773616017138	0.747544841833	0.771331055269	0.617372145101	0.803660593947	0.743787668271	0.686734183696	0.684043352061	0.821112429477	0.848313894788	0.777680650218	0.767066123679	0.723477072595	0.729531454978	0.72683507256	0.748376242283	0.792115454296	0.793917608954	0.78082348132	0.668456736236	0.772963135707	0.890187506536	0.788508450284	0.689658321912	0.726680627035	0.79424867621	0.80202397368	0.820864352625	0.744732087864	0.773177290009	0.788637367113	0.635752802726	0.861196189991	0.723694071472	0.624478776911	0.755909519232	0.748116374407	0.829167024699	0.75317125577	0.782612538918	0.78444928241	0.877715634579	0.682658258385	0.814417768902	0.810861982991	0.656178775326	0.757257710296	0.626125746249	0.686063714836	0.715876707302	0.733034199342	0.870165236667	0.722340966391	0.596079870452	0.68198063298	0.653361237715	0.657038901252	0.65741668637	0.748794368405	0.66075133826	0.752590238857	0.726892968566	0.78558508569	0.664568524056	0.692026720419	0.757165882995	0.681721510093	0.734064582807	0.590752435339	0.787136153105	0.686206442359	0.766889614723	0.853912262259	0.680842694739	0.700785103731	0.837050728715	0.803746232993	0.807616967734	0.717359325785	0.784006692161	0.833575839832	0.684375402888	0.81203682155	0.81051339703	0.76815193784	0.629443954334	0.657278817461	0.690447484314	0.791672425541	0.77322399086	0.676916056814	0.744690102645	0.720647978575	0.812576793632	0.791075401584	0.612700001671	0.803453171666	0.706220217889	0.848253671765	0.889036393312	0.745281934725	0.791063578533	0.771896619096	0.779493622079	0.75723514742	0.745374459594	0.720715841853	0.791975794813	0.776977987947	0.65800041367	0.693201125005	0.797582823059	0.791308465029	0.771149511509	0.721993185997	0.8131965231	0.746133956547	0.858211799078	0.773534435833	0.700833216337	0.83505947529	0.767020077194	0.844448154794	0.777456731922	0.725421202374	0.754470404953	0.923335927714
