	PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.047	36.645497	182.0	138.0	4.98332887736	0.945744094183
T.CS.139	57.146266	257.384615385	214.0	5.17813890157	0.933615590028
CS.138	44.50279	211.555555556	184.0	5.12483096777	0.936914155125
T.CS.141	39.384965	229.0	147.0	4.4583110654	0.917680243767
T.CS.047	48.594162	243.24	200.0	5.51685810553	0.957816565097
CS.218	56.1981	253.285714286	218.0	5.69043228773	0.961397141274
T.CS.151	38.554078	190.058823529	153.0	4.51603623666	0.903906897507
CS.012	53.724783	223.714285714	197.0	5.55421886487	0.960905135734
T.CS.140	39.158976	245.1	159.0	4.55567579829	0.907320055402
CS.064	52.723483	257.75	206.0	5.53233420274	0.963506731302
CS.074	50.013763	177.647058824	157.0	4.62626519478	0.88515
CS.174	50.732635	202.75	173.0	4.95756840143	0.932139168975
CS.071	46.988993	196.714285714	176.0	5.30392579053	0.951008094183
CS.290	39.128447	215.4375	159.0	4.8289837208	0.924944470914
CS.001	55.055517	243.15	208.0	5.52068839527	0.961319030471
CS.139	35.52336	178.714285714	141.0	4.73915438208	0.926647706371
IMP000.L.T26	46.142383	248.4	191.0	5.23764945558	0.950924193906
IMP000.L.T19	45.624584	248.555555556	196.0	5.22055310111	0.945770637119
IMP000.L.T04	41.160862	211.055555556	178.0	5.30359259876	0.951707512465
T.CS.081	45.457565	253.066666667	181.0	4.7363310495	0.919391806094
CS.063	44.910437	218.4	181.0	5.4045506441	0.951874570637
CS.213	41.663873	188.066666667	155.0	5.23521712943	0.957120775623
CS.312	48.207228	209.833333333	184.0	5.55116101069	0.960841252078
TFSCS028	53.537453	260.055555556	192.0	4.88646724794	0.922312542936
L.004.M5	50.777156	258.25	183.0	4.84779077539	0.921190288089
IMP000.L.T18	45.956208	256.166666667	206.0	5.43344625074	0.953286204986
L.004.M3	63.535904	291.391304348	217.0	5.27561634216	0.949172293629
L.006.M2	50.868351	175.666666667	159.0	4.9508869122	0.944930609418
CS.230	36.771524	174.833333333	149.0	5.00068260773	0.935358509695
IMP000.L.T36	49.283477	242.866666667	196.0	5.36210506826	0.95214101385
CS.080	46.64541	219.434782609	182.0	4.89312236152	0.937421036011
T.CS.003	55.351591	279.333333333	206.0	4.92575124059	0.932717889197
CS.042	41.808656	185.5	160.0	4.88550667801	0.924975473684
T.CS.133	65.400106	311.033333333	248.0	5.61369233829	0.964399689751
CS.006	47.100841	255.909090909	185.0	4.85049501605	0.912019263158
CS.233	58.101377	303.076923077	235.0	5.25816588112	0.952194869806
CS.360	44.981507	220.476190476	187.0	5.62659707203	0.966330869806
TFSCS026	43.851062	255.24	198.0	4.97355751611	0.927294360111
CS.083	61.745578	312.222222222	265.0	5.90151814162	0.96915966205
L.005.M3	46.094394	192.260869565	177.0	4.88175866236	0.922670426593
CS.137	48.062826	221.142857143	184.0	5.19632339186	0.950837955679
CS.346	44.630942	200.315789474	169.0	4.70269789376	0.928141451524
CS.301	49.229245	231.038461538	204.0	5.45980607572	0.954792825485
CS.365	43.754732	229.0	177.0	4.65626615847	0.887172448753
CS.300	43.587051	240.2	180.0	5.33269462687	0.957310099723
CS.119	42.341495	202.153846154	164.0	5.20544076048	0.948474304709
T.CS.043	43.673398	212.0	182.0	4.84154242438	0.91884332964
T.CS.100	49.471691	266.0	211.0	5.47080531529	0.949470144044
CS.388	36.063665	259.625	152.0	4.86362552854	0.941943019391
CS.318	41.080696	235.125	176.0	5.28195567835	0.951103601108
CS.382	41.692469	216.0	181.0	5.55181786573	0.96186600554
IMP000.L.T05	53.162285	277.333333333	212.0	5.3747998153	0.950821252078
CS.302	33.141214	192.75	144.0	4.84539024611	0.944167905817
CS.282	43.496735	207.05	170.0	5.03745995297	0.946188493075
T.CS.089	61.682564	277.0	222.0	5.24568754434	0.938776055402
TFSCS022	62.9247	325.55	240.0	5.44437716831	0.948932254848
L.005.M4	41.567724	198.333333333	169.0	4.87743106627	0.921209451524
L.007.M5	56.5746	237.15	192.0	5.2565567509	0.949321385042
IMP000.L.T03	41.906092	225.05	182.0	5.20686158067	0.945968897507
T.CS.148	51.398464	285.8125	193.0	4.70119179215	0.917084698061
CS.295	43.750731	204.045454545	177.0	4.7742077604	0.904187833795
L.025.M6	43.585383	249.0	202.0	5.05668058506	0.942456426593
IMP000.L.T06	46.765791	261.75	210.0	5.55105842076	0.958053556787
L.008.M1	42.692121	241.473684211	187.0	4.74480835112	0.925211207756
CS.366	35.716388	164.0	135.0	4.59048896934	0.92356731856
CS.094	32.486797	131.3	116.0	4.02677588049	0.866531728532
T.CS.136	43.160595	302.0	188.0	4.28992005251	0.865669778393
CS.015	36.814136	213.666666667	131.0	4.06254281854	0.880490797784
CS.023	51.364924	275.5	202.0	5.06932842915	0.921437867036
CS.136	51.307029	307.666666667	226.0	5.69835731568	0.965474177285
T.CS.146	40.721415	210.583333333	161.0	4.92946057752	0.933094963989
CS.167	44.572755	171.066666667	138.0	4.40178751048	0.89181467036
CS.025	49.51727	216.136363636	195.0	5.21562887791	0.933918282548
L.005.M2	41.279312	176.052631579	165.0	4.79398209241	0.917879828255
