	PD_whole_tree	chao1	observed_otus	shannon	simpson
M5.8.22.17	29.975395	140.909090909	104.0	4.82199440386	0.932935494309
M12.10.31.17	25.457619	110.142857143	83.0	4.34992610661	0.911312089082
M36.3.13.18	12.777766	43.6	38.0	3.54013277613	0.8779941815
M8.9.5.17	29.740127	122.0	92.0	4.807224912	0.93603943077
M20.10.31.17	18.111574	70.3333333333	63.0	4.11988431738	0.898449088502
M17.11.27.17	19.017431	83.0	68.0	4.32365643163	0.918764240299
M18.11.14.17	18.241564	68.6666666667	64.0	4.19173027017	0.906692932014
M9.8.8.17	32.75744	143.0	112.0	4.7239193422	0.920092676361
M11.10.31.17	25.023897	108.111111111	87.0	4.6812929034	0.933661117046
M35.3.13.18	16.688037	69.5	53.0	4.14267526136	0.917970072775
M19.12.11.17	29.407832	100.5	94.0	4.831498849	0.941296815971
M35.2.27.18	17.330508	59.8571428571	52.0	3.27760307515	0.788396624131
M21.12.19.17	24.004598	117.0	87.0	4.66871886158	0.914147177654
M1.9.5.17	33.704132	167.75	121.0	4.95736588738	0.934929386017
M21.11.8.17	25.327498	118.666666667	88.0	4.85842307965	0.941898296481
M2.8.8.17	25.889128	90.7142857143	81.0	4.23739926231	0.902497039008
M6.9.5.17	33.693206	153.909090909	117.0	5.21459011068	0.953585563554
M12.11.28.17	23.908761	93.0769230769	88.0	4.91169729086	0.948491924234
M17.11.14.17	18.924364	81.0	66.0	4.09191312824	0.904418577884
M19.11.28.17	19.345673	75.5	68.0	4.20968782175	0.909411304045
M4.9.5.17	26.589463	198.5	72.0	4.19339799714	0.907587441491
M12.11.14.17	28.455633	105.615384615	91.0	4.68323857228	0.931080405797
M11.11.14.17	23.24606	90.1666666667	81.0	4.74769455308	0.941380212129
M27.11.8.17	23.083937	84.75	75.0	4.33340412081	0.912837020202
M30.11.8.17	23.206638	100.833333333	85.0	4.34210106048	0.911575415308
M23.11.8.17	25.772283	117.857142857	96.0	4.3509165927	0.890021506879
M11.11.27.17	25.019657	99.3333333333	86.0	4.72709882567	0.943085263718
M38.2.27.18	16.158275	55.75	46.0	2.99242711273	0.780933048784
M2.7.25.17	37.846501	154.75	116.0	4.8330934675	0.937344066559
M33.2.27.18	24.429624	101.545454545	86.0	4.48681060184	0.921606754556
M5.7.25.17	31.353591	151.153846154	108.0	4.84553132011	0.94002245413
M20.11.27.17	20.281638	87.1666666667	72.0	4.14167383968	0.902195822747
