Sample	Percent.Live.Cells	Percent.Live.CD45+
SI-IEL Beads=170000_a3_029.fcs	69.3	26.9
SI-IEL Beads=170000_a4_030.fcs	45.2	21
SI-IEL Beads=170000_a5_031.fcs	62.7	24.4
SI-IEL Beads=170000_a6_032.fcs	64.6	15.2
SI-IEL Beads=170000_a7_033.fcs	70.5	20.3
SI-IEL Beads=170000_a10_034.fcs	62.7	18
SI-LP Beads=170000_a3_035.fcs	81.1	52.3
SI-LP Beads=170000_a4_036.fcs	77.3	62.6
SI-LP Beads=170000_a5_037.fcs	78.5	56.2
SI-LP Beads=170000_a6_038.fcs	85	39.5
SI-LP Beads=170000_a7_039.fcs	87.7	51.9
SI-LP Beads=170000_a10_040.fcs	83.3	33.8
IEL PKH=150000_a1_025.fcs	46.7	57.8
IEL PKH=150000_a2_026.fcs	66.7	46.7
IEL PKH=150000_a8_027.fcs	91.9	27.3
IEL PKH=150000_a9_028.fcs	90.5	18.6
LPL PKH=150000_a1_029.fcs	66.1	60
LPL PKH=150000_a2_030.fcs	70.6	43
LPL PKH=150000_a8_031.fcs	88.8	55.6
LPL PKH=150000_a9_032.fcs	82.9	38.2
PKH=197500_IEL-1_025.fcs	66.9	24
PKH=197500_IEL-2_026.fcs	63	19
PKH=197500_IEL-3_027.fcs	61.5	11
PKH=197500_IEL-4_028.fcs	52.6	22.5
PKH=197500_IEL-5_029.fcs	74.1	19.8
PKH=197500_IEL-6_030.fcs	63.6	22.4
PKH=197500_LP-1_031.fcs	83.4	26.4
PKH=197500_LP-2_032.fcs	83.1	23.4
PKH=197500_LP-3_033.fcs	84.6	25.2
PKH=197500_LP-4_034.fcs	69.9	17.5
PKH=197500_LP-5_035.fcs	79.6	23.6
PKH=197500_LP-6_036.fcs	85	31.5
PKH=200000_IEL-1_034.fcs	65.5	15.3
PKH=200000_IEL-2_035.fcs	80.2	2.45
PKH=200000_IEL-3_036.fcs	78.7	4.11
PKH=200000_IEL-4_037.fcs	68.1	9.23
PKH=200000_LP-1_038.fcs	79.6	14.7
PKH=200000_LP-2_039.fcs	82.9	6
PKH=200000_LP-3_040.fcs	89.8	9.43
PKH=200000_LP-4_041.fcs	84	16.3
PKH_IEL-1_029.fcs	79	8.52
PKH_IEL-2_030.fcs	78.9	8.53
PKH_IEL-3_031.fcs	62.3	21.9
PKH_IEL-4_032.fcs	63	11.6
PKH_IEL-5_033.fcs	68.3	16.1
PKH_IEL-6_034.fcs	61.5	26.3
PKH_IEL-7_035.fcs	58.4	16.8
PKH_LPL-1_036.fcs	88.9	7.89
PKH_LPL-2_037.fcs	91.4	8.7
PKH_LPL-3_038.fcs	85.8	20.6
PKH_LPL-4_039.fcs	83.4	19.2
PKH_LPL-5_040.fcs	79.6	32.6
PKH_LPL-6_041.fcs	77.4	32.1
PKH_LPL-7_042.fcs	81.9	18.6
PKH=215000_IEL-1_017.fcs	41.1	14.7
PKH=215000_IEL-2_018.fcs	60.8	6.69
PKH=215000_IEL-3_019.fcs	69	2.53
PKH=215000_IEL-4_020.fcs	60.3	4.24
PKH=215000_LPL-1_021.fcs	67.2	27
PKH=215000_LPL-2_022.fcs	59.3	14.5
PKH=215000_LPL-3_023.fcs	79.1	4.01
PKH=215000_LPL-4_024.fcs	66.9	12.8
PKH=275000_IEL-1_017.fcs	48.5	22.1
PKH=275000_IEL-2_018.fcs	31.8	21.5
PKH=275000_IEL-3_019.fcs	60.1	22.3
PKH=275000_IEL-4_020.fcs	58.8	19.9
PKH=275000_LPL-1_021.fcs	60.6	18.7
PKH=275000_LPL-2_022.fcs	20.2	35.2
PKH=275000_LPL-3_023.fcs	62.5	18.8
PKH=275000_LPL-4_024.fcs	59.1	19.6
