	M5.8.22.17	M12.10.31.17	M36.3.13.18	M8.9.5.17	M20.10.31.17	M17.11.27.17	M18.11.14.17	M9.8.8.17	M11.10.31.17	M35.3.13.18	M19.12.11.17	M35.2.27.18	M21.12.19.17	M1.9.5.17	M21.11.8.17	M2.8.8.17	M6.9.5.17	M12.11.28.17	M17.11.14.17	M19.11.28.17	M4.9.5.17	M12.11.14.17	M11.11.14.17	M27.11.8.17	M30.11.8.17	M23.11.8.17	M11.11.27.17	M38.2.27.18	M2.7.25.17	M33.2.27.18	M5.7.25.17	M20.11.27.17	M12.12.11.17	M2.8.22.17	M19.10.31.17	M37.2.27.18	M14.11.27.17	M9.9.5.17	M17.10.31.17	M9.7.25.17	M18.11.28.17	M13.11.27.17	M2.9.5.17	M8.8.8.17	M24.12.19.17	M13.11.14.17	M21.11.22.17	M1.8.8.17	M8.8.22.17	M6.8.8.17	M10.7.25.17	M8.9.19.17	M22.12.19.17	M23.12.6.17	M7.8.8.17	M10.8.22.17	M1.7.25.17	M15.11.28.17	M23.11.22.17	M15.11.14.17	M3.7.11.17	M22.11.22.17	M37.4.9.18	M10.8.8.17	M27.11.22.17	M31.2.13.18	M15.10.31.17	M23.12.19.17	M36.2.27.18	M31.2.27.18	M22.11.8.17	M30.12.19.17	M5.9.5.17	M29.11.22.17	M33.3.12.18	M32.2.27.18	M14.11.14.17	M34.2.13.18	M10.9.5.17	M14.10.31.17	M18.12.11.17	M32.2.13.18	M16.11.14.17	M30.12.6.17	M27.12.19.17	M34.1.30.18	M31.1.30.18	M29.12.6.17	M13.10.31.17	M29.11.8.17	M32.1.30.18	M21.12.6.17	M33.1.30.18	M32.3.12.18	M2.7.11.17	M30.11.22.17	M34.3.12.18	M29.12.19.17	M33.2.13.18	M22.12.6.17	M15.12.11.17	M1.8.22.17	M9.8.22.17	M3.8.22.17	M3.8.8.17	M4.8.22.17	M3.7.25.17	M34.2.27.18	M18.10.31.17	M27.12.6.17	M9.9.19.17	M3.9.5.17	M24.12.6.17	M24.11.22.17	M6.8.22.17	M31.3.12.18	M16.10.31.17	M6.7.25.17	M1.7.11.17	M7.9.5.17	M2.9.19.17	M10.7.11.17	M38.3.13.18	M4.7.25.17	M4.8.8.17	M37.3.13.18	M5.8.8.17	M7.7.25.17	M8.7.11.17	M19.11.14.17	M4.7.11.17	M16.11.27.17	M35.3.27.18	M7.8.22.17	M9.7.11.17	M5.7.11.17	M8.7.25.17	M7.7.11.17	M20.11.14.17	M1.9.19.17	M6.7.11.17	M37.3.27.18	M38.4.9.18	M24.11.8.17	M35.4.9.18	M38.3.27.18	M36.3.27.18	M36.4.9.18
M5.8.22.17	0.0	0.752646936622	0.898032394212	0.172365429557	0.842213994344	0.856101448951	0.81727738699	0.171636925461	0.712091916069	0.87556886262	0.732162981521	0.90852232748	0.709442133208	0.697678180117	0.707890305917	0.632243525359	0.296183429335	0.73697486129	0.848167965355	0.859955391406	0.64480731628	0.757022949023	0.705973349472	0.819537585227	0.798000998285	0.778035381327	0.701478707858	0.925661740529	0.641632807796	0.768611079119	0.78248826141	0.838406372613	0.722421932294	0.124493371447	0.846306104818	0.946149143138	0.766512197013	0.206926839153	0.835045365047	0.317517170822	0.858926992902	0.707363085543	0.650358939056	0.175716763967	0.692734727366	0.721558104893	0.710001780789	0.597448386342	0.565283327592	0.227268210785	0.263302901559	0.348013870522	0.740994931869	0.779680039675	0.200051687864	0.60473201419	0.607044359583	0.718618172117	0.829294168036	0.713745989055	0.674034304061	0.809049806908	0.940253937323	0.251806738623	0.7529605532	0.779809910023	0.715960025642	0.735992196623	0.943535804832	0.791169050089	0.795487870446	0.774031467087	0.736567546353	0.802726103892	0.78321790378	0.780319703794	0.72442882197	0.775533529583	0.230157046898	0.720279664723	0.740303746364	0.758035782801	0.802569889193	0.79965954908	0.762233897782	0.75798489335	0.753375615893	0.806676768744	0.723734804772	0.827135572156	0.78128601771	0.741788998932	0.773779459178	0.786812597265	0.759787814233	0.784376214729	0.785019240149	0.787487613485	0.808995448781	0.803542491604	0.713374864474	0.275432160054	0.689460645591	0.143696239136	0.612613190518	0.243547165984	0.831423712718	0.764487575563	0.831830217944	0.804428387484	0.471072542914	0.688591133068	0.73615653263	0.859463153619	0.621840243172	0.793375143802	0.860758797237	0.729625359334	0.350737105241	0.28337028339	0.46389279348	0.801151373559	0.877170600202	0.664150303849	0.753289474227	0.901924791679	0.839525491346	0.774725965024	0.735177824058	0.836936714837	0.80881832791	0.80310053179	0.897506179434	0.733194515533	0.519502528322	0.586981529666	0.499354305046	0.751108089001	0.828434978938	0.591588747698	0.847057940992	0.899126939065	0.935584306821	0.888758466212	0.943244357455	0.907875208524	0.93830825568	0.924559636574
M12.10.31.17	0.752646936622	0.0	0.933858859801	0.715520698694	0.834794225001	0.717596773842	0.710308777973	0.760256746686	0.355033357131	0.867250452842	0.388180663215	0.915632568633	0.556829902172	0.665738371392	0.575957838634	0.710337376589	0.697298407171	0.300736054191	0.758429153882	0.758648771522	0.727312422461	0.265092842388	0.393889360488	0.579772192375	0.560734965786	0.620173075596	0.426834841784	0.971929897161	0.812599267149	0.561223200101	0.824190256379	0.692573663515	0.290510980424	0.747090748141	0.725819248876	0.994213775657	0.410149419449	0.697641448883	0.776528532936	0.774111450844	0.724327348722	0.296464498278	0.661484545528	0.757262481183	0.684878935642	0.370415873304	0.595616860025	0.75454957897	0.813118415081	0.757167019195	0.75319912855	0.540372124597	0.68040604186	0.742847842789	0.757352800584	0.829421610564	0.819939316883	0.313046826787	0.730719561719	0.355309792986	0.723003768397	0.708992550581	0.975633113591	0.767832788164	0.556944238418	0.634804667085	0.21527777892	0.651957607394	0.99695065549	0.632643018812	0.895372615375	0.560404880575	0.688487625118	0.598060186372	0.608855271098	0.596548218254	0.267257858479	0.565227031402	0.685646565394	0.302048967147	0.435562222095	0.612133565231	0.836832944302	0.616660350478	0.570407363056	0.619280988606	0.604372454543	0.578869927278	0.268337129142	0.555660233192	0.640343951953	0.547219235583	0.611928235045	0.591523884865	0.774098252971	0.565929362332	0.629992285147	0.58277124687	0.65070891907	0.795943187526	0.369514389202	0.765748813145	0.742110721904	0.74237433404	0.767447993172	0.77591899856	0.771954077385	0.557803719932	0.67593421166	0.702938873194	0.634861326322	0.660667370799	0.776775442186	0.899008908729	0.777374506672	0.698703752092	0.872149054275	0.557004355266	0.682194566705	0.66156433797	0.606376763876	0.818733278469	0.912278913125	0.887829565422	0.439668088703	0.916158761174	0.720954495942	0.676492631081	0.749728816123	0.742546453378	0.781343838026	0.852724904344	0.94203345948	0.673431787932	0.796918123838	0.726975473192	0.76117272211	0.810098111821	0.912648362286	0.664561043428	0.838235120247	0.973632565298	0.992357020645	0.962500715884	0.986096850302	0.949123003756	0.987492984867	0.98861171203
M36.3.13.18	0.898032394212	0.933858859801	0.0	0.914259050261	0.750127488371	0.846201266414	0.858322200135	0.910665407293	0.883336824254	0.283901962791	0.821668297724	0.299743835109	0.80783811866	0.920134286575	0.729947077378	0.909451354239	0.914860407336	0.875796447282	0.854435518533	0.897363621126	0.874574902356	0.912719987716	0.843505297444	0.806843012808	0.819910518584	0.75259679645	0.831187339308	0.344663210844	0.791447421931	0.900479444233	0.838857907594	0.914275160532	0.886748593606	0.916476816604	0.865576843556	0.611549709902	0.883933337469	0.910099006558	0.882842677888	0.858286437665	0.878926652837	0.875517904562	0.913650059056	0.920344968988	0.62947983856	0.847712724231	0.741211304534	0.902320487546	0.896070929716	0.90795077508	0.84871185626	0.963224422506	0.698105708661	0.789844228383	0.918624308339	0.874279470545	0.769644414732	0.871266835072	0.640201118734	0.863112887377	0.898067740225	0.603360126882	0.527772632195	0.919803272094	0.888972756484	0.895965782824	0.897103987534	0.593189272741	0.602692667633	0.90349775849	0.569166528736	0.866296529821	0.881891615306	0.807700180998	0.904283636346	0.906703282221	0.846737167351	0.915598411423	0.929759099163	0.871448336602	0.805664353795	0.901152544543	0.744177550889	0.864217286071	0.845984823414	0.918819478409	0.904379518086	0.823299170435	0.879952351344	0.853539214362	0.893525799691	0.81676257403	0.919813911636	0.912894319649	0.92725896209	0.781131841931	0.909685156668	0.844842392455	0.897513513566	0.651145189026	0.84936803375	0.933238865604	0.896947195769	0.917785233575	0.881111962593	0.919421274258	0.873595347383	0.924941682712	0.885093578393	0.948986467265	0.955944770017	0.907081711153	0.490249755743	0.606058959457	0.750902721001	0.909262148646	0.705872270442	0.793347787788	0.910978682672	0.92188084254	0.966742168662	0.914813745308	0.407670240296	0.830708930906	0.8064484414	0.275432225773	0.932813534325	0.725322706829	0.907830543251	0.884336276408	0.929727311095	0.812815003236	0.388111748286	0.84627427067	0.833815256021	0.774276359115	0.863282040735	0.875113769276	0.879325790537	0.946354334952	0.932176138461	0.68301012212	0.54956555806	0.684444436887	0.617257453623	0.634099900748	0.658866624729	0.576777827581
M8.9.5.17	0.172365429557	0.715520698694	0.914259050261	0.0	0.833014511862	0.84380913672	0.80643689799	0.249694576203	0.651365381564	0.879679648255	0.69435491315	0.923384012645	0.665051890874	0.699560327623	0.680976554848	0.627456363384	0.244076321422	0.689540704638	0.836073220253	0.849474051059	0.642511673508	0.736069096027	0.651954366717	0.810378401268	0.788935179454	0.763938191569	0.655071944642	0.929834709745	0.636235796397	0.754468419815	0.78492919585	0.825081082006	0.673448180254	0.18200179863	0.835287170139	0.961113626976	0.751492261111	0.186328035058	0.838821372608	0.348686019593	0.846877175207	0.659973096098	0.651826047222	0.260919996932	0.69202024511	0.69040369036	0.67460241972	0.589764620525	0.570556900864	0.283865632605	0.327859882611	0.265206516453	0.714281371565	0.746147988955	0.287133983708	0.612994844214	0.600248728984	0.677485999457	0.810006306582	0.683731197826	0.6665389799	0.785664172679	0.946350176863	0.304882480004	0.747726737334	0.754371418237	0.671126627917	0.724381119703	0.949574366154	0.764746173064	0.755007814559	0.763436852937	0.742605434027	0.791390843232	0.744443920109	0.749918997936	0.704480477475	0.758283281053	0.207993386793	0.671413328115	0.706146037619	0.746045480595	0.79672740472	0.782689254687	0.758846645624	0.746435959629	0.744576879514	0.797534918231	0.678995999831	0.812438745728	0.772555827194	0.712454080454	0.763609898007	0.758654813801	0.757882817734	0.772717223508	0.755615924757	0.779102276911	0.780157421351	0.76917648654	0.662899552166	0.269913179501	0.704252737288	0.138470777652	0.615506944802	0.244414819091	0.818693376371	0.734042666172	0.820993269529	0.803759301556	0.462095026734	0.691112176013	0.728672047048	0.839773797838	0.62196646384	0.758992891337	0.857303888535	0.710301420576	0.322468929048	0.288705978769	0.428519502707	0.790984190882	0.891984011975	0.672448946015	0.722173689416	0.921747215992	0.82518402777	0.754383361938	0.735397428198	0.835532656384	0.809579658592	0.804794759028	0.906309912342	0.743410586398	0.539255879228	0.594338941603	0.530276836162	0.757140327543	0.832421633315	0.578150178556	0.856406250304	0.88718768797	0.951849515642	0.88384904049	0.957369307714	0.931927587201	0.950413480948	0.939138227134
M20.10.31.17	0.842213994344	0.834794225001	0.750127488371	0.833014511862	0.0	0.359981228517	0.355861814118	0.868508004071	0.757147797881	0.73326444538	0.795958363602	0.803960711631	0.786333281446	0.615331123663	0.754170395439	0.606521422389	0.8155817843	0.770452832547	0.368248646301	0.381106880546	0.555135457624	0.825459400919	0.741462425197	0.789313558722	0.788981282774	0.701461247341	0.742518230153	0.789971949381	0.459134535548	0.813947041065	0.597101929333	0.487291528903	0.782689270734	0.84135787775	0.359256653724	0.922000103361	0.80938437839	0.796827615222	0.349339099729	0.824624057084	0.413234403347	0.790441374539	0.5864923807	0.856651842025	0.654445027534	0.774133315161	0.737122869958	0.662088344609	0.648274175107	0.842330759428	0.808911672568	0.844399718549	0.709823150769	0.802006400693	0.85105420893	0.634035391235	0.591866520085	0.768668918778	0.720696327958	0.76234942869	0.492384838206	0.698898942643	0.885633943543	0.858491237888	0.848733631981	0.829276135835	0.829356064514	0.683856244285	0.917171365985	0.787181496703	0.696790409953	0.825147718093	0.540868211179	0.788163811481	0.797465893101	0.790271768141	0.782613808796	0.809719536815	0.816079860945	0.813379189183	0.765759643253	0.837262916015	0.167502979613	0.805755268046	0.804401437806	0.821694038893	0.811906239304	0.794314030492	0.808910447803	0.812974774734	0.759327204576	0.860230231887	0.79000048658	0.81793018968	0.70670715539	0.769441230311	0.776971667904	0.81220657164	0.767903442779	0.702477341104	0.746848634779	0.835527580709	0.633331074568	0.850705555308	0.664208806186	0.841458300171	0.390644539	0.794632668532	0.388240531248	0.883631435975	0.819121691168	0.582494375489	0.670751170549	0.766777279459	0.624462276526	0.783997930253	0.207944216642	0.851557417348	0.771600653006	0.856940969541	0.808327052367	0.638240016733	0.828989078986	0.667103573614	0.807965345421	0.764475927907	0.512452635821	0.728607270048	0.624606217772	0.4256062786	0.732760705919	0.261438792726	0.78199949684	0.730103302413	0.584982797234	0.597325036294	0.85181493786	0.605744188755	0.485258303604	0.737427903308	0.849507381816	0.819473155537	0.91008978517	0.788082704208	0.799713002309	0.865700788376	0.922476094908	0.791165542368
M17.11.27.17	0.856101448951	0.717596773842	0.846201266414	0.84380913672	0.359981228517	0.0	0.199473545002	0.873544338901	0.611390022347	0.828034043279	0.675865201251	0.848084748669	0.65205996531	0.459471486188	0.654354288274	0.468174588043	0.820166501002	0.66614123979	0.192926722128	0.201734670289	0.442219896566	0.682091655047	0.616695710764	0.665784086913	0.686117941428	0.635466831961	0.623226756298	0.883330234985	0.529703458616	0.63024952335	0.592789630247	0.196876381459	0.645732665146	0.853736679447	0.180729355793	0.942456396102	0.714734884786	0.813402138828	0.330133881603	0.830607589479	0.198826125578	0.64714300441	0.429830540936	0.877204258861	0.589583882094	0.684725832843	0.644284056824	0.57301840488	0.621950202418	0.847343455108	0.813367895176	0.705449235252	0.625554917438	0.713139406242	0.866343040749	0.635180367687	0.679929569704	0.645071605668	0.690102159778	0.683900636992	0.331447270461	0.644174222292	0.905699838523	0.882211234478	0.682751191992	0.677794655849	0.693050048783	0.601774820388	0.948574582849	0.663661691165	0.786744820077	0.679360218356	0.380512876089	0.691385532418	0.682815028353	0.672795949128	0.697457698062	0.653280074767	0.822657551831	0.688343467545	0.676400962807	0.684009457768	0.386922965355	0.678557167837	0.673221896045	0.679808578654	0.667199885096	0.684584256378	0.687633963001	0.674204312172	0.596888354084	0.690295754813	0.669104984491	0.658517033855	0.708630872717	0.670914917354	0.663585577568	0.686243842318	0.616647230037	0.693994292384	0.67456321522	0.848570976639	0.532249291625	0.867795759692	0.608853475384	0.852309303968	0.304298076666	0.641203313311	0.166241682462	0.791480730685	0.726003321157	0.423872497629	0.722427868039	0.820847325558	0.594339080582	0.717370835503	0.48865535879	0.681925499949	0.780945218549	0.868699735898	0.709737941036	0.592312998575	0.848658329199	0.723813102989	0.701326244921	0.84706732334	0.299624065866	0.635615781556	0.576724552035	0.31311235472	0.750966901707	0.433406289061	0.876486461859	0.608236136925	0.614463200284	0.616950994147	0.852668490609	0.605346001731	0.463375231566	0.675029242374	0.876859624978	0.889981674176	0.925481150909	0.878709471395	0.891956292887	0.865110344703	0.942253246678	0.896587157581
M18.11.14.17	0.81727738699	0.710308777973	0.858322200135	0.80643689799	0.355861814118	0.199473545002	0.0	0.847870012764	0.643680215802	0.844096692331	0.662189851044	0.875279156947	0.683020116528	0.481102573177	0.669595733646	0.481139708933	0.791279336426	0.647537506409	0.151275727987	0.204907100635	0.448663662558	0.686871923901	0.627698520851	0.729048208024	0.731605785516	0.634502418462	0.585359447315	0.897623671699	0.536680631813	0.626113137241	0.602608160008	0.175266711969	0.62629378305	0.821310811777	0.215614029976	0.959911119777	0.704360110681	0.77457908285	0.324184519456	0.816616189558	0.22786485705	0.632840462153	0.435682452759	0.833991321975	0.596261818254	0.652696101127	0.66093380582	0.599627549309	0.645582886119	0.815318663686	0.796886945488	0.704019022347	0.652410056187	0.721045631781	0.848828005556	0.672716054472	0.711081466926	0.630625635674	0.720881010582	0.660358444804	0.256115115829	0.681787250892	0.924486018139	0.851067563629	0.730375221383	0.665569750761	0.694741746759	0.635357147427	0.954485873647	0.649307147359	0.802005220215	0.72433094145	0.411020448756	0.733287565213	0.644998106435	0.648398960523	0.677961199695	0.637488851537	0.796922860164	0.682206174371	0.650482414681	0.673523031565	0.313067852586	0.717755255586	0.7154270697	0.680909370768	0.6607392373	0.725975191494	0.678830496964	0.717526046759	0.646462294865	0.717151323564	0.620683467327	0.640710228308	0.688720920812	0.724247426504	0.662435260054	0.729596262547	0.636564609712	0.726080038392	0.640400460088	0.820915000581	0.558196154847	0.825592940233	0.648174116475	0.821894304984	0.192212449523	0.625603150317	0.156422346965	0.81503132698	0.717280758772	0.450873472769	0.755173751048	0.850737685519	0.615830019866	0.711073006975	0.423674555311	0.696240715186	0.755895232194	0.84270640369	0.703949054274	0.579475289794	0.856543717423	0.758196450236	0.703259664585	0.875733419978	0.230795006681	0.665367180099	0.57526009253	0.313493392088	0.746347737005	0.377355744213	0.889414634981	0.650160893135	0.643768838571	0.627020710565	0.835514695448	0.60363832066	0.362551777287	0.657180969716	0.859068627024	0.918017462632	0.947865939133	0.907248394393	0.920633529869	0.893793676225	0.963814203186	0.90995297084
M9.8.8.17	0.171636925461	0.760256746686	0.910665407293	0.249694576203	0.868508004071	0.873544338901	0.847870012764	0.0	0.743731406273	0.882367209115	0.763863934934	0.90488896252	0.69725096661	0.702607064703	0.745079511754	0.622376397504	0.372496130542	0.747841371271	0.867656539697	0.867806028736	0.648438166173	0.770693280135	0.728022018191	0.824506891788	0.80558507424	0.808626924079	0.717442458946	0.944609219734	0.700438589032	0.807342417891	0.779679191946	0.855261841877	0.733891842582	0.190761439092	0.858010260015	0.952757509952	0.764875227638	0.316297421876	0.85912351079	0.249231159925	0.867142488003	0.725422985175	0.657790982134	0.139640046799	0.70576129925	0.739917159595	0.711773595678	0.590380060481	0.571381042975	0.187748524847	0.226139222333	0.364957140108	0.754423751925	0.767659588672	0.161262809988	0.617225997288	0.57861723183	0.741720115948	0.810842589997	0.735955009198	0.687157539902	0.795918182854	0.94089862469	0.216046055869	0.758421065016	0.794529355599	0.721190660556	0.753962129055	0.967447093744	0.815888178289	0.813566894647	0.774532677648	0.751226342612	0.805991581774	0.810874684688	0.805749910076	0.737372211299	0.804094567117	0.334240367371	0.726950199116	0.749298947644	0.798108175798	0.839928125816	0.806699043049	0.76498594624	0.809296392778	0.795448763152	0.806894714564	0.724703667422	0.836758506289	0.826335620284	0.721456200338	0.814752516343	0.807907762252	0.776773723277	0.784885824554	0.801215927663	0.793322983282	0.818319321852	0.778811815882	0.73324666132	0.290773125719	0.685734916959	0.168955281511	0.604158830593	0.272476345001	0.866378272681	0.795638308819	0.852776704656	0.810105568136	0.493410026018	0.69679458885	0.749579387918	0.854303018339	0.632058332368	0.815009333541	0.87315806647	0.713634472692	0.437095498267	0.346993822368	0.484947699946	0.830036475852	0.893795203106	0.662739546441	0.770436841858	0.901829171143	0.872829820243	0.781866488869	0.741703056007	0.855500681396	0.796929180993	0.840845675124	0.904323348701	0.742619480215	0.519938217212	0.624673786985	0.462241591091	0.781871681061	0.898939749387	0.571382514733	0.881850082523	0.859168200797	0.927146928762	0.865828118518	0.937217921537	0.877811417782	0.913361949707	0.938423289644
M11.10.31.17	0.712091916069	0.355033357131	0.883336824254	0.651365381564	0.757147797881	0.611390022347	0.643680215802	0.743731406273	0.0	0.840025033442	0.318455446074	0.85215503834	0.568339952202	0.685397521851	0.536126594875	0.694588190867	0.590262196281	0.316708648406	0.652924200731	0.690720323528	0.683261353727	0.398363041991	0.129075779046	0.537573401601	0.548512619627	0.618636998628	0.218031593941	0.931469218206	0.768716295383	0.531477245418	0.826525342276	0.618858679362	0.256799394812	0.700776841704	0.655617732088	0.960070199971	0.53500658329	0.643968613666	0.785142151469	0.738394750224	0.662757147031	0.28518297446	0.676701007909	0.753326591249	0.566290067008	0.343264572576	0.585982966795	0.728018681695	0.789589215477	0.745343102554	0.716640113981	0.527076547374	0.662076228309	0.709477767938	0.750377618997	0.803223930625	0.7964876165	0.280232595286	0.722817294734	0.339958304964	0.679348840705	0.672324051805	0.92715033332	0.776958617456	0.558430925529	0.567861135852	0.268713549073	0.600438481691	0.956068664968	0.587912324598	0.829738111629	0.555355141495	0.650123938137	0.569730156701	0.559356142858	0.561133475752	0.399555633522	0.537672696889	0.583322397308	0.224143947939	0.395966747935	0.551388139594	0.774339777052	0.639928264796	0.563320139302	0.525052618475	0.551898289681	0.588769520099	0.216402117194	0.531486516076	0.556284217383	0.59357257418	0.603942338859	0.525989839995	0.76736338183	0.583958767524	0.547101978554	0.577998642406	0.565220208806	0.713982569826	0.332934070566	0.768227928266	0.735760349789	0.724308201879	0.755330430764	0.754264082404	0.720090168778	0.523782372445	0.631616208154	0.723926354318	0.655181357859	0.675703224268	0.690448323369	0.864027498709	0.719549989337	0.640239400235	0.798106157482	0.598442043387	0.632068181009	0.665977630182	0.617055178743	0.789848252312	0.848649707975	0.848982661845	0.375427922357	0.841079222914	0.674477244148	0.686710859544	0.796683741769	0.705901839792	0.885860127588	0.766091293161	0.901269467782	0.692472135171	0.767440047195	0.701550514459	0.784890306583	0.817325897147	0.847152837678	0.690146802914	0.917771984749	0.930930699448	0.952028817684	0.926290755004	0.944841857072	0.907416608059	0.945815256581	0.947639847159
M35.3.13.18	0.87556886262	0.867250452842	0.283901962791	0.879679648255	0.73326444538	0.828034043279	0.844096692331	0.882367209115	0.840025033442	0.0	0.802636465067	0.45294659486	0.707338001787	0.879862683621	0.64041647733	0.864641423572	0.856160079568	0.811400316409	0.840895249461	0.873669700853	0.836347598658	0.857097026208	0.79046789033	0.735576819898	0.744534912393	0.671644944456	0.785057893373	0.506209385703	0.747318028206	0.873409774055	0.785643360242	0.901328574671	0.847027656953	0.891076214459	0.843845294067	0.726187260795	0.82104924777	0.883355840416	0.85723528152	0.812170680249	0.855742897254	0.818434818992	0.879243317991	0.884232291954	0.575191057603	0.80351611429	0.688910488534	0.858016569146	0.871455509849	0.88431512368	0.80653895474	0.888460914313	0.657729837385	0.701636287065	0.895415119674	0.847237852441	0.733124113756	0.824737098444	0.571246140585	0.810185347564	0.875461830664	0.533212411561	0.75310642386	0.903384666727	0.806374969887	0.868403946505	0.839412012302	0.537489714449	0.746068308899	0.877181693958	0.554234289903	0.792431984368	0.846075685477	0.737097127038	0.876417675556	0.874843538357	0.792445848332	0.882764351559	0.891219720954	0.825749399999	0.782607674178	0.879154119822	0.720603248477	0.780679515854	0.785927522724	0.895650679068	0.888383622055	0.750821355006	0.826775958748	0.766703535159	0.884326301613	0.72505156563	0.892938172166	0.893328015712	0.913763718358	0.70464753736	0.882024721953	0.776931737114	0.870682362374	0.622006003851	0.810012821388	0.909814632642	0.843703574766	0.892192457361	0.834894248634	0.899180792712	0.863756140655	0.879840915655	0.863085791209	0.881004059575	0.932754925576	0.864164232006	0.437208809533	0.609947418947	0.732987928651	0.882876615449	0.69474180839	0.719875722215	0.873544257353	0.858938590736	0.917296826818	0.905609547577	0.351129710403	0.8004576806	0.787367134042	0.379722208787	0.923783241592	0.699217523268	0.900536323499	0.864367755841	0.915251109379	0.77631473955	0.261596380866	0.832257971894	0.825017642341	0.733522872481	0.835866135683	0.865807951903	0.866058774559	0.878017382511	0.92027847895	0.627086644961	0.698327877072	0.666767155075	0.627902113329	0.560443144483	0.766567812942	0.584965421059
