Mouse.ID	Letter Assigned															
1	D															
2	E															
3	M															
4	R															
5	V															
6	H															
7	Q															
8	O															
9	S															
10	AC															
11	AE															
12	NA															
13	AA															
14	NA															
15	X															
16	AD															
17	P															
18	NA															
19	A															
20	W															
21	T															
22	Y															
23	AF															
24	Z															
27	I															
29	C															
30	B															
31	F															
32	J															
33	N															
34	K															
35	U															
36	AB															
37	L															
38	G															
