Blinded Mouse Letter	Fecal Pellet Number	Fecal Pellet Section	Initials	Measurement Number	Measurement																				
A	1	1	PV	1	18.179																				
A	1	1	PV	2	28.767																				
A	1	1	PV	3	33.363																				
A	1	1	PV	4	31.946																				
A	1	1	PV	5	20.568																				
A	1	6	PV	1	23.943																				
A	1	6	PV	2	27.183																				
A	1	6	PV	3	25.227																				
A	1	6	PV	4	36.441																				
A	1	6	PV	5	32.188																				
A	2	1	PV	1	55.237																				
A	2	1	PV	2	51.88																				
A	2	1	PV	3	49.56																				
A	2	1	PV	4	64.387																				
A	2	1	PV	5	62.258																				
A	2	2	PV	1	61.359																				
A	2	2	PV	2	69.024																				
A	2	2	PV	3	43.631																				
A	2	2	PV	4	66.788																				
A	2	2	PV	5	32.52																				
B	2	1	PV	1	45.58																				
B	2	1	PV	2	58.739																				
B	2	1	PV	3	60.743																				
B	2	1	PV	4	43.36																				
B	2	1	PV	5	44.973																				
B	2	2	PV	1	31.572																				
B	2	2	PV	2	49.158																				
B	2	2	PV	3	61.627																				
B	2	2	PV	4	29.313																				
B	2	2	PV	5	39.362																				
B	4	3	PV	1	38.69																				
B	4	3	PV	2	50.321																				
B	4	3	PV	3	40.658																				
B	4	3	PV	4	50.84																				
B	4	3	PV	5	43.716																				
B	4	5	PV	1	54.201																				
B	4	5	PV	2	59.987																				
B	4	5	PV	3	46.093																				
B	4	5	PV	4	35.293																				
B	4	5	PV	5	61.052																				
C	2	1	PV	1	23.897																				
C	2	1	PV	2	42.181																				
C	2	1	PV	3	35.631																				
C	2	1	PV	4	22.367																				
C	2	1	PV	5	27.821																				
C	2	3	PV	1	22.161																				
C	2	3	PV	2	23.499																				
C	2	3	PV	3	32.587																				
C	2	3	PV	4	30.414																				
C	2	3	PV	5	35.96																				
D	1	1	PV	1	54.634																				
D	1	1	PV	2	50.497																				
D	1	1	PV	3	44.497																				
D	1	1	PV	4	41.236																				
D	1	1	PV	5	45.18																				
D	1	7	PV	1	43.512																				
D	1	7	PV	2	38.858																				
D	1	7	PV	3	43.993																				
D	1	7	PV	4	31.55																				
D	1	7	PV	5	41.286																				
D	2	5	PV	1	38.376																				
D	2	5	PV	2	30.92																				
D	2	5	PV	3	26.047																				
D	2	5	PV	4	33.98																				
D	2	5	PV	5	25.798																				
D	2	6	PV	1	47.342																				
D	2	6	PV	2	29.089																				
D	2	6	PV	3	40.533																				
D	2	6	PV	4	40.153																				
D	2	6	PV	5	30.697																				
E	1	2	PV	1	28.969																				
E	1	2	PV	2	23.565																				
E	1	2	PV	3	38.963																				
E	1	2	PV	4	40.722																				
E	1	2	PV	5	27.43																				
E	1	3	PV	1	35.044																				
E	1	3	PV	2	23.05																				
E	1	3	PV	3	38.897																				
E	1	3	PV	4	41.665																				
E	1	3	PV	5	39.148																				
E	2	1	PV	1	53.326																				
E	2	1	PV	2	29.982																				
E	2	1	PV	3	27.407																				
E	2	1	PV	4	38.002																				
E	2	1	PV	5	41.662																				
E	2	3	PV	1	29.249																				
E	2	3	PV	2	51.787																				
E	2	3	PV	3	47.322																				
E	2	3	PV	4	30.043																				
E	2	3	PV	5	51.191																				
E	3	2	PV	1	36.811																				
E	3	2	PV	2	24.606																				
E	3	2	PV	3	28.222																				
E	3	2	PV	4	37.087																				
E	3	2	PV	5	14.32																				
E	3	3	PV	1	32.094																				
E	3	3	PV	2	24.924																				
E	3	3	PV	3	28.907																				
E	3	3	PV	4	18.216																				
E	3	3	PV	5	29.994																				
F	1	2	PV	1	12.034																				
F	1	2	PV	2	10.412																				
F	1	2	PV	3	24.414																				
F	1	2	PV	4	15.617																				
F	1	2	PV	5	17.011																				
F	1	3	PV	1	26.416																				
F	1	3	PV	2	32.657																				
F	1	3	PV	3	23.973																				
F	1	3	PV	4	11.474																				
F	1	3	PV	5	16.712																				
F	2	1	PV	1	32.276																				
F	2	1	PV	2	27.594																				
F	2	1	PV	3	17.285																				
F	2	1	PV	4	38.064																				
F	2	1	PV	5	23.408																				
F	2	8	PV	1	33.363																				
F	2	8	PV	2	35.025																				
F	2	8	PV	3	16.626																				
F	2	8	PV	4	22.97																				
F	2	8	PV	5	20.519																				
F	3	1	PV	1	30.545																				
F	3	1	PV	2	40.123																				
F	3	1	PV	3	42.622																				
F	3	1	PV	4	27.1																				
F	3	1	PV	5	24.82																				
F	3	8	PV	1	37.079																				
F	3	8	PV	2	35.494																				
F	3	8	PV	3	22.867																				
F	3	8	PV	4	37.079																				
F	3	8	PV	5	37.583																				
F	4	6	PV	1	34.958																				
F	4	6	PV	2	38.356																				
F	4	6	PV	3	26.94																				
F	4	6	PV	4	22.428																				
F	4	6	PV	5	31.511																				
F	4	7	PV	1	40.831																				
F	4	7	PV	2	30.723																				
F	4	7	PV	3	28.984																				
F	4	7	PV	4	33.161																				
F	4	7	PV	5	34.108																				
G	1	1	PV	1	69.024																				
G	1	1	PV	2	49.879																				
G	1	1	PV	3	52.764																				
G	1	1	PV	4	56.794																				
G	1	1	PV	5	56.35																				
G	1	8	PV	1	57.349																				
G	1	8	PV	2	45.897																				
G	1	8	PV	3	84.492																				
G	1	8	PV	4	52.832																				
G	1	8	PV	5	50.954																				
G	2	2B	PV	1	108.285																				
G	2	2B	PV	2	78.616																				
G	2	2B	PV	3	165.175																				
G	2	2B	PV	4	154.915																				
G	2	2B	PV	5	213.545																				
G	2	5B	PV	1	204.631																				
G	2	5B	PV	2	62.801																				
G	2	5B	PV	3	186.254																				
G	2	5B	PV	4	178.581																				
G	2	5B	PV	5	115.638																				
G	3	3	PV	1	92.886																				
G	3	3	PV	2	144.129																				
G	3	3	PV	3	70.059																				
G	3	3	PV	4	50.541																				
G	3	3	PV	5	79.186																				
G	3	8	PV	1	174.163																				
G	3	8	PV	2	96.722																				
G	3	8	PV	3	110.145																				
G	3	8	PV	4	56.075																				
G	3	8	PV	5	75.742																				
G	4	5	PV	1	42.048																				
G	4	5	PV	2	140.328																				
G	4	5	PV	3	110.624																				
G	4	5	PV	4	145.541																				
G	4	5	PV	5	131.45																				
G	4	8	PV	1	106.178																				
G	4	8	PV	2	105.39																				
G	4	8	PV	3	157.396																				
G	4	8	PV	4	101.226																				
G	4	8	PV	5	90.897																				
H	2	2	PV	1	27.461																				
