Blinded Mouse Letter	Fecal Pellet Number	Fecal Pellet Section	Initials	Measurement Number	Measurement																				
H	2	2	PV	2	44.481																				
H	2	2	PV	3	35.438																				
H	2	2	PV	4	35.031																				
H	2	2	PV	5	24.737																				
H	2	6	PV	1	25.71																				
H	2	6	PV	2	33.61																				
H	2	6	PV	3	38.099																				
H	2	6	PV	4	16.462																				
H	2	6	PV	5	35.509																				
H	3	3	PV	1	56.302																				
H	3	3	PV	2	33.748																				
H	3	3	PV	3	32.998																				
H	3	3	PV	4	47.382																				
H	3	3	PV	5	24.101																				
H	3	4	PV	1	43.474																				
H	3	4	PV	2	19.426																				
H	3	4	PV	3	35.144																				
H	3	4	PV	4	54.457																				
H	3	4	PV	5	57.563																				
I	2	1	PV	1	49.833																				
I	2	1	PV	2	31.436																				
I	2	1	PV	3	39.092																				
I	2	1	PV	4	71.29																				
I	2	1	PV	5	30.603																				
I	2	5	PV	1	43.859																				
I	2	5	PV	2	32.484																				
I	2	5	PV	3	32.23																				
I	2	5	PV	4	26.061																				
I	2	5	PV	5	31.882																				
I	3	1	PV	1	21.166																				
I	3	1	PV	2	22.487																				
I	3	1	PV	3	19.393																				
I	3	1	PV	4	22.995																				
I	3	1	PV	5	17.886																				
I	3	4	PV	1	20.981																				
I	3	4	PV	2	26.773																				
I	3	4	PV	3	21.849																				
I	3	4	PV	4	21.145																				
I	3	4	PV	5	20.639																				
J	2	1	PV	1	30.68																				
J	2	1	PV	2	38.65																				
J	2	1	PV	3	55.021																				
J	2	1	PV	4	22.116																				
J	2	1	PV	5	23.947																				
J	2	11	PV	1	22.956																				
J	2	11	PV	2	22.532																				
J	2	11	PV	3	35.248																				
J	2	11	PV	4	33.589																				
J	2	11	PV	5	24.983																				
J	3	2	PV	1	38.017																				
J	3	2	PV	2	30.728																				
J	3	2	PV	3	42.672																				
J	3	2	PV	4	39.455																				
J	3	2	PV	5	65.184																				
J	3	11	PV	1	28.371																				
J	3	11	PV	2	23.174																				
J	3	11	PV	3	22.324																				
J	3	11	PV	4	31.882																				
J	3	11	PV	5	24.458																				
J	4	5	PV	1	25.714																				
J	4	5	PV	2	25.232																				
J	4	5	PV	3	26.216																				
J	4	5	PV	4	35.961																				
J	4	5	PV	5	46.568																				
J	4	9	PV	1	32.444																				
J	4	9	PV	2	37.455																				
J	4	9	PV	3	17.515																				
J	4	9	PV	4	27.242																				
J	4	9	PV	5	42.251																				
J	5	7	PV	1	52.437																				
J	5	7	PV	2	36.856																				
J	5	7	PV	3	39.646																				
J	5	7	PV	4	47.204																				
J	5	7	PV	5	73.08																				
J	5	9	PV	1	51.923																				
J	5	9	PV	2	28.895																				
J	5	9	PV	3	22.131																				
J	5	9	PV	4	29.373																				
J	5	9	PV	5	22.236																				
K	3	6	PV	1	14.581																				
K	3	6	PV	2	17.354																				
K	3	6	PV	3	33.047																				
K	3	6	PV	4	28.758																				
K	3	6	PV	5	26.427																				
K	3	7	PV	1	28.755																				
K	3	7	PV	2	28.531																				
K	3	7	PV	3	25.442																				
K	3	7	PV	4	25.861																				
K	3	7	PV	5	31.2																				
L	2	4	PV	1	50.505																				
L	2	4	PV	2	40.038																				
L	2	4	PV	3	67.594																				
L	2	4	PV	4	86.413																				
L	2	4	PV	5	76.783																				
L	2	5	PV	1	107.136																				
L	2	5	PV	2	38.408																				
L	2	5	PV	3	57.079																				
L	2	5	PV	4	54.555																				
L	2	5	PV	5	74.133																				
L	3	6	PV	1	75.59																				
L	3	6	PV	2	27.98																				
L	3	6	PV	3	64.318																				
L	3	6	PV	4	64.088																				
L	3	6	PV	5	77.449																				
L	3	7	PV	1	46.896																				
L	3	7	PV	2	67.419																				
L	3	7	PV	3	56.998																				
L	3	7	PV	4	44.078																				
L	3	7	PV	5	48.806																				
M	2	5	PV	1	18.802																				
M	2	5	PV	2	28.331																				
M	2	5	PV	3	19.889																				
M	2	5	PV	4	28.974																				
M	2	5	PV	5	33.273																				
M	2	6	PV	1	26.825																				
M	2	6	PV	2	19.401																				
M	2	6	PV	3	19.498																				
M	2	6	PV	4	30.271																				
M	2	6	PV	5	28.689																				
N	2	5	PV	1	30.952																				
N	2	5	PV	2	38.238																				
N	2	5	PV	3	33.234																				
N	2	5	PV	4	46.377																				
N	2	5	PV	5	40.605																				
N	2	6	PV	1	28.385																				
N	2	6	PV	2	37.097																				
N	2	6	PV	3	38.085																				
N	2	6	PV	4	39.662																				
N	2	6	PV	5	28.331																				
O	2	1	PV	1	29.616																				
O	2	1	PV	2	28.88																				
O	2	1	PV	3	28.607																				
O	2	1	PV	4	22.289																				
O	2	1	PV	5	31.126																				
O	2	6	PV	1	24.8																				
O	2	6	PV	2	22.182																				
O	2	6	PV	3	25.824																				
O	2	6	PV	4	26.626																				
O	2	6	PV	5	27.76																				
O	3	1	PV	1	32.081																				
O	3	1	PV	2	42.824																				
O	3	1	PV	3	32.988																				
O	3	1	PV	4	28.194																				
O	3	1	PV	5	38.788																				
O	3	6	PV	1	34.089																				
O	3	6	PV	2	23.198																				
O	3	6	PV	3	48.27																				
O	3	6	PV	4	39.886																				
O	3	6	PV	5	39.358																				
P	3	4	PV	1	24.258																				
P	3	4	PV	2	21.828																				
P	3	4	PV	3	22.963																				
P	3	4	PV	4	16.501																				
P	3	4	PV	5	10.709																				
P	3	6	PV	1	21.187																				
P	3	6	PV	2	14.421																				
P	3	6	PV	3	14.545																				
P	3	6	PV	4	17.489																				
P	3	6	PV	5	15.523																				
Q	1	4	PV	1	27.276																				
Q	1	4	PV	2	17.206																				
Q	1	4	PV	3	21.69																				
Q	1	4	PV	4	16.765																				
Q	1	4	PV	5	20.944																				
Q	1	9	PV	1	15.219																				
Q	1	9	PV	2	20.161																				
Q	1	9	PV	3	20.738																				
Q	1	9	PV	4	20.212																				
Q	1	9	PV	5	24.398																				
R	1	8	PV	1	24.695																				
R	1	8	PV	2	20.597																				
R	1	8	PV	3	28.194																				
R	1	8	PV	4	21.05																				
R	1	8	PV	5	23.923																				
R	1	9	PV	1	29.8																				
R	1	9	PV	2	26.374																				
R	1	9	PV	3	25.271																				
R	1	9	PV	4	27.718																				
R	1	9	PV	5	22.092																				
S	1	2	PV	1	20.403																				
S	1	2	PV	2	15.866																				
S	1	2	PV	3	18.918																				
S	1	2	PV	4	23.108																				
S	1	2	PV	5	29.994																				
S	1	3	PV	1	26.105																				
S	1	3	PV	2	22.192																				
S	1	3	PV	3	36.501																				
S	1	3	PV	4	24.457																				
S	1	3	PV	5	33.692																				
S	2	2	PV	1	62.758																				
S	2	2	PV	2	66.19																				
S	2	2	PV	3	70.934																				
S	2	2	PV	4	64.498																				
S	2	2	PV	5	62.668																				
S	2	5	PV	1	59.015																				
S	2	5	PV	2	57.244																				
S	2	5	PV	3	70.888																				
S	2	5	PV	4	46.163																				
S	2	5	PV	5	75.163																				
S	3	2	PV	1	28.993																				
S	3	2	PV	2	27.318																				
S	3	2	PV	3	24.806																				
S	3	2	PV	4	18.864																				
S	3	2	PV	5	21.696																				
S	3	6	PV	1	24.436																				
S	3	6	PV	2	22.554																				
S	3	6	PV	3	19.019																				
S	3	6	PV	4	18.258																				
S	3	6	PV	5	22.578																				
T	3	2	PV	1	16.568																				
T	3	2	PV	2	16.146																				
T	3	2	PV	3	11.784																				
T	3	2	PV	4	10.588																				
T	3	2	PV	5	20.113																				
T	3	6	PV	1	13.796																				
T	3	6	PV	2	18.324																				
T	3	6	PV	3	13.823																				
T	3	6	PV	4	17.004																				
T	3	6	PV	5	12.382																				
T	4	4	PV	1	15.586																				
T	4	4	PV	2	20.995																				
T	4	4	PV	3	15.342																				
T	4	4	PV	4	14.864																				
T	4	4	PV	5	23.853																				
T	4	7	PV	1	21.803																				
T	4	7	PV	2	21.901																				
T	4	7	PV	3	16.045																				
T	4	7	PV	4	21.418																				
T	4	7	PV	5	24.084																				
T	5	4	PV	1	23.27																				
T	5	4	PV	2	24.822																				
T	5	4	PV	3	23.05																				
T	5	4	PV	4	16.328																				
T	5	4	PV	5	21.65																				
T	5	5	PV	1	15.634																				
T	5	5	PV	2	29.123																				
T	5	5	PV	3	22.148																				
T	5	5	PV	4	21.956																				
T	5	5	PV	5	22.029																				
U	1	5	PV	1	97.092	not sure about this image																			
U	1	5	PV	2	128.311																				
U	1	5	PV	3	173.16																				
U	1	5	PV	4	139.958																				
U	1	5	PV	5	114.007																				
U	1	6	PV	1	97.083																				
U	1	6	PV	2	139.717																				
U	1	6	PV	3	170.557																				
U	1	6	PV	4	146.942																				
U	1	6	PV	5	219.865																				
U	2	3	PV	1	81.834																				
U	2	3	PV	2	84.317																				
U	2	3	PV	3	78.766																				
U	2	3	PV	4	88.619																				
U	2	3	PV	5	64.559																				
U	2	5	PV	1	93.327																				
U	2	5	PV	2	93.932																				
U	2	5	PV	3	101.725																				
U	2	5	PV	4	52.344																				
U	2	5	PV	5	59.823																				
V	1	4	PV	1	26.478																				
V	1	4	PV	2	46.688																				
V	1	4	PV	3	24.753																				
V	1	4	PV	4	31.324																				
V	1	4	PV	5	31.304																				
V	1	7	PV	1	34.344																				
V	1	7	PV	2	28.103																				
V	1	7	PV	3	37.043																				
V	1	7	PV	4	28.23																				
V	1	7	PV	5	32.034																				
W	1	2	PV	1	15.991																				
W	1	2	PV	2	18.524																				
W	1	2	PV	3	21.719																				
W	1	2	PV	4	34.156																				
W	1	2	PV	5	22.895																				
W	1	3	PV	1	14.593																				
W	1	3	PV	2	23.279																				
W	1	3	PV	3	23.923																				
W	1	3	PV	4	22.197																				
W	1	3	PV	5	22.801																				
W	2	3	PV	1	31.172																				
W	2	3	PV	2	35.125																				
W	2	3	PV	3	20.781																				
W	2	3	PV	4	36.283																				
W	2	3	PV	5	18.083																				
W	2	4	PV	1	25.098																				
W	2	4	PV	2	17.56																				
W	2	4	PV	3	19.391																				
W	2	4	PV	4	33.164																				
W	2	4	PV	5	28.41																				
W	3	2	PV	1	22.419																				
W	3	2	PV	2	13.919																				
W	3	2	PV	3	22.764																				
W	3	2	PV	4	23.004																				
W	3	2	PV	5	35.375																				
W	3	3	PV	1	23.117																				
W	3	3	PV	2	22.577																				
W	3	3	PV	3	30.221																				
W	3	3	PV	4	17.981																				
W	3	3	PV	5	34.632																				
W	4	3	PV	1	21.839																				
W	4	3	PV	2	21.028																				
W	4	3	PV	3	22.033																				
W	4	3	PV	4	24.76																				
W	4	3	PV	5	17.353																				
W	4	4	PV	1	16.737																				
W	4	4	PV	2	22.182																				
W	4	4	PV	3	25.894																				
W	4	4	PV	4	16.146																				
W	4	4	PV	5	16.916																				
X	1	1	PV	1	29.889																				
X	1	1	PV	2	24.969																				
X	1	1	PV	3	26.382																				
X	1	1	PV	4	27.881																				
X	1	1	PV	5	26.983																				
X	1	5	PV	1	22.384																				
X	1	5	PV	2	22.895																				
X	1	5	PV	3	24.505																				
X	1	5	PV	4	35.493																				
X	1	5	PV	5	22.585																				
Y	2	4	PV	1	34.913																				
Y	2	4	PV	2	22.826																				
Y	2	4	PV	3	14.063																				
Y	2	4	PV	4	23.973																				
Y	2	4	PV	5	34.551																				
Y	2	5	PV	1	33.263																				
Y	2	5	PV	2	20.338																				
Y	2	5	PV	3	18.458																				
Y	2	5	PV	4	26.647																				
Y	2	5	PV	5	30.5																				
Y	3	1	PV	1	35.606																				
Y	3	1	PV	2	27.694																				
Y	3	1	PV	3	18.68																				
Y	3	1	PV	4	23.515																				
Y	3	1	PV	5	29.123																				
Y	3	4	PV	1	25.499																				
Y	3	4	PV	2	35.44																				
Y	3	4	PV	3	24.587																				
Y	3	4	PV	4	30.725																				
Y	3	4	PV	5	23.884																				
Y	4	2	PV	1	24.413																				
Y	4	2	PV	2	22.552																				
Y	4	2	PV	3	24.559																				
Y	4	2	PV	4	18.258																				
Y	4	2	PV	5	21.815																				
Y	4	5	PV	1	22.364																				
Y	4	5	PV	2	17.522																				
Y	4	5	PV	3	24.297																				
Y	4	5	PV	4	25.916																				
Y	4	5	PV	5	27.617																				
Z	3	5	PV	1	13.109																				
Z	3	5	PV	2	14.634																				
Z	3	5	PV	3	17.171																				
Z	3	5	PV	4	17.072																				
Z	3	5	PV	5	20.063																				
Z	3	6	PV	1	10.412																				
Z	3	6	PV	2	19.064																				
Z	3	6	PV	3	12.812																				
Z	3	6	PV	4	15.44																				
Z	3	6	PV	5	15.783																				
AA	1	2	PV	1	19.771																				
AA	1	2	PV	2	13.704																				
AA	1	2	PV	3	15.935																				
AA	1	2	PV	4	17.847																				
AA	1	2	PV	5	7.852																				
AA	1	7	PV	1	16.262																				
AA	1	7	PV	2	11.061																				
AA	1	7	PV	3	14.376																				
AA	1	7	PV	4	10.412																				
AA	1	7	PV	5	5.901																				
AA	2	1	PV	1	29.515																				
AA	2	1	PV	2	29.184																				
AA	2	1	PV	3	28.766																				
AA	2	1	PV	4	15.434																				
AA	2	1	PV	5	19.501																				
AA	2	2	PV	1	18.686																				
AA	2	2	PV	2	22.104																				
AA	2	2	PV	3	19.405																				
AA	2	2	PV	4	13.658																				
AA	2	2	PV	5	16.124																				
AB	1	4	PV	1	54.424																				
AB	1	4	PV	2	19.808																				
AB	1	4	PV	3	52.217																				
AB	1	4	PV	4	28.037																				
AB	1	4	PV	5	43.523																				
AB	1	5	PV	1	51.124																				
AB	1	5	PV	2	42.11																				
AB	1	5	PV	3	25.077																				
AB	1	5	PV	4	25.494																				
AB	1	5	PV	5	31.985																				
AB	2	3	PV	1	103.303																				
AB	2	3	PV	2	74.736																				
AB	2	3	PV	3	101.649																				
AB	2	3	PV	4	130.904																				
AB	2	3	PV	5	100.267																				
AB	2	4	PV	1	101.18																				
AB	2	4	PV	2	78.26																				
AB	2	4	PV	3	119.846																				
AB	2	4	PV	4	148.898																				
AB	2	4	PV	5	157.98																				
AB	3	3	PV	1	61.757																				
AB	3	3	PV	2	117.76																				
AB	3	3	PV	3	107.2																				
AB	3	3	PV	4	55.291																				
AB	3	3	PV	5	176.677																				
AB	3	6	PV	1	109.571																				
AB	3	6	PV	2	90.656																				
AB	3	6	PV	3	117.514																				
AB	3	6	PV	4	117.514																				
AB	3	6	PV	5	224.01																				
AC	1	4	PV	1	26.091																				
AC	1	4	PV	2	36.145																				
AC	1	4	PV	3	28.822																				
AC	1	4	PV	4	25.353																				
AC	1	4	PV	5	20.25																				
AC	1	5	PV	1	31.345																				
AC	1	5	PV	2	26.592																				
AC	1	5	PV	3	33.361																				
AC	1	5	PV	4	28.61																				
AC	1	5	PV	5	22.788																				
AC	2	2	PV	1	25.373																				
AC	2	2	PV	2	26.911																				
AC	2	2	PV	3	17.063																				
AC	2	2	PV	4	25.367																				
AC	2	2	PV	5	29.17																				
AC	2	4	PV	1	25.549																				
AC	2	4	PV	2	32.925																				
AC	2	4	PV	3	26.829																				
AC	2	4	PV	4	23.455																				
AC	2	4	PV	5	23.697																				
AD	1	3	PV	1	62.005																				
AD	1	3	PV	2	60.811																				
AD	1	3	PV	3	62.283																				
AD	1	3	PV	4	66.943																				
AD	1	3	PV	5	44.169																				
AD	1	5	PV	1	52.171																				
AD	1	5	PV	2	51.105																				
AD	1	5	PV	3	66.834																				
AD	1	5	PV	4	70.251																				
AD	1	5	PV	5	65.96																				
AD	2	2	PV	1	40.714																				
AD	2	2	PV	2	23.327																				
AD	2	2	PV	3	21.108																				
AD	2	2	PV	4	16.562																				
AD	2	2	PV	5	53.571																				
AD	2	4	PV	1	30.007																				
AD	2	4	PV	2	13.419																				
AD	2	4	PV	3	33.147																				
AD	2	4	PV	4	19.11																				
AD	2	4	PV	5	15.639																				
AD	3	2	PV	1	30.66																				
AD	3	2	PV	2	63.274																				
AD	3	2	PV	3	55.075																				
AD	3	2	PV	4	47.308																				
AD	3	2	PV	5	43.426																				
AD	3	3	PV	1	34.636																				
AD	3	3	PV	2	36.083																				
AD	3	3	PV	3	49.844																				
AD	3	3	PV	4	48.081																				
AD	3	3	PV	5	38.367																				
AD	4	3	PV	1	20.346																				
AD	4	3	PV	2	28.073																				
AD	4	3	PV	3	12.715																				
AD	4	3	PV	4	23.822																				
AD	4	3	PV	5	24.445																				
AD	4	8	PV	1	21.563																				
AD	4	8	PV	2	20.151																				
AD	4	8	PV	3	13.813																				
AD	4	8	PV	4	21.074																				
AD	4	8	PV	5	23.076																				
AE	1	3	PV	1	43.505																				
AE	1	3	PV	2	63.184																				
AE	1	3	PV	3	30.363																				
AE	1	3	PV	4	53.131																				
AE	1	3	PV	5	29.203																				
AE	1	6	PV	1	34.046																				
AE	1	6	PV	2	32.632																				
AE	1	6	PV	3	28.083																				
AE	1	6	PV	4	32.922																				
AE	1	6	PV	5	27.748																				
AF	1	3	PV	1	56.81																				
AF	1	3	PV	2	36.975																				
AF	1	3	PV	3	46.002																				
AF	1	3	PV	4	23.631																				
AF	1	3	PV	5	41.254																				
AF	1	6	PV	1	27.026																				
AF	1	6	PV	2	28.359																				
AF	1	6	PV	3	51.176																				
AF	1	6	PV	4	32.804																				
AF	1	6	PV	5	40.862																				
A	1	1	NS	1	22.604																				
A	1	1	NS	2	27.975																				
A	1	1	NS	3	24.767																				
A	1	1	NS	4	29.815																				
A	1	1	NS	5	36.103																				
A	1	6	NS	1	15.734																				
A	1	6	NS	2	11.011																				
A	1	6	NS	3	16.251																				
A	1	6	NS	4	15.945																				
A	1	6	NS	5	16.55																				
A	2	1	NS	1	35.188																				
A	2	1	NS	2	26.077																				
A	2	1	NS	3	37.863																				
A	2	1	NS	4	50.695																				
A	2	1	NS	5	53.053																				
A	2	2	NS	1	41.28																				
A	2	2	NS	2	37.761																				
A	2	2	NS	3	54.003																				
A	2	2	NS	4	36.486																				
A	2	2	NS	5	49.02																				
B 	2	1	NS	1	42.541																				
B	2	1	NS	2	29.588																				
B	2	1	NS	3	25.497																				
B	2	1	NS	4	18.575																				
B	2	1	NS	5	26.067																				
B	2	2	NS	1	27.984																				
B	2	2	NS	2	19.186																				
B	2	2	NS	3	44.667																				
B	2	2	NS	4	13.086																				
B	2	2	NS	5	19.437																				
B	4	3	NS	1	22.347																				
B	4	3	NS	2	43.752																				
B	4	3	NS	3	37.956																				
B	4	3	NS	4	82.799																				
B	4	3	NS	5	24.444																				
B	4	5	NS	1	42.221																				
B	4	5	NS	2	33.067																				
B	4	5	NS	3	53.177																				
B	4	5	NS	4	27.621																				
B	4	5	NS	5	39.16																				
C	2	1	NS	1	54.538																				
C	2	1	NS	2	22.589																				
C	2	1	NS	3	28.281																				
C	2	1	NS	4	23.024																				
C	2	1	NS	5	27.026																				
C	2	3	NS	1	23.697																				
C	2	3	NS	2	23.529																				
C	2	3	NS	3	22.884																				
C	2	3	NS	4	19.717																				
C	2	3	NS	5	36.911																				
D	1	1	NS	1	39.255																				
D	1	1	NS	2	44.691																				
D	1	1	NS	3	33.047																				
D	1	1	NS	4	32.712																				
D	1	1	NS	5	35.142																				
D	1	7	NS	1	42.724																				
D	1	7	NS	2	41.396																				
D	1	7	NS	3	29.121																				
D	1	7	NS	4	29.333																				
D	1	7	NS	5	38.657																				
D	2	5	NS	1	27.384																				
D	2	5	NS	2	25.042																				
D	2	5	NS	3	25.941																				
D	2	5	NS	4	29.51																				
D	2	5	NS	5	34.471																				
D	2	6	NS	1	27.317																				
D	2	6	NS	2	32.264																				
D	2	6	NS	3	23.788																				
D	2	6	NS	4	29.599																				
D	2	6	NS	5	26.396																				
E	1	2	NS	1	27.617																				
E	1	2	NS	2	31.488																				
E	1	2	NS	3	20.929																				
E	1	2	NS	4	23.679																				
E	1	2	NS	5	18.966																				
E	1	3	NS	1	19.906																				
E	1	3	NS	2	26.283																				
E	1	3	NS	3	26.117																				
E	1	3	NS	4	24.262																				
E	1	3	NS	5	37.769																				
E	2	1	NS	1	42.719																				
E	2	1	NS	2	45.541																				
E	2	1	NS	3	33.093																				
E	2	1	NS	4	29.982																				
E	2	1	NS	5	36.681																				
E	2	3	NS	1	48.478																				
E	2	3	NS	2	48.793																				
E	2	3	NS	3	40.284																				
E	2	3	NS	4	32.611																				
E	2	3	NS	5	28.639																				
E	3	2	NS	1	33.531																				
E	3	2	NS	2	25.145																				
E	3	2	NS	3	24.174																				
E	3	2	NS	4	22.728																				
E	3	2	NS	5	20.569																				
E	3	3	NS	1	17.905																				
E	3	3	NS	2	28.836																				
E	3	3	NS	3	29.594																				
E	3	3	NS	4	25.516																				
E	3	3	NS	5	22.779																				
F	1	2	NS	1	39.039																				
F	1	2	NS	2	18.555																				
F	1	2	NS	3	19.988																				
F	1	2	NS	4	12.36																				
F	1	2	NS	5	19.178																				
F	1	3	NS	1	17.513																				
F	1	3	NS	2	76.159																				
F	1	3	NS	3	52.078																				
F	1	3	NS	4	42.095																				
F	1	3	NS	5	29.448																				
F	2	1	NS	1	43.698																				
F	2	1	NS	2	26.773																				
F	2	1	NS	3	33.866																				
F	2	1	NS	4	34.587																				
F	2	1	NS	5	41.278																				
F	2	8	NS	1	37.715																				
F	2	8	NS	2	24.39																				
F	2	8	NS	3	44.382																				
F	2	8	NS	4	22.116																				
F	2	8	NS	5	23.281																				
F	3	1	NS	1	27.975																				
F	3	1	NS	2	23.253																				
F	3	1	NS	3	25.825																				
F	3	1	NS	4	39.041																				
F	3	1	NS	5	19.798																				
F	3	8	NS	1	33.374																				
F	3	8	NS	2	23.111																				
F	3	8	NS	3	26.853																				
F	3	8	NS	4	23.136																				
F	3	8	NS	5	23.784																				
F	4	6	NS	1	29.448																				
F	4	6	NS	2	26.061																				
F	4	6	NS	3	23.774																				
F	4	6	NS	4	28.268																				
F	4	6	NS	5	29.982																				
