Length	Sample	Lymphocytes.SingleCells.Count	PKH.Count	Ratio	Beads.per.ml	Cells.per.ml	resus.vol	total.single.cell	Cells.per.inch	Percent.Live.CD64+.Mac	Count.CD64+.Mac	Percent.Live.cDC1	Count.cDC1	Percent.Live.cDC2	Count.cDC2
11	PKH=197500_IEL-1_025.fcs	4359	702	6.209401709	197500	1226356.838	0.5	613178.4188	55743.49262	5.31	2959.979458	0.14	78.04088967	0.12	66.89219114
10.25	PKH=197500_IEL-2_026.fcs	3056	700	4.365714286	197500	862228.5714	0.5	431114.2857	42059.93031	3.79	1594.071359	0.24	100.9438328	0.092	38.69513589
11.25	PKH=197500_IEL-3_027.fcs	3647	701	5.20256776	197500	1027507.133	0.5	513753.5663	45666.98367	1.8	822.0057061	0.12	54.80038041	0.061	27.85686004
10.75	PKH=197500_IEL-4_028.fcs	5569	702	7.933048433	197500	1566777.066	0.5	783388.5328	72873.35188	4.76	3468.77155	0.013	9.473535745	0.16	116.597363
10.25	PKH=197500_IEL-5_029.fcs	5613	703	7.984352774	197500	1576909.673	0.5	788454.8364	76922.42306	2.32	1784.600215	0.075	57.6918173	0.14	107.6913923
12.25	PKH=197500_IEL-6_030.fcs	9399	705	13.33191489	197500	2633053.191	0.5	1316526.596	107471.5588	1.92	2063.45393	0.06	64.4829353	0.14	150.4601824
11	PKH=197500_LP-1_031.fcs	48957	704	69.54119318	197500	13734385.65	0.5	6867192.827	624290.257	10.7	66799.0575	0.13	811.5773341	0.089	555.6183287
10.25	PKH=197500_LP-2_032.fcs	14872	702	21.18518519	197500	4184074.074	0.5	2092037.037	204101.1743	11.6	23675.73622	0.13	265.3315266	0.091	185.7320687
11.25	PKH=197500_LP-3_033.fcs	14648	701	20.89586305	197500	4126932.953	0.5	2063466.476	183419.2424	9.54	17498.19572	0.13	238.4450151	0.1	183.4192424
10.75	PKH=197500_LP-4_034.fcs	12594	702	17.94017094	197500	3543183.761	0.5	1771591.88	164799.2447	4.55	7498.365633	2.35E-03	3.87278225	0.12	197.7590936
10.25	PKH=197500_LP-5_035.fcs	30520	704	43.35227273	197500	8562073.864	0.5	4281036.932	417662.1397	8.03	33538.26982	0.074	309.0699834	0.1	417.6621397
12.25	PKH=197500_LP-6_036.fcs	49606	710	69.86760563	197500	13798852.11	0.5	6899426.056	563218.4536	9.13	51421.84481	0.068	382.9885484	0.089	501.2644237
12.25	PKH=200000_IEL-1_034.fcs	6119	700	8.741428571	200000	1748285.714	0.5	874142.8571	71358.60058	0.7	499.5102041	0.1	71.35860058	0.11	78.49446064
10.75	PKH=200000_IEL-2_035.fcs	6811	698	9.757879656	200000	1951575.931	0.5	975787.9656	90770.97355	0.22	199.6961418	0.035	31.76984074	0.04	36.30838942
