Length	Sample	Lymphocytes.SingleCells.Count	PKH.Count	Ratio	Beads.per.ml	Cells.per.ml	resus.vol	total.single.cell	Cells.per.inch	Percent.Live.CD64+.Mac	Count.CD64+.Mac	Percent.Live.cDC1	Count.cDC1	Percent.Live.cDC2	Count.cDC2
10.75	PKH=200000_IEL-3_036.fcs	5915	699	8.462088698	200000	1692417.74	0.5	846208.8698	78717.10417	0.73	574.6348604	0.12	94.460525	0.061	48.01743354
12.5	PKH=200000_IEL-4_037.fcs	15907	699	22.75679542	200000	4551359.084	0.5	2275679.542	182054.3634	0.38	691.8065808	0.058	105.5915308	0.038	69.18065808
12.25	PKH=200000_LP-1_038.fcs	34972	699	50.03147353	200000	10006294.71	0.5	5003147.353	408420.1921	2.05	8372.613938	0.096	392.0833844	0.28	1143.576538
10.75	PKH=200000_LP-2_039.fcs	61997	699	88.69384835	200000	17738769.67	0.5	8869384.835	825059.0545	1.24	10230.73228	0.035	288.7706691	0.081	668.2978341
10.75	PKH=200000_LP-3_040.fcs	20758	700	29.65428571	200000	5930857.143	0.5	2965428.571	275853.8206	1.8	4965.368771	0.06	165.5122924	0.2	551.7076412
12.5	PKH=200000_LP-4_041.fcs	50438	699	72.15736767	200000	14431473.53	0.5	7215736.767	577258.9413	4.73	27304.34793	0.12	692.7107296	0.43	2482.213448
10.5	PKH_IEL-1_029.fcs	18134	700	25.90571429	137500	3562035.714	0.5	1781017.857	169620.7483	2.45	4155.708333	0.13	220.5069728	0.093	157.7472959
10.75	PKH_IEL-2_030.fcs	3725	701	5.313837375	137500	730652.6391	0.5	365326.3195	33983.84368	3	1019.51531	0.14	47.57738115	0.13	44.17899678
11.5	PKH_IEL-3_031.fcs	5000	698	7.163323782	137500	984957.0201	0.5	492478.51	42824.21826	3.89	1665.86209	0.2	85.64843653	0.14	59.95390557
9.5	PKH_IEL-4_032.fcs	4518	699	6.463519313	137500	888733.9056	0.5	444366.9528	46775.46871	1.73	809.2156088	0.099	46.30771403	0.067	31.33956404
10.5	PKH_IEL-5_033.fcs	7121	700	10.17285714	137500	1398767.857	0.5	699383.9286	66607.9932	2.27	1512.001446	0.072	47.9577551	0.043	28.64143707
9.8	PKH_IEL-6_034.fcs	3505	699	5.014306152	137500	689467.0959	0.5	344733.5479	35176.89265	1.94	682.4317173	0.14	49.2476497	0.056	19.69905988
11.6	PKH_IEL-7_035.fcs	3191	701	4.552068474	137500	625909.4151	0.5	312954.7076	26978.8541	2.34	631.3051859	0.31	83.63444771	0.18	48.56193738
10.5	PKH_LPL-1_036.fcs	9452	701	13.48359486	137500	1853994.294	0.5	926997.1469	88285.44257	4.39	3875.730929	0.13	114.7710753	0.13	114.7710753
10.75	PKH_LPL-2_037.fcs	23855	701	34.0299572	137500	4679119.116	0.5	2339559.558	217633.4472	2.94	6398.423349	0.046	100.1113857	0.059	128.4037339
11.5	PKH_LPL-3_038.fcs	16402	703	23.3314367	137500	3208072.546	0.5	1604036.273	139481.4151	4.74	6611.419074	0.083	115.7695745	0.055	76.71477828
9.5	PKH_LPL-4_039.fcs	11712	701	16.70756063	137500	2297289.586	0.5	1148644.793	120909.9782	5.65	6831.41377	0.081	97.93708236	0.14	169.2739695
10.5	PKH_LPL-5_040.fcs	36713	702	52.2977208	137500	7190936.61	0.5	3595468.305	342425.5528	6.52	22326.14605	0.19	650.6085504	0.15	513.6383293
9.8	PKH_LPL-6_041.fcs	11631	700	16.61571429	137500	2284660.714	0.5	1142330.357	116564.3222	6.15	7168.705813	0.088	102.5766035	0.046	53.61958819
11.6	PKH_LPL-7_042.fcs	18917	700	27.02428571	137500	3715839.286	0.5	1857919.643	160165.4865	5.47	8761.052109	0.13	208.2151324	0.12	192.1985837
8.5	PKH=215000_IEL-1_017.fcs	5001	703	7.113798009	215000	1529466.572	0.5	764733.2859	89968.62187	0.89	800.7207347	0.036	32.38870387	0.19	170.9403816
9.7	PKH=215000_IEL-2_018.fcs	6625	701	9.450784593	215000	2031918.688	0.5	1015959.344	104738.0767	0.64	670.3236908	0.061	63.89022677	0.26	272.3189994
9.7	PKH=215000_IEL-3_019.fcs	2484	701	3.543509272	215000	761854.4936	0.5	380927.2468	39270.85018	0.24	94.25004044	0.021	8.246878539	0.07	27.48959513
10.2	PKH=215000_IEL-4_020.fcs	1704	701	2.430813124	215000	522624.8217	0.5	261312.4108	25618.86381	1.33	340.7308886	0.059	15.11512965	0.27	69.17093228
8.5	PKH=215000_LPL-1_021.fcs	42953	709	60.58251058	215000	13025239.77	0.5	6512619.887	766190.575	4.43	33942.24247	0.17	1302.523977	1.06	8121.620095
9.7	PKH=215000_LPL-2_022.fcs	31224	710	43.97746479	215000	9455154.93	0.5	4727577.465	487379.1201	2.09	10186.22361	0.088	428.8936257	0.39	1900.778568
9.7	PKH=215000_LPL-3_023.fcs	45497	704	64.62642045	215000	13894680.4	0.5	6947340.199	716220.6391	1.57	11244.66403	0.049	350.9481131	0.21	1504.063342
10.2	PKH=215000_LPL-4_024.fcs	18308	702	26.07977208	215000	5607150.997	0.5	2803575.499	274860.343	2.76	7586.145467	0.13	357.3184459	0.66	1814.078264
12	PKH=275000_IEL-1_017.fcs	27002	702	38.46438746	275000	10577706.55	0.5	5288853.276	440737.773	0.39	1718.877315	0.024	105.7770655	0.18	793.3279915
12.5	PKH=275000_IEL-2_018.fcs	9639	698	13.80945559	275000	3797600.287	0.5	1898800.143	151904.0115	0.1	151.9040115	9.18E-03	13.94478825	0.057	86.58528653
12.7	PKH=275000_IEL-3_019.fcs	14088	701	20.09700428	275000	5526676.177	0.5	2763338.088	217585.6763	1.34	2915.648062	0.08	174.068541	0.35	761.5498669
12.7	PKH=275000_IEL-4_020.fcs	32632	700	46.61714286	275000	12819714.29	0.5	6409857.143	504713.1609	0.22	1110.368954	0.021	105.9897638	0.15	757.0697413
12	PKH=275000_LPL-1_021.fcs	78200	701	111.5549215	275000	30677603.42	0.5	15338801.71	1278233.476	1.61	20579.55896	0.096	1227.104137	0.27	3451.230385
12.5	PKH=275000_LPL-2_022.fcs	38589	707	54.58132956	275000	15009865.63	0.5	7504932.815	600394.6252	0.65	3902.565064	0.043	258.1696888	0.15	900.5919378
12.7	PKH=275000_LPL-3_023.fcs	53105	705	75.32624113	275000	20714716.31	0.5	10357358.16	815540.0123	1.97	16066.13824	0.11	897.0940135	0.44	3588.376054
12.7	PKH=275000_LPL-4_024.fcs	131445	704	186.7116477	275000	51345703.13	0.5	25672851.56	2021484.375	1.29	26077.14844	0.068	1374.609375	0.35	7075.195313
