pvals	adj.pvals	sig.taxa	similarity	group
0.0094227472389518	0.174697477238424	ofu00299	ofu_40	All Groups
0.000460749998701129	0.0281057499207688	ofu00676	ofu_40	All Groups
0.00686461368035523	0.174697477238424	ofu00677	ofu_40	All Groups
0.0114555722779295	0.174697477238424	ofu01275	ofu_40	All Groups
0.00952393207345596	0.179641230785919	ofu01054	ofu_50	All Groups
0.00677873446673402	0.179641230785919	ofu01567	ofu_50	All Groups
0.0117797528384209	0.179641230785919	ofu01612	ofu_50	All Groups
0.00312713458398437	0.179641230785919	ofu04724	ofu_50	All Groups
0.00931919581096903	0.167311932984485	ofu01184	ofu_60	All Groups
0.00691088739569722	0.167311932984485	ofu01825	ofu_60	All Groups
0.0113431818972532	0.167311932984485	ofu01880	ofu_60	All Groups
0.00320397446791906	0.167311932984485	ofu06293	ofu_60	All Groups
0.00925470395412139	0.16783458692512	ofu01289	ofu_70	All Groups
0.00706352785467838	0.16783458692512	ofu02026	ofu_70	All Groups
0.01137861606272	0.16783458692512	ofu02093	ofu_70	All Groups
0.00319632948892591	0.16783458692512	ofu07723	ofu_70	All Groups
0.00921580779396216	0.14728069607197	ofu01399	ofu_80	All Groups
0.00722429533577064	0.14728069607197	ofu02253	ofu_80	All Groups
0.0107113233506888	0.14728069607197	ofu02331	ofu_80	All Groups
0.0194841783625517	0.214325961988069	ofu08069	ofu_80	All Groups
0.00326501253259687	0.14728069607197	ofu09142	ofu_80	All Groups
0.0272266273131738	0.249577417037426	ofu10043	ofu_80	All Groups
0.00699405058200614	0.174951157439797	ofu02663	ofu_90	All Groups
0.0102912445552822	0.174951157439797	ofu02772	ofu_90	All Groups
0.00299991781107645	0.152995808364899	ofu11340	ofu_90	All Groups
0.00424802483327618	0.246385440330019	ofu04724	ofu_50	1stGen
0.0264176978511998	0.246565179944532	ofu01184	ofu_60	1stGen
0.0236909169479739	0.246565179944532	ofu01880	ofu_60	1stGen
0.0209003674597547	0.246565179944532	ofu03157	ofu_60	1stGen
0.0104184229563342	0.246565179944532	ofu05031	ofu_60	1stGen
0.00444863080764461	0.246565179944532	ofu06293	ofu_60	1stGen
0.0245003057931561	0.246565179944532	ofu06586	ofu_60	1stGen
0.024739198263634	0.2185295846621	ofu01399	ofu_80	1stGen
0.0224433512639824	0.2185295846621	ofu02331	ofu_80	1stGen
0.0225883591665339	0.2185295846621	ofu04227	ofu_80	1stGen
0.0087217765956477	0.2185295846621	ofu07108	ofu_80	1stGen
0.00467157507084679	0.2185295846621	ofu09142	ofu_80	1stGen
0.020974075405156	0.2185295846621	ofu09697	ofu_80	1stGen
0.0216659687414683	0.21232649366639	ofu02772	ofu_90	1stGen
0.0185896043639448	0.21232649366639	ofu05181	ofu_90	1stGen
0.00866388203210995	0.212265109786694	ofu08819	ofu_90	1stGen
0.00430732485521166	0.211058917905371	ofu11340	ofu_90	1stGen
0.0209502759090919	0.21232649366639	ofu12018	ofu_90	1stGen
