# Constructed from biom file
#OTU ID	CS.001	CS.002	CS.003	CS.004	CS.005	CS.006	CS.007	CS.008	CS.009	CS.011	CS.012	CS.013	CS.014	CS.015	CS.016	CS.017	CS.018	CS.019	CS.020	CS.021	CS.022	CS.023	CS.024	CS.025	CS.026	CS.027	CS.028	CS.029	CS.030	CS.031	CS.032	CS.033	CS.035	CS.036	CS.037	CS.038	CS.039	CS.040	CS.041	CS.042	CS.043	CS.044	CS.045	CS.046	CS.047	CS.049	CS.050	CS.051	CS.052	CS.053	CS.055	CS.056	CS.057	CS.058	CS.059	CS.060	CS.061	CS.062	CS.063	CS.064	CS.065	CS.066	CS.067	CS.068	CS.070	CS.071	CS.072	CS.074	CS.075	CS.076	CS.077	CS.078	CS.079	CS.080	CS.082	CS.083	CS.084	CS.085	CS.086	CS.087	CS.088	CS.089	CS.090	CS.091	CS.092	CS.093	CS.094	CS.095	CS.096	CS.097	CS.098	CS.099	CS.101	CS.102	CS.103	CS.104	CS.105	CS.106	CS.108	CS.109	CS.110	CS.111	CS.112	CS.113	CS.114	CS.115	CS.117	CS.118	CS.119	CS.120	CS.122	CS.123	CS.124	CS.130	CS.131	CS.132	CS.133	CS.135	CS.136	CS.137	CS.138	CS.139	CS.140	CS.141	CS.142	CS.143	CS.151	CS.153	CS.154	CS.155	CS.156	CS.158	CS.159	CS.160	CS.161	CS.163	CS.164	CS.165	CS.167	CS.168	CS.169	CS.170	CS.171	CS.172	CS.173	CS.174	CS.175	CS.176	CS.188	CS.190	CS.191	CS.193	CS.194	CS.196	CS.198	CS.199	CS.200	CS.203	CS.205	CS.213	CS.217	CS.218	CS.219	CS.220	CS.222	CS.224	CS.227	CS.228	CS.229	CS.230	CS.231	CS.232	CS.233	CS.235	CS.236	CS.237	CS.238	CS.239	CS.240	CS.241	CS.247	CS.248	CS.249	CS.251	CS.259	CS.260	CS.269	CS.274	CS.275	CS.282	CS.283	CS.284	CS.285	CS.286	CS.290	CS.292	CS.293	CS.294	CS.295	CS.296	CS.297	CS.298	CS.300	CS.301	CS.302	CS.305	CS.308.0	CS.311	CS.312	CS.318	CS.319	CS.321	CS.322	CS.325	CS.328	CS.332	CS.333	CS.334	CS.335	CS.339	CS.341	CS.343	CS.345.0	CS.346	CS.347.0	CS.350	CS.351	CS.356	CS.357	CS.358	CS.360	CS.362	CS.365	CS.366	CS.379	CS.380	CS.382	CS.388	IMP000.L.T02	IMP000.L.T03	IMP000.L.T04	IMP000.L.T05	IMP000.L.T06	IMP000.L.T09	IMP000.L.T10	IMP000.L.T17	IMP000.L.T18	IMP000.L.T19	IMP000.L.T20	IMP000.L.T26	IMP000.L.T27	IMP000.L.T28	IMP000.L.T29	IMP000.L.T30	IMP000.L.T36	IMP000.L.T37	IMP000.L.T38	IMP000.L.T39	IMP000.L.T40	L.004.M1	L.004.M2	L.004.M3	L.004.M4	L.004.M5	L.004.M6	L.005.M1	L.005.M2	L.005.M3	L.005.M4	L.005.M5	L.005.M6	L.006.M1	L.006.M2	L.006.M3	L.006.M4	L.006.M5	L.006.M6	L.007.M1	L.007.M2	L.007.M4	L.007.M5	L.007.M6	L.008.M1	L.008.M2	L.008.M3	L.008.M4	L.008.M5	L.008.M6	L.012.M1	L.012.M2	L.012.M3	L.012.M4	L.012.M5	L.012.M6	L.025.M1	L.025.M2	L.025.M3	L.025.M4	L.025.M5	L.025.M6	T.CS.003	T.CS.004	T.CS.007	T.CS.008	T.CS.009	T.CS.013	T.CS.014	T.CS.018	T.CS.020	T.CS.023	T.CS.030	T.CS.042	T.CS.043	T.CS.045	T.CS.047	T.CS.049	T.CS.051	T.CS.061	T.CS.065	T.CS.067	T.CS.069	T.CS.070	T.CS.071	T.CS.073	T.CS.081	T.CS.084	T.CS.087	T.CS.088	T.CS.089	T.CS.090	T.CS.092	T.CS.093	T.CS.094	T.CS.095	T.CS.096	T.CS.097	T.CS.098	T.CS.099	T.CS.100	T.CS.133	T.CS.134	T.CS.135	T.CS.136	T.CS.137	T.CS.138	T.CS.139	T.CS.140	T.CS.141	T.CS.142	T.CS.143	T.CS.144	T.CS.145	T.CS.146	T.CS.147	T.CS.148	T.CS.149	T.CS.150	T.CS.151
k__Archaea;p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.28672828637e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7665347654e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42255604871e-05	0.0	0.0	0.0	0.0	1.77326973206e-05	0.0	0.0	4.38962293139e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3246787654e-05	0.0	0.0	3.12051426075e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29721876297e-05	1.24636994753e-05	1.97273677773e-05	2.86750684617e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85497783301e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.60091552226e-05	1.0677942574e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	0.0303800797861	0.0	0.000520517046933	0.0	0.00136766523763	7.44897452451e-05	0.000707031752153	2.8919286272e-05	0.0	0.0822258794487	0.0123220797553	0.00146349862259	0.00260521042084	0.0	0.000157558887634	0.0	3.79391456104e-05	0.0	0.0	0.0	0.0	2.95901760615e-05	0.0197855882752	0.000284115123448	0.000273418275278	0.000467391643037	0.000579598145286	2.63664407942e-05	0.00383252585147	0.0123196448391	0.00036496350365	0.000938673341677	0.00275835275835	0.0	0.0	0.0	0.0	0.000361378494694	0.0	0.0	3.75911585595e-05	0.0	0.0	0.00781442790162	2.7159890274e-05	0.0	3.2486518095e-05	0.0	0.000157049973302	0.00011175993965	0.0	0.0	0.000295517977344	3.38753387534e-05	0.0144931120619	3.13450145754e-05	0.0	0.000135519718119	3.09741365959e-05	0.00287562904385	0.0	3.77986090112e-05	0.0	0.0	0.0	0.000211343882915	0.000913689746618	7.29102110751e-05	0.00114803803244	6.372673974e-05	0.000312369845898	0.0	0.0	0.0	0.0016222109938	0.00414340992364	0.00207938634998	0.00156949939509	0.0	0.0	0.0	0.0	0.000392275196138	9.68272923861e-05	0.00779980500487	8.20973126813e-05	0.0	0.0	6.19003404519e-05	0.0	0.00420823811382	0.000480538202787	0.000618301731245	0.0	7.63300511411e-05	0.0	0.00160758278007	0.000116292592162	0.0392553622015	0.029679471495	0.0	0.000152443672063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000349678564704	0.000135883412032	5.92013734719e-05	0.0	0.00267882440821	0.000339293590744	0.0	2.65561929042e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00751955083216	0.000233992181908	0.00390625	0.00329152032112	0.0	0.0	0.00910892108175	0.0	0.0	0.0131208215935	0.0	0.0	0.0	0.0	0.0	0.0	0.000405578261005	3.13351925548e-05	4.92368291482e-05	0.0	3.27321527937e-05	0.0	0.00143069191838	0.0	0.0	0.0	6.18919119649e-05	0.00181044115359	0.0	0.0	0.0	0.0	0.0	0.000566402345572	0.0	0.0	0.0	0.000546182789173	0.000353010394195	0.00779788998271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00143899337394	0.00172983173455	0.000777093669675	0.0	0.0	2.89670355136e-05	0.000110281954196	9.52713646035e-05	0.0207798047276	0.00112503394499	3.30819108112e-05	0.0	0.0	8.25559316437e-05	0.000177318937663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000543119835512	8.01447184631e-05	0.0	0.0	0.00024237000578	0.0	0.016109006399	0.0	0.000179407059668	0.0	0.00154278089731	0.0	0.0	3.26957658983e-05	0.0	0.0	0.000274649821478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77459140033e-05	0.0	0.0	0.0	0.0	0.000284040475768	0.0	0.0	1.3246787654e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18897581623e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64476389414e-05	0.0	0.0	1.38571329592e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00189397675933	0.000194024058983	0.0102451908967	0.00665740751369	0.00135412849883	0.00802570470458	0.0	0.0	0.0	1.21793778774e-05	0.0	0.0	0.0	0.0449180739532	0.0052763034655	0.0	0.000457442109912	0.0215405638665	0.000108428999336	0.00675324675325	0.00558833229506	0.0166004326173	0.00963699066341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000675101809708	3.01023479831e-05	0.0	0.0	0.00381034124012	0.0	1.81231650295e-05	0.0	0.0169716451142	1.21716692227e-05	0.0	0.00230167022517	0.0	5.86235197561e-05	0.000561717025251	0.0	0.000150144001747	0.0	0.000742180597279	5.06579197325e-05	0.0	0.0	0.0	2.30922883303e-05	0.0	1.55751109727e-05	0.0	1.73466555648e-05	0.000212250384704	0.0	0.000172282600893	0.0	0.000203476542062	0.00326893338814	0.0077016049695	0.00238984316654	0.000838239696637	0.000457061601747	0.0	0.03132281944	0.00117904377841	0.0	1.19597196642e-05	0.0139450546584	0.0064007280449	0.0015331010453	0.0	0.0	0.0	0.0	0.0	0.000185965159176	0.0	0.00446975704708	0.000998831874587	0.0	0.00556626769018	0.0
k__Bacteria;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17156963588e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.77000777001e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.05250452625e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00062192212012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000178265830006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.51605077177e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000118212625108	0.0749241506918	8.08440114798e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46472364286e-05	0.0	0.000366410179541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00196619171646	0.0	0.0	0.0	0.0	5.41931987536e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88035025059e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12776443257e-05	6.43583472776e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.93837336775e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64326496088e-05	1.48385565052e-05	1.29555495096e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30758267191e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.73910984258e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.97290478934e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3088023088e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.40344428562e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47451304207e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73466555648e-05	0.0	0.0	0.0	5.13540347153e-05	0.0	0.0	0.0	2.13378854156e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.60899058154e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51304269157e-06	1.63505559189e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.109114023936	0.0196119196119	0.0897458141754	0.0307335010644	0.111385813103	0.206659383225	0.104147919613	0.123196159519	0.146709438123	0.219481588151	0.131719797671	0.0838211662075	0.110048668766	0.212388128338	0.065203119666	0.0390144471463	0.297974049624	0.155667712454	0.0292356581368	0.117319614827	0.11930650525	0.14410415742	0.0661148052653	0.148421740489	0.0634877235194	0.0552768516499	0.0292697063369	0.158594141377	0.10246583267	0.210294117647	0.373661800487	0.201032540676	0.0543512043512	0.0994497656409	0.0374110953058	0.0611410628592	0.0347757876847	0.0513814514274	0.0192016834353	0.17256320275	0.0591308924141	0.0571860591939	0.103201863477	0.0446382056977	0.238328037155	0.3947105456	0.199727113248	0.0211812980408	0.114458020542	0.0713587214663	0.081014376504	0.0634896525536	0.0256443933673	0.072933604336	0.0888630574036	0.0274268877535	0.103347146956	0.109662555902	0.16496825151	0.149068899144	0.222793507332	0.0568113093438	0.00532511210762	0.213665661711	0.040967601967	0.137690539719	0.0976310921935	0.0907367576829	0.0482175973625	0.156162375733	0.230008329863	0.086485883272	0.0832248707746	0.133150783859	0.15307289312	0.170051022155	0.0379834573264	0.121734296832	0.152295508667	0.117974306033	0.0690357812373	0.0820449391878	0.0390162945081	0.119904463738	0.19580760481	0.0613540583438	0.0870777027027	0.0954922550328	0.0848034664191	0.257797599836	0.0358675659105	0.106242628107	0.069558944765	0.101684134841	0.0957942141821	0.216888104629	0.0771222180467	0.0839632515409	0.415216511534	0.276437484708	0.0281408025218	0.134546784963	0.0216276530079	0.0696388765047	0.0487885281029	0.0599186394712	0.0804351364549	0.176550930918	0.0625946078632	0.0651747047906	0.0831606481639	0.186010715449	0.0313532443505	0.123174406924	0.0489261357853	0.0633827403434	0.120724452942	0.023898671971	0.0852244255136	0.154546244506	0.132189680694	0.0574845679012	0.0764766087554	0.0542660918388	0.0240323735066	0.0690202067669	0.0750426492725	0.0791735995563	0.0350455777285	0.06417415022	0.230657517337	0.0543545611015	0.0770910788416	0.105087491899	0.197216003115	0.295482105656	0.0118323473044	0.100560715904	0.263037709066	0.0859513930053	0.0802807633253	0.258247168882	0.0670284072774	0.112336748388	0.0921717726693	0.059999642327	0.3795761079	0.151900821903	0.0709537376204	0.0274304953829	0.0277931005219	0.103200960995	0.0740214245824	0.0216310393353	0.0347611666902	0.308984600181	0.0766975411475	0.0336607082172	0.0955540666134	0.135486367154	0.0753125379294	0.0533437929006	0.0947037860344	0.0451897166994	0.027909684697	0.0439705779985	0.0916642897889	0.036363046581	0.0397645936059	0.118711605512	0.112318173449	0.0750953751422	0.194684698852	0.129326319565	0.155875051717	0.140431067825	0.0728520943167	0.0903209204867	0.0652608847534	0.0738052415211	0.0210652907631	0.0729786952494	0.0977476977699	0.153906133967	0.0380858031316	0.0401528883285	0.112583502265	0.0569141840818	0.0657060292637	0.0734126692982	0.0165644861916	0.162603466115	0.148218569005	0.0519663392229	0.0564368218411	0.0540016293595	0.0255318174532	0.44774790427	0.0667827613546	0.0459384380185	0.0256045699778	0.177612938143	0.042894841665	0.0894493698327	0.116729311726	0.0512453438595	0.0707504746677	0.0979429278478	0.0997220859899	0.0576277455332	0.051297334314	0.149629222741	0.0919900115252	0.0290072258409	0.050059404536	0.0583561025744	0.109092605427	0.00567724565793	0.00702211327307	0.0601409025572	0.0191255489855	0.142178023782	0.210955599987	0.206123831459	0.0605716314575	0.0568573683992	0.0546670931286	0.0483905153	0.0958189444354	0.0387335743893	0.0262747300755	0.14906757084	0.0798570915333	0.0830975954738	0.0473872081456	0.0439802154424	0.094496751853	0.046654396629	0.0899771088193	0.0716900549115	0.0327028850145	0.0383757306844	0.0671716872818	0.077695097997	0.0460292966051	0.0662474765009	0.0975328480953	0.0979175067688	0.0681078713553	0.149647668077	0.168629943783	0.144799065334	0.166119309915	0.0948983791623	0.146005977449	0.0246620308383	0.0299870745368	0.0749850129887	0.0756141837105	0.0526564996942	0.0400798270414	0.130759584856	0.0707521722662	0.0289305571044	0.00963926421686	0.0443569061464	0.0427526454087	0.0602675374524	0.0739288237157	0.0277097564119	0.0266973578076	0.0208148703615	0.149334547053	0.101935685295	0.0271123539038	0.0276515868509	0.0678821442271	0.0614927962484	0.0785339105339	0.0535563780278	0.0482921676141	0.0418163684647	0.134891705167	0.045799710101	0.405535181502	0.049793702838	0.0402405040286	0.0521669996331	0.0545363482906	0.100058527449	0.0261093568223	0.0143901680149	0.0483022016818	0.0798339549994	0.074058947655	0.0489110737702	0.0530335628227	0.0625529384202	0.0696732866439	0.0276258205689	0.0358675058255	0.0641029500301	0.100478945077	0.0207629674306	0.0158655846858	0.0295351891598	0.104661278046	0.0264379624693	0.0578156563795	0.0399717617274	0.0356931840562	0.0448977119581	0.041118041118	0.0331418298355	0.0542644772766	0.0250197743641	0.032540300015	0.0421914667103	0.0291570948931	0.0565595673814	0.0417458468706	0.0546282245827	0.036672530663	0.0299276056761	0.0435398718383	0.0351841756873	0.0483905227181	0.0106508465168	0.02835311389	0.01948445282	0.0262013122191	0.0241535143278	0.0566682169641	0.0315931646016	0.0660258031875	0.0404139549771	0.0257858497156	0.0236148494236	0.0224661783011	0.0737174122948	0.029886196644	0.140690959003	0.0471093357572	0.0310730778262	0.0310177460943	0.0257491289199	0.0446844660194	0.0295974435914	0.0270284843828	0.0325558990004	0.0300459473257	0.0781330103236	0.067936559843	0.0502006584481	0.0276117760585	0.0565108966714	0.0773092734747	0.0400518721679
k__Bacteria;p__BRC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47322731432e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.89805216827e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
