	PD_whole_tree	chao1	observed_otus
CS.001	54.47855	797.0	797.0
CS.002	39.35174	513.0	513.0
CS.003	44.3423	536.0	536.0
CS.004	39.58489	589.0	589.0
CS.005	54.73971	759.0	759.0
CS.006	41.5562	568.0	568.0
CS.007	46.74312	670.0	670.0
CS.008	41.01584	533.0	533.0
CS.009	30.90624	466.0	466.0
CS.011	58.20547	813.0	813.0
CS.012	47.98704	660.0	660.0
CS.013	52.14899	738.0	738.0
CS.014	49.40998	643.0	643.0
CS.015	30.39867	391.0	391.0
CS.016	35.80656	491.0	491.0
CS.017	34.80498	452.0	452.0
CS.018	30.2561	401.0	401.0
CS.019	41.22288	580.0	580.0
CS.020	33.54397	479.0	479.0
CS.021	37.51767	550.0	550.0
CS.022	31.90366	421.0	421.0
CS.023	45.8762	666.0	666.0
CS.024	62.16503	909.0	909.0
CS.025	37.58273	475.0	475.0
CS.026	40.49171	489.0	489.0
CS.027	37.74718	460.0	460.0
CS.028	47.71604	629.0	629.0
CS.029	43.73362	613.0	613.0
CS.030	46.10678	628.0	628.0
CS.031	36.4305	476.0	476.0
CS.032	30.47974	380.0	380.0
CS.033	44.63807	612.0	612.0
CS.035	40.86591	513.0	513.0
CS.036	42.14937	585.0	585.0
CS.037	29.45431	426.0	426.0
CS.038	29.68368	380.0	380.0
CS.039	36.15756	480.0	480.0
CS.040	37.37385	457.0	457.0
CS.041	32.92202	449.0	449.0
CS.042	31.31256	409.0	409.0
CS.043	39.81997	577.0	577.0
CS.044	41.15378	597.0	597.0
CS.045	39.40285	579.0	579.0
CS.046	48.69456	714.0	714.0
CS.047	37.15278	531.0	531.0
CS.049	32.09699	410.0	410.0
CS.050	30.50036	365.0	365.0
CS.051	37.5265	571.0	571.0
CS.052	45.8961	616.0	616.0
CS.053	45.24783	667.0	667.0
CS.055	42.61021	668.0	668.0
CS.056	35.69283	509.0	509.0
CS.057	41.82753	578.0	578.0
CS.058	46.4969	643.0	643.0
CS.059	52.94049	734.0	734.0
CS.060	39.15599	555.0	555.0
CS.061	27.37799	353.0	353.0
CS.062	41.74871	584.0	584.0
CS.063	31.66878	400.0	400.0
CS.064	42.8223	581.0	581.0
CS.065	40.79863	643.0	643.0
CS.066	32.46411	381.0	381.0
CS.067	25.39024	337.0	337.0
CS.068	34.3855	494.0	494.0
CS.070	25.1718	318.0	318.0
CS.071	38.85782	555.0	555.0
