	PD_whole_tree	chao1	observed_otus
CS.001	35.20796	377.0	377.0
CS.002	30.51458	327.0	327.0
CS.003	32.66981	344.0	344.0
CS.004	23.99163	250.0	250.0
CS.005	38.52163	456.0	456.0
CS.006	30.45983	336.0	336.0
CS.007	28.74029	301.0	301.0
CS.008	30.01021	317.0	317.0
CS.009	21.93246	230.0	230.0
CS.010	20.26864	171.0	171.0
CS.011	35.92346	398.0	398.0
CS.012	32.53611	345.0	345.0
CS.013	37.26269	428.0	428.0
CS.014	36.05173	412.0	412.0
CS.015	23.13999	246.0	246.0
CS.016	26.75721	278.0	278.0
CS.017	26.05125	277.0	277.0
CS.018	20.95761	209.0	209.0
CS.019	28.07824	306.0	306.0
CS.020	23.02643	234.0	234.0
CS.021	25.52487	279.0	279.0
CS.022	24.92148	259.0	259.0
CS.023	32.77168	371.0	371.0
CS.024	38.81019	463.0	463.0
CS.025	27.99688	316.0	316.0
CS.026	31.40897	344.0	344.0
CS.027	29.60838	307.0	307.0
CS.028	35.22428	401.0	401.0
CS.029	29.26081	313.0	313.0
CS.030	34.97522	405.0	405.0
CS.031	24.9194	251.0	251.0
CS.032	23.45991	233.0	233.0
CS.033	32.95732	365.0	365.0
CS.035	30.69788	321.0	321.0
CS.036	25.99042	276.0	276.0
CS.037	19.9395	222.0	222.0
CS.038	22.62785	228.0	228.0
CS.039	26.73158	301.0	301.0
CS.040	28.68681	296.0	296.0
CS.041	23.79584	261.0	261.0
CS.042	21.05174	201.0	201.0
CS.043	27.33054	304.0	304.0
CS.044	28.26456	299.0	299.0
CS.045	25.9161	288.0	288.0
CS.046	31.45196	341.0	341.0
CS.047	24.41818	246.0	246.0
CS.049	24.21489	240.0	240.0
CS.050	25.08691	254.0	254.0
CS.051	20.71895	209.0	209.0
CS.052	33.31898	361.0	361.0
CS.053	32.55569	376.0	376.0
CS.055	24.91498	294.0	294.0
CS.056	22.51225	232.0	232.0
CS.057	28.35748	287.0	287.0
CS.058	29.51286	340.0	340.0
CS.059	31.41896	328.0	328.0
CS.060	27.36895	296.0	296.0
CS.061	18.53658	181.0	181.0
CS.062	31.11158	357.0	357.0
CS.063	23.59577	243.0	243.0
CS.064	29.33289	308.0	308.0
CS.065	24.8811	272.0	272.0
CS.066	24.83007	249.0	249.0
CS.067	16.1282	164.0	164.0
CS.068	21.84005	237.0	237.0
CS.070	17.21087	170.0	170.0
CS.071	26.04964	276.0	276.0
CS.072	39.86446	475.0	475.0
