	PD_whole_tree	chao1	observed_otus	shannon	simpson
L.025.M4	99.80871	950.227272727	665.0	6.61198697123	0.975584675903
CS.022	83.35447	671.105263158	404.0	5.82958733615	0.96435340122
CS.056	81.33027	589.157894737	406.0	6.2533323756	0.970481860072
CS.043	103.9755	881.774647887	530.0	6.7096943573	0.97909857873
CS.029	107.74048	767.444444444	479.0	6.57207229824	0.976735020395
CS.095	127.59598	970.5	621.0	6.96393314371	0.980841585827
CS.119	101.38147	975.475	577.0	6.79269621486	0.982048057649
CS.298	108.80283	907.690140845	540.0	6.45597301478	0.971719474848
CS.318	73.25725	686.382978723	395.0	6.04746750129	0.964876180178
CS.006	112.66608	1125.31521739	628.0	6.29110927898	0.961011679256
L.006.M1	102.41106	737.551724138	484.0	6.95317962564	0.985184912911
CS.099	125.50851	1073.9009901	659.0	6.09072257595	0.950392385664
CS.033	118.48504	1051.68493151	615.0	6.74043833293	0.977442504817
CS.171	102.67574	765.75	519.0	6.0803836175	0.944415946437
T.CS.018	102.57928	917.358490566	619.0	6.62862916382	0.975479396641
L.012.M1	108.57348	934.55	522.0	6.5285182744	0.978410840652
CS.140	105.9271	922.28358209	566.0	6.66408220904	0.977667169725
CS.114	104.07539	832.022727273	474.0	6.78109111928	0.981174913974
CS.366	56.40229	539.526315789	312.0	5.27691731284	0.93957157045
CS.325	40.85479	362.869565217	222.0	5.00675627422	0.939501284874
CS.115	78.49403	484.555555556	322.0	5.56410994356	0.96213548352
CS.343	65.62194	574.842105263	384.0	5.78556494779	0.959132457389
T.CS.070	109.91571	1000.625	639.0	6.71877365123	0.971583532353
CS.062	114.72461	1180.08045977	626.0	6.32254121505	0.969013369948
CS.161	83.84498	736.185185185	421.0	5.78592329819	0.961947147736
CS.142	85.71639	662.118644068	430.0	6.19689763223	0.971930513094
CS.012	127.81562	904.865853659	603.0	6.87270080664	0.980063945483
CS.170	105.10858	1026.79104478	551.0	6.30976572621	0.966599842859
CS.237	98.55	624.3	456.0	6.00592055107	0.958600304428
CS.190	109.05582	892.0	542.0	6.67378279463	0.977727718266
CS.053	108.2254	861.714285714	520.0	6.50992374783	0.971406580213
CS.104	106.00855	949.75	550.0	6.28937500681	0.967163359186
CS.380	112.85645	917.395604396	628.0	6.89146466941	0.981536377097
L.006.M3	138.27971	1021.75675676	709.0	6.75675727472	0.974146213707
T.CS.146	107.28408	947.643564356	627.0	6.65376284803	0.977239362516
CS.067	56.90625	359.275	238.0	5.00485897329	0.942444903421
CS.064	104.84744	961.525	469.0	6.50659596241	0.977163657391
CS.228	94.01445	711.058823529	436.0	5.98833140069	0.961592322912
L.007.M6	143.75654	1033.3592233	686.0	6.68140475823	0.968729440075
CS.003	132.0589	1035.66666667	647.0	6.61872482917	0.972749655768
CS.044	101.21304	1258.41891892	607.0	6.35332099865	0.971976488496
CS.286	83.50945	651.553191489	391.0	5.94791859981	0.966768561953
T.CS.013	102.44489	1008.16483516	615.0	6.05167540495	0.954985595411
L.025.M6	97.37562	958.78021978	614.0	6.43417705559	0.973086380857
CS.168	142.37482	1116.70512821	675.0	6.97975603547	0.975529170913
CS.079	74.4868	588.018518519	367.0	5.87151442539	0.963240176745
CS.233	117.26965	779.590909091	493.0	6.08468847317	0.965359868375
CS.360	91.63818	721.9	484.0	6.5830777086	0.980247315508
T.CS.139	139.39521	1094.60638298	685.0	6.90942813723	0.979893877985
L.004.M3	134.14319	868.989130435	657.0	7.02289258151	0.976118799609
CS.117	101.98037	987.245901639	521.0	6.18936897252	0.971088953197
CS.132	107.94616	689.553571429	490.0	6.81223624828	0.979912237029
CS.060	96.85794	829.471698113	454.0	6.14233782075	0.973141976605
T.CS.049	75.36903	678.678571429	413.0	5.89405164061	0.964712426843
CS.024	157.91648	1249.17346939	773.0	7.35356930997	0.98482120677
CS.055	83.20094	888.241935484	489.0	6.34945939807	0.972721287415
CS.194	50.9251	447.294117647	334.0	5.39063972531	0.947825996199
CS.275	84.19595	664.058823529	427.0	6.24179250087	0.97366998063
CS.018	71.42699	792.692307692	375.0	5.31368538709	0.930681034952
CS.013	145.95	1023.59550562	685.0	7.09154431607	0.97837291678
T.CS.065	106.29307	965.123809524	637.0	6.47432436172	0.96957094811
L.004.M5	123.57998	1062.10752688	657.0	6.46338555701	0.969031145547
CS.040	100.39927	835.48	523.0	6.04332167918	0.959796546529
T.CS.097	133.15912	1094.33018868	688.0	6.33603520789	0.962812252847
TFSCS028	124.33204	1040.024	732.0	6.6843081555	0.972744677044
CS.082	149.9353	1090.49450549	709.0	7.14293010762	0.981230859789
T.CS.042	136.07214	1133.24705882	677.0	6.87053811924	0.977546643121
CS.155	107.00846	761.968085106	546.0	6.84305111389	0.984293630605
CS.174	130.65743	1194.8778626	788.0	6.67436858461	0.970912908638
CS.014	141.99361	1086.34615385	658.0	6.71422012585	0.971966777391
L.012.M3	119.90671	843.8	535.0	6.80334694705	0.979728983692
CS.072	151.62218	1338.47286822	815.0	6.9888015328	0.979360973029
CS.030	131.53029	1104.15789474	693.0	6.89317227267	0.977946976592
CS.167	92.23748	1049.47887324	538.0	5.81812506887	0.953467408808
CS.075	91.82744	956.269230769	493.0	6.29064247	0.970309821829
CS.092	141.09869	896.514705882	595.0	7.16989600414	0.985001867021
CS.312	87.66382	725.2	442.0	6.38414099	0.976343646033
T.CS.043	99.08934	800.0	514.0	6.2925349337	0.970679323516
CS.106	118.32392	803.623376623	563.0	6.54835397135	0.973653644192
CS.042	81.37328	927.051724138	453.0	5.96489959204	0.969389159866
CS.347.0	76.868	640.254237288	391.0	5.84462387687	0.962155813308
CS.220	89.28669	827.029411765	495.0	5.90506550202	0.946495289661
CS.097	85.95201	631.328947368	431.0	5.92427747443	0.960266024619
CS.301	102.91221	775.904761905	539.0	6.61859001886	0.977802204641
CS.084	136.57709	879.469879518	630.0	7.26196668186	0.986142254065
CS.351	96.2765	900.563218391	557.0	6.48589938349	0.97727643067
CS.058	105.59644	979.87755102	506.0	6.44987618975	0.976305812919
CS.051	75.86154	565.8125	366.0	6.11724573664	0.971354679611
T.CS.148	140.00589	1122.75806452	739.0	6.29275022456	0.952879958303
CS.196	75.2469	527.960784314	361.0	5.68447322402	0.95395825392
T.CS.045	98.53896	817.835294118	537.0	5.67404460318	0.923314053744
T.CS.008	81.59316	810.569767442	533.0	5.78327977798	0.937412334269
T.CS.061	95.96123	987.447368421	568.0	6.44550332651	0.975789088816
CS.241	117.34304	1044.34579439	650.0	6.69580463061	0.979022277196
T.CS.004	105.35726	988.11	633.0	6.52080142855	0.976459556945
T.CS.069	118.9846	1037.56	669.0	6.78209707029	0.97647808454
CS.045	99.68913	932.075949367	566.0	6.72942077317	0.981045959843
