	chao1	observed_otus	shannon	simpson
T.CS.151	249.75	178.0	4.77475444046	0.91458000554
CS.071	273.619047619	208.0	5.38581162622	0.952639246537
CS.064	298.153846154	222.0	5.82350965067	0.970715778393
CS.218	297.047619048	258.0	5.89492500749	0.965029529086
CS.174	257.285714286	217.0	5.34981530063	0.945811146814
T.CS.140	272.5	199.0	4.96418509106	0.922397867036
CS.074	240.4375	184.0	4.71405793741	0.889059745152
CS.012	287.647058824	237.0	5.8845221641	0.96750401662
T.CS.139	299.75	263.0	5.65057816355	0.949432559557
CS.312	209.3125	189.0	5.72519558489	0.965433711911
T.CS.141	217.882352941	172.0	4.61701433983	0.921245185596
IMP000.L.T26	272.333333333	204.0	5.45742164836	0.956275567867
CS.138	215.230769231	184.0	5.23178181911	0.940071257618
CS.290	233.5625	166.0	4.88107023103	0.925241373961
CS.047	239.615384615	160.0	5.0499456856	0.947787905817
CS.006	270.4375	214.0	4.97076704602	0.915223180055
T.CS.003	299.12	233.0	5.21020655496	0.941869290859
CS.042	214.157894737	171.0	4.95042491025	0.928364797784
T.CS.133	395.037037037	295.0	6.11920799288	0.974486842105
CS.080	251.965517241	208.0	4.94720238212	0.938951484765
CS.139	175.555555556	148.0	4.764055456	0.927898288089
IMP000.L.T04	234.583333333	185.0	5.53819873345	0.961286415512
CS.137	243.0	200.0	5.34372107007	0.957391700831
CS.346	244.461538462	175.0	4.71346126306	0.928162022161
TFSCS028	293.142857143	225.0	5.36515396678	0.940436908587
CS.300	240.0	201.0	5.51498830983	0.962105584488
CS.365	263.055555556	203.0	4.95907297396	0.905706565097
CS.119	253.3	183.0	5.47587779714	0.95802268144
T.CS.047	292.176470588	223.0	5.78206866777	0.963654725762
CS.388	179.555555556	152.0	4.90741462908	0.945094587258
CS.318	226.05	183.0	5.34372500628	0.952838936288
L.007.M5	272.12	244.0	5.88483510597	0.964935606648
CS.001	287.416666667	248.0	6.03767218041	0.97348300277
T.CS.067	232.5	198.0	4.32134214814	0.87823800554
CS.015	196.272727273	154.0	4.26974273752	0.889624072022
CS.136	275.434782609	238.0	5.79443947544	0.96680668144
CS.094	171.0	125.0	4.10561602742	0.870880382271
L.025.M6	284.714285714	214.0	5.26503679505	0.948679867036
L.005.M2	229.9	211.0	5.41740452279	0.940939728532
T.CS.081	269.928571429	196.0	4.92604455776	0.925247385042
T.CS.136	233.275862069	205.0	4.51415740272	0.877651867036
CS.025	248.303030303	227.0	5.38948946845	0.940498703601
CS.167	224.0	159.0	4.47202100121	0.893540963989
T.CS.146	257.111111111	179.0	5.26739669973	0.946788310249
CS.023	326.8125	234.0	5.34206527302	0.930991285319
IMP000.L.T19	269.954545455	212.0	5.40158148766	0.95367268144
CS.382	211.0	182.0	5.66978114189	0.964852592798
CS.063	231.888888889	200.0	5.50128970972	0.954064199446
IMP000.L.T39	246.875	211.0	5.54993839781	0.959348542936
CS.230	185.461538462	152.0	5.01421905009	0.934684792244
CS.213	184.333333333	155.0	5.26087053805	0.957585944598
CS.083	389.088235294	326.0	6.10608433854	0.971995274238
CS.360	249.4	208.0	5.79218927992	0.970062138504
CS.302	221.75	158.0	4.8729562968	0.945114
L.004.M5	242.176470588	213.0	5.24305887334	0.937543385042
IMP000.L.T18	277.0	222.0	5.64865984718	0.958998736842
L.008.M1	294.0	195.0	4.78043985196	0.926937855956
CS.282	230.75	179.0	5.05871788072	0.947125368421
CS.068	203.615384615	163.0	4.71758805153	0.929295878116
CS.175	203.533333333	172.0	4.33226578838	0.915634493075
T.CS.145	188.588235294	163.0	4.65924013918	0.900962238227
CS.238	255.0	216.0	5.54404843566	0.95154401662
CS.075	230.615384615	190.0	5.33613657977	0.942923700831
CS.003	300.111111111	251.0	5.32776933331	0.933663235457
CS.111	275.052631579	234.0	5.44945705838	0.95379899723
CS.055	249.333333333	181.0	5.24928640792	0.945260077562
CS.132	244.117647059	225.0	5.83901945869	0.965801401662
T.CS.147	306.058823529	234.0	5.61179246495	0.950303418283
CS.260	236.05	193.0	5.29514848564	0.951969734072
CS.130	299.272727273	239.0	5.52217103206	0.952575584488
CS.065	239.647058824	184.0	5.2638053822	0.949330642659
CS.099	297.103448276	244.0	4.67552265884	0.869668875346
CS.239	307.75	264.0	5.8596472742	0.958832072022
CS.321	214.272727273	177.0	4.42310417559	0.87964201662
CS.190	265.666666667	211.0	5.64646465116	0.958342354571
CS.232	339.4375	298.0	6.13088400946	0.969082570637
CS.143	272.4375	216.0	5.69642384995	0.961945728532
CS.163	265.913043478	206.0	4.95481686001	0.942163185596
CS.188	235.5	171.0	5.027761521	0.939891617729
T.CS.143	267.894736842	206.0	4.98741413214	0.922319296399
L.006.M2	273.368421053	214.0	5.38565281006	0.956401296399
CS.061	139.090909091	114.0	4.09790370231	0.87636200554
CS.248	287.8	229.0	6.05093463604	0.974960393352
CS.159	266.130434783	225.0	5.28673045983	0.942497878116
IMP000.L.T05	240.058823529	203.0	5.55636295164	0.959323573407
IMP000.L.T36	289.75	218.0	5.56415011443	0.956835373961
CS.176	276.882352941	216.0	5.49834376143	0.950513506925
CS.217	313.5625	237.0	5.57270765413	0.945878847645
CS.104	257.666666667	203.0	5.1177691577	0.935948249307
CS.333	310.6	193.0	5.53729820662	0.962693900277
L.007.M1	244.157894737	201.0	4.9488513151	0.919483861496
CS.036	290.105263158	223.0	5.78717222401	0.967786797784
T.CS.089	300.111111111	241.0	5.50018016593	0.95060566759
CS.295	270.217391304	208.0	4.86317650112	0.90664134072
CS.112	223.0	190.0	5.2219926841	0.941665595568
CS.169	314.652173913	257.0	5.14739476042	0.897454897507
T.CS.144	283.4	205.0	5.17862047866	0.940525745152
IMP000.L.T06	308.136363636	233.0	5.79705371298	0.964400781163
CS.109	300.027777778	270.0	5.67066693724	0.951536825485
CS.007	259.894736842	198.0	4.81777003221	0.898883141274
CS.366	185.375	146.0	4.67065133054	0.927123789474
CS.301	270.789473684	221.0	5.67841030124	0.963019844875
IMP000.L.T03	278.0	194.0	5.37590011123	0.951261041551
CS.233	333.09375	274.0	5.45684697413	0.955448022161
IMP000.L.T17	232.636363636	204.0	5.49526212642	0.95901798892
CS.165	207.0	174.0	5.18119194711	0.952384947368
CS.198	235.5	203.0	5.05175517283	0.934153240997
CS.297	226.9375	183.0	4.81375932135	0.909044193906
L.008.M6	262.894736842	201.0	5.39363468856	0.94925133518
CS.322	247.352941176	181.0	5.22653839841	0.952655761773
IMP000.L.T27	264.555555556	212.0	5.30996561803	0.953265152355
CS.259	256.473684211	202.0	4.91686998052	0.921393157895
L.011.M1	274.214285714	197.0	5.20239070176	0.943381850416
CS.293	248.166666667	198.0	4.95130166281	0.925890077562
CS.102	267.222222222	220.0	4.84318033993	0.901110094183
CS.044	216.64	187.0	4.77432192341	0.90774667036
CS.105	279.04	232.0	5.11944576725	0.92139965097
T.CS.097	299.714285714	229.0	5.11612839142	0.92817399446
