	T.CS.151	CS.071	CS.064	CS.218	CS.174	T.CS.140	CS.074	CS.012	T.CS.139	CS.312	T.CS.141	IMP000.L.T26	CS.138	CS.290	CS.047	CS.006	T.CS.003	CS.042	T.CS.133	CS.080	CS.139	IMP000.L.T04	CS.137	CS.346	TFSCS028	CS.300	CS.365	CS.119	T.CS.047	CS.388	CS.318	L.007.M5	CS.001	T.CS.067	CS.015	CS.136	CS.094	L.025.M6	L.005.M2	T.CS.081	T.CS.136	CS.025	CS.167	T.CS.146	CS.023	IMP000.L.T19	CS.382	CS.063	IMP000.L.T39	CS.230	CS.213	CS.083	CS.360	CS.302	L.004.M5	IMP000.L.T18	L.008.M1	CS.282	CS.068	CS.175	T.CS.145	CS.238	CS.075	CS.003	CS.111	CS.055	CS.132	T.CS.147	CS.260	CS.130	CS.065	CS.099	CS.239	CS.321	CS.190	CS.232	CS.143	CS.163	CS.188	T.CS.143	L.006.M2	CS.061	CS.248	CS.159	IMP000.L.T05	IMP000.L.T36	CS.176	CS.217	CS.104	CS.333	L.007.M1	CS.036	T.CS.089	CS.295	CS.112	CS.169	T.CS.144	IMP000.L.T06	CS.109	CS.007	CS.366	CS.301	IMP000.L.T03	CS.233	IMP000.L.T17	CS.165	CS.198	CS.297	L.008.M6	CS.322	IMP000.L.T27	CS.259	L.011.M1	CS.293	CS.102	CS.044	CS.105	T.CS.097	CS.030	CS.117	T.CS.084	CS.045	T.CS.094	CS.108	T.CS.007	L.008.M3	CS.347.0	CS.251	IMP000.L.T30	T.CS.069	L.025.M4	CS.013	CS.172	T.CS.014	CS.090	L.005.M3	CS.170	CS.110	L.004.M3	CS.062	L.005.M5	TFSCS026	T.CS.009	CS.079	TFSCS025	TFSCS027	T.CS.100	CS.140	CS.026	T.CS.013	CS.343	L.006.M3	CS.056	CS.019	T.CS.004	CS.098	CS.269	CS.011	CS.357	TFSCS020	CS.151	CS.298	T.CS.142	CS.379	CS.294	CS.193	CS.046	CS.308.0	CS.173	CS.005	CS.016	T.CS.135	TFSCS022	L.008.M5	L.025.M3	L.005.M4	T.CS.043	CS.325	CS.237	CS.358	T.CS.148	CS.332	CS.050	T.CS.023	L.012.M5	IMP000.L.T20	L.007.M2	CS.220	L.004.M6	T.CS.087	L.006.M6	CS.142	CS.008	CS.082	TFSCS023	CS.158	T.CS.092	CS.200	CS.155	CS.115	CS.328	CS.120	IMP000.L.T10	T.CS.030	IMP000.L.T37	CS.235	CS.031	CS.087	T.CS.138	IMP000.L.T28	CS.070	CS.073	CS.231	T.CS.042	CS.017	CS.101	IMP000.L.T40	CS.199	T.CS.018	CS.224	IMP000.L.T29	CS.305	CS.380	L.025.M5	CS.191	CS.072	T.CS.051	IMP000.L.T09	CS.156	CS.168	CS.035	CS.227	L.007.M6	CS.077	CS.021	CS.203	T.CS.065	CS.113	TFSCS029	T.CS.093	T.CS.099	CS.350	CS.284	CS.066	L.012.M1	L.008.M4	CS.053	T.CS.061	T.CS.020	CS.153	T.CS.137	CS.009	CS.014	L.006.M1	CS.118	CS.356	CS.076	L.025.M2	L.005.M1	CS.362	CS.078	CS.088	L.004.M4	CS.311	L.012.M2	CS.219	CS.022	CS.049	CS.029	CS.241	T.CS.045	CS.275	CS.093	CS.095	IMP000.L.T38	L.006.M5	CS.103	CS.249	IMP000.L.T02	CS.228	CS.033	CS.319	L.006.M4	L.008.M2	CS.240	CS.205	CS.274	CS.283	CS.334	CS.285	CS.097	CS.345.0	CS.161	T.CS.073	CS.052	CS.058	CS.114	T.CS.088	CS.096	T.CS.090	CS.339	CS.092	CS.171	CS.141	CS.091	L.004.M2	CS.286	T.CS.150	CS.351	CS.060	CS.040	CS.194	L.025.M1	CS.027	T.CS.070	L.005.M6	TFSCS024	CS.089	T.CS.049	T.CS.071	CS.341	CS.028	CS.229	CS.043	T.CS.134	CS.160	T.CS.008	CS.123	T.CS.096	T.CS.095	L.004.M1	CS.133	CS.124	L.007.M4	CS.024	CS.032	CS.085	CS.038	CS.018	CS.020	T.CS.098	CS.004	CS.236	CS.131	CS.196	L.012.M4	CS.296	L.012.M6	CS.037	CS.084	CS.122	CS.335	L.012.M3	CS.106	CS.057	T.CS.149	CS.164	CS.059	CS.086	CS.039	CS.247	CS.135	CS.010	CS.051	CS.154	CS.041	CS.292	CS.002	TFSCS021	CS.067	CS.222	CS.157
T.CS.151	0.0	0.68403940445	0.689598433987	0.473750301443	0.310592689929	0.306672220038	0.448406870464	0.588514483886	0.427643361687	0.701063134366	0.32542352042	0.675813702355	0.503885099968	0.750742049449	0.68147011507	0.438643512297	0.479594901076	0.521137157087	0.593837486389	0.626259061073	0.700893208994	0.739770148004	0.679909303562	0.841230782664	0.435414649197	0.60309101157	0.445302350313	0.627833708748	0.675183672892	0.733095924283	0.699668100691	0.577110143831	0.655918310528	0.387364380618	0.444907677856	0.704990871693	0.498627687721	0.481074670478	0.445747623539	0.373583153484	0.366504865746	0.670997617679	0.396873337735	0.429159687808	0.383912616608	0.730155148818	0.416442878719	0.804922559123	0.711419873627	0.855686668255	0.72113929037	0.618240905145	0.618410692282	0.768463541373	0.466780571601	0.699485036824	0.728348739889	0.696702314381	0.578320331227	0.78033602896	0.348713828619	0.471108168419	0.56860730869	0.383941080079	0.647116319664	0.65121226874	0.510867522689	0.358025371788	0.68652557469	0.442872075705	0.594170468926	0.378038488999	0.449498735141	0.414425702513	0.512645344944	0.475639747415	0.634140649747	0.737630768603	0.55618236116	0.447400947697	0.674442234094	0.381597100374	0.717778146245	0.441621395236	0.741337668935	0.714175545689	0.557837629173	0.490972728806	0.534235432486	0.649661650532	0.281270656934	0.809264367554	0.488877855659	0.438269570996	0.704990821402	0.420644210692	0.485583917494	0.718662995129	0.69138882205	0.427584376957	0.765213000332	0.626591543536	0.732335559764	0.725885175549	0.710303296524	0.570779760116	0.449924819464	0.355706429632	0.706315626904	0.72390561646	0.672273413083	0.403029527769	0.479659189852	0.36844837889	0.444299262512	0.391559573169	0.347231941563	0.406495333511	0.442714638443	0.350101608875	0.448980284325	0.523452697141	0.33318086895	0.819245280579	0.67268563055	0.777045868435	0.686545167654	0.452245999779	0.666226257292	0.536603791539	0.440536046865	0.480986072858	0.375761026962	0.703081647009	0.563746382048	0.491184691695	0.494921434351	0.690244336228	0.626071410643	0.346884226694	0.40818230968	0.540165994606	0.515804149579	0.748848663375	0.480165869826	0.515618714483	0.560115478049	0.707947761634	0.501587596886	0.402861658255	0.65498175626	0.570766326524	0.697262456386	0.392206310016	0.489876777132	0.496299113183	0.894187886965	0.72055396419	0.309743511119	0.534172920595	0.669005911062	0.6543665409	0.357849818542	0.733623883252	0.953098539252	0.679736681655	0.49578721715	0.845258926965	0.325519869021	0.423200480824	0.420979574793	0.689561076019	0.435976028274	0.720802797518	0.400314816492	0.430939503432	0.436414702018	0.827013698444	0.72966306842	0.7813640977	0.438026323973	0.437516745337	0.691122772805	0.812591125346	0.592865413021	0.75271953543	0.556708912511	0.408143989589	0.569550495312	0.407632613248	0.572634975133	0.685764599527	0.420321486176	0.498056408066	0.454434562296	0.677727748897	0.666499456032	0.619542145052	0.66592833121	0.897956066436	0.954268227809	0.456837596018	0.728184306462	0.536980491193	0.750481870916	0.480449011984	0.617482719052	0.440396227384	0.474133316154	0.70772095457	0.850815844529	0.484200742769	0.730091994816	0.35726934262	0.317732658391	0.390634780873	0.722186533489	0.636055847898	0.536569278846	0.774427270306	0.701911842107	0.372706230525	0.490464764376	0.509742016058	0.41996053564	0.42548740489	0.361062616473	0.725154466016	0.704643955154	0.523970405818	0.402650088246	0.781921039566	0.481598576983	0.477401918827	0.657299164263	0.409219562042	0.429791166549	0.35613022186	0.631808095592	0.460453698049	0.28855252312	0.48328165408	0.758018055936	0.326628035657	0.644485506785	0.700639065677	0.680274230853	0.526220471174	0.660358286134	0.460466342944	0.767354343195	0.717628035612	0.589121372536	0.626559234349	0.451821645057	0.808754119417	0.795128428927	0.483567673774	0.441442425209	0.799195106912	0.469755229816	0.463198161989	0.359228083504	0.397702045329	0.617603964486	0.721234927261	0.691383385773	0.560159917153	0.646133626798	0.417847658838	0.393983248553	0.706504654464	0.40879077388	0.467053015455	0.750075065391	0.458445922634	0.501099076398	0.751964533091	0.69032354261	0.681336030463	0.532653300575	0.712405051083	0.539812688367	0.725289274514	0.582686447842	0.693871860677	0.726795822314	0.742168851531	0.773969658793	0.807597954627	0.722733488933	0.889093777011	0.722211649236	0.395432804832	0.565935127748	0.62869974296	0.663408126636	0.513138354543	0.577756084389	0.391956123682	0.562406629895	0.614584877669	0.446982505047	0.479795494866	0.726104200208	0.335063505085	0.771431005001	0.346304927839	0.49679239463	0.607347428843	0.426381712907	0.748583556574	0.584351764341	0.415330952705	0.379482302851	0.367403759334	0.494491834274	0.439051550466	0.705173079251	0.408107642166	0.727304508343	0.513227548329	0.611617292015	0.593139857396	0.367507599975	0.487742283324	0.459496670102	0.455006715494	0.46967066045	0.358806247456	0.39409788083	0.419847869832	0.643244109209	0.567942187604	0.487833291531	0.730178511862	0.5690248891	0.453302485652	0.71540620272	0.527639742018	0.522084866915	0.705824990624	0.756937971355	0.608203809354	0.68591885094	0.626089966252	0.434923155896	0.698419233981	0.735736424756	0.594472796731	0.344614365272	0.804974724739	0.627242310603	0.692933829919	0.623712023734	0.790063012778	0.958091701644	0.499163051312	0.42776962335	0.471084342177	0.630907071104	0.769587201938	0.578008346308	0.665768321217	0.853674553954	0.745779956301	0.687277898709	0.659304336792	0.538329592419	0.864436992498	0.811016823291	0.736236868321
CS.071	0.68403940445	0.0	0.664397846762	0.535347349261	0.629370944922	0.65292454357	0.614060316763	0.615082904114	0.661896956103	0.507191425977	0.674393551921	0.502518613304	0.540073618355	0.609045703355	0.563940460698	0.586880704042	0.6587969121	0.550663362037	0.684781254601	0.450316840179	0.618478901866	0.575906756797	0.670642459591	0.609738320681	0.633712706032	0.477494759066	0.540467707231	0.532397508209	0.430742703541	0.747745572255	0.535978035776	0.726078041729	0.64608293281	0.65618037311	0.608005677753	0.50666279596	0.626593282539	0.620934651995	0.697798352337	0.607053123922	0.701489811418	0.518888712265	0.577840746878	0.592500681527	0.545348323607	0.5455430233	0.525756862238	0.625856825034	0.554388255206	0.733303778936	0.582067806097	0.645049265252	0.441237879016	0.635963590591	0.698366923682	0.50584889888	0.531185707336	0.59178127745	0.543908105374	0.749689458738	0.68521124691	0.575309846075	0.586203947103	0.608295077594	0.547644471838	0.426463565473	0.566105386398	0.648447296503	0.546530514838	0.606498685756	0.550505382459	0.654384576927	0.552809787283	0.644188385561	0.607151800907	0.524658150795	0.563241911769	0.662571541981	0.59539433927	0.618567475621	0.705655083131	0.620447855104	0.540774292021	0.596071310377	0.573987432736	0.490475458361	0.520261157225	0.720532099164	0.531848792855	0.526759488681	0.624306573763	0.670173799688	0.588836754285	0.530287650172	0.662490440446	0.62631286369	0.67272966595	0.52619364194	0.634798719011	0.631513816215	0.585623832106	0.521679264645	0.527684449921	0.790724664672	0.527424047115	0.625851372683	0.633377806877	0.597019980623	0.52513247224	0.55150370777	0.493521121045	0.679242596328	0.534589230088	0.712175934073	0.687187307954	0.643233008838	0.592790604193	0.692822957082	0.550233812312	0.612409381612	0.579536514799	0.522908977224	0.700650905623	0.776326356733	0.54802783122	0.712873817887	0.561763075984	0.552962486856	0.526254450569	0.511929672585	0.624516471593	0.527962246537	0.526661773759	0.64849324773	0.564546746722	0.708458533847	0.554484212502	0.489750655741	0.725080097981	0.52488833474	0.65297530114	0.567568359531	0.685395393439	0.585378733746	0.625554646913	0.678238299825	0.723937106436	0.51567390324	0.49522997601	0.663912755217	0.601005254291	0.714739808265	0.550316706356	0.593505974872	0.595906995058	0.608776665797	0.732242774975	0.687064674775	0.62940570374	0.659443229962	0.619042070414	0.507914627692	0.684065064574	0.686739782176	0.855346068206	0.57227157165	0.586730191796	0.706393594426	0.632575142364	0.550743430971	0.593396914011	0.586712839565	0.677008338446	0.589194427016	0.60525424685	0.726660291175	0.633149734657	0.721211121325	0.485090880523	0.737881767443	0.739065442977	0.597721792466	0.552977662765	0.883212591286	0.729685391862	0.57680022438	0.664226959194	0.644910902332	0.686195395448	0.618383606083	0.650966805496	0.51447914426	0.566340407369	0.475429291061	0.585151442794	0.48483841403	0.767741936002	0.561641580419	0.566290616646	0.787594978787	0.853614442093	0.602357215767	0.538385130838	0.544472020474	0.573572379005	0.50620013743	0.635189001299	0.651471354994	0.650465614774	0.520473986213	0.716745607518	0.54873710331	0.581485353591	0.64368613499	0.613841641589	0.617998181405	0.508959491177	0.585425204525	0.661169964239	0.721063279665	0.49599224059	0.665210545549	0.575948715225	0.588161877718	0.682357490554	0.586562105282	0.711540547786	0.523772246171	0.540459910711	0.600289322987	0.640009322625	0.56185945309	0.718910826181	0.552038079528	0.470331329247	0.666099768683	0.563592060486	0.629949522761	0.651944591879	0.693399106295	0.675087057431	0.631519852195	0.555721211675	0.63209973306	0.69748489786	0.58807785601	0.497564091825	0.656833417483	0.764730861771	0.585206703112	0.818286353621	0.508737288255	0.45458090913	0.608735091397	0.589658679242	0.800095337114	0.652700331571	0.640294150803	0.66140569004	0.612478958978	0.584947797205	0.65711205087	0.632206933524	0.535190716904	0.654031004436	0.679553142066	0.500756726028	0.631873235822	0.569875079645	0.662589196257	0.667113446342	0.524185806853	0.680863399702	0.620939939906	0.593348971007	0.606298569332	0.497555588023	0.629926233209	0.507063409953	0.567541488944	0.496987838817	0.652007316818	0.7240967089	0.643545239556	0.634563146805	0.521251612608	0.586028946769	0.646250986954	0.594232374988	0.601480002295	0.486048634268	0.744334590211	0.588007437703	0.676822367491	0.53425624855	0.538692856976	0.662575164729	0.674423805261	0.413820677496	0.658214170518	0.676571140579	0.637438246099	0.665921507464	0.672025108069	0.517122645405	0.715044960561	0.561835438274	0.692389676291	0.565171947779	0.644697290357	0.665513506471	0.658559141089	0.681534253658	0.676813193641	0.607606008129	0.730175223958	0.62411765135	0.614594649161	0.583501090046	0.570614656064	0.616246533627	0.566371959881	0.611146201905	0.613534376674	0.732054238961	0.5538868014	0.643211901513	0.693388983135	0.754584851148	0.689836456905	0.5767342756	0.565744247984	0.617470349147	0.695901874772	0.610310809459	0.682069767885	0.525624777233	0.631125668554	0.533109456305	0.609702388044	0.680796630248	0.527393931628	0.609483732181	0.499013991651	0.741362539777	0.750277230114	0.637839017734	0.710160215288	0.662414692943	0.594563414321	0.597877549338	0.68566416024	0.706988720506	0.589791084085	0.643482642066	0.865837682598	0.924262051161	0.612796816938	0.504251817136	0.600863477524	0.658656170494	0.642940947346	0.679408860177	0.601563254071	0.781420590133	0.624942031786	0.503312151311	0.529595067004	0.638791283177	0.733575648541	0.648496304702	0.650728293443
CS.064	0.689598433987	0.664397846762	0.0	0.589833403441	0.654917163324	0.631416382355	0.573382143107	0.536235483522	0.659327686894	0.666076334189	0.684984991625	0.694489678378	0.536511624285	0.736246571131	0.598211867426	0.640903115835	0.6767008774	0.536657350262	0.535477709895	0.646080121942	0.734482167128	0.796750230016	0.479805009712	0.724299647238	0.522754227509	0.666376918035	0.56506712005	0.52522255532	0.714718262362	0.733149788576	0.671366003196	0.625431306109	0.582182903248	0.626657355729	0.690387555446	0.594146461983	0.680566591865	0.671819484773	0.675761455933	0.581339154572	0.735864411796	0.562801698977	0.647735769642	0.615817603378	0.565345193928	0.740116848453	0.524583451334	0.604247145609	0.740741398491	0.761147718465	0.68028048315	0.612712169916	0.642068151156	0.749719246933	0.672530393781	0.696993591161	0.689696186409	0.711248556365	0.665776272213	0.713073573393	0.745031876533	0.634253526854	0.595730618637	0.554711184367	0.636501598085	0.631519048079	0.594102030981	0.630030404108	0.695817866469	0.63895333196	0.545982885694	0.656939201794	0.587572128597	0.660031927612	0.632360247307	0.555970081644	0.546759168687	0.670894694638	0.607435137038	0.663108903446	0.58293817977	0.583694962099	0.68019810814	0.623336315107	0.77103747862	0.634404694832	0.597959448917	0.639422656796	0.573331586852	0.678527241297	0.639175337689	0.595770747721	0.63793503601	0.638739817375	0.717017472256	0.572017095789	0.580000405042	0.714665842934	0.618093882424	0.608688704666	0.722473152083	0.651572026279	0.756836826296	0.741563462171	0.781012316788	0.688420058569	0.602309672619	0.663980461984	0.724786372975	0.717952382624	0.693299004228	0.64357061361	0.614894328412	0.728292662334	0.672278568064	0.574644178589	0.518459950878	0.623213405723	0.488762359987	0.568629873834	0.590409262773	0.491196478109	0.701887975442	0.692259033561	0.662516817136	0.741647772338	0.731362745088	0.644623783966	0.733899022853	0.555671491362	0.660428987926	0.523446794928	0.61388057263	0.577916973737	0.688250219911	0.604937227058	0.554783120959	0.732566669588	0.593166224239	0.606905464464	0.676052865553	0.599389158338	0.715849006641	0.699450601367	0.591286429807	0.662668177616	0.556522076586	0.67986833196	0.541993687123	0.637554552605	0.725813174892	0.600395861739	0.652154104697	0.592757041791	0.599915880346	0.538293241456	0.785989197512	0.606890289982	0.638602390939	0.574073870717	0.519505024483	0.545602595928	0.668909954804	0.743309065193	0.834563530103	0.652446608965	0.622496314327	0.769002563342	0.659271417655	0.538130286078	0.61504804197	0.737276828333	0.598263218435	0.716230081375	0.609530536639	0.617118733418	0.658984689191	0.822795269322	0.7250946713	0.811540890437	0.684584543736	0.617423141039	0.677295370153	0.848376749443	0.580860600451	0.753150718665	0.60416072832	0.689331051409	0.65427418968	0.612788103447	0.603949370807	0.712278370248	0.591786238986	0.525793795758	0.56674088369	0.630762676313	0.705489862366	0.580910740696	0.586220290943	0.811041032497	0.882643366032	0.609254657098	0.773791262837	0.651055714049	0.799506850764	0.518784091773	0.546678672272	0.646088890221	0.625125166801	0.668252653119	0.778229691576	0.508582098221	0.61356106489	0.609333827054	0.641702024905	0.631937108335	0.737962714727	0.588268723455	0.648161220941	0.822234242758	0.655856014703	0.642031547263	0.597868459007	0.578020398994	0.63278908125	0.519167373624	0.650767936712	0.757033436132	0.681880605732	0.537761739376	0.599908380201	0.799649122985	0.634107714607	0.624294630062	0.636650626761	0.658868825301	0.67824971086	0.610800861623	0.571310703287	0.647730241494	0.692607217275	0.621498061903	0.677673389407	0.640203327216	0.599029314315	0.741386339593	0.596695306277	0.619395707244	0.568597933721	0.57459694095	0.636770898255	0.723142911505	0.566345401952	0.572235729004	0.611717940295	0.809308804435	0.726509502757	0.606519633842	0.698432323627	0.639053661388	0.578881739689	0.670263772281	0.594226448525	0.622625470332	0.557737187491	0.642326582623	0.716072907101	0.580561188293	0.507630337819	0.630768879967	0.623844288588	0.688372200796	0.636493354373	0.610510177165	0.798074659512	0.610422932411	0.608642114573	0.718526764483	0.70500941233	0.677690240026	0.572879145793	0.757316379614	0.708219683723	0.762810646356	0.650348662948	0.747308230394	0.740820636823	0.727381527292	0.791762275309	0.685764660125	0.659534661725	0.774419554376	0.728504510852	0.609403619149	0.619495481761	0.657972086934	0.547466136963	0.658574975488	0.570397120038	0.669960789029	0.712116685025	0.574564749402	0.596686004136	0.589255179555	0.701439076162	0.673719752129	0.702368044089	0.647182151676	0.626543279121	0.692593589857	0.581061997555	0.784090693632	0.66468861535	0.637096694548	0.619635431397	0.723902363393	0.618122335319	0.627104657727	0.719643144406	0.593384605796	0.710845425614	0.620083712391	0.652828281584	0.543162574705	0.6748433484	0.620169706445	0.65206056393	0.619381096817	0.652389604688	0.648818146756	0.632946053099	0.656056295126	0.671745455035	0.599536076161	0.54336655613	0.751953366152	0.524847474881	0.634742772403	0.660703908334	0.677532282882	0.647767195693	0.711967115259	0.632902261947	0.525725830261	0.758914722829	0.620237381651	0.652879390913	0.556925788706	0.756210851727	0.561738629753	0.629625451916	0.835590071399	0.632466099315	0.632569673875	0.629588575951	0.752409444705	0.904073293358	0.519684616203	0.581600845011	0.62940170155	0.629034685822	0.689344841396	0.621552569695	0.656073544715	0.8619438787	0.741844208786	0.664244641174	0.661896071946	0.593526290766	0.830204360962	0.838474715648	0.806305747623
CS.218	0.473750301443	0.535347349261	0.589833403441	0.0	0.483963931399	0.499153745282	0.49436622891	0.576736232924	0.487544960551	0.544673719248	0.551364670515	0.605597301573	0.484100366365	0.698067698527	0.585976204052	0.540930516822	0.495337137933	0.530189802455	0.568273957429	0.594968695524	0.659309060498	0.66016800305	0.61754923684	0.745691821799	0.511473471522	0.449660137592	0.493295082386	0.487347867692	0.564206807767	0.64810877294	0.58669780193	0.582501285679	0.634251047307	0.543413369225	0.588478659829	0.557656150429	0.596863499971	0.497569727736	0.541714409441	0.491743073279	0.511511894929	0.550529493966	0.545941677908	0.477817741184	0.477020453743	0.622068175306	0.350781050371	0.679041898681	0.641019358107	0.753919556469	0.621697419153	0.581569021697	0.517137743308	0.71385444729	0.558818719104	0.610903017086	0.644565270012	0.571398077353	0.491748160706	0.738125798742	0.537955594459	0.484454610696	0.540710386329	0.513841903742	0.606064051066	0.534862148844	0.443664173743	0.506586242476	0.566061241339	0.513055844964	0.52989140703	0.53670739349	0.425326209848	0.539920232354	0.463775244088	0.381411740044	0.528634940316	0.625188950563	0.561827303815	0.459014250196	0.617739657363	0.554073647058	0.580000959153	0.49692460756	0.629757217713	0.624739678867	0.438406569447	0.518564414533	0.536217176098	0.514915198019	0.526150395358	0.657518186096	0.443837887562	0.518232857724	0.61755520105	0.473813629803	0.527215896694	0.608729955138	0.592397603304	0.503420396571	0.657069304141	0.559428274072	0.625791522928	0.653744851742	0.609078873352	0.315973391089	0.512890168317	0.487540168856	0.60863133965	0.60872825113	0.5846442141	0.574621164777	0.479654629607	0.596556410911	0.535478805215	0.461377756248	0.456024308108	0.556427911385	0.415666835423	0.421598403725	0.442354692393	0.462261417056	0.555505037304	0.772651005156	0.646893910697	0.732395180448	0.549169561237	0.501453489013	0.59734425055	0.43789062602	0.474752158638	0.373989398217	0.462803785001	0.663554081779	0.486038516893	0.560864449111	0.496173777226	0.550151293592	0.616025470697	0.459371922372	0.522423996653	0.506144667173	0.524950174184	0.630111808985	0.501487357134	0.550474150811	0.589994347325	0.575285787631	0.410845037402	0.465943393669	0.604829037395	0.566935832548	0.579000189926	0.491786061676	0.431378628191	0.385014789961	0.840833038166	0.686761082653	0.505916898589	0.548472160284	0.568556313672	0.592752622543	0.546383827522	0.668604902041	0.90198361289	0.579085320236	0.494575159782	0.74565614978	0.519981429648	0.446556458305	0.464442963454	0.611819567699	0.48905599221	0.60134069193	0.466924095407	0.535262930267	0.510207236972	0.787509940514	0.567260437258	0.69212959078	0.553177090423	0.468470751033	0.617946295509	0.740042691153	0.551339155551	0.667501094263	0.565271551359	0.550365359319	0.536182211727	0.520350194866	0.530987490056	0.609148118472	0.464060587692	0.378155368118	0.468248355967	0.501383424904	0.640448612666	0.443444955959	0.583623907687	0.798396921592	0.839714618759	0.427970695439	0.644320896518	0.480805499478	0.65361912837	0.454984426424	0.546977094503	0.573008129176	0.503617005046	0.626725679781	0.74552299302	0.450014505711	0.57443882057	0.476967838506	0.493600596936	0.520273796858	0.632035679334	0.546998356167	0.543796504508	0.729599642193	0.621950499866	0.476739717973	0.479602471121	0.460026828234	0.545087568785	0.418946626811	0.552500355124	0.627288892235	0.615784361311	0.484560390416	0.488760421888	0.637670555408	0.545264530404	0.55993472913	0.547889011711	0.526435106179	0.497735950809	0.528747353675	0.617944152114	0.545841519537	0.488432597289	0.542437372635	0.650007599436	0.504874306593	0.573403363361	0.584484140101	0.517451861225	0.503641268864	0.646822610074	0.441026293008	0.70230787131	0.571490410852	0.470932229793	0.563992112362	0.454132292823	0.728659483369	0.686041484225	0.530602151973	0.52093094919	0.675629834139	0.486514135079	0.578651480261	0.456019608295	0.51381160011	0.584913163652	0.691108993204	0.596534797854	0.577883699978	0.515650253965	0.539192497464	0.530268242212	0.590348725206	0.520064510618	0.505680681452	0.672637908968	0.473549552853	0.445957554799	0.674398040604	0.603929130205	0.569572207365	0.453518439877	0.60930715853	0.550384912781	0.65904850879	0.497156127068	0.632049400154	0.604864675862	0.65202338618	0.648487907544	0.705720900478	0.624249013432	0.790939688357	0.654508964627	0.48250115405	0.476331736773	0.484627439012	0.591627429186	0.501356784003	0.419400067604	0.535905658282	0.574253599588	0.565107873009	0.486880449618	0.529202543106	0.601346612596	0.514409567971	0.64142756955	0.546237135498	0.430826281557	0.538212532562	0.538968509114	0.656339147846	0.573787546997	0.525641111501	0.491893206545	0.538117230229	0.449960249804	0.457425908366	0.627693441803	0.487823263148	0.64959666567	0.420918929187	0.461175927202	0.495557659402	0.551413920928	0.494817044565	0.532393116951	0.578649790346	0.563813143946	0.529958304742	0.424284853808	0.527942151064	0.564882848175	0.575263755381	0.429309271459	0.693901891815	0.445949251848	0.527112522184	0.612699920854	0.491600748057	0.52555837794	0.599707814217	0.667421347194	0.446916167645	0.604750754396	0.567876448567	0.577165796978	0.598092507236	0.657196359967	0.486848850318	0.481376002489	0.692200493372	0.594391981954	0.548643827253	0.530422588535	0.7967773462	0.922578200587	0.46494768958	0.495942723237	0.458999621495	0.542988056862	0.614667276947	0.521631287791	0.567080929422	0.769690458149	0.655280116812	0.561892257819	0.54100296474	0.518833668462	0.786462511702	0.676063123052	0.580626410903
