V1	V2
CS.003	0.238269388884475	-0.557882466409228
CS.006	-1.30652465117695	-0.568076292284687
CS.019	-0.903392814476922	-1.86731502227628
CS.032	-3.53752043294637	-1.39962906007849
CS.043	-1.80322473778725	-1.60359562695503
CS.049	-2.22712462804455	-1.26327852148902
CS.050	-2.13537282349212	0.140845920803115
CS.061	-1.37203751939707	-0.00892043161304189
CS.075	0.214060562248549	-0.171355065500802
CS.095	-2.91384343596826	-2.83000714574511
CS.183	-4.14382145439943	3.56400076399825
L.006.M1	0.300066556516035	-0.689989299669691
L.008.M1	-1.80464767369141	-0.236457158957865
T.CS.180	-0.403932140227589	0.966013369577247
CS.033	1.0659048420794	-0.389426367785711
CS.037	-0.521810908330737	0.229196683155016
CS.072	-0.92328329028154	-0.544287656151278
CS.117	-4.68139543520121	-2.44054355046741
CS.120	-2.30883229129861	-1.55860201893946
CS.145	-5.08423666827373	2.40736038110805
CS.165	-2.16664318246883	-1.52476707123459
CS.172	-2.04113360020824	-0.582062994330311
CS.199	-1.27399724870462	-0.580078962946912
CS.203	-3.65559885940303	0.651497660767881
CS.212	-1.97360543050685	-1.82343834728591
CS.214	-3.76243289730762	1.56908991830724
CS.218	-0.653738195079805	-1.11758370123275
CS.263	-3.17785913215468	-1.17940791581146
CS.264	-3.49058921234183	1.06988797872103
CS.278	-3.35616186278403	-2.13960890710218
CS.297	-1.52166019690118	-1.53110540980377
CS.311	-1.88275543948607	-2.43132985335075
CS.350	1.21239435416048	-0.849361432961594
CS.351	-2.77907925465848	-2.47877843396775
CS.388	-2.32293661833683	-1.11090788153016
CS.395	-4.14851850442925	-0.383732427879282
T.CS.111	2.76514646325776	0.425753095310181
CS.177	-3.18473717793258	-0.12165144559669
CS.186	-4.84649618639139	-0.89461925110098
CS.243	-0.305535557879931	0.0205700754425457
CS.265	-1.6861135179763	-0.261637149142216
CS.270	-3.2644649677517	1.38684534053535
CS.280	-4.09949777100312	-0.455030995422478
CS.305	-1.10694349608067	-1.49027014194613
CS.323	-2.91561471104632	3.2389921820127
CS.332	-1.89418799349769	-1.74872376088899
T.CS.116	1.67181956840014	-0.572458765256214
T.CS.119	-0.0716730164132196	-0.277211154057759
T.CS.163	-0.383793242599612	-1.02170019117659
CS.029	-3.53028264211591	0.38523108651859
CS.096	1.16153283597231	-0.308871111916051
CS.101	-0.122661272172439	-0.572209533324394
CS.115	-4.42424162100207	-1.32382062204319
CS.182	-4.53366701385706	2.04265977819353
CS.349	-3.65396144503164	0.368874363736111
CS.389	-4.49364770734293	-1.2572214066248
CS.390	-4.45096886691619	4.22868876322842
CS.391	-4.33577025124541	3.03896522353432
CS.393	-4.43871165838597	2.38621922609505
T.CS.093	-1.01937665619183	1.17569325337414
T.CS.162	0.828379493495885	-0.00532981203102144
T.CS.019	2.11035009201301	0.64792014366463
CS.086	-1.62763639301583	1.28049227726211
CS.166	-5.21911320997176	2.55970546069434
CS.233	-2.39424533557838	2.13692960417825
CS.283	-3.86405444399497	2.13213038368268
CS.372	-4.13649692542289	-1.12152829438101
CS.377	-4.24517834166684	3.034311651019
L.004.M1	-1.24419786514601	2.18007536037862
T.CS.025	0.840632913576635	-0.43883834391064
T.CS.096	-0.00487009704827983	0.713712538285242
CS.181	-4.60512225822596	0.526622033986441
CS.255	-1.90311401307993	-0.0771046654275583
CS.275	-2.53709999573016	-1.47790101294704
CS.385	-1.67921440066209	-0.694579364273665
CS.386	-4.7742599385807	2.03353712341295
CS.370	-3.69917199289222	1.27595219631323
CS.228	-3.89008770154864	-0.415821597064867
CS.256	-2.72806632521151	-0.0999920571782439
CS.359	-4.1594955273986	2.87627152762466
CS.158	-3.87731730990369	-2.04926836548884
CS.223	-4.90167124740616	0.215079082143987
CS.308.0	-1.75351566670769	0.0284282839947071
CS.326	-2.8702622848813	0.407648945043691
CS.369	-4.4610501654388	0.626467832807397
CS.252	-3.89317215254714	1.75012950997777
