#Taxonomy	CS.079	CS.145	CS.146	CS.165	CS.166	CS.177	CS.178	CS.181	CS.222	CS.248	CS.249	CS.255	CS.256	CS.262	CS.268	CS.275	CS.290	CS.308.0	CS.311	CS.312	CS.325	CS.326	CS.335	CS.358	CS.360	CS.369	CS.370	CS.391	CS.393	L.002.M1	L.002.M6.0	L.003.M1	L.003.M6	L.022.M1	L.022.M6	L.024.M1	L.024.M6	L.031.M1	L.031.M6	L.034.M6	T.CS.008	T.CS.018	T.CS.030	T.CS.042	T.CS.051	T.CS.061	T.CS.065	T.CS.069	T.CS.070	T.CS.071	T.CS.073	T.CS.081	T.CS.084	T.CS.087	T.CS.089
k__Archaea;p__Euryarchaeota	-3.62692522888212	-0.410173733016581	-4.67922690387096	-6.35177545441507	2.30320166886663	-2.46714732536941	5.6505066061524	-3.99820540509085	-7.72253548259299	-7.26761660659554	-4.25799425051285	0.628301748087991	-5.17088394126751	-1.27045820841523	-4.14467109535299	-5.4483417513217	-5.70429847078996	-4.7880763670852	-1.75478634493156	-6.15172398370136	-9.01329458803667	-1.06115424526748	-11.6126879260266	-6.66048626564494	-6.97497392294428	-2.51487974846786	-2.9350036795879	-5.63565863748952	-1.14029007723735	-1.42845306586215	-5.08851196128106	-5.73237251538954	-3.49341184820204	3.11018705931393	3.66350817782771	-0.0611526133840875	-2.7962645142686	3.67676331110197	3.96335757703432	-0.948091796571132	-1.2787629824496	-7.42014535254562	-6.09112145305159	3.0306704707386	0.28983905308961	-6.74601136541138	-0.801315543394873	-5.6611290984133	-6.27897729292908	-5.82013368159331	-5.29371242010275	-2.66282815880056	-2.81724441891732	-2.29165681040974	-0.822927339825957
k__Bacteria	3.42785651174317	3.06073828126094	3.47412285412793	3.92727321440571	3.81183986895135	3.74337242714417	2.91377203358973	3.79437942371779	3.46887060028363	3.06153089170929	4.20718358137826	3.89708690661931	4.58169350842876	3.98504654728623	4.54265057082146	3.74683422013471	3.72031698885687	2.95410861729077	3.60723586200547	4.20181987678656	4.45540274012274	3.60657640384956	5.93252260968212	4.5678629157634	4.89693398411698	4.12401521230308	5.22603824027309	5.09320977156092	2.28023157725121	3.3178583730646	2.93635018900535	2.930783908722	3.36357631372644	1.37113070289359	2.45967173868795	2.59415224370576	3.83676147859443	0.487147409114206	1.97559677194786	2.75931721019219	3.80306964806604	3.68379830815484	3.25908965560987	2.19342518034003	2.79796794319895	4.3806409465275	2.96159309825675	3.7247200571241	3.62526677610808	3.65745648961778	3.52416601214949	4.20999055030068	4.23509809847325	3.2836156569438	3.42193195654756
k__Bacteria;p__Actinobacteria	5.3787252704381	4.30954924692604	6.35767685952797	4.57961840664732	3.05545575076116	6.84925611541633	3.59274536743243	4.29609420376639	4.30946249988114	4.77544887197376	5.46580256729449	4.09792270197734	7.42494778254921	3.77823161794412	6.14819573641994	4.54546628041447	4.70788860496037	3.65495885092727	4.23695594138109	4.84368602845794	5.78955222836994	6.07069413406446	4.06590883617445	5.57168343920373	3.4968771285308	5.2625462417532	2.81438930632035	3.33661488257707	4.86909973823069	7.08757436695642	6.35804931703802	3.73462850886796	5.85651653798119	2.02140201349763	1.43226565347361	3.08797817749461	3.47072517502053	3.92033494184302	6.06761954622869	3.41835610203231	1.8935271431816	2.1546937519747	3.8483298903995	2.6347663026099	2.52952283819762	3.24351664873995	2.24565487596719	3.03958777627713	3.5274067360751	2.71530980379783	2.40925676471219	3.67104336044845	2.94657426918294	1.67390696194644	3.60776075060608
k__Bacteria;p__Bacteroidetes	8.1977828134113	8.39674384823293	7.97240938265236	8.27646345026799	8.38591076934711	8.60371398277203	7.75980617975279	8.56471316975922	8.33391148566593	7.37947820748197	8.31956017470717	7.67568128724394	8.50955460936318	8.86620459111488	8.48717522666606	7.85502397977735	9.01838978726818	8.4703006321621	7.89337875792612	8.64125725197426	9.86498810734177	8.12505953955747	9.70879195522971	10.1677506108805	8.56089394534908	9.98181704361662	8.83095375019824	7.98770545696169	7.65383199851286	7.90114227381974	8.18391834018779	8.71178545307437	8.83045716622896	4.52251901615838	6.15075176958531	7.52275856407681	8.65847612793127	5.030844471904	4.3136160848561	7.51497725931742	9.16802673067666	8.3202680184656	8.56541240598379	7.20304154848875	7.92624238711821	9.04910412550642	7.36322611191642	8.64508342308245	8.59431765417972	8.15306936851367	8.79684844005896	9.42611967189837	8.720713235127	7.64409219958253	7.66688243283673
k__Bacteria;p__Cyanobacteria	-2.93377804832217	-1.9566537952982	-1.93838687994576	-1.75874229543585	-2.23462264024233	-2.8528098061814	-2.51379020782846	-1.91876386341101	-1.25155691191787	-2.49672304567742	-3.63895504210662	-1.87897193184691	-1.62992461723019	-1.42764379193764	-3.04605880668488	-2.58614087039223	-0.573375079749112	-1.18393814142636	-2.51692639697846	-1.52339787858971	-1.27388502494182	-3.57591385820516	-0.218691410517028	-2.62247052375234	-1.98886778464928	-1.88627108904549	-1.99673404099497	-1.7438383393789	-3.37795562413208	-1.24085445196735	-2.25529861722485	-1.97115196845091	-2.39479955953393	-4.33265177176261	-2.57984081051152	-4.2583545610459	-2.50858244181682	-4.04480019353356	-3.43636810662756	-1.78023785193773	-1.51056459650692	-1.74422045150567	-0.283003241191944	-2.542601254637	-2.00076984885772	-0.418107950779178	-2.57847621320178	-0.71695032631062	-0.949595797938686	-1.30010254503476	-1.6505702926272	-1.51014864886217	-1.78317065138678	-1.83967168666668	-2.30561354662091
k__Bacteria;p__Deferribacteres	-5.81540661972355	-6.03118190733487	-5.31710561745617	-5.37086088860994	-5.24443829139522	-5.13549568710813	-5.82342533348152	-5.25096837358622	-5.66430822319733	-5.81361507658103	-5.97758997793703	-5.8334420788322	-5.71427821118726	-4.96171151364899	-5.90985163999069	-5.84682890457667	-4.77387750937617	-6.3285934197624	-5.70485773197224	-5.25633617972815	-4.96937029403487	-6.21989500645306	-4.77718776088709	-4.70917672303574	-5.07776394030018	-4.5772437356462	-5.13222825692412	-5.74119920326506	-6.42610693331868	-5.28400767496171	-5.89143093611877	-5.32900552654012	-4.76092451930831	-5.81425631268683	-5.54072242315291	-5.00932421484906	-5.04128419935039	-7.28356049685937	-6.78876859389321	-5.9284424892799	-4.84565752135082	-5.39950883654251	-4.84394739334796	-5.80091187684624	-5.53260985474519	-4.73132954919815	-5.93930254150974	-4.69587962746744	-4.59870444933989	-4.78134263437045	-4.91777370921869	-4.90786121551125	-5.42891338742664	-5.63877508577047	-5.93133686770652
k__Bacteria;p__Elusimicrobia	-6.40304121674596	-5.63088955666213	-5.70194615869815	-5.91707861344531	-6.74295282267692	-5.4736478995348	-5.6143294875932	-5.59707261351943	-6.54331033638582	-6.44254041563665	-6.61729320473659	-5.94309954442383	-6.1256754140401	-5.16244476272157	-6.28138115013303	-6.37915846769028	-5.03217741470368	-6.58991624197855	-5.46057687491158	-5.24329515345099	-4.74968190036518	-6.80296205651563	-4.87874718853913	-5.25718364005338	-5.55838699820026	-4.65742467595373	-5.20490969147834	-7.24309652424285	-6.85451757755563	-5.21000417431077	-5.54911260013251	-4.69056016216319	-4.7805562986617	-5.12110913212688	-5.1188146815698	-6.47690309859456	-4.82886357473722	-7.59136629626267	-6.9586521449295	-5.41723795810929	-4.27549513320959	-5.31861284892043	-4.65691678057755	-2.07997773268888	-5.37687919136634	-4.79458781716069	-5.59621423880017	-4.57976286344387	-1.27728320500417	-1.28483507290397	-5.13331100021729	-4.09683825128169	-5.30056722662649	-5.41558790168357	-6.03157515360277
k__Bacteria;p__Firmicutes	7.98110829756581	7.6258507709264	8.58923654831374	8.82000462687563	8.67805499484975	8.74402526948689	8.04013598671669	8.50850449523269	7.9254132210787	7.44201413497814	7.52179194804536	8.36210407084695	8.8756042016802	9.22500872245484	8.03760785486816	8.31970973118137	9.18582053546042	6.82374149026136	7.9228372927879	8.701013080178	8.79309354128329	7.8083498964095	8.98878530628626	9.44282793998845	9.1601706693868	9.52355870098523	8.60662207465473	8.07198883154658	6.97346613096118	9.2416839854948	7.95822120903453	8.03888913779005	9.11789504545685	6.05836393192498	7.31228906606256	7.5034835613725	7.93753700926732	5.61684738650234	6.94834668450676	7.63871148039641	7.94322992393285	7.7315813515617	8.65859798115026	6.94906278260221	7.56650709949511	8.63651494855293	7.36623047237597	8.60646721124889	8.14415622886592	8.03750192875575	8.19958617635295	8.5738583991338	8.02816262512678	7.56150878035382	7.71670411224934
k__Bacteria;p__Fusobacteria	-2.60835564788754	-5.34104405864397	-5.98260245575621	1.93952689902793	-10.5437199205546	-4.5874108615695	-6.16237054488807	-6.19827907283481	3.04351976894136	-1.61583424085418	-2.23361248601604	-4.33570770466821	-2.81950868410403	-5.51702929599293	-6.60297309787475	1.38199238069185	-4.58070826498158	3.54037469973416	-1.59115692114976	-2.31662851770664	3.8391974542739	-4.02789898194822	3.49236673854083	3.83885559705742	-3.9347779337046	-3.49570900147959	-5.31937218257187	-8.39276821412005	-0.77209636392642	-5.99626697518568	-5.08851196128106	1.98201298030841	-1.98933445142577	-4.09148971494572	-3.27298799107147	0.742230397196858	-2.10311733370865	0.37074913317896	-2.87675231869214	-2.73224666641397	-3.95291163187613	5.30175868163454	0.0719310582690046	-5.08813252624143	-1.62756560296778	-3.47210913245714	-2.07638426940454	-3.42500052741283	-1.95022767824659	-2.21639327690891	-3.03686465374709	-4.57772009432347	-0.722298690701519	2.60724851974321	-6.63987686087059
k__Bacteria;p__Proteobacteria	4.84830749969184	3.35345814774267	3.9947135932198	5.85962932737343	5.50018293769748	4.65781391226018	4.47208285041763	4.84053283828038	2.28744201157001	5.89296774711935	3.88232128964714	3.60011817364809	0.10723071796301	4.79750430966548	4.86336073268269	4.66455547307399	6.12831721369352	5.18259659112191	5.04592799492609	4.68538375509516	3.52115392347561	7.26056599349665	4.70519985052917	5.07514608824076	4.99738175102747	2.01502795301968	4.17292216981471	3.69601401965418	6.40925971516621	2.2750021830375	5.11136960430887	5.64041838621569	7.08729673434377	2.73004608120803	1.34629269817646	6.4858215585375	8.28228011686722	4.55393388342638	6.88437783434537	4.62909988378206	5.89461384973993	5.71974282211905	6.35534827145852	4.47813250828278	6.01878028693793	6.45142611538276	4.72011596227013	6.50377702022081	5.89063611753586	5.28328539803816	5.28844137600549	4.98599106773765	5.17155302753946	4.20705553911635	4.19660519313049
