	chao1	observed_otus	shannon	simpson
CS.003	7.0	7.0	2.45390409457	0.791768904636
CS.006	8.0	8.0	2.70741177155	0.826004068356
CS.019	9.0	9.0	2.67204177374	0.806555555556
CS.032	7.0	7.0	2.52536071206	0.796675621169
CS.043	10.0	10.0	3.04356657519	0.868371821922
CS.049	5.0	5.0	2.08009498211	0.730612369486
CS.050	7.0	7.0	2.58571633746	0.805268672912
CS.061	10.0	10.0	3.11784251846	0.874740260103
CS.075	7.0	7.0	1.9629316289	0.706214447398
CS.095	5.0	5.0	2.17861154952	0.760621160229
CS.183	11.0	11.0	2.78097203162	0.815590746448
L.006.M1	7.0	7.0	2.43442236912	0.784003292181
L.008.M1	4.0	4.0	1.59253703455	0.63635470269
T.CS.180	14.0	14.0	2.87121626006	0.818540143658
CS.033	7.0	6.0	1.70429022004	0.643215478742
CS.037	5.0	5.0	2.27586823334	0.788023219221
CS.072	9.0	9.0	2.71329800943	0.828444877525
CS.117	10.0	10.0	2.6366511012	0.797570448559
CS.120	6.0	6.0	2.28090433823	0.770555784018
CS.145	19.0	19.0	3.03662824741	0.825629930052
CS.165	13.0	13.0	3.2106005336	0.873177944825
CS.172	5.0	5.0	1.76527125565	0.628201707276
CS.199	7.0	7.0	2.46028045924	0.798074109001
CS.201	5.0	5.0	1.76527125565	0.628201707276
CS.203	8.0	8.0	2.48343452017	0.783191887963
CS.212	10.0	10.0	3.02837087007	0.862873569647
CS.214	9.0	9.0	3.0506774224	0.872208171312
CS.218	8.0	8.0	2.72328755826	0.824627305624
CS.263	7.0	7.0	2.37668774796	0.747838026875
CS.264	2.0	2.0	0.727126138087	0.323123584946
CS.278	9.0	9.0	2.81747594072	0.836855491569
CS.297	8.0	8.0	2.26130365619	0.759000091492
CS.311	6.0	6.0	2.34838165323	0.783507132938
CS.350	10.0	10.0	2.31021363042	0.688201614665
CS.351	12.0	12.0	2.95635533002	0.838483908817
CS.388	6.0	6.0	2.3444230459	0.782461370772
CS.395	13.0	13.0	3.14966371654	0.856347975376
T.CS.111	6.0	6.0	1.41903352603	0.481091541772
CS.177	16.0	16.0	3.26932170363	0.84791696935
CS.186	10.0	10.0	2.99112869941	0.855993656693
CS.243	4.0	4.0	1.74711840311	0.663510284948
CS.265	5.0	5.0	1.80683021722	0.64838898799
CS.270	12.0	12.0	2.99191129403	0.849760809316
CS.280	8.0	8.0	2.57940054234	0.806480413516
