	PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.314	20.0	5.0	5.0	1.32916442501	0.484824672813
CS.317	24.0	5.0	5.0	1.92712972339	0.668405922847
CS.357	29.0	6.0	6.0	2.32204178115	0.763786884311
L.002.M1	33.0	8.0	8.0	2.19657939754	0.707930652478
L.002.M2	34.0	10.0	10.0	2.26572314197	0.704816776622
L.003.M0	26.0	6.0	6.0	1.7912246516	0.652395944604
L.003.M1	25.0	6.0	6.0	2.0976918818	0.694582245329
L.003.M4	29.0	8.0	8.0	2.08806516267	0.684029454306
L.003.M6	39.0	9.0	9.0	2.687483061	0.815734982384
L.005.M5	23.0	6.0	6.0	2.18237106655	0.740834889666
L.005.M6	33.0	7.0	7.0	2.2505811333	0.750623897979
L.011.M1	20.0	5.0	5.0	1.58057199426	0.547716299578
L.012.M3	20.0	4.0	4.0	1.64364814709	0.612021546558
L.012.M4	16.0	4.0	4.0	1.33452356977	0.537747195777
L.022.M4	28.0	6.0	6.0	1.91192636086	0.690156582943
L.024.M2	19.0	4.0	4.0	1.43211792388	0.575587287462
L.024.M6	23.0	5.0	5.0	1.96751712584	0.687224379833
L.031.M3	43.0	10.0	10.0	2.63859091102	0.784409648904
L.032.M1	24.0	5.0	5.0	1.95827482154	0.702317389127
L.033.M1	29.0	8.0	8.0	2.31837002704	0.767486390829
L.034.M1	16.0	4.0	4.0	1.36516631127	0.494671998659
L.034.M3	30.0	7.0	7.0	2.35899159434	0.776350735505
L.035.M1	35.0	10.0	10.0	2.69640612835	0.784860768158
L.036.M2	24.0	5.0	5.0	1.83421408568	0.635295266316
L.036.M3	31.0	8.0	8.0	2.46031872107	0.792839029311
T.CS.094	33.0	8.0	8.0	2.22044310167	0.671130869196
T.CS.098	49.0	14.0	14.0	2.41703901599	0.661448988382
T.CS.101	20.0	6.0	6.0	1.60017880621	0.522905675876
T.CS.102	20.0	6.0	6.0	1.70042201163	0.564157114912
T.CS.104	23.0	6.0	6.0	1.62468851053	0.589583609894
T.CS.114	43.0	13.0	13.0	2.53930946066	0.752106762899
T.CS.115	34.0	8.0	8.0	2.49835687521	0.774203174569
T.CS.120	37.0	11.0	11.0	2.46027623663	0.740030816394
T.CS.121	37.0	12.0	12.0	2.56965788825	0.715509280217
T.CS.125	27.0	8.0	8.0	1.54773320284	0.453750109805
T.CS.131	45.0	12.0	12.0	1.984323669	0.579977697464
T.CS.132	44.0	11.0	11.0	1.81659531365	0.519092736147
T.CS.137	35.0	10.0	10.0	2.03885084171	0.664690558781
T.CS.141	23.0	6.0	6.0	1.68539785604	0.551010722349
T.CS.142	25.0	8.0	8.0	1.83576789133	0.566513117495
T.CS.144	24.0	6.0	6.0	1.37393703891	0.470070451365
T.CS.147	20.0	6.0	6.0	0.988925677618	0.294291873128
T.CS.149	43.0	11.0	11.0	2.20810139162	0.722896377355
T.CS.150	22.0	5.0	5.0	1.72948265125	0.652888749392
T.CS.155	31.0	7.0	7.0	2.18442783018	0.732794353018
T.CS.156	41.0	9.0	9.0	1.91621615116	0.584885999908
T.CS.158	39.0	13.0	13.0	2.42577649518	0.668958257852
T.CS.166	33.0	7.0	7.0	1.71289621705	0.595147532638
T.CS.179	40.0	9.0	9.0	2.28878627758	0.729409697423
TFS.005	41.0	11.0	11.0	1.93880433614	0.585208075266
TFS.006	39.0	9.0	9.0	2.0169608907	0.675742908701
CS.031	14.0	3.0	3.0	1.21875814039	0.492579868783
CS.102	26.0	6.0	6.0	1.97008367299	0.69504432434
L.001.M1	33.0	7.0	7.0	2.09722187052	0.728620017435
CS.009	29.0	7.0	7.0	2.41550815632	0.758221137215
CS.016	19.0	4.0	4.0	1.80639202868	0.688950833448
CS.017	15.0	3.0	3.0	1.18830831015	0.533815888131
CS.099	42.0	11.0	11.0	3.03087917778	0.861989040546
CS.260	29.0	7.0	7.0	2.42357703445	0.781281558388
L.003.M2	26.0	7.0	7.0	2.30219305163	0.756859242595
L.031.M5	19.0	7.0	7.0	2.01873493506	0.708395263575
T.CS.146	20.0	6.0	6.0	1.53991685651	0.541876717465
T.CS.178	34.0	11.0	11.0	1.97333684046	0.656274949194
T.CS.135	41.0	11.0	11.0	2.36774344653	0.710070038945
T.CS.013	20.0	4.0	4.0	1.44677256034	0.540204715949
T.CS.164	29.0	6.0	6.0	1.43675570605	0.471433644451
L.008.M6	20.0	5.0	5.0	1.94690827405	0.671093791991
L.024.M4.NOSAMPLE	14.0	3.0	3.0	1.22990911776	0.517533459357
T.CS.026	20.0	4.0	4.0	1.70653744839	0.658968350649
T.CS.027	33.0	7.0	7.0	2.1868478966	0.743960207648
T.CS.040	15.0	3.0	3.0	1.48592278681	0.623750612685
T.CS.043	15.0	3.0	3.0	1.24141456437	0.525814346483
T.CS.105	50.0	12.0	12.0	2.52791662732	0.765117401768
T.CS.106	26.0	6.0	6.0	2.02502863561	0.670725275713
CS.057	29.0	7.0	7.0	2.10252815829	0.696256353578
T.CS.059	22.0	6.0	6.0	1.68968026575	0.553871815218
CS.078	36.0	9.0	9.0	2.52963577052	0.790123823958
CS.091	33.0	8.0	8.0	2.32631206603	0.747236402578
CS.229	19.0	4.0	4.0	1.53957274717	0.585985047241
CS.313	19.0	4.0	4.0	1.87336078126	0.712609874849
CS.042	19.0	4.0	4.0	1.83685266279	0.693718698386
