pvals	adj.pvals	sig.taxa	similarity	group	Identical OFU
0.002313334	0.060146675	ofu01275	ofuprofile_species_40	All Groups	
0.002327704	0.062848001	ofu02331	ofuprofile_species_80	All Groups	ofu01275
0.002435824	0.065767245	ofu02772	ofuprofile_species_90	All Groups	ofu01275
0.002423052	0.060576302	ofu03149	ofuprofile_species_95	All Groups	ofu01275
0.0008458	0.020299204	ofu01275	ofuprofile_species_40	1stGen	
0.012443495	0.14932194	ofu01303	ofuprofile_species_40	1stGen	not interesting
0.000872884	0.02182209	ofu02331	ofuprofile_species_80	1stGen	ofu01275
0.01637905	0.204738119	ofu07108	ofuprofile_species_80	1stGen	
0.00102811	0.025702748	ofu02772	ofuprofile_species_90	1stGen	ofu01275
0.001039543	0.023909482	ofu03149	ofuprofile_species_95	1stGen	ofu01275
