	PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.347.0	29.01883	186.0	186.0	5.19257709252	0.951330701087
CS.028	34.3017	236.0	236.0	5.49406434662	0.954946730674
CS.093	31.89178	214.0	214.0	5.01151117555	0.923422117277
L.012.M5	27.92152	201.0	201.0	5.06465380631	0.94944732288
L.005.M2	31.23831	230.0	230.0	4.8148371909	0.918209124155
CS.350	31.06255	226.0	226.0	5.08653669041	0.935348120362
CS.058	35.48722	251.0	251.0	5.66165967685	0.966428493896
CS.357	31.13041	220.0	220.0	4.49959827533	0.903400358893
L.004.M2	32.91034	203.0	203.0	4.6066751696	0.91013577076
CS.188	29.74529	228.0	228.0	4.93030999943	0.935504767947
CS.105	36.72962	243.0	243.0	4.83461498963	0.910267818847
T.CS.134	43.96264	286.0	286.0	4.49440685989	0.884673952167
T.CS.148	34.82605	233.0	233.0	4.70615882555	0.917321488995
CS.165	28.36147	199.0	199.0	5.14366235192	0.951038632671
CS.012	33.74751	214.0	214.0	5.49780651725	0.958782349967
CS.016	27.15737	181.0	181.0	4.86819436447	0.9103594675
CS.051	25.52706	173.0	173.0	5.37658756817	0.958964213527
CS.021	29.59236	209.0	209.0	5.38345746014	0.955170647566
L.008.M3	29.25584	213.0	213.0	3.82445001904	0.860559734732
CS.328	27.58142	187.0	187.0	4.36445547816	0.91677779742
CS.115	27.7268	196.0	196.0	5.17904527836	0.955450635771
CS.356	35.11292	254.0	254.0	4.59608800233	0.912331515806
L.008.M2	29.90149	217.0	217.0	4.97194696854	0.931646005323
CS.063	30.9111	200.0	200.0	5.40364616839	0.95219056268
T.CS.045	33.15727	211.0	211.0	4.41387403735	0.880012499808
CS.044	29.74419	203.0	203.0	4.67394737268	0.906088032326
CS.055	28.54789	202.0	202.0	5.17578020961	0.943447379084
CS.065	28.04627	202.0	202.0	5.11854054916	0.944082789143
CS.102	34.92243	230.0	230.0	4.66171051169	0.892144090712
CS.259	34.07251	219.0	219.0	4.56795036529	0.904004668773
CS.108	29.69397	181.0	181.0	4.30158570856	0.872355770214
CS.251	28.2877	189.0	189.0	4.57449499472	0.88359240998
CS.064	33.19163	225.0	225.0	5.52690541775	0.96322938623
CS.045	26.78073	201.0	201.0	5.48221163	0.957879065912
CS.071	30.60157	204.0	204.0	5.29144562621	0.950805807231
CS.062	31.65467	204.0	204.0	4.66051919848	0.89112697314
CS.199	29.05421	192.0	192.0	5.09444302415	0.94558774693
CS.032	26.95594	170.0	170.0	4.13393493194	0.883144575597
CS.046	31.96667	206.0	206.0	4.84575225775	0.916013839507
CS.131	34.61038	248.0	248.0	5.81235469463	0.963795121875
CS.089	33.62707	250.0	250.0	5.32632407241	0.926360735366
L.006.M4	36.12882	268.0	268.0	4.89513170715	0.938098024737
CS.002	29.93668	210.0	210.0	5.5582625233	0.960579354428
CS.235	32.65381	225.0	225.0	5.50498030596	0.949186752425
CS.075	28.72188	189.0	189.0	5.18090919949	0.938429855337
CS.332	31.86337	215.0	215.0	4.63279552678	0.928905541023
T.CS.088	33.33613	245.0	245.0	4.98329996666	0.931739396135
T.CS.146	29.28513	198.0	198.0	4.93362265959	0.933539770034
CS.172	33.45252	208.0	208.0	4.88611993932	0.914515239069
CS.090	34.64467	226.0	226.0	5.17370229921	0.942341835894
CS.027	30.036	180.0	180.0	4.37638892863	0.860148263841
CS.275	33.88849	259.0	259.0	5.57564670514	0.965870937783
L.007.M5	37.74695	248.0	248.0	5.26336988059	0.949293558511
T.CS.004	35.26277	266.0	266.0	5.12375296435	0.944626901374
CS.229	27.28023	181.0	181.0	5.12083992798	0.946721165685
CS.005	37.56232	246.0	246.0	5.48799449677	0.949532339172
CS.124	24.76795	159.0	159.0	5.0927765656	0.948424495305
L.005.M3	33.17785	226.0	226.0	4.86165649851	0.920415183212
CS.283	26.42369	169.0	169.0	5.27831807348	0.958258505479
CS.031	30.36381	181.0	181.0	4.61424118579	0.92849578929
CS.024	40.30959	289.0	289.0	5.76134080524	0.960157896646
L.012.M4	28.48695	193.0	193.0	4.93672873917	0.936161753323
CS.082	39.7883	277.0	277.0	5.72832793322	0.956547395946
L.004.M1	36.47623	243.0	243.0	5.20102616239	0.93759608705
CS.311	24.88754	169.0	169.0	4.68949288238	0.895487703643
CS.301	33.80964	258.0	258.0	5.427022984	0.954299552826
CS.077	30.21318	195.0	195.0	4.76880799068	0.919580717584
CS.249	28.74518	204.0	204.0	5.24559088035	0.956635022925
IMP000.L.T06	39.18685	296.0	296.0	5.5704151291	0.958422950272
CS.080	30.23638	203.0	203.0	4.86097497107	0.93636363246
CS.170	26.81525	163.0	163.0	4.97192204029	0.936826364565
L.005.M1	33.80083	256.0	256.0	4.89999316777	0.923180638384
CS.156	24.45463	145.0	145.0	4.53231676621	0.926620904042
CS.247	34.00254	225.0	225.0	5.62876235274	0.963106062652
CS.345.0	25.5624	166.0	166.0	4.43686394313	0.915639429675
