#Taxonomy	CS.219	CS.295	CS.025	CS.230	CS.142	CS.238	CS.333	CS.036	CS.111	L.007.M1	CS.104	CS.365	T.CS.141	CS.351	CS.379	CS.138	CS.070	T.CS.007	T.CS.144	CS.346	CS.119	CS.300	CS.169	CS.130	CS.290	CS.360	TFSCS020	T.CS.092	CS.191	T.CS.147	T.CS.093	T.CS.073	TFSCS025	CS.343	L.006.M5	T.CS.100	CS.302	T.CS.008	CS.193	CS.196	IMP000.L.T36	T.CS.047	T.CS.137	CS.113	TFSCS028	CS.003	T.CS.009	CS.190	CS.159	CS.205	L.025.M2	IMP000.L.T30	T.CS.133	L.008.M5	IMP000.L.T05	TFSCS021	T.CS.042	CS.163	IMP000.L.T03	L.005.M5	CS.099	CS.274	CS.139	L.012.M1	IMP000.L.T26	IMP000.L.T40	T.CS.084	CS.151	CS.269	TFSCS024	L.008.M4	T.CS.096	L.006.M3	CS.334	L.012.M3	IMP000.L.T27	T.CS.098	CS.033	CS.282	CS.335	T.CS.049	CS.011	L.004.M6	L.005.M6	CS.137	CS.001	L.005.M4	L.006.M2	CS.141	T.CS.020	L.006.M6	CS.296	CS.092	L.007.M6	T.CS.149	T.CS.097	L.004.M3	L.006.M1	L.007.M4	L.012.M6	CS.260	L.025.M6	L.004.M4	CS.109	CS.007	CS.366	T.CS.139	T.CS.014	T.CS.069	T.CS.081	CS.297	T.CS.090	IMP000.L.T19	T.CS.071	T.CS.003	TFSCS027	T.CS.087	CS.098	L.025.M5	T.CS.018	IMP000.L.T17	L.012.M2	IMP000.L.T02	CS.047	CS.083	CS.009	CS.042	IMP000.L.T18	L.007.M2	CS.140	TFSCS023	L.008.M6	CS.231	CS.341	CS.322	IMP000.L.T20	CS.321	CS.155	T.CS.143	T.CS.140	IMP000.L.T29	CS.213	CS.029	CS.060	L.008.M1	CS.203	TFSCS026	T.CS.099	T.CS.043	CS.135	CS.318	IMP000.L.T10	T.CS.051	T.CS.061	TFSCS022	L.025.M4	CS.380	T.CS.136	T.CS.145	CS.061	CS.101	CS.068	CS.293	CS.382	T.CS.150	CS.136	T.CS.030	CS.015	CS.305	T.CS.065	CS.112	CS.004	IMP000.L.T28	CS.167	CS.198	L.025.M1	CS.339	T.CS.151	CS.123	CS.168	CS.091	L.011.M1	CS.176	CS.008	T.CS.067	CS.037	CS.158	CS.072	CS.218	CS.132	CS.161	CS.030	IMP000.L.T09	CS.118	CS.057	CS.085	CS.020	T.CS.094	CS.053	IMP000.L.T04	T.CS.095	CS.096	CS.078	T.CS.138	CS.013	CS.059	CS.240	CS.117	CS.019	T.CS.135	T.CS.142	IMP000.L.T39	CS.022	CS.143	CS.052	CS.110	CS.040	CS.362	T.CS.013	CS.106	CS.174	CS.056	CS.347.0	CS.028	CS.093	L.012.M5	L.005.M2	CS.350	CS.058	CS.357	L.004.M2	CS.188	CS.105	T.CS.134	T.CS.148	CS.165	CS.012	CS.016	CS.051	CS.021	L.008.M3	CS.328	CS.115	CS.356	L.008.M2	CS.063	T.CS.045	CS.044	CS.055	CS.065	CS.102	CS.259	CS.108	CS.251	CS.064	CS.045	CS.071	CS.062	CS.199	CS.032	CS.073	CS.046	CS.131	CS.089	L.006.M4	CS.002	CS.235	CS.075	CS.332	T.CS.088	T.CS.146	CS.172	CS.090	CS.027	CS.275	L.007.M5	T.CS.004	CS.229	CS.005	CS.124	L.005.M3	CS.283	CS.031	CS.024	L.012.M4	CS.082	L.004.M1	CS.311	CS.301	CS.077	CS.249	IMP000.L.T06	CS.080	CS.170	L.005.M1	CS.156	CS.247	CS.345.0	CS.076	CS.285	CS.097	CS.079	CS.286	CS.194	CS.222	CS.358	CS.026	IMP000.L.T37	CS.067	CS.227	CS.388	CS.319	T.CS.023	CS.043	T.CS.070	L.004.M5	CS.312	CS.154	CS.241	CS.114	CS.224	CS.018	CS.122	CS.233	IMP000.L.T38	CS.173	TFSCS029	CS.088	CS.284	CS.200	CS.232	CS.039	CS.103	CS.237	CS.160	CS.153	CS.157	CS.038	CS.120	CS.308.0	L.025.M3	CS.239	CS.175	CS.294	CS.298	CS.325	T.CS.089	CS.023	CS.084	CS.171	CS.074	CS.035	CS.006	CS.248	CS.292	CS.066	CS.087	CS.094	CS.050	CS.049	CS.086	CS.010	CS.217	CS.095	CS.041	CS.220	CS.236	CS.017	CS.133	CS.014	CS.228	CS.164	UMGC.H2O.A01	UMGC.H2O.H11	UMGC.H20.Blank.001.H05	UMGC.H20.Blank.021.G12	UMGC.H20.Blank.020.A06
k__Archaea;p__Euryarchaeota	281	0	13	0	23	1	0	0	5	10	0	0	0	0	0	0	0	0	0	0	0	0	1	133	0	0	147	12	217	324	0	2	0	0	42	0	0	1	0	0	0	83	1573	0	7223	22	656	8	1035	0	0	0	3589	0	0	1	263	0	0	0	16	1	0	0	11	0	1	295	0	0	0	488	559	0	0	0	41	36	0	0	0	5460	928	0	0	2236	2	4470	377	1702	2776	11	304	1214	1	178	595	0	474	0	12	0	881	1475	49	0	162	1	0	0	1	0	0	0	108	0	0	206	0	0	0	0	0	2	178	0	0	0	766	0	13	0	0	0	1	0	28	1171	0	0	1	0	1	1	0	0	0	24	0	0	0	0	18	0	1031	0	1	1	83	0	32	0	7	0	452	0	0	0	189	44	0	0	0	2	0	0	1	0	2	21	4	89	0	1	8	0	0	52	9	0	0	129	0	0	12	49	0	30	5	0	283	2	0	587	66	850	6	0	0	0	0	0	0	133	9	0	14	0	0	4	131	0	8	14	0	0	0	0	1	0	11	0	112	110	62	0	586	8	0	0	0	0	0	2	0	1	4	0	0	0	2	10	1620	0	197	0	11	9	0	21	2	414	10	4	0	0	36	54	0	1	0	1	20	10	0	1876	3	0	73	0	0	0	626	1151	0	81	137	0	25	9	0	0	2	2	0	0	45	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	157	1	0	918	0	0	1	4	67	0	0	1	0	0	27	61	0	2	0	0	0	0	0	18	0	0	3	0	0	742	0	14	7	64	1	3	95	6	2	21	1	0	0	1	0	0	20	25	0	0	0	0	0	1	138	0	0	0	0	0	0	1
k__Archaea;p__Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
k__Bacteria;Other	4	17	2	40	30	3	3	2	194	19	0	19	2	28	13	14	2	14	1031	53	83	41	45	0	9	17	25	8	40	37	24	15	20	5	235	4	19	39	3	9	35	14	3	13	24	30	18	23	49	23	281	51	3	54	170	10	31	3	89	21	5	7	18	22	234	117	13	5	36	5	30	40	364	3	15	59	73	6	3	9	11	0	37	26	10	0	19	3	18	2	10	27	13	11	5	79	7	774	13	9	6	51	9	1	4	8	109	12	32	54	83	1	105	43	32	28	4	4	1778	44	152	25	69	0	6	1	50	37	11	3	7	70	3	5	2	61	3	12	68	26	51	6	0	3	4	26	5	7	47	0	14	122	22	39	40	332	26	41	23	2	6	3	10	28	4	5	16	0	43	41	1	14	31	3	47	184	7	17	2	5	6	10	0	21	4	247	0	6	35	14	2	2	96	12	356	17	0	6	12	155	316	4	0	2089	15	13	2	2	2	3	217	91	5	3	241	1	20	2	20	14	13	5	29	429	19	11	27	21	3	2	11	43	3	11	53	2	21	4	3	3	6	1	0	5	11	0	19	4	13	6	0	28	0	1	2	17	6	418	0	0	1	2	70	0	70	12	3	3	17	13	50	15	2	8	7	22	46	1	28	0	21	0	0	12	59	7	7	2	23	6	3	86	0	1	12	0	1	2	1	1	3	2	2	4	211	4	4	83	1	2	1	22	17	1	18	32	3	3	1	4	5	2	159	0	108	20	3	0	0	30	4	15	2	2	2	1	0	48	4	2	114	1	0	0	0	0	3	10	0	3	8	12	1	3	1	1	1	1	4	0	1	40	2	2	2	2	2	7	5	3	5	0	0	1	0	0	0
k__Bacteria;p__Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
k__Bacteria;p__Actinobacteria	2702	4659	5282	7478	1747	2455	8550	3475	4414	4443	8438	4112	1279	4298	4539	10659	1117	7808	1713	7703	1584	3631	2659	4776	4255	880	13988	1878	1873	2045	1346	2735	13853	11262	1819	1068	9895	1472	6212	1711	9022	4328	2400	2231	14847	2064	1274	2232	4966	4730	2970	5244	6503	2854	3200	586	3102	9671	5625	2006	2453	2992	4283	2841	66433	3294	2354	3909	8644	10276	3418	2557	6846	406	1570	9115	1226	6506	5241	590	1914	10649	683	1304	70009	5134	5832	9961	2392	4446	5845	2568	6114	3220	2582	1859	5171	941	2632	3492	2114	1625	6507	11357	4817	3464	2211	6124	3768	3708	2058	583	7093	3215	3442	1393	2692	1195	5602	2135	5351	4481	7702	8920	5001	5923	4941	5424	6247	6186	12745	2770	3864	1641	4994	4531	8557	5312	2595	3893	12719	6216	6142	877	6750	2162	14028	1000	3282	811	4217	4230	2479	2684	4250	3412	3834	4104	31105	3256	2008	8399	2014	6960	4106	2391	2468	5807	3794	1773	913	808	8300	8588	2566	1785	3816	2522	6159	2753	3818	6745	5536	3843	4799	1070	1599	4321	1359	2033	6182	2840	5727	4960	748	3921	879	4141	2572	2579	1488	2830	3288	2053	2992	3667	2036	2977	5842	11307	1992	4796	3246	2361	3662	869	1585	10296	3059	2917	3619	1575	1724	911	2222	3170	3408	2971	2091	6828	1544	6257	3605	1858	1514	3650	4522	2392	506	4519	27540	2952	2152	3855	2211	5407	1765	2143	3971	9388	3665	2582	13505	4214	6092	2648	5226	4106	11009	12401	1136	1635	1461	2375	2211	570	4350	1673	4963	644	3168	3357	1248	1742	5240	3475	4582	1283	4263	963	4321	609	7702	2489	726	5607	2755	2481	6363	6748	2697	7061	4505	5333	3554	6319	539	6750	4937	5165	8946	2279	1517	6135	1594	2274	1190	1213	172	2630	4035	4247	3448	1599	2902	1904	3046	1159	2253	1487	1996	7941	2389	4996	1877	2089	30598	1583	5114	2208	2275	542	2537	4059	3281	2288	119	1840	2383	2185	2676	2275	10160	21956	5636	2055	1698	4696	857	1925	2352	1413	8274	2251	1407	1492	4164	3158	6176	11005	5491	150	2445	3227	610	1296	3179	1053	4575	3873	1124	282	1019	663	19	3	0
k__Bacteria;p__Armatimonadetes	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes	4985	25168	4675	28682	26795	9647	14219	5818	4029	26514	8522	17889	18400	27486	31175	21410	10658	25448	16590	5121	5308	24679	11412	9232	23926	7170	25552	12509	28123	12238	14268	30898	46463	25244	17743	7109	24034	29173	15570	12431	17511	19618	9468	12760	28709	5974	23632	24148	22184	17962	20119	13755	10068	21492	21662	3469	20052	4691	27660	20712	8927	10436	16116	5999	131688	14659	24980	18515	36781	20600	16750	7790	11836	20548	8082	12122	6866	7139	25831	25293	14243	4938	16751	15625	63676	1361	17225	8812	11251	7770	16004	17964	4371	13831	1379	17252	6173	7441	3128	3629	19128	18984	24976	2756	14594	18481	21443	6828	25367	33365	33426	13451	17028	25860	29810	46084	18635	8446	24266	26504	19974	3886	22107	9538	4754	8442	7700	15821	5888	18262	27299	12365	10418	29087	15705	25549	19741	18465	25165	31222	22363	14700	3446	12445	1404	22738	18385	13666	18384	11230	17986	27332	25907	22900	24269	18413	21193	33993	156598	14115	9506	8354	25504	18814	16184	7654	23131	6602	19738	19361	17801	6768	18063	11618	25400	5501	13584	22524	14774	7034	9223	6186	10918	8348	33950	11318	5370	11506	5188	5212	5697	7924	19637	7533	9076	4491	7209	24810	9684	23691	15773	6683	11400	17253	8159	8930	9092	13587	9973	19557	26284	21772	6147	3914	10393	5802	11814	23580	36131	3850	16196	7249	5854	9639	8648	8243	21190	17135	7360	22999	9448	28264	17785	21611	14041	9177	1894	12940	13278	10848	164	16953	10303	16089	10066	4664	21304	12724	11277	13399	10424	21410	248	9882	4801	6240	7588	14194	5684	6184	2066	12618	5511	8406	18227	6964	9776	13942	28721	17514	19462	11053	6665	15200	22433	7600	21196	11448	8165	10174	13063	7418	7769	8175	9117	9221	14729	8373	21975	10280	10004	32233	8368	3891	19995	6035	9595	11689	8441	10823	8457	6512	7629	24076	17673	26220	5274	16221	12015	6493	27075	38274	36668	8313	20066	16372	8196	12314	8817	4737	18669	3951	12258	3505	19337	7648	8947	8315	8298	4575	8049	4130	6718	4722	10193	10618	265	13614	8154	10833	16721	8208	83	1776	2236	30223	18510	9574	3785	10961	10165	8221	12166	8530	7079	11277	9890	10458	5858	5896	11210	1141	8111	6180	11850	8366	742	10690	10361	4775	4673	3340	70	29	2	0	10
k__Bacteria;p__Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
