	CS.001	CS.002	CS.003	CS.004	CS.005	CS.006	CS.007	CS.008	CS.009	CS.010	CS.011	CS.012	CS.013	CS.014	CS.015	CS.016	CS.017	CS.018	CS.019	CS.020	CS.021	CS.022	CS.023	CS.024	CS.025	CS.026	CS.027	CS.028	CS.029	CS.030	CS.031	CS.032	CS.033	CS.035	CS.036	CS.037	CS.038	CS.039	CS.040	CS.041	CS.042	CS.043	CS.044	CS.045	CS.046	CS.047	CS.049	CS.050	CS.051	CS.052	CS.053	CS.055	CS.056	CS.057	CS.058	CS.059	CS.060	CS.061	CS.062	CS.063	CS.064	CS.065	CS.066	CS.067	CS.068	CS.070	CS.071	CS.072	CS.073	CS.074	CS.075	CS.076	CS.077	CS.078	CS.079	CS.080	CS.082	CS.083	CS.084	CS.085	CS.086	CS.087	CS.088	CS.089	CS.090	CS.091	CS.092	CS.093	CS.094	CS.095	CS.096	CS.097	CS.098	CS.099	CS.101	CS.102	CS.103	CS.104	CS.105	CS.106	CS.108	CS.109	CS.110	CS.111	CS.112	CS.113	CS.114	CS.115	CS.117	CS.118	CS.119	CS.120	CS.122	CS.123	CS.124	CS.130	CS.131	CS.132	CS.133	CS.135	CS.136	CS.143	CS.153	CS.154	CS.156	CS.157	CS.158	CS.160	CS.161	CS.163	CS.164	CS.165	CS.167	CS.168	CS.169	CS.170	CS.171	CS.172	CS.173	CS.175	CS.176	CS.199	CS.200	CS.217	CS.218	CS.219	CS.220	CS.227	CS.228	CS.229	CS.231	CS.232	CS.233	CS.235	CS.236	CS.237	CS.238	CS.239	CS.240	CS.241	CS.247	CS.248	CS.249	CS.251	CS.284	CS.285	CS.286	CS.292	CS.298	CS.308.0	CS.311	CS.312	CS.345.0	CS.346	CS.347.0	L.001.M1	L.002.M1	L.003.M1	L.004.M1	L.005.M1	L.006.M1	L.007.M1	L.008.M1	L.011.M1	L.012.M1	L.022.M1	L.024.M1	L.025.M1
1010113	0	0	0	0	0	1.12478384712419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17258947828556	0	0	1.69586023442541	1.19225070818795	0	0.888311549750001	0	3.31127116848096	0.955258135794567	0	0.88486266720628	0.897060279295363	1.40849098642941	0	0	0	0	0	0.916567311539181	0	0	1.13401306386759	0	0	0	0	0	0	0.890864207449969	0	0	0	0	0	0	0	0	0	1.27079969944865	2.20288076471589	0	0	0	0	0	0.835912775903823	1.06985336909487	0	0.963522304914191	0.870713318842249	0	0	0	0	0	1.14222985033082	3.0820877819438	0	1.30246522885739	2.35711973384269	3.54139338074819	0	0.925312242774103	0.871101731533919	0	0	2.50331387694553	0	0	0	0	0	7.69406368343857	0	2.51064838559754	0	0	0	1.72290108670786	0	0	0	2.65401107153909	0	0	0	0	0	0	0	2.3206827844859	0	2.45104635219269	0	0	1.32962775243737	3.35578660853709	0	0	0	1.23774399808073	0	0	0	5.56985713031053	2.78293136772001	0	0	0	0	1.93427336860683	0	0.88349093943507	1.26100881551052	0	0	0	1.07379015118427	13.8844778171974	0.851976796804726	1.65766849975627	0	2.22002612640701	1.74906717737991	0	1.68059473567981	0	1.27644332048655	0	0	0.926498545164151	0	0	0	2.08955838018769	0	0.970635175021307	1.58521543430193	0	0	0	0	0	4.56287654495993	0	0	0	0	0.941630996043547	0	0	0	0	0	0	0	0	1.33583318606576	2.634383892546	0	0	1.66851541826151	5.7679350967459	0	0	1.51798265897629	3.95460986996409
1035392	8.43475191447678	0	2.6279900552604	0	3.80446769828308	0	1.3185194314723	0	0	0	1.80923649894251	0	0	0	0	0	0	0	0	5.198003273749	0	0	0	4.45176382669633	0	0	0	2.24881743345443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61420860051238	0	0	0	0	0	0	0	0	1.65800624506331	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64777675348848	0	0	0	0	0	0	0	0	0	3.63624664267717	0	0	0	1.50295470748842	0	0	3.40880920489035	0	2.81064514858083	1.46019999963019	0	4.00565005265578	0	0	1.5238898417868	0	4.1398256578391	0	0	3.73397827263208	0	0	7.45556862606195	5.14155405214813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76716327543837	4.449446555105	0	0	0	0	0	4.58615890214098	4.34766173047607	2.19520761996495	0	0	2.17575093813882	0	0	6.37252134237623	3.5677292784776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65299718785698	0	2.75804268857345	0	0	0	0	4.67605871622852	0	0
1040889	2.54633518285228	2.21997050536939	0	2.39990400597457	5.07262359771077	2.62449564328977	3.5161007207056	0	0	0	14.7770648494436	0	4.3976802594373	3.95297061007827	0	4.28136959332157	5.4643585122742	6.908885401039	1.96957272241404	4.9005479195179	0	0	7.2605556742331	8.6248570787232	0	0	0	4.74101933222583	13.6608975327177	4.45797097143667	9.86216339463917	2.06467955681465	5.53814801702463	4.0251308695318	0	3.21037626847503	14.3099040517924	6.85478413895993	16.7956569068482	6.763445117784	0	7.7833172500733	4.95039973446763	0	7.53028463432267	3.90527434205087	2.14019937711276	2.99533465598059	11.879763834897	3.60043150320187	2.7820636543439	5.6093333884202	13.2038023121843	6.25305402062083	12.9572719541954	1.91682764708476	7.14796470704733	9.17951860954817	17.295164595052	13.7527836501085	0	1.81393528441525	12.743917165598	0	6.76718586782753	0	2.75838717182985	6.115007153591	0	7.7887077442787	18.2940488666506	2.08890300693364	3.12336858878519	0	8.79910278028087	15.1710272612736	1.88457306310792	3.75544641475843	5.87818479129413	3.7221302059586	0	4.00795165086687	0	7.16129902986923	2.03257070691248	0	0	0	1.9830850328371	0	0	0	6.09586139290783	4.22958717993	0	0	3.30030307355338	1.8816882041707	2.40932031714473	4.02010253565167	2.11907689902559	3.17326028066794	0	0	16.8052968993204	0	7.7174073232457	0	4.29706476195133	0	4.32099506750813	4.28080466324967	0	6.3942357426022	0	0	3.1024647556872	0	0	0	15.8347158971577	0	17.6524017967868	0	0	0	19.0025191396599	2.09553827775891	0	0	0	6.0553814691359	6.13577768302833	0	9.75995165955127	14.1901222002487	13.214642035114	0	0	2.24281780204257	6.5936614287038	3.86789316609797	2.18878650403982	2.11468010017377	8.16292543083823	6.72703237465073	2.26397943890137	0	3.6477648938892	6.43090144158537	0	10.8109691504142	0	17.0741127163782	27.5862946633768	4.87563622043793	2.90100125085176	3.20295731140451	4.7752420967232	0	13.4579488789944	21.1543817712932	14.0747397392134	7.84277550828703	7.96667349844027	0	2.17583162387624	3.31152152957621	7.78150766487113	2.19713899076828	6.18959054736587	15.7299448503654	0	1.95407937345418	6.74998063166963	0	0	0	0	0	0	0	0	0	0	0	0	0
1062061	22.177035357923	1.66497787902704	10.9970147801038	0	9.3208041487225	1.96837173246733	5.89711768020688	2.14850328707181	1.41101886954111	0	20.0048378456304	7.90123856088505	3.90259938016262	7.41273230668982	3.7102988720242	8.2505490060246	7.2936309137921	0	4.89953541575858	0	2.05203158699973	0	0	8.6539444639534	0	4.1658470890109	1.5545452120625	5.27426448365877	12.2963236447801	9.89242848138263	15.8030814975398	0	2.7191052075869	1.7429045544372	3.81905708917115	0	0	4.59826416326657	3.6050360376633	1.60399279519357	0	1.75992343997726	1.98452286176828	0	7.98775265134515	1.46445275118112	3.2103652412566	0	0	4.93031759815855	1.47540349202281	1.79380157288193	0	4.68979051546563	1.61926245799531	10.1682610028399	1.54747103326236	0	1.44062510419815	0	0	8.38791830485147	2.42716540151164	0	0	0	0	9.45653226911665	0	1.68616403359983	2.63924217021685	3.50328856688358	4.68525858598768	2.61980059920073	0	1.51996983119677	6.16158861131148	8.13204197317103	1.97152136573252	8.05987696540575	3.26101135454897	2.12551173464083	0	3.2386607905539	3.04891274548215	17.1935761869928	8.11488767498277	5.6557805566118	0	1.51393788557684	0	0	11.0976611578609	3.6629627120656	3.77909770688027	3.87477723723087	3.03154671355033	5.64551443973127	1.80699023785855	7.07175374186153	10.0543067310231	5.83009175336722	0	13.9399791237902	0	0	18.5461701343538	0	4.55785170239275	5.24434495909998	15.5516660185837	3.21060349743725	4.2812929942511	0	0	1.45376686056568	11.9826006372789	2.21946923080522	2.01930529998623	0	0	5.93246023028837	9.2871029112903	0	0	0	8.27861851199133	8.60994712495972	0	0	0	0	4.60183326227125	2.67797373445235	2.70274218913325	11.5241922218875	2.33546286295563	3.1853164950577	4.20202688545742	4.75798636211568	0	0	9.57430305286628	8.54253062510833	7.90424543494057	2.91275864196647	0	0	0	0	0	8.73307267177838	6.1488321845202	0	14.4067347439471	1.63529145299728	2.66475662316165	8.3229364981769	1.60162106303752	19.9000327386271	9.93441517730512	0	0	0	0	1.53664651854484	1.63187371790718	6.33264036783195	0	0	0	0	0	0	0	8.30750899742215	12.6158771193225	0	6.61271164125932	2.46414072476044	1.5923351546658	0	2.91990198195765	0	5.7544804622091	4.99895868538178	3.75688611494982	0
1074210	0	1.66497787902704	1.85825247686622	1.79992800448092	3.52223324116435	1.39184180957723	3.22977469273225	0	1.41101886954111	0	1.27931781357963	0	0	0	0	0	2.36606599062873	1.72711142368097	2.55857979517857	1.64364637215021	3.83910735302642	0	1.51017663501815	0	0	0	0	1.59014333443425	0	1.67170173764049	0	0	2.22012551391981	3.01884815214885	3.1182066264305	0	2.16763911148642	0	0	0	0	2.48892815567201	7.81426463095375	3.10134553396832	0	0	0	0	4.90397233363495	2.7003236274014	1.47540349202281	3.80534205943342	0	1.65800624506331	2.28999894133681	0	5.13270859524358	3.86849849506615	0	0	0	0	1.71625163325569	3.16097139792365	1.9906157966966	2.38841996981427	3.27110080235762	2.64777675348848	0	1.68616403359983	0	4.14520120424567	2.3425264415889	0	0	2.1495751931613	2.44815830746693	0	2.78818115481295	1.61170732768748	2.06240957853064	1.50295470748842	0	0	2.15588015551066	2.78702586299217	0	2.06504638501844	0	1.51393788557684	0	2.16143265084951	0	0	0	1.46447787740683	0	0	3.38064278005863	1.50751104149462	0	0	0	0	1.89933380542212	4.3078377866796	1.67073086725913	1.51496603945504	4.55785170239275	0	1.87101081416549	1.43579395930467	2.28836746623441	1.51644245651209	1.61557283589831	2.51802644815008	1.64531852259027	3.50935813650565	2.01930529998623	1.56339595240396	3.79237961995655	0	2.32127510842041	0	2.9256947173783	0	2.81165224042838	2.72221993817843	0	2.21550021710262	4.95592311779605	1.51377135509188	0	1.54610914401137	2.2067654271434	0	2.33546286295563	7.4711392394461	0	0	1.49095939440827	0	2.84335794140322	3.17208398666223	0	0	2.401331283559	2.9334049545998	3.15907808403027	0	2.26453858482581	2.29298298903355	3.0741836075803	0	2.03631500443116	5.42403502161357	4.35166669444927	1.69861155628729	0	1.64521163706865	5.04570242351923	0	3.04644052869065	2.94083729510495	0	0	1.63187371790718	3.04185177683485	0	1.64785424307621	0	2.33541191055198	1.59120588076306	1.46555953009064	4.13340790485693	0	0	3.44879534341728	1.65299718785698	1.74239650950422	0	0	0	0	0	0	0	1.41248197924701
1084865	0	1.33198230322163	0	1.43994240358474	1.15032484492206	0	0	0	0	4.01191975745026	0	0	0	0	0	0	0	0	0	1.85958699021649	1.16079784295231	0	0	1.18708125293764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0913668804099	0	0	0	2.77401671508322	0	0	0	0	0	0	0	0	0	0	1.25801922308171	0	0	0	0	0	0	0	1.49779471673282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43913019638572	0	0	0	0	1.21115030846147	0	0	0	1.46514576665526	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21197283156403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29862829086303	0	0	0	0	0	0	0	0	0	2.6423130389867	0	0	0	0	0	0	0	0	0	0	0	0	3.63784213661768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32109887154243	1.27296470461045	1.65810082836195	0	0	0	0	0	0	0	0	0	0	0	1.41383658965659	0	0
1105984	0	0	0	0	2.30068774615198	3.14949240085916	0	0	0	0	0	0	0	0	0	0	0	0	0	6.16844134611318	9.21675746498374	2.39410816893154	1.70858021437033	4.74874331454284	0	1.66628099837267	0	0	0	1.33736139011239	0	0	2.80831669807042	0	0	0	3.67876690184378	0	0	0	0	0	0	1.43242564886854	0	0	0	0	0	0	2.04440278354476	0	9.39566903422486	0	4.84742095817682	0	0	0	0	0	0	11.829466315489	0	0	2.25214848477116	0	0	4.10212903468662	0	0	0	0	1.87402115327112	0	0	0	2.26152382145886	0	0	0	0	2.08258022226668	0	0	0	7.05199481725988	1.29816315466893	0	0	1.21115030846147	0	25.7472493963086	0	1.46514576665526	0	0	0	0	2.7045142240469	0	0	1.09923853726837	4.56283156005226	0	0	1.2183877649927	0	0	0	0	1.49680865133239	6.89313774467076	2.89464196350874	0	0	0	0	0	0	0	0	0	0	0	3.02169049652064	0	0	0	0	0	0	0	0	0	3.53096225785496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1108638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01356884669086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07868315071659	0	0	0	0	0	0	0	0	0	0	0	0	2.28833551100758	0	0	0	0	1.76515975171742	4.0522044953156	0	0	0	0	0	0	3.5102632185663	0	0	0	0	0	0	0	0	0	2.14542388290179	0	0	0	0	0	0	0	0	3.18674217851701	0	0	0	0	0	0	0	0	0	0	0	0	2.01995471927338	0	0	0	0	0	0	0	1.93835581408757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01836180678918	0	2.06147885868183	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25810164250946	0	0	0	0	0	0	2.71508667257488	0	0	3.20295731140451	0	0	0	0	2.34511231872327	0	0	0	0	0	0	0	0	0	0	0	0	2.76869189377682	0	0	0	0	0	0	0	0	0	0	2.04492563731885	1.88330930566269
1110312	0	0	0	0	2.03351745814277	0	0	9.24305395056717	0	0	0	0	1.47499256857407	2.09635467407863	0	0	4.09826888420565	0	0	0	0	0	0	1.48385156617205	0	0	0	0	1.44855952508661	2.36416088842572	0	0	0	0	0	0	0	3.98215743986925	0	0	0	5.28011925723813	9.09613755531633	0	0	0	0	0	0	0	0	2.1969587025534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62095816384105	0	0	0	3.26518072477622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80268588784058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65299718785698	0	1.5923351546658	7.03922879542365	3.5761756335154	2.10417385507391	0	0	0	2.44651658594559
1111294	8.35141170535858	5.54901478913431	5.91381272278897	3.41154383494447	4.7919356102638	5.73677727774404	2.26040286510786	1.22771616404103	8.22714643984444	8.1091123994309	16.1336623480717	35.1987319571016	10.1928172456427	5.4250399745421	0	2.72164581247767	2.52952535619269	1.39572790207696	1.4620455972449	2.4850671666667	0	2.20773540762804	12.0648172483721	6.34726709514536	10.1951281805985	24.3045356581087	9.28071183999481	8.76818049548336	7.2191742205167	3.30938257887343	0.845209899579794	3.85747102751784	4.99560551233196	2.63515209627866	1.54310208416011	0	4.71744040210503	0	2.43748303025723	9.66393857318266	2.99093923400229	9.27826924537403	10.464329459915	3.68943867078441	1.72494080968111	0	1.29716562064474	12.2607408921611	2.50639424797367	8.16930414136741	8.35084919733376	4.16424336895024	8.12905435311694	13.3508802611385	1.60267661171006	4.42458274478277	2.50120269807356	0	4.50965466177849	5.8940501357608	11.3783127487777	1.73835543592137	4.60072123117119	7.17122975136854	2.78642893566684	53.3438821640941	5.08570406044083	9.92931202298771	24.6196753130189	0	0	2.00187918107633	1.8930749398275	0.864299500371417	1.7454948926731	1.22832868180646	5.76948481854937	21.9174289179829	6.37496899308459	34.0340449131456	3.53588018872086	8.55031571666193	2.28952233846539	5.47552334613397	1.50881115850247	1.30033221476674	4.04234104073194	10.4308593381643	2.0818670281289	7.74149659457831	10.9402506279444	6.36011054345927	4.35461834783499	2.96022681419831	4.31946245885729	6.26434238442231	4.24380163578401	2.4194162126891	4.19486860153424	12.6180297637151	0	3.1409187716182	3.50095196364074	2.3405878338094	8.48162690025836	0.870276974994789	7.08311864106909	3.56970105558404	6.74367748139424	4.13103313459671	7.1750190136787	10.2890920772301	7.40032672864201	2.29272985991836	6.59515245077127	10.680729607063	19.7164696323287	6.59236745668514	3.64927378874411	7.79202368243916	12.763597471328	46.9446968594294	6.29381665536756	4.87409259560407	1.6718255527876	5.08434584627733	10.5857824515556	10.2879076105257	2.25412541282257	13.0830837714712	45.0408858049386	2.44672864526466	1.95995308839389	4.2376681390627	9.52734510841364	3.19345156401077	8.4452320204422	6.17428863643329	15.6287129563429	46.7678521832224	4.08647023652633	8.16733599855083	16.7396911005973	7.95673526452389	4.03973508321113	21.0412176456746	11.0738606761824	3.48962088053344	3.61066327956996	5.8838500248122	14.723114568214	9.45530410600154	10.50033593631	5.74988137401603	7.54446852786809	7.7093772264464	7.46301746688287	24.9874159923964	56.8572926429173	2.97311659432096	4.7819116975285	15.7826165651557	7.3887982619734	7.19825851328621	30.9259925750979	10.2488528314757	51.053035825257	8.6961602961033	7.63021559260519	4.21168142870036	5.4002466207718	2.98425351845207	4.81223189062904	34.8850999377411	5.19361170084147	3.139618154119	2.99810282058837	1.39350165620058	5.50906641781889	6.97229732478394	0.90990580266617	2.32213863089833	3.53973742623914	12.3064806599973	9.37893307378561	6.22725871495814	12.9575206131671	9.9917698019456
