	PD_whole_tree	chao1	observed_otus
CS.001	47.72533	648.0	648.0
CS.002	36.07547	449.0	449.0
CS.003	39.87273	478.0	478.0
CS.004	35.98667	521.0	521.0
CS.005	49.14165	672.0	672.0
CS.006	39.76934	529.0	529.0
CS.007	42.86143	595.0	595.0
CS.008	37.72443	489.0	489.0
CS.009	29.29852	426.0	426.0
CS.010	22.13062	205.0	205.0
CS.011	50.34221	684.0	684.0
CS.012	42.61978	574.0	574.0
CS.013	47.84267	654.0	654.0
CS.014	43.95669	559.0	559.0
CS.015	29.08282	373.0	373.0
CS.016	34.10014	460.0	460.0
CS.017	34.03647	432.0	432.0
CS.018	28.74642	379.0	379.0
CS.019	38.50859	540.0	540.0
CS.020	31.76775	436.0	436.0
CS.021	34.8467	498.0	498.0
CS.022	30.41116	392.0	392.0
CS.023	43.31498	616.0	616.0
CS.024	53.60292	770.0	770.0
CS.025	33.34679	424.0	424.0
CS.026	37.12777	448.0	448.0
CS.027	35.1102	418.0	418.0
CS.028	43.85177	575.0	575.0
CS.029	39.50819	543.0	543.0
CS.030	43.76659	591.0	591.0
CS.031	33.39475	429.0	429.0
CS.032	29.42038	358.0	358.0
CS.033	41.89194	566.0	566.0
CS.035	37.39923	469.0	469.0
CS.036	37.71079	497.0	497.0
CS.037	28.13016	397.0	397.0
CS.038	28.11452	356.0	356.0
CS.039	34.53926	447.0	447.0
CS.040	35.21565	424.0	424.0
CS.041	30.55084	399.0	399.0
CS.042	29.99193	383.0	383.0
CS.043	36.06525	514.0	514.0
CS.044	38.5609	548.0	548.0
CS.045	36.53922	526.0	526.0
CS.046	43.67001	619.0	619.0
CS.047	34.90263	491.0	491.0
CS.049	30.92145	388.0	388.0
CS.050	28.68361	341.0	341.0
CS.051	31.76617	473.0	473.0
CS.052	42.05004	554.0	554.0
CS.053	40.75438	578.0	578.0
CS.055	37.82978	583.0	583.0
CS.056	32.40538	446.0	446.0
CS.057	38.32267	517.0	517.0
CS.058	42.09095	562.0	562.0
CS.059	44.8508	622.0	622.0
CS.060	36.08901	499.0	499.0
CS.061	25.48529	333.0	333.0
CS.062	39.31232	546.0	546.0
CS.063	29.02573	347.0	347.0
CS.064	36.74763	490.0	490.0
CS.065	36.73797	565.0	565.0
CS.066	31.12353	360.0	360.0
CS.067	22.97041	298.0	298.0
CS.068	30.99769	444.0	444.0
CS.070	21.88913	264.0	264.0
CS.071	35.65469	511.0	511.0
CS.072	54.97347	812.0	812.0
CS.073	26.71689	304.0	304.0
CS.074	34.50524	423.0	423.0
CS.075	32.84322	417.0	417.0
CS.076	33.97905	435.0	435.0
CS.077	38.02903	515.0	515.0
CS.078	33.67528	492.0	492.0
CS.079	30.89783	430.0	430.0
CS.080	34.8239	508.0	508.0
CS.082	48.35312	653.0	653.0
CS.083	45.27645	586.0	586.0
CS.084	42.99369	542.0	542.0
CS.085	43.77577	571.0	571.0
CS.086	40.75926	529.0	529.0
CS.087	32.17517	389.0	389.0
CS.088	23.75535	302.0	302.0
CS.089	37.1324	493.0	493.0
CS.090	37.64139	459.0	459.0
CS.091	34.82104	480.0	480.0
CS.092	46.39657	583.0	583.0
CS.093	40.71706	505.0	505.0
CS.094	24.50085	320.0	320.0
CS.095	42.03092	572.0	572.0
CS.096	38.81799	552.0	552.0
CS.097	34.10164	461.0	461.0
CS.098	43.12876	584.0	584.0
CS.099	38.41382	485.0	485.0
CS.101	41.39742	533.0	533.0
CS.102	35.49267	456.0	456.0
CS.103	40.26542	531.0	531.0
CS.104	39.24352	539.0	539.0
CS.105	44.13897	611.0	611.0
CS.106	41.283	541.0	541.0
CS.108	36.7824	409.0	409.0
CS.109	46.67557	589.0	589.0
CS.110	34.02254	466.0	466.0
CS.111	41.15523	528.0	528.0
CS.112	32.02623	428.0	428.0
CS.113	33.88646	451.0	451.0
CS.114	39.47373	539.0	539.0
CS.115	32.1166	423.0	423.0
CS.117	37.24076	476.0	476.0
CS.118	32.44585	391.0	391.0
CS.119	34.53102	470.0	470.0
CS.120	39.96144	539.0	539.0
CS.122	35.92082	421.0	421.0
CS.123	33.58626	414.0	414.0
CS.124	27.15828	364.0	364.0
CS.130	41.41365	553.0	553.0
CS.131	45.91413	659.0	659.0
CS.132	35.80502	448.0	448.0
CS.133	33.82462	462.0	462.0
CS.135	33.61741	496.0	496.0
CS.136	37.18042	518.0	518.0
CS.143	39.00974	539.0	539.0
CS.153	41.77137	557.0	557.0
CS.154	21.29049	275.0	275.0
CS.156	25.18258	312.0	312.0
CS.157	15.3259	168.0	168.0
CS.158	31.76932	406.0	406.0
CS.160	38.36371	525.0	525.0
CS.161	32.44845	452.0	452.0
CS.163	33.11172	435.0	435.0
CS.164	24.48819	263.0	263.0
CS.165	27.33065	381.0	381.0
CS.167	32.28221	400.0	400.0
CS.168	45.62569	619.0	619.0
CS.169	43.06349	564.0	564.0
CS.170	34.2099	422.0	422.0
CS.171	33.80008	393.0	393.0
CS.172	34.971	436.0	436.0
CS.173	31.37506	396.0	396.0
CS.175	27.87093	343.0	343.0
CS.176	40.34564	597.0	597.0
CS.199	31.43107	414.0	414.0
CS.200	46.08286	634.0	634.0
CS.217	41.1724	513.0	513.0
CS.218	39.55308	517.0	517.0
CS.219	39.08948	490.0	490.0
CS.220	29.20885	363.0	363.0
CS.227	22.16043	307.0	307.0
CS.228	35.15866	459.0	459.0
