#
#OTUID	CS.001	CS.002	CS.003	CS.004	CS.005	CS.006	CS.007	CS.008	CS.009	CS.010	CS.011	CS.012	CS.013	CS.014	CS.015	CS.016	CS.017	CS.018	CS.019	CS.020	CS.021	CS.022	CS.023	CS.024	CS.025	CS.026	CS.027	CS.028	CS.029	CS.030	CS.031	CS.032	CS.033	CS.035	CS.036	CS.037	CS.038	CS.039	CS.040	CS.041	CS.042	CS.043	CS.044	CS.045	CS.046	CS.047	CS.049	CS.050	CS.051	CS.052	CS.053	CS.055	CS.056	CS.057	CS.058	CS.059	CS.060	CS.061	CS.062	CS.063	CS.064	CS.065	CS.066	CS.067	CS.068	CS.070	CS.071	CS.072	CS.073	CS.074	CS.075	CS.076	CS.077	CS.078	CS.079	CS.080	CS.082	CS.083	CS.084	CS.085	CS.086	CS.087	CS.088	CS.089	CS.090	CS.091	CS.092	CS.093	CS.094	CS.095	CS.096	CS.097	CS.098	CS.099	CS.101	CS.102	CS.103	CS.104	CS.105	CS.106	CS.108	CS.109	CS.110	CS.111	CS.112	CS.113	CS.114	CS.115	CS.117	CS.118	CS.119	CS.120	CS.122	CS.123	CS.124	CS.130	CS.131	CS.132	CS.133	CS.135	CS.136	CS.143	CS.153	CS.154	CS.156	CS.157	CS.158	CS.160	CS.161	CS.163	CS.164	CS.165	CS.167	CS.168	CS.169	CS.170	CS.171	CS.172	CS.173	CS.175	CS.176	CS.199	CS.200	CS.217	CS.218	CS.219	CS.220	CS.227	CS.228	CS.229	CS.231	CS.232	CS.233	CS.235	CS.236	CS.237	CS.238	CS.239	CS.240	CS.241	CS.247	CS.248	CS.249	CS.251	CS.284	CS.285	CS.286	CS.292	CS.298	CS.308.0	CS.311	CS.312	CS.345.0	CS.346	CS.347.0	L.001.M1	L.002.M1	L.003.M1	L.004.M1	L.005.M1	L.006.M1	L.007.M1	L.008.M1	L.011.M1	L.012.M1	L.022.M1	L.024.M1	L.025.M1
1010113	0	0	0	0	0	7.87348692986932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.20812634799894	0	0	11.8710216409779	8.34575495731567	0	6.21818084825001	0	23.1788981793667	6.68680695056197	0	6.19403867044396	6.27942195506754	9.85943690500585	0	0	0	0	0	6.41597118077427	0	0	7.93809144707312	0	0	0	0	0	0	6.23604945214978	0	0	0	0	0	0	0	0	0	8.89559789614055	15.4201653530112	0	0	0	0	0	5.85138943132676	7.4889735836641	0	6.74465613439934	6.09499323189574	0	0	0	0	0	7.99560895231572	21.5746144736066	0	9.1172566020017	16.4998381368988	24.7897536652373	0	6.47718569941872	6.09771212073743	0	0	17.5231971386187	0	0	0	0	0	53.85844578407	0	17.5745386991828	0	0	0	12.060307606955	0	0	0	18.5780775007736	0	0	0	0	0	0	0	16.2447794914013	0	17.1573244653488	0	0	9.30739426706159	23.4905062597596	0	0	0	8.66420798656508	0	0	0	38.9889999121737	19.4805195740401	0	0	0	0	13.5399135802478	0	6.18443657604549	8.82706170857361	0	0	0	7.5165310582899	97.191344720382	5.96383757763308	11.6036794982939	0	15.5401828848491	12.2434702416594	0	11.7641631497587	0	8.93510324340584	0	0	6.48548981614906	0	0	0	14.6269086613138	0	6.79444622514915	11.0965080401135	0	0	0	0	0	31.9401358147195	0	0	0	0	6.59141697230483	0	0	0	0	0	0	0	0	9.35083230246031	18.440687247822	0	0	11.6796079278306	40.3755456772213	0	0	10.625878612834	27.6822690897486
1035392	33.7390076579071	0	10.5119602210416	0	15.2178707931323	0	5.27407772588921	0	0	0	7.23694599577006	0	0	0	0	0	0	0	0	20.792013094996	0	0	0	17.8070553067853	0	0	0	8.99526973381771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4568344020495	0	0	0	0	0	0	0	0	6.63202498025324	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5911070139539	0	0	0	0	0	0	0	0	0	14.5449865707087	0	0	0	6.01181882995366	0	0	13.6352368195614	0	11.2425805943233	5.84079999852077	0	16.0226002106231	0	0	6.09555936714721	0	16.5593026313564	0	0	14.9359130905283	0	0	29.8222745042478	20.5662162085925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.06865310175346	17.79778622042	0	0	0	0	0	18.3446356085639	17.3906469219043	8.78083047985978	0	0	8.70300375255528	0	0	25.4900853695049	14.2709171139104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.61198875142791	0	11.0321707542938	0	0	0	0	18.7042348649141	0	0
1040889	7.63900554855684	6.65991151610817	0	7.1997120179237	15.2178707931323	7.87348692986932	10.5483021621168	0	0	0	44.3311945483309	0	13.1930407783119	11.8589118302348	0	12.8441087799647	16.3930755368226	20.726656203117	5.90871816724211	14.7016437585537	0	0	21.7816670226993	25.8745712361696	0	0	0	14.2230579966775	40.9826925981532	13.37391291431	29.5864901839175	6.19403867044396	16.6144440510739	12.0753926085954	0	9.6311288054251	42.9297121553771	20.5643524168798	50.3869707205445	20.290335353352	0	23.3499517502199	14.8511992034029	0	22.590853902968	11.7158230261526	6.42059813133827	8.98600396794177	35.6392915046911	10.8012945096056	8.34619096303171	16.8280001652606	39.6114069365529	18.7591620618625	38.8718158625863	5.75048294125427	21.443894121142	27.5385558286445	51.885493785156	41.2583509503256	0	5.44180585324576	38.231751496794	0	20.3015576034826	0	8.27516151548955	18.345021460773	0	23.3661232328361	54.8821465999519	6.26670902080092	9.37010576635558	0	26.3973083408426	45.5130817838207	5.65371918932377	11.2663392442753	17.6345543738824	11.1663906178758	0	12.0238549526006	0	21.4838970896077	6.09771212073743	0	0	0	5.94925509851131	0	0	0	18.2875841787235	12.68876153979	0	0	9.90090922066014	5.6450646125121	7.2279609514342	12.060307606955	6.35723069707677	9.51978084200381	0	0	50.4158906979613	0	23.1522219697371	0	12.891194285854	0	12.9629852025244	12.842413989749	0	19.1827072278066	0	0	9.30739426706159	0	0	0	47.5041476914731	0	52.9572053903605	0	0	0	57.0075574189797	6.28661483327672	0	0	0	18.1661444074077	18.407333049085	0	29.2798549786538	42.570366600746	39.6439261053419	0	0	6.72845340612772	19.7809842861114	11.6036794982939	6.56635951211945	6.34404030052132	24.4887762925147	20.1810971239522	6.79193831670411	0	10.9432946816676	19.2927043247561	0	32.4329074512425	0	51.2223381491347	82.7588839901303	14.6269086613138	8.70300375255528	9.60887193421354	14.3257262901696	0	40.3738466369833	63.4631453138796	42.2242192176402	23.5283265248611	23.9000204953208	0	6.52749487162872	9.93456458872864	23.3445229946134	6.59141697230483	18.5687716420976	47.1898345510963	0	5.86223812036255	20.2499418950089	0	0	0	0	0	0	0	0	0	0	0	0	0
1062061	88.7081414316919	6.65991151610817	43.9880591204151	0	37.28321659489	7.87348692986932	23.5884707208275	8.59401314828724	5.64407547816442	0	80.0193513825215	31.6049542435402	15.6103975206505	29.6509292267593	14.8411954880968	33.0021960240984	29.1745236551684	0	19.5981416630343	0	8.20812634799894	0	0	34.6157778558136	0	16.6633883560436	6.21818084825001	21.0970579346351	49.1852945791203	39.5697139255305	63.2123259901593	0	10.8764208303476	6.97161821774879	15.2762283566846	0	0	18.3930566530663	14.4201441506532	6.41597118077427	0	7.03969375990904	7.93809144707312	0	31.9510106053806	5.85781100472447	12.8414609650264	0	0	19.7212703926342	5.90161396809124	7.17520629152771	0	18.7591620618625	6.47704983198125	40.6730440113596	6.18988413304943	0	5.76250041679258	0	0	33.5516732194059	9.70866160604655	0	0	0	0	37.8261290764666	0	6.74465613439934	10.5569686808674	14.0131542675343	18.7410343439507	10.4792023968029	0	6.07987932478709	24.6463544452459	32.5281678926841	7.88608546293009	32.239507861623	13.0440454181959	8.50204693856333	0	12.9546431622156	12.1956509819286	68.774304747971	32.4595506999311	22.6231222264472	0	6.05575154230736	0	0	44.3906446314437	14.6518508482624	15.1163908275211	15.4991089489235	12.1261868542013	22.5820577589251	7.2279609514342	28.2870149674461	40.2172269240923	23.3203670134689	0	55.7599164951606	0	0	74.1846805374153	0	18.231406809571	20.9773798363999	62.2066640743348	12.842413989749	17.1251719770044	0	0	5.8150674422627	47.9304025491155	8.87787692322089	8.07722119994491	0	0	23.7298409211535	37.1484116451612	0	0	0	33.1144740479653	34.4397884998389	0	0	0	0	18.407333049085	10.7118949378094	10.810968756533	46.0967688875499	9.34185145182251	12.7412659802308	16.8081075418297	19.0319454484627	0	0	38.2972122114651	34.1701225004333	31.6169817397623	11.6510345678659	0	0	0	0	0	34.9322906871135	24.5953287380808	0	57.6269389757883	6.5411658119891	10.6590264926466	33.2917459927076	6.40648425215009	79.6001309545083	39.7376607092205	0	0	0	0	6.14658607417936	6.52749487162872	25.3305614713278	0	0	0	0	0	0	0	33.2300359896886	50.46350847729	0	26.4508465650373	9.85656289904174	6.36934061866319	0	11.6796079278306	0	23.0179218488364	19.9958347415271	15.0275444597993	0
1074210	0	6.65991151610817	7.4330099074649	7.1997120179237	14.0889329646574	5.56736723830894	12.919098770929	0	5.64407547816442	0	5.11727125431853	0	0	0	0	0	9.4642639625149	6.90844569472387	10.2343191807143	6.57458548860084	15.3564294121057	0	6.04070654007259	0	0	0	0	6.36057333773701	0	6.68680695056197	0	0	8.88050205567924	12.0753926085954	12.472826505722	0	8.67055644594567	0	0	0	0	9.95571262268804	31.257058523815	12.4053821358733	0	0	0	0	19.6158893345398	10.8012945096056	5.90161396809124	15.2213682377337	0	6.63202498025324	9.15999576534722	0	20.5308343809743	15.4739939802646	0	0	0	0	6.86500653302275	12.6438855916946	7.9624631867864	9.55367987925708	13.0844032094305	10.5911070139539	0	6.74465613439934	0	16.5808048169827	9.37010576635558	0	0	8.5983007726452	9.79263322986774	0	11.1527246192518	6.44682931074993	8.24963831412258	6.01181882995366	0	0	8.62352062204263	11.1481034519687	0	8.26018554007376	0	6.05575154230736	0	8.64573060339804	0	0	0	5.8579115096273	0	0	13.5225711202345	6.03004416597848	0	0	0	0	7.5973352216885	17.2313511467184	6.68292346903652	6.05986415782015	18.231406809571	0	7.48404325666196	5.7431758372187	9.15346986493764	6.06576982604834	6.46229134359322	10.0721057926003	6.58127409036109	14.0374325460226	8.07722119994491	6.25358380961584	15.1695184798262	0	9.28510043368165	0	11.7027788695132	0	11.2466089617135	10.8888797527137	0	8.8620008684105	19.8236924711842	6.05508542036753	0	6.18443657604549	8.82706170857361	0	9.34185145182251	29.8845569577844	0	0	5.96383757763308	0	11.3734317656129	12.6883359466489	0	0	9.605325134236	11.7336198183992	12.6363123361211	0	9.05815433930322	9.17193195613418	12.2967344303212	0	8.14526001772464	21.6961400864543	17.4066667777971	6.79444622514915	0	6.5808465482746	20.1828096940769	0	12.1857621147626	11.7633491804198	0	0	6.52749487162872	12.1674071073394	0	6.59141697230483	0	9.34164764220792	6.36482352305224	5.86223812036255	16.5336316194277	0	0	13.7951813736691	6.61198875142791	6.96958603801688	0	0	0	0	0	0	0	5.64992791698806
1084865	0	6.65991151610817	0	7.1997120179237	5.75162422461032	0	0	0	0	20.0595987872513	0	0	0	0	0	0	0	0	0	9.29793495108247	5.80398921476153	0	0	5.9354062646882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4568344020495	0	0	0	13.8700835754161	0	0	0	0	0	0	0	0	0	0	6.29009611540856	0	0	0	0	0	0	0	7.4889735836641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1956509819286	0	0	0	0	6.05575154230736	0	0	0	7.32572883327629	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05986415782015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.49314145431517	0	0	0	0	0	0	0	0	0	13.2115651949335	0	0	0	0	0	0	0	0	0	0	0	0	18.1892106830884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.60549435771217	6.36482352305224	8.29050414180973	0	0	0	0	0	0	0	0	0	0	0	7.06918294828295	0	0
1105984	0	0	0	0	11.5034387307599	15.7474620042958	0	0	0	0	0	0	0	0	0	0	0	0	0	30.8422067305659	46.0837873249187	11.9705408446577	8.54290107185166	23.7437165727142	0	8.33140499186336	0	0	0	6.68680695056197	0	0	14.0415834903521	0	0	0	18.3938345092189	0	0	0	0	0	0	7.16212824434271	0	0	0	0	0	0	10.2220139177238	0	46.9783451711243	0	24.2371047908841	0	0	0	0	0	0	59.1473315774449	0	0	11.2607424238558	0	0	20.5106451734331	0	0	0	0	9.37010576635558	0	0	0	11.3076191072943	0	0	0	0	10.4129011113334	0	0	0	35.2599740862994	6.49081577334465	0	0	6.05575154230736	0	128.736246981543	0	7.32572883327629	0	0	0	0	13.5225711202345	0	0	5.49619268634187	22.8141578002613	0	0	6.09193882496352	0	0	0	0	7.48404325666196	34.4656887233538	14.4732098175437	0	0	0	0	0	0	0	0	0	0	0	15.1084524826032	0	0	0	0	0	0	0	0	0	17.6548112892748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1108638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04070654007259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.23604945214978	0	0	0	0	0	0	0	0	0	0	0	0	6.86500653302275	0	0	0	0	5.29547925515226	12.1566134859468	0	0	0	0	0	0	10.5307896556989	0	0	0	0	0	0	0	0	0	6.43627164870538	0	0	0	0	0	0	0	0	9.56022653555104	0	0	0	0	0	0	0	0	0	0	0	0	6.05986415782015	0	0	0	0	0	0	0	5.8150674422627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05508542036753	0	6.18443657604549	0	0	0	0	0	0	0	0	0	0	0	0	0	6.77430492752837	0	0	0	0	0	0	8.14526001772464	0	0	9.60887193421354	0	0	0	0	7.0353369561698	0	0	0	0	0	0	0	0	0	0	0	0	8.30607568133047	0	0	0	0	0	0	0	0	0	0	6.13477691195656	5.64992791698806
1110312	0	0	0	0	8.13406983257108	0	0	36.9722158022687	0	0	0	0	5.89997027429629	8.38541869631452	0	0	16.3930755368226	0	0	0	0	0	0	5.9354062646882	0	0	0	0	5.79423810034644	9.45664355370287	0	0	0	0	0	0	0	15.928629759477	0	0	0	21.1204770289525	36.3845502212653	0	0	0	0	0	0	0	0	8.78783481021361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4838326553642	0	0	0	13.0607228991049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2107435513623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.61198875142791	0	6.36934061866319	28.1569151816946	14.3047025340616	8.41669542029565	0	0	0	9.78606634378237
1111294	58.4598819375101	38.8431035239402	41.3966890595228	23.8808068446113	33.5435492718466	40.1574409442083	15.822820055755	8.59401314828724	57.5900250789111	56.7637867960163	112.935636436502	246.391123699711	71.349720719499	37.9752798217947	0	19.0515206873437	17.7066774933488	9.77009531453871	10.2343191807143	17.3954701666669	0	15.4541478533963	84.4537207386049	44.4308696660175	71.3658972641895	170.131749606761	64.9649828799637	61.3772634683835	50.5342195436169	23.165678052114	5.91646929705856	27.0022971926249	34.9692385863237	18.4460646739506	10.8017145891208	0	33.0220828147352	0	17.0623812118006	67.6475700122786	20.936574638016	64.9478847176182	73.2503062194049	25.8260706954909	12.0745856677678	0	9.08015934451318	85.825186245128	17.5447597358157	57.1851289895719	58.4559443813363	29.1497035826517	56.9033804718186	93.4561618279698	11.2187362819704	30.9720792134794	17.5084188865149	0	31.5675826324494	41.2583509503256	79.6481892414442	12.1684880514496	32.2050486181983	50.1986082595798	19.5050025496679	373.407175148659	35.5999284230858	69.505184160914	172.337727191132	0	0	14.0131542675343	13.2515245787925	6.05009650259992	12.2184642487117	8.5983007726452	40.3863937298456	153.42200242588	44.6247829515921	238.238314392019	24.751161321046	59.8522100166335	16.0266563692577	38.3286634229378	10.5616781095173	9.10232550336718	28.2963872851236	73.0160153671504	14.5730691969023	54.1904761620482	76.5817543956105	44.5207738042149	30.4823284348449	20.7215876993882	30.236237212001	43.8503966909562	29.7066114504881	16.9359134888237	29.3640802107397	88.3262083460055	0	21.9864314013274	24.5066637454852	16.3841148366658	59.3713883018085	6.09193882496352	49.5818304874836	24.9879073890883	47.2057423697597	28.917231942177	50.2251330957509	72.0236445406107	51.8022871004941	16.0491090194285	46.1660671553989	74.7651072494413	138.015287426301	46.146572196796	25.5449165212088	54.5441657770741	89.3451822992957	328.612878016006	44.0567165875729	34.1186481692285	11.7027788695132	35.5904209239413	74.100477160889	72.0153532736798	15.778877889758	91.5815864002981	315.28620063457	17.1271005168526	13.7196716187572	29.6636769734389	66.6914157588955	22.3541609480754	59.1166241430954	43.220020455033	109.4009906944	327.374965282557	28.6052916556843	57.1713519898558	117.177837704181	55.6971468516672	28.2781455824779	147.288523519722	77.5170247332771	24.4273461637341	25.2746429569897	41.1869501736854	103.061801977498	66.1871287420108	73.5023515541697	40.2491696181122	52.8112796950766	53.9656405851248	52.2411222681801	174.911911946775	398.001048500421	20.8118161602467	33.4733818826995	110.47831595609	51.7215878338138	50.3878095930035	216.481948025685	71.7419698203297	357.371250776799	60.8731220727231	53.4115091482363	29.4817700009025	37.8017263454026	20.8897746291645	33.6856232344033	244.195699564188	36.3552819058903	21.977327078833	20.9867197441186	9.75451159340405	38.5634649247322	48.8060812734876	6.36934061866319	16.2549704162883	24.778161983674	86.1453646199811	65.6525315164993	43.590811004707	90.7026442921699	69.9423886136192
