#OFU ID	CS.047	T.CS.139	CS.138	T.CS.141	T.CS.047	CS.218	T.CS.151	CS.012	T.CS.140	CS.064	CS.074	CS.174	CS.071	CS.290	CS.001	CS.139	IMP000.L.T26	IMP000.L.T19	IMP000.L.T04	T.CS.081	CS.063	CS.213	CS.312	TFSCS028	L.004.M5	IMP000.L.T18	L.004.M3	L.006.M2	CS.230	IMP000.L.T36	CS.080	T.CS.003	CS.042	T.CS.133	CS.006	CS.233	CS.360	TFSCS026	CS.083	L.005.M3	CS.137	CS.346	CS.301	CS.365	CS.300	CS.119	T.CS.043	T.CS.100	CS.388	CS.318	CS.382	IMP000.L.T05	CS.302	CS.282	T.CS.089	TFSCS022	L.005.M4	L.007.M5	IMP000.L.T03	T.CS.148	CS.295	L.025.M6	IMP000.L.T06	L.008.M1	CS.366	CS.094	T.CS.136	CS.015	CS.023	CS.136	T.CS.146	CS.167	CS.025	L.005.M2	T.CS.067	IMP000.L.T27	TFSCS023	CS.110	CS.297	CS.193	T.CS.018	IMP000.L.T39	IMP000.L.T20	CS.143	CS.248	T.CS.145	CS.075	CS.111	CS.321	CS.065	CS.130	CS.159	CS.099	T.CS.143	CS.061	CS.175	CS.055	CS.132	CS.188	CS.232	CS.163	CS.003	CS.239	CS.260	T.CS.147	CS.238	CS.190	CS.068	CS.294	CS.176	CS.217	CS.333	L.007.M1	CS.104	CS.036	CS.112	L.005.M5	T.CS.093	L.004.M6	L.008.M4	T.CS.092	CS.325	L.012.M5	CS.169	T.CS.144	IMP000.L.T17	CS.358	CS.109	CS.007	CS.079	CS.072	CS.198	CS.165	CS.322	T.CS.014	L.008.M6	CS.117	T.CS.094	T.CS.084	IMP000.L.T30	CS.102	T.CS.097	CS.045	CS.347.0	CS.105	CS.293	L.011.M1	CS.030	T.CS.069	CS.108	CS.044	CS.251	CS.259	L.025.M4	CS.013	L.008.M3	T.CS.007	CS.172	TFSCS025	CS.090	L.005.M1	CS.019	TFSCS029	CS.118	CS.142	T.CS.023	TFSCS020	CS.103	CS.170	CS.062	CS.026	T.CS.065	T.CS.009	TFSCS027	CS.120	CS.005	CS.298	CS.011	CS.343	CS.016	CS.379	T.CS.013	T.CS.004	CS.357	CS.173	CS.046	CS.308.0	CS.151	T.CS.142	CS.269	CS.098	CS.056	L.006.M3	T.CS.088	CS.140	IMP000.L.T37	T.CS.135	L.008.M5	L.025.M3	CS.070	CS.158	CS.219	T.CS.030	IMP000.L.T10	IMP000.L.T28	CS.095	L.006.M4	CS.220	CS.275	IMP000.L.T09	IMP000.L.T38	L.007.M2	L.004.M2	CS.237	IMP000.L.T40	CS.087	CS.332	CS.305	T.CS.087	CS.231	CS.050	L.005.M6	CS.082	CS.362	CS.341	CS.194	CS.200	L.006.M6	T.CS.051	CS.008	IMP000.L.T29	CS.155	CS.141	CS.235	CS.031	CS.017	CS.053	CS.101	CS.124	CS.115	L.004.M4	CS.328	T.CS.137	T.CS.138	CS.191	CS.073	T.CS.042	L.007.M6	CS.020	CS.199	CS.156	L.025.M5	CS.021	CS.380	CS.227	CS.168	CS.077	CS.035	CS.224	L.006.M5	CS.113	T.CS.099	T.CS.095	T.CS.096	CS.284	CS.350	CS.205	CS.014	CS.009	CS.153	T.CS.020	T.CS.061	L.012.M1	L.007.M4	L.025.M2	CS.076	CS.203	CS.078	L.012.M2	CS.093	CS.311	CS.022	CS.029	T.CS.045	CS.088	CS.241	CS.049	CS.060	L.012.M6	IMP000.L.T02	T.CS.008	CS.066	L.006.M1	CS.249	T.CS.098	CS.033	CS.283	T.CS.049	CS.319	T.CS.073	L.008.M2	CS.240	CS.285	CS.161	CS.058	CS.052	CS.097	CS.345.0	CS.114	CS.356	CS.339	CS.096	T.CS.090	CS.092	CS.351	CS.228	CS.274	CS.171	CS.334	T.CS.150	CS.091	CS.286	CS.131	CS.028	CS.335	CS.040	L.025.M1	CS.004	CS.027	CS.196	CS.236	T.CS.149	T.CS.134	CS.059	T.CS.070	TFSCS024	CS.089	L.012.M4	T.CS.071	CS.024	CS.229	CS.296	CS.043	CS.133	CS.160	CS.032	CS.051	CS.122	CS.123	L.004.M1	CS.038	CS.085	CS.018	CS.084	CS.106	CS.135	CS.086	L.012.M3	CS.002	CS.292	CS.037	CS.041	CS.057	CS.247	CS.039	CS.067	CS.154	CS.164	TFSCS021	CS.010	CS.222	CS.157
ofu00010	0.0	0.0	0.0	1.5848009e-05	0.0	0.00013408229	0.0	2.8041462e-05	0.0	0.0	2.9779526e-05	0.0	0.0	0.0	0.0	0.0	3.855987e-06	0.0	1.2340135e-05	0.0	0.0	0.0	2.8033647e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3930447e-05	0.0	0.0	0.000246695521	7.0824572e-05	0.0	0.0	0.0	2.3308866e-05	1.0140521e-05	0.0	0.0	0.0	0.0	0.0	6.3522133e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0129611e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.404177e-05	0.0	0.0	0.0	0.0	5.0183139e-05	0.0	1.6194022e-05	0.0	2.3082229e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0476352e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2807802e-05	0.0	0.0	5.8644717e-05	0.0	0.0	0.0	1.2437591e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.3933341e-05	0.0	0.0	0.0	1.8686277e-05	2.2888889e-05	6.7948713e-05	0.0	0.0	0.0	0.0	3.6449201e-05	0.0	1.6691457e-05	0.0	1.8384893e-05	0.0	5.7016678e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.194297e-05	1.5427534e-05	0.0	0.0	0.0	0.0	0.000148152044	0.0	0.0	0.0	0.0	0.0	6.7985067e-05	0.0	0.0	0.0	0.0	2.2706447e-05	2.3266411e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1458131e-05	0.0	3.013638e-05	0.0	0.0	2.33217e-05	0.0	5.2372895e-05	0.000298395936	0.0	1.1123024e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3517001e-05	0.0	2.4031352e-05	3.7735006e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1108722e-05	0.0	0.0	0.0	4.8752027e-05	0.0	0.0	1.1686759e-05	2.7864752e-05	0.0	0.0	9.357805e-06	0.0	0.0	0.0	5.4125292e-05	0.0	0.0	0.0	0.0	2.4490624e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.4628532e-05	0.0	0.0	9.7577649e-05	1.3555026e-05	0.0	3.681436e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2601862e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0840982e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2830301e-05	0.0	0.0	0.0	0.0	0.0	3.0560966e-05	0.0	2.7809866e-05	0.0	0.0	0.0	0.0	8.5250202e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8513244e-05	0.0	4.324352e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.9992617e-05	0.0	0.0	3.3319335e-05	0.0	0.0	0.0	0.000199165626	0.0	0.002106706557	0.0	0.0
ofu00021	0.0	9.785167e-06	0.0	0.0	0.0	0.0	0.000653019865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000210151914	0.003179993063	1.74235e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.310543e-05	1.4382643e-05	0.0	0.0	0.0	0.0	0.0	1.6341738e-05	5.2731491e-05	1.1394258e-05	0.0	0.0	0.0	9.767294e-06	2.6830692e-05	5.0356429e-05	0.000400710474	0.0	0.0	0.0	7.5060723e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000233552492	0.0	0.0	0.0	0.0	0.0	0.000144721291	7.65913e-06	0.0	0.0	0.0	0.0	0.0	0.000137324911	0.0	0.0	0.0	0.000427166737	1.0131687e-05	1.7846746e-05	0.0	5.5275286e-05	0.0	0.0	3.8925589e-05	0.0	0.0	0.0	0.0	0.0	2.9641289e-05	0.0	0.000552766687	0.0	0.0	0.000104298398	0.0	0.0	0.0	0.0	0.000524292778	0.0	0.0	2.8402804e-05	0.0	0.0	0.0	0.0	2.9689448e-05	3.8689864e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000199515699	0.0	0.0	7.5581743e-05	0.0	0.0	0.0	0.002387850273	0.000112399964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0684956e-05	0.0	0.0	0.000248263609	0.000191313978	0.0	0.0	0.0	0.0	0.0	0.0	2.9910456e-05	0.0	0.0	0.0	0.0	2.9051399e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9474072e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0425056e-05	2.5627144e-05	3.0111072e-05	0.0	0.0	0.0	0.0	1.345655e-05	0.0	1.2814249e-05	0.0	0.0	4.9859303e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5441765e-05	4.7788726e-05	0.000118539341	0.0	0.0	0.0	0.0	0.000273123302	0.000739748141	4.9596471e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6922091e-05	0.000147532648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7573103e-05	0.0	0.0	0.0	0.0	2.4181969e-05	1.5231161e-05	0.0	9.0937509e-05	0.0	0.0	0.0	0.001119414994	3.2125719e-05	6.9090794e-05	0.0	0.0	0.005822191805	4.5986262e-05	0.0	2.8289744e-05	0.0	0.0	0.000143706121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000348528194	0.0	0.0	0.0	8.456758e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111285458	0.000400040004	0.0	0.000264546182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.273126e-05	0.0	0.000123544014	0.0	0.0	4.640784e-05	0.0	0.0	0.000129689491	0.0	0.005391289698	0.0	2.16447e-05	0.0	0.0	0.0	1.7862964e-05	0.0	0.0	0.000217450394	0.000644503902	3.8208134e-05	0.000452652897	0.0	0.0	2.4274791e-05	0.0	0.0	0.0	2.2972794e-05	0.0	0.000770121155	0.0	2.3366943e-05	0.0	0.000130294751	0.0	0.0	0.0	0.0	1.1952876e-05	0.0	0.0	2.4446142e-05	0.0	0.0	0.0	0.000301585207	0.0	0.0	7.4335395e-05	5.859983e-05	0.0	0.0	0.000725008665	0.0	0.0	4.5659442e-05	0.0	0.0	9.374366e-06	0.000222101917	0.0	1.516352e-05	0.000242879642	0.0	0.0	0.0	0.0	0.0	6.5484668e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.9178062e-05	0.0	0.0	0.0	3.4931447e-05	0.0	1.3109682e-05	0.0
ofu00023	0.0	9.020701e-06	0.0	0.0	0.0	0.0	0.000602002688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000193733795	0.002931556105	1.606229e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2081568e-05	1.3258999e-05	0.0	0.0	0.0	0.0	0.0	1.506504e-05	4.8611843e-05	1.0504082e-05	0.0	0.0	0.0	9.004224e-06	2.4734544e-05	4.6422333e-05	0.000369404969	0.0	0.0	0.0	6.9196604e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000215306203	0.0	0.0	0.0	0.0	0.0	0.00013341494	7.060761e-06	0.0	0.0	0.0	0.0	0.0	0.000126596402	0.0	0.0	0.0	0.000393794335	9.340149e-06	1.6452469e-05	0.0	5.0956904e-05	0.0	0.0	3.5884527e-05	0.0	0.0	0.0	0.0	0.0	2.7325563e-05	0.0	0.00050958179	0.0	0.0	9.6150085e-05	0.0	0.0	0.0	0.0	0.000483332405	0.0	0.0	2.6183835e-05	0.0	0.0	0.0	0.0	2.736996e-05	3.5667219e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000183928535	0.0	0.0	6.967692e-05	0.0	0.0	0.0	0.002201299471	0.000103618717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9068944e-05	0.0	0.0	0.000228868015	0.000176367573	0.0	0.0	0.0	0.0	0.0	0.0	2.7573701e-05	0.0	0.0	0.0	0.0	2.6781759e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.717141e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.610598e-06	2.3625024e-05	2.7758645e-05	0.0	0.0	0.0	0.0	1.2405257e-05	0.0	1.1813136e-05	0.0	0.0	4.5964045e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1891627e-05	4.4055232e-05	0.000109278455	0.0	0.0	0.0	0.0	0.000251785544	0.000681955317	4.5721746e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0912552e-05	0.00013600666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0731454e-05	0.0	0.0	0.0	0.0	2.2292753e-05	1.4041227e-05	0.0	8.3833016e-05	0.0	0.0	0.0	0.001031960697	2.9615897e-05	6.3693076e-05	0.0	0.0	0.00536733307	4.2393585e-05	0.0	2.6079607e-05	0.0	0.0	0.00013247908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000321299429	0.0	0.0	0.0	7.796074e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000102591282	0.000368786879	0.0	0.000243878512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.548663e-05	0.0	0.000113892138	0.0	0.0	4.2782227e-05	0.0	0.0	0.000119557499	0.0	0.00497009519	0.0	1.9953707e-05	0.0	0.0	0.0	1.646742e-05	0.0	0.0	0.000200462082	0.000594152035	3.5223124e-05	0.00041728939	0.0	0.0	2.2378323e-05	0.0	0.0	0.0	2.1178045e-05	0.0	0.00070995544	0.0	2.15414e-05	0.0	0.000120115474	0.0	0.0	0.0	0.0	1.1019057e-05	0.0	0.0	2.2536287e-05	0.0	0.0	0.0	0.000278023863	0.0	0.0	6.8527942e-05	5.4021719e-05	0.0	0.0	0.000668367363	0.0	0.0	4.2092298e-05	0.0	0.0	8.641994e-06	0.000204750205	0.0	1.397887e-05	0.00022390467	0.0	0.0	0.0	0.0	0.0	6.0368679e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.1429776e-05	0.0	0.0	0.0	3.2202428e-05	0.0	1.2085488e-05	0.0
ofu00031	0.0	2.3215788e-05	6.9810797e-05	0.0	3.5058113e-05	3.5935734e-05	5.3424884e-05	0.0	1.114701e-05	2.5906705e-05	3.1925144e-05	0.0	2.2860836e-05	0.0	0.0	3.6983772e-05	1.0334529e-05	0.0	1.3229243e-05	4.2846435e-05	0.0	3.8572231e-05	0.0	4.2078969e-05	3.1093275e-05	0.0	0.000140567176	4.4533376e-05	5.6686823e-05	0.0	0.0	2.9078682e-05	0.0	8.110031e-05	4.4392451e-05	0.0	8.4749027e-05	3.4760076e-05	0.0	1.4934137e-05	0.001194603447	0.0	4.4078327e-05	9.4909364e-05	1.1130328e-05	0.000164097974	3.6381767e-05	7.4964818e-05	0.0	1.2281768e-05	5.0532718e-05	0.000113637048	0.000175074208	0.0	0.0	1.1544057e-05	0.0	4.0486724e-05	0.0	0.0	0.0	0.00087270249	9.085831e-06	5.3361275e-05	4.4004136e-05	0.0	0.000349895988	0.0	0.0	0.0	1.6420729e-05	2.7594598e-05	0.0	0.0	8.4684557e-05	0.0	0.000290388791	2.8850492e-05	2.4214348e-05	1.5392145e-05	0.000135958799	0.0	1.377285e-05	8.4145625e-05	0.0	6.3292869e-05	0.0	0.0	5.2082409e-05	0.0	0.0	0.00010746509	0.0	2.6820813e-05	0.0	3.1097758e-05	3.5845404e-05	0.0	6.7387044e-05	3.2201594e-05	5.8487228e-05	4.2372432e-05	0.0	0.000158489261	0.0	8.150382e-05	6.8822317e-05	0.0	0.0	5.0606822e-05	2.829229e-05	3.3811484e-05	0.000476796594	4.8708262e-05	0.000149434492	0.0	0.0	0.0	0.000102208873	9.3336049e-05	0.0	0.000187192462	0.0	3.0011657e-05	6.0652051e-05	0.0	0.0	2.6018429e-05	0.0	0.0	0.000120195755	1.2269018e-05	0.0	0.00029668555	7.3627198e-05	0.000104746567	0.0	5.2100494e-05	5.3380259e-05	0.0	2.5693761e-05	0.0	0.0	3.0562368e-05	9.6082624e-05	3.2742164e-05	0.0	0.0	4.4306959e-05	0.0	0.00017336383	0.0	2.6210907e-05	0.002129960078	2.7946782e-05	2.553369e-05	0.000128202581	0.0	2.756515e-05	0.0	4.7747913e-05	0.0	6.9550417e-05	0.0	4.9467911e-05	4.0534437e-05	1.7859999e-05	3.5075216e-05	0.0	0.0	0.0	4.7889488e-05	0.000122146491	4.5603652e-05	4.8684899e-05	0.0	0.0	2.1518597e-05	0.0	0.0	0.0	1.7905963e-05	2.554125e-05	5.2486394e-05	4.0894208e-05	0.0	0.0	6.02658e-05	0.000132672493	0.0	0.0	0.0	0.000178199566	5.9494533e-05	0.000105903052	4.0658126e-05	1.1873075e-05	1.3466715e-05	0.002001990983	0.0	0.0	0.0	3.9457814e-05	1.0769237e-05	4.8809763e-05	0.0	0.000162513204	3.345659e-05	5.6146368e-05	1.2795816e-05	0.0	2.3848878e-05	0.0	0.0	0.0	5.194287e-05	6.6266457e-05	0.0	0.0	0.0	0.0	0.0	2.5762813e-05	1.3484606e-05	0.000288819497	6.741864e-05	3.367993e-05	1.3279335e-05	0.000101626456	0.0	0.0	0.00013115016	2.2869926e-05	0.0	0.0	0.0	0.000174897645	9.9501588e-05	5.6824969e-05	2.433421e-05	4.4466813e-05	1.4658824e-05	9.2039888e-05	0.000225448181	0.0	0.000106854731	0.0	2.5057583e-05	0.0	5.0142107e-05	0.0	7.0224255e-05	0.000162113539	8.0656227e-05	0.00018884647	0.0	3.027707e-05	3.5068088e-05	0.0	0.000166376453	7.8765529e-05	0.0	1.8635816e-05	0.0	2.8102446e-05	3.8878153e-05	5.3885645e-05	0.0	0.0	0.00015697691	0.000125529757	0.000319696684	0.0	0.0	0.000129948887	2.7855647e-05	3.2966321e-05	0.0	0.0	9.2735052e-05	0.0	0.0	2.4230329e-05	0.0	3.6283333e-05	6.7286312e-05	0.0	2.7086908e-05	9.6902266e-05	2.3056338e-05	0.000115544499	0.0	5.3700056e-05	0.0	0.0	0.0	0.0	3.5175799e-05	1.076843e-05	9.0650671e-05	0.000185162274	0.0	0.0	5.7593131e-05	0.000182901229	0.0	0.0	2.725204e-05	0.0	0.00019812472	1.7625748e-05	5.5439217e-05	0.0	0.0	1.1800321e-05	0.0	0.000136402387	0.00023575031	1.4179392e-05	1.7107097e-05	8.5694643e-05	0.0	6.5056374e-05	0.0	0.000129421471	0.0	0.0	0.0	0.000176364369	2.3171828e-05	0.0	5.8333002e-05	0.000120710077	0.001246129211	0.0	4.3331706e-05	3.2120071e-05	8.777547e-05	0.0	0.0	0.0	1.7988097e-05	0.0	0.0	8.5257108e-05	0.0	0.000102469873	0.0	0.0	3.6953937e-05	2.6861732e-05	0.000125458261	3.3237473e-05	4.6359221e-05	0.0	5.0970082e-05	0.0	0.0	9.740461e-05	0.0	0.0	0.0	6.9719593e-05	0.0	0.000117652407	0.0	0.0	3.5585922e-05	0.0	0.0	6.2206727e-05	0.0
ofu00046	0.0	0.000476915576	1.3486177e-05	7.877117e-05	0.000178368165	8.3305565e-05	8.1544308e-05	0.000209066518	0.000259374279	9.008468e-05	0.0	0.0	0.0	1.2170858e-05	0.000322720446	0.000424300189	7.2637194e-05	0.000187546887	0.00036418002	0.000353763549	9.2239302e-05	8.9417445e-05	3.0782642e-05	1.950934e-05	8.1715306e-05	0.000197761342	0.000130344108	0.0	0.000131410362	1.7641351e-05	3.0222437e-05	0.00266339437	0.000192312577	0.001346338255	0.003605796862	4.0633889e-05	0.000328007682	0.001126232703	0.000134054353	0.000429925099	0.000164936654	0.00013521919	0.000435499663	6.3445849e-05	0.000245120173	0.0	0.0	5.7927359e-05	8.380731e-05	0.000237038862	2.587938e-05	0.000331499537	0.000331724266	0.00045765054	0.0	0.001016367902	0.000625356821	6.2570392e-05	6.8172832e-05	0.001536782216	4.0384009e-05	0.001801564127	0.000148846057	0.003364329509	0.0	2.2030961e-05	0.001085316156	0.0	8.6543303e-05	0.0	1.9033118e-05	2.3988486e-05	0.0	0.006175297434	8.3065949e-05	0.000220102084	0.000966179975	0.0	0.000283272865	0.000160568054	0.000252911353	0.00036641541	0.000470937565	0.001782566096	0.000108873163	1.0868472e-05	0.0	2.9201854e-05	0.0	0.0	0.000114728237	0.000106767265	0.000348658781	0.000217614325	0.0	0.002019532377	0.0	0.0	0.000117161566	3.2982879e-05	0.000101688021	0.0	8.0795023e-05	2.0411496e-05	2.3505181e-05	0.0	0.001652266176	0.0	0.000396249924	5.8657907e-05	0.000356912091	0.000863393806	0.001051251131	0.0	9.1836072e-05	2.4290711e-05	0.000706353678	0.000155250028	0.000579741051	0.000677928099	0.000326546263	1.4464872e-05	0.00146097893	3.0833257e-05	1.3181483e-05	0.000756705328	0.0	0.0	2.2766079e-05	0.0	0.000139317807	0.000253807909	0.000222370096	1.9104751e-05	0.002090845085	3.8116459e-05	0.000278174852	0.000836668123	4.640443e-05	0.0	8.587996e-05	0.000532400113	0.0	0.0	8.9094797e-05	1.1178855e-05	0.000598898208	0.0	7.5540228e-05	0.0	0.0	0.0	0.0	0.001304282753	8.5312342e-05	0.000779022393	9.4562648e-05	0.0	0.000630821857	0.0	0.000426899033	2.9626118e-05	7.6864302e-05	3.2535983e-05	1.2667029e-05	0.000260588711	0.000246008307	0.0	0.0	2.8159495e-05	0.000230960217	5.1203689e-05	8.4947333e-05	0.002379822723	0.0	2.8910925e-05	0.0	0.000146750737	0.000154631205	0.00112304647	8.450514e-06	0.002379981904	0.002206085864	0.00011087577	9.4800209e-05	6.2482427e-05	0.0	0.0	0.000209699291	2.6858977e-05	0.0	0.0	0.002666295772	0.000879622689	2.569153e-05	0.000329885247	0.000314077187	0.000465204095	0.001234217536	0.000501186113	0.0	0.0	0.000255883973	0.0	8.9904286e-05	5.2883937e-05	0.000446256233	0.00058687235	0.000224397907	1.4831514e-05	0.000820373805	0.002029311298	3.134305e-05	0.000346284044	0.0	0.00016959202	0.000409647191	6.4420537e-05	1.7253257e-05	0.000127400707	0.0	0.002835946528	4.8783961e-05	0.000102136749	7.653075e-05	3.9072166e-05	0.00049773579	1.5391956e-05	0.000265037179	4.7499921e-05	8.4215254e-05	0.001034797816	0.001359148395	6.323111e-05	0.0	0.0	0.0	7.2415704e-05	2.469949e-05	0.0	0.0	0.000724679839	0.000552267588	0.0	5.3532678e-05	0.0	5.1664457e-05	4.3566024e-05	0.0	0.006673069781	0.0	0.000451595635	0.00015122748	2.5157291e-05	3.2238054e-05	0.0	3.1011662e-05	0.000459396138	0.000203091504	0.000733246824	0.0	0.001456768445	0.000256694617	0.000134938928	0.000358306189	4.5063314e-05	6.2458361e-05	2.2952626e-05	6.2506251e-05	0.0	2.4250067e-05	0.000200163	0.003486640012	0.000114364135	0.000804572082	2.421542e-05	0.0	0.0	0.001037046043	5.3744178e-05	0.0	0.0	0.0	2.127026e-05	3.1541761e-05	0.0	0.0	0.0	0.000802027236	0.0	2.9761462e-05	0.0	0.0	0.0	0.000858076855	0.0	2.8077269e-05	0.001150254472	0.000556861875	0.000255953727	6.4385972e-05	0.001889333357	8.8041086e-05	0.0	0.0	0.000163277794	0.0	0.0	0.0	0.000496811944	0.0	0.000149521856	6.4320061e-05	3.9578864e-05	9.2561475e-05	0.000147963042	0.000663055613	3.9036577e-05	1.6435204e-05	0.000400256605	0.0	0.000268907563	0.000439280319	0.00014306591	0.000109600152	0.0	0.000585907493	0.0	9.4284849e-05	0.002038103197	0.0	0.000135226504	0.000147231216	0.0	6.2048853e-05	0.000452028478	7.4460164e-05	0.000208272139	9.7155174e-05	0.000349236253	6.2206575e-05	8.0974048e-05	8.3489877e-05	0.001110770908	0.000136252837	0.000117095314	0.0	0.0	2.2510355e-05	0.000321990645	0.0	0.000419532551	2.889394e-05	5.3734551e-05	2.5176234e-05	2.953948e-05	6.8748472e-05	2.3263388e-05	0.0	0.0	3.293371e-05	3.311039e-05	0.000121217019	4.1402724e-05	0.0	0.0	3.0337965e-05	0.001072430292	0.0007388894	0.000629074454	0.0	0.000185563184
